Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,2504.00,2507.00,2476.00,2490.00,1524900,2490.00
2017-02-08,2445.00,2503.00,2430.00,2497.00,1565300,2497.00
2017-02-07,2408.00,2451.00,2400.00,2448.00,1637600,2448.00
2017-02-06,2398.00,2412.00,2391.00,2399.00,665600,2399.00
2017-02-03,2385.00,2427.00,2366.08,2407.00,1804900,2407.00
2017-02-02,2363.00,2388.00,2355.00,2376.00,885500,2376.00
2017-02-01,2398.00,2405.00,2361.00,2361.00,1220200,2361.00
2017-01-31,2437.00,2440.00,2386.00,2386.00,1726400,2386.00
2017-01-30,2409.00,2449.00,2401.00,2431.00,876200,2431.00
2017-01-27,2401.00,2440.00,2389.06,2429.00,2948700,2429.00
2017-01-26,2411.00,2420.00,2335.00,2392.00,2456900,2392.00
2017-01-25,2485.00,2500.00,2463.00,2463.00,1099100,2463.00
2017-01-24,2530.00,2531.00,2455.00,2485.00,1991400,2485.00
2017-01-23,2515.00,2533.52,2503.95,2523.00,1812000,2523.00
2017-01-20,2586.00,2587.00,2508.00,2522.00,1211400,2522.00
2017-01-19,2596.00,2600.00,2567.00,2585.00,865700,2585.00
2017-01-18,2587.00,2594.00,2568.40,2580.00,1176800,2580.00
2017-01-17,2572.00,2582.00,2566.00,2574.00,1229400,2574.00
2017-01-16,2580.00,2594.80,2571.00,2579.00,1520800,2579.00
2017-01-13,2589.00,2613.00,2544.00,2580.00,2440700,2580.00
2017-01-12,2700.00,2700.00,2546.00,2576.00,2472200,2576.00
2017-01-11,2662.00,2702.00,2650.00,2698.00,1095700,2698.00
2017-01-10,2664.00,2689.00,2627.31,2664.00,1123900,2664.00
2017-01-09,2665.00,2676.43,2647.00,2668.00,406100,2668.00
2017-01-06,2680.00,2680.00,2629.00,2655.00,907800,2655.00
2017-01-05,2612.00,2705.00,2612.00,2685.00,1703700,2685.00
2017-01-04,2650.00,2650.00,2573.00,2610.00,1514600,2610.00
2017-01-03,2745.00,2756.00,2701.75,2711.00,966800,2711.00
2017-01-02,2745.00,2745.00,2745.00,2745.00,000,2745.00
2016-12-30,2734.00,2748.82,2715.00,2745.00,396700,2745.00
2016-12-29,2718.00,2736.00,2714.00,2730.00,320700,2730.00
2016-12-28,2705.00,2719.82,2659.00,2719.00,1048100,2719.00
2016-12-27,2699.00,2699.00,2699.00,2699.00,000,2699.00
2016-12-26,2699.00,2699.00,2699.00,2699.00,000,2699.00
2016-12-23,2708.00,2732.00,2699.00,2699.00,215600,2699.00
2016-12-22,2674.00,2713.00,2674.00,2705.00,554700,2705.00
2016-12-21,2683.00,2696.00,2682.00,2686.00,467000,2686.00
2016-12-20,2706.00,2707.00,2676.00,2681.00,679000,2681.00
2016-12-19,2693.00,2706.00,2671.00,2704.00,833800,2704.00
2016-12-16,2674.00,2692.00,2674.00,2686.00,884100,2686.00
2016-12-15,2664.00,2693.00,2650.00,2669.00,1112400,2669.00
2016-12-14,2691.00,2738.00,2691.00,2711.00,971900,2684.55
2016-12-13,2651.00,2721.00,2634.00,2713.00,776100,2686.53
2016-12-12,2695.00,2700.00,2644.00,2646.00,939900,2620.184
2016-12-09,2651.00,2739.00,2649.00,2689.00,1153900,2662.765
