Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1894.00,1894.00,1860.00,1878.00,536900,1878.00
2017-02-08,1866.00,1888.00,1864.00,1885.00,1072300,1885.00
2017-02-07,1852.00,1877.00,1845.00,1862.00,911000,1862.00
2017-02-06,1834.00,1853.00,1825.00,1847.00,927700,1847.00
2017-02-03,1791.00,1842.00,1782.00,1835.00,823200,1835.00
2017-02-02,1769.00,1804.00,1769.00,1793.00,485800,1793.00
2017-02-01,1779.00,1790.00,1770.00,1776.00,524600,1776.00
2017-01-31,1795.00,1800.53,1776.00,1776.00,816600,1776.00
2017-01-30,1797.00,1804.00,1759.00,1797.00,922500,1797.00
2017-01-27,1774.00,1805.90,1769.00,1805.00,649000,1805.00
2017-01-26,1784.00,1789.00,1762.00,1769.00,817400,1769.00
2017-01-25,1745.00,1802.00,1735.00,1793.00,1080000,1793.00
2017-01-24,1757.00,1757.00,1716.00,1746.00,1054700,1746.00
2017-01-23,1694.00,1750.00,1680.00,1750.00,1629000,1750.00
2017-01-20,1734.00,1743.00,1720.55,1733.00,832200,1733.00
2017-01-19,1740.00,1751.00,1726.00,1732.00,801300,1732.00
2017-01-18,1762.00,1765.00,1741.00,1744.00,523000,1744.00
2017-01-17,1763.00,1772.00,1749.00,1756.00,520900,1756.00
2017-01-16,1770.00,1780.00,1760.00,1766.00,693500,1766.00
2017-01-13,1760.00,1783.00,1749.00,1774.00,514100,1774.00
2017-01-12,1769.00,1769.89,1745.00,1757.00,606300,1757.00
2017-01-11,1773.00,1782.00,1757.00,1770.00,576000,1770.00
2017-01-10,1825.00,1837.28,1779.00,1780.00,621300,1780.00
2017-01-09,1829.00,1840.03,1816.00,1828.00,543900,1828.00
2017-01-06,1818.00,1831.00,1818.00,1830.00,601900,1830.00
2017-01-05,1827.00,1841.00,1820.00,1828.00,366700,1828.00
2017-01-04,1841.00,1844.00,1822.00,1829.00,400600,1829.00
2017-01-03,1835.00,1848.00,1828.30,1841.00,657600,1841.00
2017-01-02,1827.00,1827.00,1827.00,1827.00,000,1827.00
2016-12-30,1810.00,1827.00,1800.00,1827.00,348000,1827.00
2016-12-29,1790.00,1812.00,1787.00,1812.00,238700,1812.00
2016-12-28,1799.00,1803.00,1795.00,1798.00,275100,1798.00
2016-12-27,1799.00,1799.00,1799.00,1799.00,000,1799.00
2016-12-26,1799.00,1799.00,1799.00,1799.00,000,1799.00
2016-12-23,1790.00,1806.00,1790.00,1799.00,137800,1799.00
