Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,254.70,258.70,254.10,254.50,5035000,254.50
2017-02-08,256.90,264.50,251.20,253.10,6258400,253.10
2017-02-07,248.00,253.50,248.00,250.80,3674600,250.80
2017-02-06,249.40,253.10,248.278,248.30,3637500,248.30
2017-02-03,249.90,251.50,245.90,250.50,5729200,250.50
2017-02-02,254.00,254.00,244.40,249.70,10284400,249.70
2017-02-01,262.50,265.20,256.10,258.10,8809700,258.10
2017-01-31,262.00,267.60,261.40,262.10,4172500,262.10
2017-01-30,268.80,269.00,260.30,262.40,3384400,262.40
2017-01-27,274.90,278.20,269.60,271.10,2668300,271.10
2017-01-26,268.10,276.90,265.80,274.90,4959100,274.90
2017-01-25,264.50,271.30,263.80,268.10,3349900,268.10
2017-01-24,263.90,266.672,262.40,266.40,2429300,266.40
2017-01-23,266.30,266.30,256.30,263.30,3219200,263.30
2017-01-20,265.10,267.70,263.60,264.50,2116400,264.50
2017-01-19,270.90,273.90,265.20,265.30,1965900,265.30
2017-01-18,271.40,272.40,267.50,271.90,2912300,271.90
2017-01-17,266.00,272.10,265.20,269.70,3746700,269.70
2017-01-16,271.00,271.00,266.40,266.50,2273200,266.50
2017-01-13,270.00,271.30,266.20,271.30,1908300,271.30
2017-01-12,268.00,269.90,264.828,268.50,3443000,268.50
2017-01-11,270.20,273.90,269.33,270.10,2264700,270.10
2017-01-10,268.00,272.30,262.70,271.10,4043000,271.10
2017-01-09,272.20,273.00,264.80,269.00,2548200,269.00
2017-01-06,278.30,278.30,267.40,270.70,2497300,270.70
2017-01-05,275.20,282.90,272.809,277.00,3681000,277.00
2017-01-04,271.60,274.582,270.20,273.20,3215800,273.20
2017-01-03,259.10,272.40,259.00,270.70,5563200,270.70
2017-01-02,257.30,257.30,257.30,257.30,000,257.30
2016-12-30,256.70,258.78,255.78,257.30,1321600,257.30
2016-12-29,254.60,259.227,253.00,258.70,2324000,258.70
2016-12-28,259.00,259.00,253.90,254.70,2737800,254.70
2016-12-27,258.00,258.00,258.00,258.00,000,258.00
2016-12-26,258.00,258.00,258.00,258.00,000,258.00
2016-12-23,257.40,258.50,256.40,258.00,619100,258.00
2016-12-22,257.20,258.492,255.10,257.00,1818200,257.00
2016-12-21,257.50,260.10,256.00,257.00,4472900,257.00
2016-12-20,254.60,259.10,253.40,258.70,8234000,258.70
2016-12-19,256.10,256.70,252.30,254.00,3437600,254.00
2016-12-16,255.70,256.33,253.00,254.30,5052100,254.30
2016-12-15,258.50,260.70,253.50,255.70,6087800,255.70
2016-12-14,254.60,259.60,254.10,257.80,4407500,257.80
2016-12-13,256.30,257.32,251.90,255.10,6774600,255.10
2016-12-12,262.10,270.09,258.00,258.50,3270600,258.50
2016-12-09,263.30,265.30,259.00,261.10,3512700,261.10
2016-12-08,270.30,271.70,262.00,262.50,4575800,262.50
2016-12-07,273.30,276.10,268.40,276.10,5582000,264.10
2016-12-06,274.00,274.00,262.10,270.90,5664200,259.126
2016-12-05,271.00,271.60,265.40,266.10,4352500,254.535
2016-12-02,265.30,273.70,263.957,272.40,4794600,260.561
2016-12-01,266.40,268.00,260.90,266.20,5792100,254.63
2016-11-30,265.00,269.062,264.63,268.00,9711900,256.352
2016-11-29,269.80,270.70,260.90,267.80,8971400,256.161
2016-11-28,295.30,302.00,273.20,274.80,15133300,262.856
