Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1024.00,1027.00,1012.00,1018.00,891600,1018.00
2017-02-08,1029.00,1036.00,1017.97,1023.00,1033400,1023.00
2017-02-07,994.50,1038.00,994.50,1030.00,981800,1030.00
2017-02-06,1002.00,1006.00,996.00,997.00,473400,997.00
2017-02-03,993.00,1005.00,988.96,997.50,710200,997.50
2017-02-02,1001.00,1006.00,990.00,1000.00,939200,1000.00
2017-02-01,1017.00,1017.00,996.00,1003.00,861700,1003.00
2017-01-31,1003.00,1024.00,1003.00,1007.00,1200200,1007.00
2017-01-30,1036.00,1043.50,1007.00,1013.00,913700,1013.00
2017-01-27,1055.00,1063.00,1055.00,1059.00,530400,1059.00
2017-01-26,1043.00,1070.36,1043.00,1059.00,883400,1059.00
2017-01-25,1021.00,1060.00,1010.00,1048.00,875700,1048.00
2017-01-24,1007.00,1018.00,994.647,1007.00,740300,1007.00
2017-01-23,1014.00,1018.00,1005.00,1007.00,525800,1007.00
2017-01-20,1026.00,1037.00,1015.00,1017.00,1299900,1017.00
2017-01-19,1030.00,1033.00,1017.00,1029.00,947700,1029.00
2017-01-18,1008.00,1032.94,1008.00,1032.00,958500,1032.00
2017-01-17,1006.00,1014.00,992.50,1007.00,786300,1007.00
2017-01-16,988.50,1016.00,986.00,1012.00,776700,1012.00
2017-01-13,983.50,991.50,974.50,987.50,532400,987.50
2017-01-12,977.50,990.50,975.00,981.50,732100,981.50
2017-01-11,985.00,986.50,973.00,975.00,1157100,975.00
2017-01-10,979.00,989.50,975.00,985.50,1082900,985.50
2017-01-09,988.50,988.50,974.00,976.50,611200,976.50
2017-01-06,980.00,990.50,969.00,976.00,879200,976.00
2017-01-05,976.00,983.00,968.00,970.00,1045300,970.00
2017-01-04,949.00,975.00,948.50,975.00,1452700,975.00
2017-01-03,923.00,951.00,918.00,949.00,1096000,949.00
2017-01-02,918.00,918.00,918.00,918.00,000,918.00
2016-12-30,907.50,918.00,901.00,918.00,442800,918.00
2016-12-29,908.50,916.50,891.03,907.50,634800,907.50
2016-12-28,920.50,920.50,905.00,910.50,982400,910.50
2016-12-27,917.50,917.50,917.50,917.50,000,917.50
2016-12-26,917.50,917.50,917.50,917.50,000,917.50
2016-12-23,921.50,924.00,910.50,917.50,390100,917.50
2016-12-22,920.00,924.50,906.00,922.50,1027400,922.50
2016-12-21,921.50,927.50,912.086,912.50,983400,912.50
2016-12-20,931.00,934.50,917.00,926.00,3060200,926.00
2016-12-19,914.50,936.00,909.50,931.00,749000,931.00
2016-12-16,910.00,931.00,909.46,913.50,1961000,913.50
2016-12-15,890.00,923.00,890.00,917.50,1732300,917.50
2016-12-14,868.50,882.50,855.50,876.50,1260800,876.50
2016-12-13,859.00,872.50,840.912,868.50,812500,868.50
