Date,Open,High,Low,Close,Volume,Adj Close
2016-09-05,1700.00,1700.00,1700.00,1700.00,000,1689.475
2016-09-02,1702.00,1702.40,1699.15,1700.00,33234900,1689.475
2016-09-01,1697.00,1702.00,1696.00,1701.00,13142500,1690.469
2016-08-31,1697.00,1699.00,1696.00,1696.00,13446900,1681.743
2016-08-30,1688.00,1698.00,1685.47,1696.00,22285700,1681.743
2016-08-26,1688.00,1690.00,1685.00,1687.00,9094500,1672.819
2016-08-25,1688.00,1689.00,1688.00,1688.00,3139700,1673.81
2016-08-24,1690.00,1691.00,1688.00,1688.00,6099100,1673.81
2016-08-23,1689.00,1693.00,1689.00,1689.00,4578300,1674.802
2016-08-22,1688.00,1694.00,1688.00,1688.00,4596700,1673.81
2016-08-19,1688.00,1691.00,1688.00,1688.00,5431400,1673.81
2016-08-18,1687.00,1690.00,1687.00,1688.00,7199800,1673.81
2016-08-17,1687.00,1689.00,1687.00,1687.00,12387200,1672.819
2016-08-16,1687.00,1689.53,1686.00,1687.00,4493900,1672.819
2016-08-15,1686.00,1688.00,1673.67,1687.00,15247600,1672.819
2016-08-12,1688.00,1689.00,1686.00,1687.00,36605300,1672.819
2016-08-11,1688.00,1689.00,1685.14,1689.00,4277900,1674.802
2016-08-10,1685.00,1689.00,1683.62,1689.00,9892700,1674.802
2016-08-09,1685.00,1687.22,1684.18,1685.00,9959200,1670.836
2016-08-08,1686.00,1691.00,1682.48,1685.00,6063700,1670.836
2016-08-05,1686.00,1691.00,1684.47,1685.00,12749900,1670.836
2016-08-04,1687.00,1692.00,1686.00,1687.00,5113600,1672.819
2016-08-03,1684.00,1688.10,1674.82,1687.00,9134200,1672.819
2016-08-02,1672.00,1676.18,1671.02,1672.00,6949800,1657.945
2016-08-01,1672.00,1675.00,1668.00,1673.00,9182900,1658.936
2016-07-29,1668.00,1673.00,1668.00,1672.00,10419200,1657.945
2016-07-28,1675.00,1681.26,1668.00,1670.00,12599300,1655.962
2016-07-27,1677.00,1678.00,1675.00,1675.00,4633700,1660.92
2016-07-26,1681.00,1685.00,1676.00,1676.00,6960800,1661.911
2016-07-25,1676.00,1685.00,1676.00,1683.00,4673900,1668.852
2016-07-22,1675.00,1678.00,1673.00,1678.00,6837900,1663.894
2016-07-21,1672.00,1683.00,1671.00,1675.00,15466400,1660.92
2016-07-20,1664.00,1675.00,1660.00,1672.00,18381900,1657.945
2016-07-19,1670.00,1675.00,1661.05,1663.00,36672600,1649.021
2016-07-18,1725.00,1752.00,1671.00,1675.00,46749400,1660.92
2016-07-15,1185.00,1189.00,1167.00,1189.00,3565000,1179.005
2016-07-14,1189.00,1207.00,1182.00,1185.00,4127100,1175.039
2016-07-13,1179.00,1193.50,1025.88,1188.00,3282700,1178.013
2016-07-12,1208.00,1208.00,1172.00,1176.00,5160600,1166.114
2016-07-11,1177.00,1189.00,1169.00,1189.00,2944300,1179.005
2016-07-08,1128.00,1169.00,1127.00,1167.00,4282800,1157.19
2016-07-07,1127.00,1136.00,1115.00,1129.00,4460000,1119.509
2016-07-06,1133.00,1141.50,1113.00,1125.00,4284900,1115.543
2016-07-05,1120.00,1139.00,1118.00,1139.00,3930800,1129.425
2016-07-04,1135.00,1135.00,1112.00,1115.00,1484000,1105.627
2016-07-01,1138.00,1142.00,1098.00,1131.00,4321700,1121.493
2016-06-30,1087.00,1131.00,1082.00,1131.00,4789700,1121.493
2016-06-29,1061.00,1089.00,1054.00,1088.00,3874000,1078.854
2016-06-28,1047.00,1062.00,1025.00,1050.00,4415000,1041.174
2016-06-27,1061.00,1063.00,1021.00,1028.00,7230600,1019.358
2016-06-24,975.00,1088.00,970.00,1080.00,11797200,1070.921
2016-06-23,1024.00,1034.47,1009.00,1019.00,3339000,1010.434
2016-06-22,1025.00,1028.06,1013.00,1021.00,4580400,1012.417
2016-06-21,998.50,1017.00,997.00,1013.00,3860500,1004.485
2016-06-20,989.50,1011.00,985.50,1009.00,4557200,1000.518
2016-06-17,978.00,983.00,964.50,970.50,4680800,962.342
2016-06-16,963.00,978.00,960.606,974.00,3137400,965.812
2016-06-15,972.00,982.50,969.152,974.50,3782200,966.308
2016-06-14,955.00,967.00,950.50,959.00,3960600,950.938
2016-06-13,951.00,962.00,942.122,960.00,5068000,951.93
2016-06-10,988.00,988.00,940.50,966.00,6112400,957.88
2016-06-09,995.00,1001.00,987.00,994.50,2791200,986.14
2016-06-08,1005.00,1013.00,992.50,1000.00,2943700,991.594
2016-06-07,1010.00,1018.00,1005.00,1011.00,3315100,1002.501
2016-06-06,992.00,1012.00,991.00,1004.00,3177200,995.56
2016-06-03,986.50,1002.00,983.50,991.50,3816300,983.165
2016-06-02,978.00,985.00,971.50,984.00,3293700,975.728
2016-06-01,985.50,989.50,966.50,978.00,3546300,969.779
2016-05-31,984.00,990.158,973.00,987.00,3870700,978.703
2016-05-30,982.00,982.00,982.00,982.00,000,973.745
2016-05-27,978.00,984.00,973.00,982.00,3257900,973.745
2016-05-26,971.50,982.00,970.50,978.00,2247300,969.779
2016-05-25,976.50,979.00,969.50,974.50,2690000,966.308
2016-05-24,964.50,971.44,952.218,967.00,4096200,958.871
2016-05-23,956.00,973.50,950.132,963.00,5465500,954.905
2016-05-20,934.50,946.00,930.50,944.50,4201800,936.56
2016-05-19,936.50,939.341,923.50,925.00,4340800,917.224
2016-05-18,923.00,947.50,920.00,946.00,4219700,938.048
2016-05-17,936.50,939.50,924.50,928.00,3988600,920.199
2016-05-16,915.50,939.00,913.00,935.50,3076900,927.636
2016-05-13,906.50,924.00,902.00,921.50,3928100,913.754
2016-05-12,942.00,947.00,905.00,908.00,4322000,900.367
2016-05-11,946.00,953.00,940.50,946.00,2971100,938.048
2016-05-10,954.50,958.868,943.50,950.00,3295400,942.014
2016-05-09,936.50,958.00,936.50,950.00,3218800,942.014
2016-05-06,935.50,940.50,931.00,931.00,4312900,923.174
2016-05-05,933.50,942.50,927.00,942.50,3790000,934.577
2016-05-04,933.00,941.00,931.00,936.50,3637900,928.628
2016-05-03,933.50,946.00,930.00,933.50,5923500,925.653
2016-05-02,937.50,937.50,937.50,937.50,000,929.619
2016-04-29,953.00,957.00,937.50,937.50,6376400,929.619
2016-04-28,951.50,965.00,940.00,965.00,6051700,956.888
2016-04-27,925.50,953.00,915.50,947.00,7028200,939.039
2016-04-26,925.00,933.68,912.06,927.50,4163900,919.703
2016-04-25,935.00,935.50,924.00,930.00,4007000,922.182
2016-04-22,931.00,936.50,924.921,935.00,3279200,927.14
2016-04-21,953.00,956.58,932.00,936.00,4263100,928.132
2016-04-20,977.00,1013.00,954.00,954.00,7209500,940.398
2016-04-19,948.50,966.00,945.973,964.00,4206700,950.255
2016-04-18,970.00,974.00,952.00,952.00,5903900,938.426
2016-04-15,1005.00,1005.01,976.50,990.00,5470600,975.885
2016-04-14,1036.00,1037.00,1006.00,1008.00,3512500,993.628
2016-04-13,1034.00,1040.00,1018.47,1035.00,2470400,1020.243
2016-04-12,1029.00,1031.00,1016.50,1026.00,1898100,1011.371
2016-04-11,1039.00,1044.00,1030.28,1033.00,1695900,1018.272
2016-04-08,1046.00,1050.36,1041.92,1046.00,3330900,1031.086
2016-04-07,1034.00,1050.00,1034.00,1042.00,2647300,1027.143
2016-04-06,1027.00,1032.00,1020.00,1029.00,2032000,1014.329
2016-04-05,1018.00,1029.46,1015.00,1023.00,2247100,1008.414
2016-04-04,1030.00,1040.00,1023.00,1028.00,2573700,1013.343
2016-04-01,1005.00,1027.50,1004.70,1026.00,2770500,1011.371
2016-03-31,1024.00,1024.00,1008.00,1014.00,2501900,999.542
2016-03-30,1020.00,1025.00,1013.00,1024.00,2279000,1009.40
2016-03-29,1003.00,1009.51,996.00,1009.00,2330700,994.614
2016-03-28,1002.00,1002.00,1002.00,1002.00,000,987.714
2016-03-24,1006.00,1011.00,997.50,1002.00,1815300,987.714
2016-03-23,1019.00,1025.08,1012.00,1016.00,2081000,1001.514
2016-03-22,1005.00,1021.00,998.50,1016.00,2717200,1001.514
2016-03-21,1004.00,1020.00,1001.00,1009.00,1973400,994.614
2016-03-18,1009.00,1023.00,1006.00,1010.00,5934900,995.599
2016-03-17,1013.00,1021.00,1001.00,1008.00,4501700,993.628
2016-03-16,992.00,1009.00,990.00,1009.00,2779400,994.614
2016-03-15,985.00,992.50,982.00,986.50,2360400,972.435
2016-03-14,986.00,1003.00,981.50,989.00,2287400,974.899
2016-03-11,981.00,996.50,978.50,983.00,2920300,968.984
2016-03-10,985.00,998.50,968.00,968.00,4524300,954.198
2016-03-09,984.00,988.00,978.50,982.00,3098300,967.999
2016-03-08,985.00,991.50,979.50,986.00,4659900,971.942
2016-03-07,1009.00,1012.26,996.50,1006.00,3194600,991.656
2016-03-04,1023.00,1025.00,1007.00,1017.00,2970500,1002.50
2016-03-03,1015.00,1029.17,1012.00,1019.00,2384400,1004.471
2016-03-02,1018.00,1030.30,1013.00,1020.00,2756500,1005.457
2016-03-01,990.50,1015.00,990.00,1015.00,4805300,1000.528
2016-02-29,970.00,996.00,968.50,996.00,3180900,981.799
2016-02-26,960.00,979.50,958.50,977.50,3275100,963.563
2016-02-25,947.50,957.00,940.00,950.00,3092600,936.455
2016-02-24,953.50,957.10,935.50,940.00,4979100,926.598
2016-02-23,949.50,960.00,942.00,950.50,3409500,936.948
2016-02-22,930.00,952.00,929.474,944.50,2236200,931.033
2016-02-19,934.50,943.50,929.50,937.00,4173600,923.64
2016-02-18,930.50,947.00,921.851,932.00,4007800,918.712
2016-02-17,903.50,932.50,901.50,930.00,5285300,916.74
2016-02-16,900.00,908.50,890.50,898.00,3228900,885.196
2016-02-15,900.00,908.00,891.50,893.00,2427400,880.268
2016-02-12,870.50,888.025,866.50,885.50,5816200,872.875
2016-02-11,858.50,873.00,831.644,860.50,13338600,848.231
2016-02-10,935.00,949.00,879.50,899.00,10494100,886.182
2016-02-09,925.00,952.00,924.50,940.00,6625100,926.598
2016-02-08,981.50,982.00,919.00,920.00,7545900,906.883
2016-02-05,1005.00,1009.15,980.50,983.00,3655000,968.984
2016-02-04,994.00,1012.00,981.00,1001.00,3867600,986.728
2016-02-03,995.50,1023.00,978.50,986.50,5354100,972.435
2016-02-02,1003.00,1005.00,978.00,981.00,3089900,967.013
2016-02-01,1007.00,1013.00,997.00,1011.00,3050500,996.585
2016-01-29,952.00,993.00,948.831,993.00,5790000,978.842
2016-01-28,989.00,990.50,952.00,953.50,4035400,939.905
2016-01-27,1005.00,1007.00,986.50,995.50,4891700,981.306
2016-01-26,999.00,1020.00,992.50,1015.00,2680000,1000.528
2016-01-25,1007.00,1026.00,1003.00,1010.00,4880700,995.599
2016-01-22,986.50,1003.00,980.00,995.50,2758600,981.306
2016-01-21,955.00,969.50,947.00,967.50,3438400,953.705
2016-01-20,949.00,955.50,932.388,948.00,4244100,934.483
2016-01-19,970.00,974.50,949.195,964.00,5676300,950.255
2016-01-18,930.00,955.50,930.00,949.00,2435200,935.469
2016-01-15,960.00,971.50,926.50,933.00,5397000,919.697
2016-01-14,970.50,971.00,949.50,961.00,3727400,947.298
2016-01-13,992.50,996.00,977.50,983.00,4041500,968.984
2016-01-12,961.50,986.50,956.00,980.00,4638200,966.027
2016-01-11,943.00,962.50,941.00,953.00,3523000,939.412
2016-01-08,963.50,967.00,943.50,943.50,4711900,930.048
2016-01-07,955.00,972.50,939.00,968.00,4307300,954.198
2016-01-06,982.00,984.00,962.50,974.00,6146500,960.113
2016-01-05,1010.00,1015.40,992.00,1004.00,3213600,989.685
2016-01-04,1015.00,1019.14,996.00,1004.00,4119700,989.685
2015-12-31,1045.00,1051.71,1039.00,1039.00,448200,1024.186
2015-12-30,1046.00,1054.00,1042.00,1046.00,1228400,1031.086
2015-12-29,1047.00,1052.52,1032.00,1050.00,1768700,1035.029
2015-12-28,1038.00,1038.00,1038.00,1038.00,000,1023.20
2015-12-25,1038.00,1038.00,1038.00,1038.00,000,1023.20
2015-12-24,1042.00,1045.00,1033.00,1038.00,205700,1023.20
2015-12-23,1039.00,1052.55,1035.00,1044.00,1855600,1029.115
2015-12-22,1037.00,1041.00,1022.00,1030.00,2006400,1015.314
2015-12-21,1018.00,1041.46,1018.00,1024.00,2151600,1009.40
2015-12-18,1020.00,1030.00,1012.30,1019.00,4754800,1004.471
2015-12-17,1034.00,1051.00,1034.00,1040.00,3734700,1025.172
2015-12-16,1055.00,1055.85,1014.00,1021.00,5267200,1006.443
2015-12-15,1035.00,1054.00,1009.90,1052.00,5591200,1037.001
2015-12-14,1070.00,1073.00,1041.00,1041.00,3930100,1026.157
2015-12-11,1082.00,1088.40,1074.00,1074.00,2534500,1058.687
2015-12-10,1085.00,1100.00,1082.00,1087.00,2587800,1071.502
2015-12-09,1103.00,1111.63,1094.00,1094.00,3539300,1078.402
2015-12-08,1100.00,1106.03,1090.00,1095.00,4080300,1079.388
2015-12-07,1119.00,1126.66,1099.00,1102.00,2845500,1086.288
2015-12-04,1119.00,1120.40,1098.00,1116.00,2867900,1100.088
2015-12-03,1134.00,1140.36,1118.00,1122.00,4101700,1106.003
2015-12-02,1121.00,1140.00,1121.00,1135.00,2626600,1118.817
2015-12-01,1127.00,1136.69,1121.00,1131.00,2733800,1114.874
2015-11-30,1115.00,1124.00,1110.00,1124.00,3701400,1107.974
2015-11-27,1112.00,1119.00,1099.57,1117.00,1783600,1101.074
2015-11-26,1107.00,1126.00,1104.00,1119.00,1810100,1103.045
2015-11-25,1090.00,1105.00,1090.00,1105.00,2367000,1089.245
2015-11-24,1084.00,1088.00,1069.00,1084.00,2914900,1068.544
2015-11-23,1082.00,1089.00,1073.00,1084.00,1997200,1068.544
2015-11-20,1080.00,1091.00,1071.00,1088.00,3169200,1072.487
2015-11-19,1076.00,1094.00,1071.00,1084.00,3989700,1068.544
2015-11-18,1053.00,1066.00,1049.28,1066.00,1784100,1050.801
2015-11-17,1048.00,1061.00,1045.00,1055.00,2065400,1039.958
2015-11-16,1023.00,1044.00,1023.00,1041.00,2377900,1026.157
2015-11-13,1045.00,1047.00,1029.00,1036.00,2274600,1021.229
2015-11-12,1056.00,1056.08,1043.00,1051.00,2711300,1036.015
2015-11-11,1048.00,1061.70,1031.90,1053.00,1902300,1037.986
2015-11-10,1067.00,1069.00,1030.00,1046.00,3391500,1031.086
2015-11-09,1063.00,1070.00,1055.00,1058.00,1581400,1042.915
2015-11-06,1047.00,1064.00,1045.00,1064.00,2879300,1048.83
2015-11-05,1050.00,1068.00,1035.00,1047.00,3342700,1032.072
2015-11-04,1043.00,1049.00,1036.00,1049.00,2920600,1034.043
2015-11-03,1027.00,1040.00,1027.00,1040.00,2402200,1025.172
2015-11-02,1017.00,1036.00,1002.45,1032.00,2355000,1017.286
2015-10-30,1040.00,1045.00,1020.00,1025.00,2677800,1010.386
2015-10-29,1054.00,1060.00,1027.00,1033.00,3659500,1018.272
2015-10-28,1040.00,1064.00,1033.00,1054.00,3378500,1038.972
2015-10-27,1052.00,1053.00,1039.85,1040.00,3985500,1025.172
2015-10-26,1070.00,1074.00,1047.00,1051.00,3460900,1036.015
2015-10-23,1047.00,1084.00,1041.00,1073.00,6309300,1057.701
2015-10-22,1000.00,1043.00,1000.00,1037.00,5092000,1022.214
2015-10-21,1015.00,1057.00,1004.00,1026.00,7655100,1011.371
2015-10-20,978.00,979.50,963.00,963.00,3169400,949.27
2015-10-19,972.00,984.50,965.50,975.50,3008400,961.591
2015-10-16,978.50,1332.50,967.00,975.00,3432800,961.098
2015-10-15,953.50,992.00,952.00,979.50,6196300,965.534
2015-10-14,935.50,946.50,932.50,933.00,3877100,919.697
2015-10-13,958.00,959.00,946.50,947.00,2548400,933.498
2015-10-12,958.00,965.10,952.50,957.00,3750000,943.355
2015-10-09,960.50,965.50,953.50,960.00,3287600,946.312
2015-10-08,945.00,957.00,941.00,954.00,3895400,940.398
2015-10-07,958.00,961.00,937.00,938.00,5148600,924.626
2015-10-06,952.50,952.50,934.00,942.00,6349000,928.569
2015-10-05,951.00,965.85,949.20,963.00,4169900,949.27
2015-10-02,943.00,955.00,925.221,935.00,4450100,921.669
2015-10-01,970.00,970.00,928.50,935.50,3536800,922.162
2015-09-30,938.50,951.50,932.50,947.50,6584300,933.991
2015-09-29,919.50,927.00,901.50,919.00,8646600,905.897
2015-09-28,975.50,975.70,933.00,940.00,5185300,926.598
2015-09-25,945.00,994.50,944.00,982.00,4268000,967.999
2015-09-24,934.50,945.00,921.50,926.50,4205500,913.29
2015-09-23,931.50,944.00,916.00,936.50,3576100,923.147
2015-09-22,952.00,954.50,929.00,929.50,3532600,916.247
2015-09-21,954.50,962.50,952.00,952.00,3503100,938.426
2015-09-18,957.50,965.50,945.00,960.50,5801500,946.805
2015-09-17,975.00,978.10,959.50,960.50,2794400,946.805
2015-09-16,981.50,987.00,965.50,973.50,6063100,959.62
2015-09-15,946.50,984.00,940.00,980.50,5528000,966.52
2015-09-14,938.50,971.00,936.34,948.00,4653900,934.483
2015-09-11,953.00,959.00,934.00,934.00,3914200,920.683
2015-09-10,941.50,955.50,937.00,950.00,4602100,936.455
2015-09-09,973.50,977.50,947.00,952.50,3371000,938.919
2015-09-08,958.00,969.50,934.61,959.50,3556200,945.819
2015-09-07,942.50,955.50,937.00,953.00,3253800,939.412
2015-09-04,940.00,950.50,932.50,943.50,5310900,930.048
2015-09-03,930.00,953.00,930.00,950.00,5862100,936.455
2015-09-02,920.00,942.50,918.50,921.50,4961600,905.256
2015-09-01,902.50,920.00,898.775,913.50,8459100,897.397
2015-08-31,933.50,933.50,933.50,933.50,000,917.045
2015-08-28,920.00,935.14,915.50,933.50,6724800,917.045
2015-08-27,897.00,926.50,893.00,918.00,9051800,901.818
2015-08-26,863.00,911.00,863.00,875.00,12046300,859.576
2015-08-25,860.00,911.50,856.711,895.50,11083000,879.714
2015-08-24,825.50,858.00,812.00,848.50,10168800,833.543
2015-08-21,875.00,884.00,862.50,864.50,6190300,849.261
2015-08-20,892.00,905.075,887.00,897.00,6262200,881.188
2015-08-19,908.00,913.82,894.41,894.50,4527000,878.732
2015-08-18,923.00,929.00,908.50,913.50,4760800,897.397
2015-08-17,913.00,921.50,902.00,919.50,4183200,903.291
2015-08-14,942.00,945.00,903.50,906.00,9683900,890.029
2015-08-13,933.50,947.50,917.50,918.50,6954200,902.309
2015-08-12,949.50,961.028,913.475,916.00,7176800,899.853
2015-08-11,955.00,968.00,949.854,959.50,5800400,942.586
2015-08-10,958.50,961.00,938.50,952.00,4406700,935.219
2015-08-07,954.50,960.50,946.50,951.00,3318900,934.236
2015-08-06,953.00,965.50,947.00,947.50,5620300,930.798
2015-08-05,947.00,961.00,938.295,957.50,7065200,940.622
2015-08-04,983.50,985.50,945.00,948.50,8610000,931.78
2015-08-03,1003.00,1008.00,991.00,993.50,4008100,975.987
2015-07-31,1017.00,1017.00,1002.00,1007.00,5868500,989.249
2015-07-30,997.00,1012.00,986.50,1011.00,5370100,993.178
2015-07-29,993.50,1003.00,985.50,990.00,5699600,972.549
2015-07-28,1000.00,1001.00,973.00,987.00,7587600,969.602
2015-07-27,1001.00,1007.00,989.00,995.50,4802900,977.952
2015-07-24,1021.00,1027.00,997.00,1001.00,5768900,983.355
2015-07-23,995.00,1020.00,981.00,1015.00,9113900,997.108
2015-07-22,1008.00,1023.00,966.00,970.00,15749400,952.901
2015-07-21,1023.00,1046.00,1018.00,1039.00,6824200,1020.685
2015-07-20,1016.00,1036.77,1012.00,1030.00,3328000,1011.844
2015-07-17,1030.00,1035.00,1016.00,1018.00,3306400,1000.055
2015-07-16,1022.00,1039.00,1016.00,1018.00,4408700,1000.055
2015-07-15,1019.00,1028.00,1014.00,1017.00,4457400,999.073
2015-07-14,1024.00,1027.31,1007.77,1017.00,4425400,999.073
2015-07-13,1010.00,1023.00,1002.46,1018.00,5454500,1000.055
2015-07-10,1040.00,1049.51,1012.00,1015.00,6814400,997.108
2015-07-09,1020.00,1056.18,1020.00,1045.00,4959800,1026.579
2015-07-08,1035.00,1042.00,1003.00,1017.00,5462800,999.073
2015-07-07,1055.00,1072.64,1031.00,1031.00,5939800,1012.826
2015-07-06,1029.00,1042.00,1023.00,1036.00,2701600,1017.738
2015-07-03,1042.00,1048.52,1033.77,1036.00,1873600,1017.738
2015-07-02,1055.00,1056.00,1031.00,1037.00,4488400,1018.72
2015-07-01,1047.00,1079.58,1047.00,1063.00,4374000,1044.262
2015-06-30,1045.00,1066.00,1037.00,1037.00,5865200,1018.72
2015-06-29,1051.00,1123.38,1047.00,1050.00,5868300,1031.491
2015-06-26,1119.00,1122.13,1084.92,1090.00,5217800,1070.786
2015-06-25,1120.00,1152.00,1119.00,1148.00,3919800,1127.764
2015-06-24,1139.00,1175.59,1122.89,1125.00,4522700,1105.169
2015-06-23,1136.00,1148.00,1134.92,1137.00,2602200,1116.957
2015-06-22,1126.00,1176.67,1122.44,1133.00,3547300,1113.028
2015-06-19,1093.00,1119.00,1089.00,1118.00,6508500,1098.292
2015-06-18,1085.00,1093.62,1066.00,1088.00,3640600,1068.821
2015-06-17,1092.00,1096.00,1079.23,1089.00,3786500,1069.804
2015-06-16,1095.00,1100.31,1083.00,1089.00,4675200,1069.804
2015-06-15,1119.00,1119.00,1100.00,1103.00,2848700,1083.557
2015-06-12,1132.00,1135.00,1124.77,1126.00,3202100,1106.151
2015-06-11,1113.00,1140.66,1107.00,1129.00,2669100,1109.098
2015-06-10,1112.00,1120.33,1098.00,1113.00,4296100,1093.38
2015-06-09,1123.00,1126.72,1107.00,1112.00,2819300,1092.398
2015-06-08,1131.00,1140.00,1122.00,1125.00,2380700,1105.169
2015-06-05,1136.00,1137.00,1121.00,1128.00,3096300,1108.116
2015-06-04,1145.00,1148.08,1125.00,1141.00,3645100,1120.887
2015-06-03,1137.00,1156.00,1137.00,1145.00,2869200,1124.816
2015-06-02,1166.00,1169.08,1142.00,1143.00,3125900,1122.852
2015-06-01,1161.00,1168.00,1153.64,1158.00,2890900,1137.587
2015-05-29,1166.00,1172.00,1150.00,1155.00,3485500,1134.64
2015-05-28,1160.00,1172.00,1153.30,1168.00,4485900,1147.411
2015-05-27,1120.00,1143.00,1112.46,1139.00,4014900,1118.922
2015-05-26,1131.00,1132.00,1111.00,1114.00,2786800,1094.363
2015-05-25,1123.00,1123.00,1123.00,1123.00,000,1103.204
2015-05-22,1125.00,1131.00,1103.00,1123.00,4290500,1103.204
2015-05-21,1118.00,1122.00,1109.00,1120.00,2621700,1100.257
2015-05-20,1128.00,1130.00,1116.00,1120.00,2539600,1100.257
2015-05-19,1119.00,1136.00,1116.00,1126.00,2924300,1106.151
2015-05-18,1101.00,1113.00,1090.00,1111.00,2827500,1091.416
2015-05-15,1112.00,1140.68,1099.00,1101.00,5098900,1081.592
2015-05-14,1105.00,1131.14,1095.23,1101.00,4589900,1081.592
2015-05-13,1117.00,1143.16,1104.00,1109.00,5289300,1089.451
2015-05-12,1135.00,1137.00,1113.00,1116.00,4895300,1096.328
2015-05-11,1140.00,1154.00,1133.00,1144.00,2900100,1123.834
2015-05-08,1146.00,1160.00,1141.00,1146.00,5005700,1125.799
2015-05-07,1115.00,1144.00,1106.46,1135.00,4909900,1114.993
2015-05-06,1110.00,1134.00,1103.85,1122.00,4601400,1102.222
2015-05-05,1137.00,1145.00,1116.00,1116.00,6960900,1096.328
2015-05-04,1118.00,1118.00,1118.00,1118.00,000,1098.292
2015-05-01,1118.00,1151.92,1108.00,1118.00,2265500,1098.292
2015-04-30,1126.00,1126.00,1103.46,1114.00,5872000,1094.363
2015-04-29,1162.00,1170.80,1125.00,1125.00,4673900,1105.169
2015-04-28,1199.00,1199.00,1139.00,1156.00,5410200,1135.622
2015-04-27,1178.00,1200.00,1162.00,1190.00,4770400,1169.023
2015-04-24,1195.00,1204.00,1182.00,1186.00,3548600,1165.094
2015-04-23,1189.00,1205.89,1184.78,1190.00,4962300,1169.023
2015-04-22,1203.00,1210.00,1179.77,1201.00,5657600,1175.409
2015-04-21,1218.00,1233.00,1185.00,1195.00,6748400,1169.536
2015-04-20,1133.00,1154.00,1132.00,1150.00,3493000,1125.495
2015-04-17,1130.00,1143.74,1118.82,1127.00,3776900,1102.985
2015-04-16,1157.00,1166.00,1135.00,1137.00,4119600,1112.772
2015-04-15,1165.00,1178.00,1152.00,1154.00,3307900,1129.41
2015-04-14,1169.00,1180.35,1155.50,1167.00,4902800,1142.133
2015-04-13,1164.00,1170.00,1147.11,1163.00,2754300,1138.218
2015-04-10,1151.00,1170.17,1146.00,1170.00,4457400,1145.069
2015-04-09,1135.00,1150.07,1132.78,1147.00,4396200,1122.559
2015-04-08,1108.00,1140.00,1097.00,1123.00,6333400,1099.071
2015-04-07,1110.00,1111.00,1093.00,1102.00,2955300,1078.518
2015-04-06,1099.00,1099.00,1099.00,1099.00,000,1075.582
2015-04-03,1099.00,1099.00,1099.00,1099.00,000,1075.582
2015-04-02,1100.00,1110.00,1094.00,1099.00,2802000,1075.582
2015-04-01,1100.00,1116.00,1086.00,1095.00,4728100,1071.667
2015-03-31,1108.00,1119.68,1095.00,1105.00,6050300,1081.454
2015-03-30,1099.00,1111.00,1089.00,1106.00,5575800,1082.433
2015-03-27,1089.00,1095.00,1075.00,1079.00,4643400,1056.008
