Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,496.20,500.15,495.10,500.00,13551500,451.25
2017-02-08,490.90,495.30,490.30,494.00,17527200,445.835
2017-02-07,487.70,494.80,487.20,493.00,10470900,444.932
2017-02-06,493.50,500.00,489.55,490.10,9266600,442.315
2017-02-03,480.00,494.20,479.00,493.10,9758900,445.023
2017-02-02,482.30,484.20,477.60,480.40,6219600,433.561
2017-02-01,480.70,485.80,476.10,484.20,9022500,436.99
2017-01-31,480.00,482.20,476.90,476.90,9244600,430.402
2017-01-30,481.20,481.648,476.40,481.00,10285700,434.102
2017-01-27,488.40,488.40,478.953,485.50,7374200,438.164
2017-01-26,479.30,487.20,478.00,486.00,9366200,438.615
2017-01-25,474.80,483.234,474.80,478.10,7276700,431.485
2017-01-24,471.30,475.60,469.60,473.00,6742300,426.882
2017-01-23,470.00,472.10,467.312,470.60,10498000,424.716
2017-01-20,476.80,479.80,472.50,473.30,8124000,427.153
2017-01-19,478.40,480.30,472.80,476.30,7705700,429.861
2017-01-18,481.10,481.50,474.50,478.70,7223600,432.027
2017-01-17,480.50,483.00,475.40,478.80,7314000,432.117
2017-01-16,486.70,487.879,478.70,482.00,10025500,435.005
2017-01-13,483.40,489.50,482.90,489.10,15836100,441.413
2017-01-12,481.00,482.20,478.70,481.70,5968600,434.734
2017-01-11,485.50,486.90,479.60,481.80,12836500,434.824
2017-01-10,485.70,488.60,480.23,486.80,6825100,439.337
2017-01-09,489.70,490.48,484.40,486.50,7104000,439.066
2017-01-06,487.70,491.00,487.10,489.40,5417400,441.683
2017-01-05,495.00,495.00,487.30,490.00,10681000,442.225
2017-01-04,494.80,494.80,490.80,492.90,7148900,444.842
2017-01-03,488.00,494.95,487.20,493.30,14730200,445.203
2017-01-02,486.40,486.40,486.40,486.40,000,438.976
2016-12-30,486.90,486.90,481.70,486.40,3650400,438.976
2016-12-29,481.10,487.00,481.10,485.60,3553400,438.254
2016-12-28,482.80,485.00,479.50,484.00,5184400,436.81
2016-12-27,480.30,480.30,480.30,480.30,000,433.471
2016-12-26,480.30,480.30,480.30,480.30,000,433.471
2016-12-23,479.30,482.90,478.213,480.30,2404900,433.471
2016-12-22,478.30,481.945,476.50,481.80,6113200,434.824
2016-12-21,477.30,480.00,476.10,478.40,4574800,431.756
2016-12-20,476.20,480.00,472.721,479.60,8819300,432.839
2016-12-19,478.00,478.00,471.90,475.40,6437100,429.048
2016-12-16,482.10,483.40,474.60,478.60,12144500,431.936
2016-12-15,473.70,483.20,472.60,481.70,9132900,434.734
2016-12-14,473.50,475.20,468.60,473.20,7557100,427.063
2016-12-13,474.90,478.30,472.40,475.00,10088500,428.687
2016-12-12,482.40,483.40,472.10,474.00,9495800,427.785
2016-12-09,487.40,488.40,479.80,482.70,7711500,435.637
2016-12-08,483.60,488.40,477.00,487.50,12431300,439.969
2016-12-07,470.00,482.865,455.021,482.20,18534600,435.185
2016-12-06,451.20,464.50,449.40,464.40,14414500,419.121
2016-12-05,440.70,451.10,439.00,450.30,9153100,406.396
2016-12-02,442.30,445.50,439.00,443.40,4915300,400.168
2016-12-01,442.60,447.30,440.20,445.90,11090700,402.425
2016-11-30,450.80,453.60,446.60,447.00,10665900,403.417
2016-11-29,453.20,454.90,449.10,451.70,9013700,407.659
2016-11-28,455.20,458.40,450.30,452.90,4771900,408.742
2016-11-25,459.40,460.50,456.90,457.50,5859400,412.894
2016-11-24,459.90,460.72,456.40,459.70,4254900,414.879
2016-11-23,456.10,460.40,452.48,456.80,6732300,412.262
2016-11-22,453.00,457.60,449.50,456.20,7699800,411.72
2016-11-21,455.70,456.30,447.00,449.40,10838900,405.583
2016-11-18,459.70,463.00,451.30,454.10,8679300,409.825
2016-11-17,455.00,461.30,454.00,456.80,11431600,412.262
2016-11-16,462.40,463.60,452.90,454.60,8756200,410.276
2016-11-15,462.40,462.50,455.60,460.90,8338800,415.962
2016-11-14,457.00,465.40,455.22,461.00,12085700,416.052
2016-11-11,460.00,464.188,448.90,451.70,11227100,407.659
2016-11-10,448.50,468.10,448.50,458.50,23271600,413.796
2016-11-09,414.80,444.10,411.30,444.10,17095300,400.80
2016-11-08,426.50,431.00,425.90,430.00,13977700,388.075
2016-11-07,426.90,428.443,422.40,428.40,9986200,386.631
2016-11-04,429.30,432.967,418.30,418.90,9001000,378.057
2016-11-03,429.40,437.40,428.00,431.60,10969900,389.519
2016-11-02,437.30,437.50,429.90,430.20,12985400,388.255
2016-11-01,445.60,445.80,438.00,438.90,5386100,396.107
2016-10-31,443.60,445.70,442.00,442.80,7761200,399.627
2016-10-28,447.70,449.40,445.60,446.80,8371600,403.237
2016-10-27,447.20,448.90,441.20,448.90,7861400,405.132
2016-10-26,446.80,449.40,443.50,448.60,6491600,404.861
2016-10-25,447.70,451.30,445.10,448.50,8274600,404.771
2016-10-24,442.70,447.00,440.80,445.30,6821500,401.883
2016-10-21,439.40,441.20,437.60,440.50,9151300,397.551
2016-10-20,439.60,441.50,436.50,440.00,6333300,397.10
2016-10-19,441.70,442.50,433.60,436.90,9890800,394.302
2016-10-18,443.90,445.00,437.30,440.10,11867100,397.19
2016-10-17,444.00,450.10,438.10,438.40,10898100,395.656
2016-10-14,444.40,450.60,444.40,445.80,10964900,402.334
2016-10-13,453.00,453.679,441.80,443.50,21006200,400.259
2016-10-12,448.00,456.40,445.70,455.70,11703600,411.269
2016-10-11,446.60,449.30,444.90,447.20,9622700,403.598
2016-10-10,451.40,452.00,444.60,447.90,6370300,404.23
2016-10-07,444.40,455.00,442.00,449.90,14237100,406.035
2016-10-06,447.00,450.00,442.643,443.30,8134800,400.078
2016-10-05,448.60,454.536,444.20,453.40,12123900,402.497
2016-10-04,446.40,451.70,444.90,447.60,18286700,397.348
2016-10-03,440.20,445.80,439.616,444.50,4929900,394.596
2016-09-30,436.00,441.50,426.90,440.50,15146900,391.045
2016-09-29,443.80,447.10,442.80,443.70,6953600,393.886
2016-09-28,435.60,444.50,435.60,441.70,10487000,392.111
2016-09-27,442.30,443.60,430.20,435.00,9327200,386.163
2016-09-26,449.00,449.30,437.86,438.10,10641700,388.915
2016-09-23,452.40,455.00,448.68,452.00,13532700,401.254
2016-09-22,450.60,455.40,450.20,452.40,8292500,401.609
2016-09-21,443.10,450.10,440.80,447.70,10125800,397.437
2016-09-20,438.90,442.60,437.236,437.40,9849200,388.293
2016-09-19,438.10,440.50,435.90,440.10,6119400,390.69
2016-09-16,437.70,438.20,433.30,433.90,15798300,385.186
2016-09-15,429.50,437.90,429.30,436.80,7266800,387.761
2016-09-14,435.00,435.90,430.28,430.70,6092300,382.345
2016-09-13,438.80,442.60,431.20,431.50,9325700,383.056
2016-09-12,438.90,447.544,432.90,438.80,13889900,389.536
2016-09-09,445.80,451.40,442.807,446.00,9990100,395.928
2016-09-08,440.20,449.10,439.00,447.40,11802500,397.171
2016-09-07,440.00,442.60,434.40,441.90,12216600,392.288
2016-09-06,437.20,439.30,434.551,434.70,7346100,385.896
2016-09-05,438.10,438.30,430.90,437.70,6543600,388.56
