Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,4511.50,4664.64,4452.24,4575.00,2851000,4424.80
2017-02-08,4443.00,4560.70,4415.00,4484.50,3022700,4337.271
2017-02-07,4413.00,4542.14,4403.50,4449.50,3647900,4303.42
2017-02-06,4400.00,4477.40,4351.50,4387.50,2445400,4243.456
2017-02-03,4301.00,4454.54,4281.50,4358.00,4284500,4214.924
2017-02-02,4238.50,4291.50,4150.00,4272.50,4083800,4132.231
2017-02-01,4260.00,4351.68,4237.50,4247.00,3630000,4107.568
2017-01-31,4271.00,4310.21,4166.00,4194.00,4270500,4056.308
2017-01-30,4224.50,4334.11,4219.00,4260.50,2693900,4120.625
2017-01-27,4195.00,4323.12,4136.50,4239.00,5450700,4099.831
2017-01-26,4284.50,4402.46,4262.00,4298.00,2881700,4156.894
2017-01-25,4265.00,4359.77,4226.00,4262.50,3542700,4122.56
2017-01-24,4264.00,4331.52,4198.00,4215.00,3077200,4076.619
2017-01-23,4298.00,4386.73,4245.50,4255.50,5267000,4115.789
2017-01-20,4450.00,4509.98,4297.50,4318.50,5682800,4176.721
2017-01-19,4545.00,4615.57,4464.50,4468.50,4155400,4321.796
2017-01-18,4556.00,4600.00,4544.00,4580.50,2309800,4430.119
2017-01-17,4543.50,4688.01,4529.00,4530.50,2601100,4381.761
2017-01-16,4622.50,4657.13,4565.36,4575.50,1535800,4425.284
2017-01-13,4575.50,4678.96,4503.73,4609.00,3560800,4457.684
2017-01-12,4553.00,4611.69,4487.00,4555.50,5406600,4405.94
2017-01-11,4653.00,4733.32,4562.00,4577.00,5454400,4426.734
2017-01-10,4647.50,4719.91,4633.00,4660.00,2846400,4507.009
2017-01-09,4560.50,4631.91,4542.68,4607.50,3483400,4456.233
2017-01-06,4563.00,4582.33,4543.00,4550.50,2024500,4401.104
2017-01-05,4491.50,4580.91,4476.66,4550.00,2296000,4400.621
2017-01-04,4454.00,4554.00,4442.50,4476.50,2376500,4329.534
2017-01-03,4432.50,4550.67,4400.00,4439.00,3489700,4293.265
2017-01-02,4437.50,4437.50,4437.50,4437.50,000,4291.814
2016-12-30,4411.00,4497.00,4397.00,4437.50,1173700,4291.814
2016-12-29,4394.00,4469.40,4355.50,4427.00,1634000,4281.659
2016-12-28,4383.50,4495.87,4300.00,4417.00,1900200,4271.987
2016-12-27,4407.00,4407.00,4407.00,4407.00,000,4262.316
2016-12-26,4407.00,4407.00,4407.00,4407.00,000,4262.316
2016-12-23,4363.50,4476.99,4318.50,4407.00,671200,4262.316
2016-12-22,4321.00,4387.52,4317.72,4342.50,2496700,4199.933
2016-12-21,4302.50,4364.59,4289.44,4312.50,2350500,4170.918
2016-12-20,4309.00,4416.94,4304.00,4331.50,2360200,4189.294
2016-12-19,4400.00,4426.00,4303.50,4303.50,3517700,4162.214
2016-12-16,4415.50,4504.09,4395.00,4401.00,4462200,4256.513
2016-12-15,4343.00,4464.11,4329.00,4400.00,5021900,4255.545
2016-12-14,4312.50,4403.87,4286.50,4305.00,2866800,4163.664
2016-12-13,4174.00,4348.50,4174.00,4316.00,2824000,4174.303
2016-12-12,4259.00,4297.29,4176.00,4206.00,3492300,4067.915
2016-12-09,4149.50,4436.74,4134.50,4280.00,5521000,4139.485
2016-12-08,4028.50,4201.50,4011.00,4116.00,3867800,3980.869
2016-12-07,4058.00,4150.71,4007.00,4007.00,3936700,3875.448
2016-12-06,4035.50,4102.33,3996.00,4037.50,3189100,3904.946
2016-12-05,4027.50,4119.49,4019.00,4033.50,2437200,3901.078
2016-12-02,4048.00,4137.72,3998.50,4055.00,3200400,3921.872
2016-12-01,4092.50,4206.97,4052.00,4080.00,2991900,3946.051
2016-11-30,4240.00,4291.12,4144.00,4149.50,4746900,4013.269
2016-11-29,4260.50,4333.51,4215.00,4246.00,1885500,4106.601
2016-11-28,4268.00,4314.35,4232.00,4248.50,1789400,4109.019
2016-11-25,4250.00,4361.71,4225.00,4301.50,3255300,4160.279
2016-11-24,4183.50,4250.31,4143.00,4210.00,1582100,4071.783
2016-11-23,4201.50,4275.47,4115.00,4168.00,4109000,4031.162
2016-11-22,4369.00,4435.58,4205.50,4205.50,3428900,4067.431
