Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,877.00,881.50,876.50,880.00,1291500,880.00
2017-02-08,884.50,889.50,878.00,878.00,1255400,878.00
2017-02-07,891.00,896.00,888.00,888.50,922700,888.50
2017-02-06,884.00,893.00,884.00,889.00,810200,889.00
2017-02-03,892.00,896.50,885.75,888.00,1366700,888.00
2017-02-02,886.50,896.50,881.821,890.50,1499800,890.50
2017-02-01,892.50,898.00,890.00,890.00,1273700,890.00
2017-01-31,892.50,898.50,890.653,893.00,1446100,893.00
2017-01-30,895.00,900.186,887.00,892.00,1164400,892.00
2017-01-27,902.50,902.50,896.00,897.00,1244500,897.00
2017-01-26,913.00,915.301,901.50,901.50,2008400,901.50
2017-01-25,921.50,924.424,910.50,912.00,1544500,912.00
2017-01-24,936.50,936.50,911.50,914.50,4560400,914.50
2017-01-23,935.50,938.56,929.00,932.50,1114100,932.50
2017-01-20,935.00,940.00,924.00,935.50,1671100,935.50
2017-01-19,948.00,952.00,934.00,934.00,1915200,934.00
2017-01-18,955.00,955.00,945.00,950.00,2113800,950.00
2017-01-17,940.00,971.50,938.00,954.50,2061700,954.50
2017-01-16,950.50,954.00,940.00,942.00,903500,942.00
2017-01-13,947.50,958.001,941.021,954.00,1264600,954.00
2017-01-12,941.00,949.00,930.00,946.50,1376600,946.50
2017-01-11,947.50,952.50,919.45,939.00,2049400,939.00
2017-01-10,925.00,952.50,923.50,952.50,2071400,952.50
2017-01-09,924.00,931.50,904.00,926.50,2105300,926.50
2017-01-06,959.00,960.939,936.50,939.50,923700,939.50
2017-01-05,947.50,961.00,943.00,955.50,1082700,955.50
2017-01-04,955.00,957.50,947.50,951.00,1059800,951.00
2017-01-03,959.00,965.28,949.95,955.00,1101500,955.00
2017-01-02,953.00,953.00,953.00,953.00,000,953.00
2016-12-30,943.50,953.00,940.50,953.00,433900,953.00
2016-12-29,940.50,946.00,938.50,945.50,554600,945.50
2016-12-28,945.00,946.00,940.00,942.50,671700,942.50
2016-12-27,944.00,944.00,944.00,944.00,000,944.00
2016-12-26,944.00,944.00,944.00,944.00,000,944.00
2016-12-23,944.00,947.50,934.333,944.00,357000,944.00
2016-12-22,932.50,947.00,932.50,939.00,683200,939.00
2016-12-21,941.00,941.00,932.00,935.00,1107600,935.00
2016-12-20,950.00,956.00,936.50,937.00,1538800,937.00
2016-12-19,948.00,949.95,943.00,948.50,599000,948.50
2016-12-16,948.00,953.00,945.00,947.50,1275800,947.50
2016-12-15,935.00,949.00,928.50,947.00,1400100,947.00
2016-12-14,924.50,932.50,914.957,932.50,1617300,932.50
2016-12-13,917.00,935.00,909.654,932.00,1418000,932.00
2016-12-12,928.00,928.51,914.50,917.00,2709100,917.00
2016-12-09,936.00,939.00,920.00,927.50,1826800,927.50
2016-12-08,955.50,958.50,935.50,938.00,1547200,938.00
2016-12-07,946.00,960.00,946.00,958.00,1083400,951.50
2016-12-06,940.50,948.00,934.00,944.50,1332900,938.092
2016-12-05,948.00,948.00,934.50,937.50,1333600,931.139
2016-12-02,941.00,952.50,939.50,950.00,1352800,943.554
2016-12-01,948.50,955.00,945.00,950.50,1496300,944.051
2016-11-30,945.00,956.50,945.00,955.00,3059700,948.52
2016-11-29,940.50,947.50,933.00,947.50,2821200,941.071
2016-11-28,941.00,941.00,931.50,937.00,1328700,930.642
2016-11-25,942.00,943.50,934.50,940.00,986300,933.622
2016-11-24,951.00,951.447,932.50,943.50,1450200,937.098
2016-11-23,940.00,956.00,933.00,956.00,1719100,949.514
2016-11-22,990.00,1006.00,915.742,945.00,4525100,938.588
2016-11-21,974.50,991.00,966.50,991.00,1245800,984.276
2016-11-18,980.50,985.00,974.00,979.50,1647700,972.854
2016-11-17,970.50,983.00,966.50,981.00,818400,974.344
2016-11-16,992.00,994.00,965.50,969.00,952600,962.425
2016-11-15,980.50,990.00,979.50,987.50,913300,980.80
2016-11-14,976.00,988.00,973.00,976.00,811700,969.378
2016-11-11,984.50,991.50,961.75,967.00,1125400,960.439
2016-11-10,966.00,991.00,965.50,985.00,2145900,978.317
2016-11-09,942.50,967.50,936.50,962.50,2022200,955.969
2016-11-08,967.50,975.00,964.50,972.00,902000,965.405
2016-11-07,972.00,976.00,965.00,968.50,1310100,961.929
2016-11-04,970.00,970.00,959.00,960.00,1355800,953.486
2016-11-03,971.00,978.50,968.894,970.00,3017600,963.419
2016-11-02,985.00,986.035,975.00,975.50,1174800,968.881
2016-11-01,986.00,994.50,984.00,984.50,1074500,977.82
2016-10-31,999.00,1000.00,989.00,989.00,957700,982.29
2016-10-28,992.00,1006.00,984.48,1002.00,1150500,995.201
2016-10-27,1003.00,1021.00,993.451,997.50,894700,990.732
2016-10-26,1014.00,1014.00,1002.00,1009.00,615300,1002.154
2016-10-25,1024.00,1029.00,1011.00,1012.00,1049100,1005.134
2016-10-24,1028.00,1038.00,1026.00,1026.00,1589100,1019.039
2016-10-21,1011.00,1027.00,1011.00,1025.00,2645800,1018.045
2016-10-20,1006.00,1023.00,1004.00,1015.00,2179200,1008.113
2016-10-19,999.00,1005.00,990.24,1004.00,2926000,997.188
2016-10-18,981.00,1001.00,981.00,996.50,1720000,989.739
2016-10-17,987.50,992.50,980.00,982.00,1152500,975.337
2016-10-14,988.00,995.00,986.515,988.50,2752600,981.793
2016-10-13,988.00,989.50,979.778,989.00,2150800,982.29
2016-10-12,1002.00,1003.00,986.50,991.00,1932300,984.276
2016-10-11,984.50,1003.00,981.50,1000.00,5420800,993.215
2016-10-10,1011.00,1011.00,988.879,990.00,2442000,983.283
2016-10-07,1024.00,1024.00,1005.00,1005.00,1681200,998.181
2016-10-06,1050.00,1050.00,1016.72,1019.00,1586400,1012.086
2016-10-05,1060.00,1062.00,1042.00,1043.00,988800,1035.923
2016-10-04,1053.00,1070.28,1053.00,1057.00,2629500,1049.828
2016-10-03,1034.00,1060.00,1034.00,1053.00,992600,1045.855
2016-09-30,1036.00,1040.00,1017.00,1035.00,2244100,1027.978
2016-09-29,1084.00,1084.00,999.50,1046.00,4636900,1038.903
2016-09-28,1079.00,1088.00,1068.00,1087.00,1158400,1079.625
2016-09-27,1090.00,1090.00,1066.00,1079.00,809700,1071.679
2016-09-26,1092.00,1096.56,1074.00,1082.00,829500,1074.659
