Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,506.50,510.00,498.70,507.50,3868000,507.50
2017-02-08,496.70,510.00,496.66,507.50,5296300,507.50
2017-02-07,495.40,510.00,495.36,496.30,7073700,496.30
2017-02-06,499.80,502.00,490.50,493.50,3995800,493.50
2017-02-03,494.90,504.00,492.40,501.50,13028100,501.50
2017-02-02,491.80,495.90,485.83,493.00,4835000,493.00
2017-02-01,481.50,491.00,477.40,490.00,5025800,490.00
2017-01-31,473.20,480.20,471.50,477.70,9033800,477.70
2017-01-30,471.00,473.70,466.90,472.90,2867800,472.90
2017-01-27,473.20,475.191,469.20,472.50,2823800,472.50
2017-01-26,477.00,477.40,470.96,471.10,6007000,471.10
2017-01-25,482.90,489.50,470.20,475.10,6396000,475.10
2017-01-24,489.50,489.50,474.588,479.50,8764500,479.50
2017-01-23,495.10,500.50,482.60,486.40,7889900,486.40
2017-01-20,505.50,511.091,494.00,494.60,4897700,494.60
2017-01-19,515.00,516.00,499.70,505.50,5023300,505.50
2017-01-18,523.00,523.00,507.00,516.50,8887700,516.50
2017-01-17,509.50,524.00,496.40,521.00,9027700,521.00
2017-01-16,514.00,515.60,504.105,508.00,5962800,508.00
2017-01-13,505.50,517.50,499.90,516.00,9566700,516.00
2017-01-12,496.60,500.50,489.20,498.00,4338700,498.00
2017-01-11,510.00,514.00,500.337,501.00,4390200,501.00
2017-01-10,495.10,507.50,495.10,507.00,6237600,507.00
2017-01-09,491.90,497.49,489.00,495.50,4253300,495.50
2017-01-06,497.90,499.20,485.30,493.90,3149200,493.90
2017-01-05,485.30,498.864,483.70,497.50,5589000,497.50
2017-01-04,469.70,484.10,468.589,483.90,6276200,483.90
2017-01-03,465.00,467.80,461.60,465.00,3131900,465.00
2017-01-02,462.40,462.40,462.40,462.40,000,462.40
2016-12-30,464.40,468.00,458.40,462.40,2227100,462.40
2016-12-29,462.30,467.70,460.00,463.90,1655800,463.90
2016-12-28,467.00,467.80,462.20,465.00,2083600,465.00
2016-12-27,469.30,469.30,469.30,469.30,000,469.30
2016-12-26,469.30,469.30,469.30,469.30,000,469.30
2016-12-23,477.00,480.60,469.30,469.30,1465700,469.30
2016-12-22,469.10,476.30,465.40,476.00,2649200,476.00
2016-12-21,468.00,470.536,465.70,470.40,2415800,470.40
2016-12-20,463.50,470.80,461.20,467.00,3371800,467.00
2016-12-19,458.80,462.30,455.872,461.20,3961800,461.20
