Date,Open,High,Low,Close,Volume,Adj Close
2016-02-12,1034.50,1066.00,1034.50,1062.00,51440800,1062.00
2016-02-11,1015.50,1031.00,1005.50,1020.00,11490900,1020.00
2016-02-10,1030.50,1042.00,1019.50,1026.00,13611300,1026.00
2016-02-09,1055.50,1066.00,986.00,1028.00,19914600,1028.00
2016-02-08,1066.00,1070.47,1042.50,1054.50,7535000,1054.50
2016-02-05,1057.50,1074.03,1054.50,1060.00,7687300,1060.00
2016-02-04,1045.00,1065.00,1037.50,1057.50,18812200,1057.50
2016-02-03,1014.00,1025.50,1004.00,1016.50,13327000,1016.50
2016-02-02,1040.00,1040.00,1007.00,1014.00,20378300,1014.00
2016-02-01,1060.00,1097.00,1032.50,1047.50,19963900,1047.50
2016-01-29,1064.00,1064.00,1033.00,1054.50,22429400,1054.50
2016-01-28,1030.50,1065.00,1030.50,1044.00,21208900,1044.00
2016-01-27,991.80,1029.50,973.80,1029.50,23399200,1029.50
2016-01-26,965.00,996.40,957.90,994.90,16402200,994.90
2016-01-25,995.10,995.10,969.30,981.70,15840000,981.70
2016-01-22,958.70,990.00,957.10,980.20,19991500,980.20
2016-01-21,896.00,937.80,896.00,932.70,13679400,932.70
2016-01-20,915.00,926.20,897.60,897.60,21462000,897.60
2016-01-19,940.90,953.70,929.70,939.90,9033700,939.90
2016-01-18,929.70,942.90,924.60,928.60,20362100,928.60
2016-01-15,949.60,956.50,912.70,935.00,12368200,935.00
2016-01-14,912.00,963.80,910.40,953.90,13327600,953.90
2016-01-13,927.60,948.30,920.00,926.70,7619100,926.70
2016-01-12,911.10,940.50,909.279,920.10,13989400,920.10
2016-01-11,927.70,938.60,917.70,917.70,12602400,917.70
2016-01-08,960.00,968.20,939.10,940.00,16731500,940.00
2016-01-07,922.60,941.90,893.90,936.90,18153000,936.90
2016-01-06,974.00,980.60,945.30,955.40,9316100,955.40
2016-01-05,988.20,996.30,973.40,977.10,5552600,977.10
2016-01-04,982.60,992.50,968.10,976.90,6830900,976.90
2015-12-31,986.70,996.80,985.00,985.00,1659200,985.00
2015-12-30,1005.50,1005.50,988.20,991.50,2957300,991.50
2015-12-29,987.10,1005.50,974.20,1005.50,5013900,1005.50
2015-12-28,986.50,986.50,986.50,986.50,000,986.50
2015-12-25,986.50,986.50,986.50,986.50,000,986.50
2015-12-24,996.00,1003.00,986.50,986.50,1500000,986.50
2015-12-23,935.00,993.50,933.40,988.10,10316100,988.10
2015-12-22,908.20,930.871,908.20,929.70,11863300,929.70
2015-12-21,914.00,945.60,899.80,899.80,22132200,899.80
2015-12-18,935.50,950.50,908.00,908.00,34119200,908.00
2015-12-17,962.00,962.00,941.90,945.80,11612600,945.80
2015-12-16,956.00,966.00,943.00,945.70,7317700,945.70
2015-12-15,929.20,958.70,927.572,956.00,13103500,956.00
2015-12-14,930.90,953.70,917.10,919.50,14163200,919.50
2015-12-11,970.50,974.10,922.90,925.80,10956600,925.80
2015-12-10,980.00,989.20,969.20,975.60,8880300,975.60
2015-12-09,962.90,995.20,948.40,985.20,10414400,985.20
2015-12-08,982.60,982.60,953.638,961.50,13181700,961.50
2015-12-07,1024.50,1026.50,982.00,983.10,9766800,983.10
2015-12-04,1028.00,1058.00,1016.00,1025.00,6827400,1025.00
2015-12-03,1043.00,1064.00,1034.00,1034.00,11394500,1034.00
2015-12-02,1036.50,1054.50,1033.50,1046.50,6714100,1046.50
2015-12-01,1041.00,1043.00,1031.50,1040.00,7327000,1040.00
2015-11-30,1033.50,1044.00,1021.50,1031.50,8671000,1031.50
2015-11-27,1030.50,1032.50,1022.00,1030.00,4195900,1030.00
2015-11-26,1015.00,1036.00,1009.50,1032.50,4291100,1032.50
2015-11-25,1010.00,1017.93,999.50,1009.50,5543900,1009.50
2015-11-24,1005.00,1006.67,990.50,1003.00,9342100,1003.00
2015-11-23,1006.00,1019.00,992.30,1012.00,5108800,1012.00
2015-11-20,1038.00,1040.62,1016.00,1019.00,7669900,1019.00
2015-11-19,1037.00,1048.50,1030.00,1038.50,10052400,1038.50
2015-11-18,1001.50,1023.00,996.50,1021.50,6480400,1021.50
2015-11-17,995.20,1010.00,991.70,1008.00,10594300,1008.00
2015-11-16,959.10,995.30,958.888,977.50,5029800,977.50
2015-11-13,969.30,980.60,961.00,967.70,6145600,967.70
2015-11-12,998.80,999.00,973.10,973.10,7603800,973.10
2015-11-11,1000.00,1008.50,989.70,1000.50,7103800,1000.50
2015-11-10,1012.50,1012.50,997.00,1000.00,5110900,1000.00
2015-11-09,1025.00,1038.00,1008.00,1010.00,6052400,1010.00
2015-11-06,1033.50,1044.50,1004.60,1027.00,6968000,1027.00
2015-11-05,1056.00,1056.81,1027.50,1030.50,10902600,1030.50
2015-11-04,1062.50,1075.00,1056.00,1057.50,8412800,1057.50
2015-11-03,1038.00,1058.50,1038.00,1056.50,10615100,1056.50
2015-11-02,1019.00,1032.00,1014.50,1029.00,3989600,1029.00
2015-10-30,1028.00,1036.00,1025.00,1025.00,7839800,1025.00
2015-10-29,1031.50,1039.50,1024.00,1030.00,8008600,1030.00
2015-10-28,1027.50,1047.00,1025.50,1035.50,7529400,1035.50
2015-10-27,1044.50,1048.92,1021.50,1028.00,5256900,1028.00
2015-10-26,1060.00,1066.89,1047.50,1050.50,4920000,1050.50
2015-10-23,1090.00,1094.00,1054.50,1057.00,6779200,1057.00
2015-10-22,1081.50,1092.00,1069.50,1082.00,6100000,1082.00
2015-10-21,1079.00,1091.56,1072.00,1087.50,6279200,1087.50
2015-10-20,1077.00,1080.00,1062.62,1072.00,3352300,1072.00
2015-10-19,1085.00,1095.50,1070.50,1073.50,2216500,1073.50
2015-10-16,1085.00,1099.06,1084.00,1091.50,3810900,1091.50
2015-10-15,1083.50,1088.00,1071.50,1080.00,4411300,1080.00
2015-10-14,1070.00,1077.00,1058.12,1071.50,4205800,1071.50
2015-10-13,1078.50,1082.00,1058.50,1079.00,4806700,1079.00
2015-10-12,1089.00,1098.00,1076.50,1080.50,3999000,1080.50
2015-10-09,1095.50,1112.00,1087.34,1093.00,6198800,1093.00
2015-10-08,1083.00,1092.50,1069.50,1083.00,4999900,1083.00
2015-10-07,1072.00,1095.50,1064.50,1082.50,9148300,1082.50
2015-10-06,1036.50,1066.50,1023.00,1062.50,5358600,1062.50
2015-10-05,1009.50,1037.60,1004.50,1035.00,6484400,1035.00
2015-10-02,967.60,998.70,967.60,987.80,5429700,987.80
2015-10-01,960.20,981.80,958.70,964.10,7980300,964.10
2015-09-30,962.50,965.80,944.60,951.00,16189700,951.00
2015-09-29,938.40,965.00,936.30,949.60,5971300,949.60
2015-09-28,967.60,976.60,944.058,945.50,4691100,945.50
