Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,602.50,611.50,602.00,608.00,4933000,600.70
2017-02-08,595.00,603.50,593.00,601.00,5139200,593.784
2017-02-07,588.00,597.50,588.00,595.00,5471300,587.856
2017-02-06,585.00,592.00,584.00,588.00,4629800,580.94
2017-02-03,584.50,590.50,583.00,586.00,4226900,578.964
2017-02-02,588.00,588.00,578.50,580.50,3034600,573.53
2017-02-01,587.00,590.00,583.00,585.00,2574800,577.976
2017-01-31,580.50,589.00,578.50,583.00,5423600,576.00
2017-01-30,582.50,585.132,574.596,579.00,3989000,572.048
2017-01-27,585.00,585.50,581.00,583.00,4237400,576.00
2017-01-26,585.50,588.50,582.11,585.50,5115700,578.47
2017-01-25,592.00,592.50,582.00,583.50,5386900,576.494
2017-01-24,603.00,603.50,584.50,586.00,4688800,578.964
2017-01-23,589.50,597.00,586.00,597.00,4827700,589.832
2017-01-20,595.00,603.00,590.323,590.50,4679400,583.41
2017-01-19,618.00,620.335,594.00,595.50,8401000,588.35
2017-01-18,621.00,621.50,615.50,618.00,2733600,610.58
2017-01-17,612.50,623.00,609.61,618.00,4518400,610.58
2017-01-16,617.50,622.00,610.00,614.50,3209700,607.122
2017-01-13,624.50,626.835,616.00,618.00,4818800,610.58
2017-01-12,631.00,631.00,619.935,622.00,2725000,614.532
2017-01-11,628.50,633.449,626.50,630.00,3068000,622.436
2017-01-10,626.00,629.50,623.50,628.00,2677300,620.46
2017-01-09,639.00,639.00,622.662,626.00,3234900,618.484
2017-01-06,627.50,639.00,627.061,636.50,2968000,628.858
2017-01-05,626.50,628.50,621.00,627.50,3672400,619.966
2017-01-04,626.50,630.50,623.50,626.50,6841800,611.766
2017-01-03,631.00,631.00,622.751,627.50,3270900,612.742
2017-01-02,629.50,629.50,629.50,629.50,000,614.695
2016-12-30,627.50,633.717,626.50,629.50,1386500,614.695
2016-12-29,621.50,629.00,619.50,628.50,2229300,613.718
2016-12-28,640.00,640.00,621.50,622.50,3384800,607.86
2016-12-27,641.00,641.00,641.00,641.00,000,625.924
2016-12-26,641.00,641.00,641.00,641.00,000,625.924
2016-12-23,634.50,643.50,634.50,641.00,1019600,625.924
2016-12-22,635.00,636.00,628.50,636.00,1704000,621.042
2016-12-21,634.50,636.00,628.00,636.00,3458900,621.042
2016-12-20,633.50,637.00,631.50,634.50,1790100,619.577
2016-12-19,634.00,637.445,631.00,633.50,2301900,618.601
2016-12-16,630.00,634.50,626.00,629.00,5075700,614.207
2016-12-15,623.00,631.00,617.50,628.00,4780900,613.23
2016-12-14,624.00,625.81,621.00,624.00,4901200,609.324
2016-12-13,608.50,625.50,606.00,624.00,3367300,609.324
2016-12-12,619.50,620.50,602.50,608.50,3965000,594.189
2016-12-09,617.00,625.633,616.61,622.00,2564200,607.371
2016-12-08,618.00,624.50,610.50,617.00,3882600,602.489
2016-12-07,600.00,620.18,599.50,616.00,5615800,601.512
2016-12-06,588.00,600.25,587.50,597.00,2278700,582.959
2016-12-05,585.50,592.50,583.50,586.00,2879700,572.218
2016-12-02,581.00,593.50,580.00,587.00,2351300,573.194
2016-12-01,588.00,591.00,576.50,579.50,3722400,565.871
2016-11-30,600.00,608.00,591.00,591.50,4700700,577.589
2016-11-29,594.00,600.50,593.50,600.00,3238200,585.889
2016-11-28,592.50,600.00,589.44,597.50,3111700,583.448
2016-11-25,594.00,594.00,589.00,592.50,1742600,578.565
2016-11-24,596.00,596.625,588.50,591.50,2150600,577.589
2016-11-23,600.00,606.00,591.50,593.00,2979000,579.053
2016-11-22,599.00,604.00,596.00,598.50,2588800,584.424
2016-11-21,604.00,606.15,590.50,595.00,3741500,581.006
2016-11-18,611.00,615.50,600.562,603.50,3425100,589.306
2016-11-17,592.50,612.50,587.00,610.00,4402400,595.654
2016-11-16,610.00,610.00,584.50,592.50,4540100,578.565
2016-11-15,597.00,610.50,596.50,606.50,4232800,592.236
2016-11-14,594.00,594.50,585.50,587.50,3354000,573.683
2016-11-11,583.00,592.50,582.00,587.00,2798800,573.194
2016-11-10,600.00,610.649,578.50,581.00,6082000,567.336
2016-11-09,580.00,598.50,577.50,597.50,4030700,583.448
2016-11-08,600.00,604.767,591.00,596.50,5172800,582.471
2016-11-07,601.00,603.727,590.50,598.50,2814200,584.424
2016-11-04,605.00,606.00,589.50,590.50,4369700,576.612
2016-11-03,583.00,616.50,582.298,607.00,8419900,592.724
2016-11-02,579.00,588.50,576.50,585.00,2812300,571.242
2016-11-01,589.00,589.50,579.50,581.50,2439300,567.824
2016-10-31,589.00,589.00,580.00,585.50,3623300,571.73
2016-10-28,576.50,592.00,566.415,590.00,5376300,576.124
2016-10-27,590.50,590.50,573.00,578.00,4328100,564.406
2016-10-26,603.00,603.00,587.18,592.50,2415800,578.565
2016-10-25,605.00,607.82,599.50,601.50,2183500,587.353
2016-10-24,605.00,610.657,597.754,602.00,2632300,587.842
2016-10-21,610.00,611.00,600.407,602.50,3674100,588.33
2016-10-20,600.00,611.00,599.00,609.00,2412200,594.677
2016-10-19,593.50,603.50,586.00,602.00,4465400,587.842
2016-10-18,586.50,595.50,586.50,591.50,3470200,577.589
2016-10-17,593.00,596.00,585.324,585.50,3204500,571.73
2016-10-14,597.00,600.654,592.00,593.50,2984700,579.542
2016-10-13,580.50,595.50,579.00,595.50,4463200,581.495
2016-10-12,589.00,590.50,580.68,582.00,3959500,568.312
2016-10-11,587.00,599.00,582.00,589.50,4818500,575.636
2016-10-10,592.00,592.50,582.00,583.50,3933000,569.777
2016-10-07,599.50,599.50,584.50,587.00,8919900,573.194
2016-10-06,610.50,611.50,595.94,596.00,5534500,581.983
2016-10-05,627.00,630.50,615.00,615.50,6201100,593.896
2016-10-04,632.00,635.00,623.00,628.50,5659900,606.44
2016-10-03,629.50,632.50,623.50,629.00,6692900,606.922
2016-09-30,625.50,634.00,618.00,632.50,3040000,610.299
2016-09-29,634.50,635.247,627.00,629.50,2067400,607.405
2016-09-28,628.00,635.137,628.00,630.00,1642600,607.887
2016-09-27,631.50,631.50,620.00,627.00,3152700,604.992
2016-09-26,635.00,636.50,625.00,625.50,2333600,603.545
2016-09-23,640.00,644.425,637.00,638.00,2721800,615.606
2016-09-22,632.00,640.50,627.00,640.00,2773500,617.536
2016-09-21,628.50,634.50,626.50,627.00,4357000,604.992
2016-09-20,620.50,631.00,619.00,627.00,3361500,604.992
2016-09-19,617.50,624.00,616.00,619.50,2405400,597.756
2016-09-16,618.50,620.712,615.00,615.00,6997800,593.413
2016-09-15,623.00,623.00,615.50,618.50,4865300,596.791
2016-09-14,630.00,630.00,622.00,622.50,3844100,600.65
2016-09-13,647.00,648.00,628.50,628.50,4941900,606.44
2016-09-12,646.00,649.00,634.50,646.00,2893400,623.325
2016-09-09,664.00,666.741,655.00,656.00,3099200,632.974
2016-09-08,662.50,669.00,659.50,665.50,2917500,642.141
2016-09-07,666.00,667.00,660.50,663.00,5774100,639.729
2016-09-06,667.00,667.50,661.50,664.00,2855200,640.694
2016-09-05,668.00,669.336,663.00,667.50,2627500,644.071
2016-09-02,676.00,676.00,662.50,667.50,6400600,644.071
2016-09-01,663.00,682.50,660.00,673.50,4716000,649.86
2016-08-31,662.00,666.886,658.50,663.00,3677400,639.729
2016-08-30,660.00,666.00,659.50,660.00,2424500,636.834
2016-08-29,660.00,660.00,660.00,660.00,000,636.834
2016-08-26,660.00,663.50,659.50,660.00,2124300,636.834
2016-08-25,667.50,667.50,658.00,660.50,3605500,637.316
2016-08-24,661.50,667.521,658.075,667.50,3417800,644.071
2016-08-23,659.00,666.00,656.00,661.50,2228700,638.281
2016-08-22,650.00,654.50,647.00,654.00,2326700,631.045
2016-08-19,654.00,654.00,646.00,649.00,2888400,626.22
2016-08-18,653.00,657.00,651.622,654.00,2076100,631.045
2016-08-17,659.00,659.50,649.818,651.50,2772500,628.632
2016-08-16,664.50,667.00,655.94,656.00,2833000,632.974
2016-08-15,665.00,667.181,660.00,665.00,1774700,641.658
2016-08-12,650.50,666.00,649.50,663.50,2803700,640.211
2016-08-11,668.50,669.50,644.00,651.00,5749800,628.15
2016-08-10,664.00,669.00,657.00,664.00,2994200,640.694
2016-08-09,665.50,667.50,657.00,665.00,2768700,641.658
2016-08-08,670.50,678.00,663.50,665.50,2786400,642.141
2016-08-05,671.50,671.50,662.00,669.00,3322500,645.518
2016-08-04,657.50,669.50,646.00,669.00,6274200,645.518
2016-08-03,662.50,663.00,649.475,650.50,3987000,627.667
2016-08-02,663.00,667.50,656.525,659.50,4709500,636.352
2016-08-01,675.00,679.50,667.00,671.50,3350400,647.93
2016-07-29,665.00,672.50,662.50,671.00,4306100,647.448
2016-07-28,665.50,669.00,659.00,662.50,4743200,639.246
2016-07-27,659.50,665.00,659.00,662.50,6744800,639.246
2016-07-26,664.50,665.162,656.50,658.00,3603800,634.904
2016-07-25,654.00,663.00,649.50,662.50,3952300,639.246
2016-07-22,648.50,655.50,646.00,652.00,4156300,629.115
2016-07-21,654.50,657.00,646.50,651.50,7759100,628.632
2016-07-20,645.50,658.50,641.50,653.50,7454300,630.562
2016-07-19,629.00,641.00,621.50,640.00,5583700,617.536
2016-07-18,626.00,631.00,621.00,628.00,6957900,605.957
2016-07-15,624.50,631.50,618.00,629.00,5596200,606.922
2016-07-14,619.00,627.50,615.50,624.50,8880600,602.58
2016-07-13,613.50,621.00,546.734,614.50,6981800,592.931
2016-07-12,616.50,630.00,614.50,618.50,12455600,596.791
2016-07-11,594.50,615.544,590.261,615.00,7741900,593.413
2016-07-08,560.00,588.00,560.00,587.00,8621700,566.396
2016-07-07,550.00,582.50,542.014,563.00,8613100,543.239
2016-07-06,545.50,546.00,536.50,544.50,9063200,525.388
2016-07-05,552.50,557.424,536.50,552.00,11723600,532.625
2016-07-04,611.50,612.50,556.00,565.00,9296200,545.168
2016-07-01,613.00,615.00,602.00,608.50,5776500,587.142
2016-06-30,597.00,608.00,590.50,607.00,7834300,585.694
2016-06-29,595.00,604.00,586.284,604.00,8556200,575.958
2016-06-28,580.00,600.00,575.954,579.00,11452200,552.119
2016-06-27,604.00,605.337,541.464,551.50,16130200,525.896
2016-06-24,500.00,650.00,499.962,613.50,21646200,585.017
2016-06-23,759.50,773.35,751.50,762.50,5293200,727.10
2016-06-22,754.00,760.30,749.50,753.00,4700600,718.041
2016-06-21,745.00,749.00,738.50,748.00,5347300,713.273
2016-06-20,724.50,741.50,724.50,741.50,5003400,707.075
2016-06-17,702.00,705.50,695.00,702.00,5843400,669.409
2016-06-16,698.00,713.00,692.50,694.50,5855000,662.257
2016-06-15,705.00,711.50,703.00,705.00,2997700,672.269
2016-06-14,716.00,716.00,700.00,702.50,3995500,669.885
2016-06-13,720.00,726.213,714.50,718.00,3711200,684.666
2016-06-10,739.50,741.00,726.50,728.50,3301700,694.678
2016-06-09,742.50,744.00,735.00,741.00,3207900,706.598
2016-06-08,741.00,745.476,738.50,744.00,2515800,709.459
2016-06-07,747.00,749.50,743.00,743.50,2829000,708.982
2016-06-06,739.50,747.263,737.50,742.00,3450100,707.552
2016-06-03,731.00,742.00,731.00,738.00,3356600,703.737
2016-06-02,730.50,734.00,726.50,730.00,3697200,696.109
2016-06-01,741.50,741.50,720.15,731.50,4616100,697.539
2016-05-31,760.00,761.50,740.00,740.00,5856800,705.644
2016-05-30,760.00,760.00,760.00,760.00,000,724.716
2016-05-27,758.00,760.00,751.50,760.00,3683500,724.716
2016-05-26,755.50,771.00,752.50,760.50,3411700,725.193
2016-05-25,764.00,766.00,754.56,758.00,3539200,722.809
2016-05-24,746.50,764.00,739.50,761.50,5047000,726.146
2016-05-23,743.50,750.50,740.50,747.00,3580400,712.319
2016-05-20,726.50,741.50,722.50,741.50,5631000,707.075
2016-05-19,716.50,725.50,713.50,720.50,4776200,687.05
2016-05-18,718.50,724.00,716.00,719.00,3309100,685.619
2016-05-17,716.00,733.15,716.00,723.00,3390100,689.434
2016-05-16,714.00,716.00,705.50,715.00,2531200,681.805
2016-05-13,717.50,720.00,709.50,720.00,2942300,686.573
2016-05-12,719.00,722.50,711.50,716.50,3259500,683.235
2016-05-11,733.50,735.00,722.50,722.50,3475500,688.957
2016-05-10,741.50,745.50,733.341,737.00,3419800,702.784
2016-05-09,735.00,742.50,729.50,737.50,3140800,703.261
2016-05-06,718.00,730.00,717.50,729.50,3620100,695.632
2016-05-05,717.00,721.00,715.347,719.00,2582500,685.619
2016-05-04,722.00,722.00,713.00,715.00,3089300,681.805
2016-05-03,724.00,725.00,718.224,719.50,3135100,686.096
2016-05-02,719.00,719.00,719.00,719.00,000,685.619
2016-04-29,724.00,728.00,718.50,719.00,4197300,685.619
2016-04-28,720.50,727.00,716.50,724.50,3648900,690.864
2016-04-27,714.00,726.00,714.00,724.50,3860700,690.864
2016-04-26,707.50,721.50,706.50,717.00,4315900,683.712
2016-04-25,687.00,703.50,684.00,703.50,3692500,670.839
2016-04-22,699.50,700.00,683.50,685.00,2662000,653.198
2016-04-21,710.00,714.685,698.315,701.50,2808100,668.932
2016-04-20,704.50,712.00,702.50,711.50,3176800,678.468
2016-04-19,703.00,708.866,701.00,705.50,3382400,672.746
2016-04-18,703.00,707.00,700.00,702.00,2665900,669.409
2016-04-15,724.00,725.00,707.00,707.50,4860500,674.653
2016-04-14,733.00,733.00,720.119,723.50,3852500,689.91
2016-04-13,718.50,733.00,717.00,733.00,3225600,698.969
2016-04-12,715.00,715.00,704.50,713.50,3876500,680.375
2016-04-11,708.50,712.00,703.00,711.00,3190900,677.991
2016-04-08,703.00,712.00,700.50,708.00,2273600,675.13
2016-04-07,708.00,710.50,695.50,699.50,2440800,667.025
2016-04-06,697.50,706.50,695.32,704.50,3223600,671.793
2016-04-05,702.50,704.00,692.50,696.50,4803600,664.164
2016-04-04,693.50,701.50,689.50,695.50,2333400,663.21
2016-04-01,696.50,701.672,691.148,695.50,2308100,663.21
2016-03-31,701.50,703.50,695.315,700.50,3068400,667.978
2016-03-30,704.00,710.00,701.00,709.00,3491900,669.323
2016-03-29,693.50,702.00,691.00,701.00,2904900,661.77
2016-03-28,688.00,688.00,688.00,688.00,000,649.498
2016-03-25,688.00,688.00,688.00,688.00,000,649.498
2016-03-24,698.00,703.50,687.50,688.00,3084800,649.498
2016-03-23,702.00,702.50,692.50,701.00,3579900,661.77
2016-03-22,705.00,705.00,694.867,700.50,2936700,661.298
2016-03-21,702.50,711.00,699.80,706.00,2209100,666.491
2016-03-18,704.00,711.50,698.00,705.50,5113600,666.019
2016-03-17,700.50,701.50,686.00,700.50,3923200,661.298
2016-03-16,700.50,705.00,683.50,692.00,3590700,653.274
2016-03-15,696.50,698.50,693.00,696.50,2347800,657.522
2016-03-14,692.50,705.50,691.54,699.00,3387500,659.882
2016-03-11,679.00,693.00,670.00,690.00,3434700,651.386
2016-03-10,674.50,686.50,668.475,670.00,3734500,632.505
2016-03-09,680.00,680.00,670.987,672.00,3301200,634.393
2016-03-08,670.00,677.00,666.268,677.00,4834700,639.114
2016-03-07,684.00,685.728,673.50,674.00,5268300,636.281
2016-03-04,688.50,690.00,677.00,686.00,3391300,647.61
2016-03-03,684.50,689.975,682.50,685.00,5214800,646.666
2016-03-02,685.00,685.00,678.50,683.00,4060600,644.778
2016-03-01,661.00,679.50,655.717,679.50,7520500,641.474
2016-02-29,655.00,660.322,649.50,659.00,5394800,622.121
2016-02-26,664.00,666.00,658.00,659.00,7816700,622.121
2016-02-25,651.00,661.86,651.00,657.50,6571100,620.705
2016-02-24,663.00,664.00,642.27,644.50,4415100,608.432
2016-02-23,669.50,672.50,659.50,661.00,6427200,624.009
2016-02-22,694.00,694.00,670.00,671.00,4319800,633.449
2016-02-19,685.00,692.50,683.50,692.50,2842700,653.746
2016-02-18,692.50,694.00,678.50,688.00,2927500,649.498
2016-02-17,677.00,692.00,676.50,688.50,2880300,649.97
2016-02-16,684.00,684.00,671.235,676.00,3608500,638.17
2016-02-15,667.50,679.50,665.00,678.50,4310800,640.53
2016-02-12,656.00,665.50,646.50,652.50,9142600,615.985
2016-02-11,678.00,678.00,651.00,651.00,5096800,614.569
2016-02-10,678.50,692.50,673.00,682.50,4006000,644.306
2016-02-09,681.50,685.00,663.50,669.00,5758900,631.561
2016-02-08,718.50,720.00,676.50,679.00,5743500,641.002
2016-02-05,714.50,726.902,713.50,715.50,4150500,675.459
2016-02-04,731.00,734.50,712.00,714.50,3903400,674.515
2016-02-03,738.50,739.00,716.00,721.00,4264500,680.651
2016-02-02,748.00,749.50,734.50,735.00,3022100,693.868
2016-02-01,747.50,749.00,734.50,748.50,4139600,706.612
2016-01-29,729.00,740.00,726.399,740.00,3962500,698.588
2016-01-28,726.00,733.50,650.00,721.50,2165900,681.123
2016-01-27,733.50,747.43,723.493,730.00,3906400,689.148
2016-01-26,726.00,737.991,724.00,733.00,3784400,691.98
2016-01-25,738.00,738.00,727.54,735.00,4230100,693.868
2016-01-22,723.00,732.00,715.00,730.50,5299800,689.62
2016-01-21,700.00,716.50,694.00,715.00,5689000,674.987
2016-01-20,707.00,715.00,694.50,696.50,4506300,657.522
2016-01-19,730.00,730.00,712.00,715.00,4636600,674.987
2016-01-18,715.50,723.50,712.00,712.00,3178500,672.155
2016-01-15,730.00,735.50,715.00,715.00,5637600,674.987
2016-01-14,737.50,750.111,729.50,732.00,4656800,691.036
2016-01-13,749.50,751.066,739.985,742.50,6249700,700.948
2016-01-12,742.50,754.00,738.00,745.00,2917200,703.308
2016-01-11,744.50,755.50,739.00,741.00,3690500,699.532
2016-01-08,756.00,758.50,741.50,741.50,2931800,700.004
2016-01-07,753.00,761.09,748.00,755.50,3720900,713.221
2016-01-06,782.00,789.50,770.15,771.50,3366400,721.632
2016-01-05,779.50,786.92,775.00,784.50,2729700,733.792
2016-01-04,778.00,786.00,765.50,770.50,3874700,720.697
2015-12-31,789.00,790.78,784.00,786.00,1321800,735.195
2015-12-30,794.00,798.00,782.50,787.50,2076300,736.598
2015-12-29,793.50,801.00,791.50,796.50,1989000,745.016
2015-12-28,793.50,793.50,793.50,793.50,000,742.21
2015-12-25,793.50,793.50,793.50,793.50,000,742.21
2015-12-24,791.50,795.00,788.50,793.50,297500,742.21
2015-12-23,784.00,789.50,776.992,789.50,1743300,738.468
2015-12-22,782.00,787.00,773.50,780.00,1973400,729.583
2015-12-21,785.00,796.88,776.50,776.50,2036300,726.309
2015-12-18,788.50,799.50,782.00,783.00,4045500,732.389
2015-12-17,804.00,808.00,792.29,794.50,2772300,743.145
2015-12-16,780.00,797.00,775.50,793.50,2929800,742.21
2015-12-15,770.00,781.00,766.50,778.00,2817600,727.712
2015-12-14,779.50,787.50,762.00,762.00,2936800,712.746
2015-12-11,794.50,795.50,773.01,774.00,3560800,723.97
2015-12-10,797.00,804.00,790.50,796.50,2238200,745.016
2015-12-09,809.00,810.00,799.00,799.00,2233700,747.354
2015-12-08,814.00,815.00,802.495,804.00,2068400,752.031
2015-12-07,814.00,823.50,812.00,813.00,2258900,760.449
2015-12-04,815.50,815.56,799.62,814.00,3355100,761.385
2015-12-03,845.00,848.50,815.50,815.50,3756300,762.788
2015-12-02,851.00,853.00,845.50,845.50,2830600,790.849
2015-12-01,839.00,846.50,835.44,846.00,2488900,791.316
2015-11-30,834.00,839.00,829.00,834.00,2174000,780.092
2015-11-27,828.00,834.50,824.50,834.50,1339800,780.56
