Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,2169.00,2173.00,2147.00,2153.00,642300,2153.00
2017-02-08,2159.00,2181.00,2153.00,2167.00,930000,2167.00
2017-02-07,2132.00,2182.00,2128.00,2163.00,859600,2163.00
2017-02-06,2119.00,2140.00,2119.00,2130.00,424100,2130.00
2017-02-03,2125.00,2137.00,2121.97,2129.00,564100,2129.00
2017-02-02,2072.00,2127.00,2070.00,2122.00,867600,2122.00
2017-02-01,2090.00,2105.00,2075.00,2078.00,885100,2078.00
2017-01-31,2073.00,2106.00,2057.00,2089.00,1359700,2089.00
2017-01-30,2081.00,2094.00,2060.00,2066.00,585300,2066.00
2017-01-27,2073.00,2091.00,2059.00,2090.00,765200,2090.00
2017-01-26,2081.00,2086.00,2066.00,2071.00,572600,2071.00
2017-01-25,2085.00,2097.00,2077.00,2084.00,761200,2084.00
2017-01-24,2132.00,2137.00,2073.00,2081.00,1123100,2081.00
2017-01-23,2134.00,2146.00,2118.00,2126.00,645000,2126.00
2017-01-20,2127.00,2138.00,2112.00,2136.00,637100,2136.00
2017-01-19,2137.00,2143.00,2113.00,2127.00,721300,2127.00
2017-01-18,2114.00,2139.00,2107.00,2137.00,752800,2137.00
2017-01-17,2156.00,2156.00,2112.00,2112.00,730000,2112.00
2017-01-16,2136.00,2155.43,2135.00,2155.00,552300,2155.00
2017-01-13,2135.00,2138.48,2113.00,2136.00,665900,2136.00
2017-01-12,2121.00,2128.00,2101.00,2127.00,641500,2127.00
2017-01-11,2103.00,2127.00,2101.00,2116.00,567600,2116.00
2017-01-10,2114.00,2126.00,2105.00,2108.00,491500,2108.00
2017-01-09,2083.00,2116.00,2083.00,2111.00,561000,2111.00
2017-01-06,2078.00,2083.00,2053.00,2081.00,589300,2081.00
2017-01-05,2094.00,2101.00,2064.00,2082.00,736500,2082.00
2017-01-04,2119.00,2126.00,2094.00,2094.00,744900,2094.00
2017-01-03,2115.00,2137.00,2114.00,2123.00,932600,2123.00
2017-01-02,2109.00,2109.00,2109.00,2109.00,000,2109.00
2016-12-30,2090.00,2109.00,2080.00,2109.00,372100,2109.00
2016-12-29,2072.00,2097.00,2072.00,2087.00,264900,2087.00
2016-12-28,2085.00,2089.00,2055.00,2088.00,586800,2088.00
2016-12-27,2088.00,2088.00,2088.00,2088.00,000,2088.00
2016-12-26,2088.00,2088.00,2088.00,2088.00,000,2088.00
