Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1614.00,1628.00,1607.30,1624.00,1189900,1624.00
2017-02-08,1618.00,1643.53,1608.00,1611.00,1294900,1611.00
2017-02-07,1619.00,1642.00,1618.04,1622.00,1148700,1622.00
2017-02-06,1640.00,1646.00,1616.00,1616.00,1235900,1616.00
2017-02-03,1638.00,1649.00,1631.00,1642.00,1448400,1642.00
2017-02-02,1634.00,1647.00,1620.00,1637.00,2025300,1637.00
2017-02-01,1655.00,1656.00,1628.00,1639.00,1304300,1639.00
2017-01-31,1625.00,1666.00,1623.00,1640.00,2870600,1640.00
2017-01-30,1641.00,1647.00,1614.00,1626.00,1790000,1626.00
2017-01-27,1672.00,1676.00,1639.00,1649.00,1827000,1649.00
2017-01-26,1666.00,1672.00,1658.00,1666.00,820200,1666.00
2017-01-25,1662.00,1679.00,1659.00,1666.00,1689900,1666.00
2017-01-24,1651.00,1661.00,1639.00,1653.00,1757400,1653.00
2017-01-23,1635.00,1658.00,1627.63,1652.00,1137900,1652.00
2017-01-20,1660.00,1668.00,1647.00,1652.00,2231000,1652.00
2017-01-19,1652.00,1692.00,1644.00,1665.00,2646500,1665.00
2017-01-18,1610.00,1650.20,1574.00,1650.00,3798800,1650.00
2017-01-17,1627.00,1636.00,1581.00,1593.00,2575700,1593.00
2017-01-16,1620.00,1641.00,1609.00,1637.00,2476000,1637.00
2017-01-13,1582.00,1613.04,1567.00,1611.00,3487500,1611.00
2017-01-12,1563.00,1601.00,1563.00,1575.00,2680000,1575.00
2017-01-11,1551.00,1571.50,1535.00,1561.00,3745800,1561.00
2017-01-10,1501.00,1538.00,1501.00,1533.00,1983800,1533.00
2017-01-09,1479.00,1507.00,1472.00,1501.00,1864400,1501.00
2017-01-06,1442.00,1479.00,1439.00,1473.00,1614400,1473.00
2017-01-05,1459.00,1464.00,1443.00,1450.00,2191600,1450.00
2017-01-04,1504.00,1505.00,1460.00,1469.00,2153300,1469.00
2017-01-03,1500.00,1517.00,1496.75,1500.00,1470400,1500.00
2017-01-02,1497.00,1497.00,1497.00,1497.00,000,1497.00
2016-12-30,1485.00,1498.00,1481.00,1497.00,639500,1497.00
2016-12-29,1482.00,1487.00,1474.00,1484.00,600200,1484.00
2016-12-28,1467.00,1493.00,1464.33,1485.00,1321800,1485.00
2016-12-27,1463.00,1463.00,1463.00,1463.00,000,1463.00
2016-12-26,1463.00,1463.00,1463.00,1463.00,000,1463.00
2016-12-23,1467.00,1470.94,1450.00,1463.00,589500,1463.00
2016-12-22,1462.00,1478.00,1457.86,1472.00,823700,1472.00
2016-12-21,1474.00,1480.00,1464.00,1471.00,2823100,1460.50
2016-12-20,1478.00,1481.00,1454.00,1473.00,1312500,1462.486
2016-12-19,1490.00,1492.00,1469.64,1474.00,1060700,1463.479
2016-12-16,1457.00,1489.15,1453.00,1489.00,2247800,1478.371
2016-12-15,1462.00,1463.00,1445.00,1454.00,4885400,1443.621
2016-12-14,1469.00,1478.00,1449.00,1460.00,1483000,1449.578
2016-12-13,1458.00,1487.00,1457.91,1474.00,2229500,1463.479
2016-12-12,1468.00,1479.00,1443.00,1445.00,1932300,1434.686
2016-12-09,1479.00,1488.00,1468.00,1474.00,1707600,1463.479
2016-12-08,1472.00,1497.00,1446.17,1480.00,1746100,1469.436
2016-12-07,1440.00,1484.00,1437.00,1478.00,2009500,1467.45
2016-12-06,1434.00,1441.00,1425.00,1439.00,1292300,1428.728
2016-12-05,1420.00,1455.00,1399.55,1438.00,2812300,1427.736
2016-12-02,1396.00,1419.00,1391.37,1412.00,1239100,1401.921
2016-12-01,1428.00,1428.00,1395.00,1410.00,2276900,1399.935
2016-11-30,1407.00,1429.29,1406.61,1429.00,2223300,1418.80
2016-11-29,1410.00,1413.00,1397.00,1408.00,1497000,1397.95
2016-11-28,1430.00,1441.00,1404.00,1408.00,1681300,1397.95
2016-11-25,1427.00,1437.00,1420.00,1436.00,827700,1425.75
2016-11-24,1428.00,1443.00,1421.00,1430.00,1064700,1419.793
2016-11-23,1433.00,1445.00,1414.00,1427.00,1925600,1416.814
2016-11-22,1425.00,1439.00,1422.95,1428.00,1693000,1417.807
2016-11-21,1402.00,1419.00,1381.00,1415.00,1469700,1404.90
2016-11-18,1408.00,1409.00,1389.00,1401.00,1400000,1391.00
2016-11-17,1385.00,1409.00,1383.44,1400.00,1630500,1390.007
2016-11-16,1415.00,1417.00,1367.00,1383.00,2122400,1373.128
2016-11-15,1409.00,1426.00,1400.00,1413.00,1638400,1402.914
2016-11-14,1404.00,1439.74,1400.00,1401.00,2329000,1391.00
2016-11-11,1447.00,1454.00,1387.00,1395.00,3389100,1385.042
2016-11-10,1469.00,1489.00,1432.00,1441.00,2319700,1430.714
2016-11-09,1444.00,1471.00,1423.54,1451.00,4704700,1440.643
2016-11-08,1463.00,1485.00,1450.19,1481.00,3197600,1470.429
2016-11-07,1434.00,1470.00,1433.00,1470.00,2916400,1459.507
2016-11-04,1420.00,1431.00,1401.00,1415.00,2418600,1404.90
2016-11-03,1450.00,1462.00,1420.00,1420.00,4240400,1409.864
2016-11-02,1466.00,1477.16,1451.00,1455.00,3109700,1444.614
2016-11-01,1477.00,1486.00,1451.00,1471.00,3185100,1460.50
2016-10-31,1474.00,1512.44,1466.00,1475.00,2656200,1464.471
2016-10-28,1468.00,1484.00,1455.00,1471.00,2239200,1460.50
2016-10-27,1473.00,1486.00,1461.00,1468.00,2226700,1457.521
2016-10-26,1462.00,1486.00,1457.00,1474.00,2295900,1463.479
2016-10-25,1461.00,1518.65,1451.00,1460.00,3130700,1449.578
2016-10-24,1494.00,1521.24,1462.10,1463.00,2696200,1452.557
2016-10-21,1456.00,1567.00,1448.00,1495.00,10953400,1484.329
2016-10-20,1464.00,1464.28,1443.00,1450.00,5461700,1439.65
2016-10-19,1408.00,1466.00,1400.92,1462.00,3600500,1451.564
