Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,514.50,518.00,506.50,513.00,3473900,513.00
2017-02-08,497.50,516.00,497.30,514.50,3644100,514.50
2017-02-07,488.70,502.50,487.60,497.80,2988200,497.80
2017-02-06,480.00,494.00,473.20,487.20,3113100,487.20
2017-02-03,488.20,490.637,484.10,486.00,4084200,486.00
2017-02-02,498.30,501.50,483.00,486.90,4813000,486.90
2017-02-01,499.00,505.00,496.00,499.00,3353100,499.00
2017-01-31,506.00,508.339,498.40,500.50,2920100,500.50
2017-01-30,507.00,511.00,499.80,506.00,3494100,506.00
2017-01-27,506.50,511.00,502.00,509.50,1668600,509.50
2017-01-26,504.50,511.50,501.759,503.50,2308600,503.50
2017-01-25,504.00,509.43,499.60,504.00,5778200,504.00
2017-01-24,519.50,523.50,502.00,504.00,4551500,504.00
2017-01-23,522.50,535.00,515.50,522.00,3483600,522.00
2017-01-20,502.50,514.50,499.00,513.50,4377700,513.50
2017-01-19,513.00,514.00,498.90,501.50,3829100,501.50
2017-01-18,517.00,519.837,498.60,504.00,4419500,504.00
2017-01-17,512.50,520.00,507.50,517.50,2938700,517.50
2017-01-16,516.00,517.00,507.50,515.00,2229600,515.00
2017-01-13,518.50,525.00,514.50,515.50,2085200,515.50
2017-01-12,519.50,527.00,512.00,519.00,3185700,519.00
2017-01-11,520.00,520.00,505.50,518.00,3386100,518.00
2017-01-10,501.00,519.00,500.00,518.50,3730100,518.50
2017-01-09,520.00,521.99,500.00,500.50,3840500,500.50
2017-01-06,521.00,521.64,509.687,515.50,3188600,515.50
2017-01-05,524.50,530.68,515.50,520.00,3496400,520.00
2017-01-04,524.50,532.00,520.00,524.00,2783500,524.00
2017-01-03,530.00,534.879,521.50,526.50,3134700,526.50
2017-01-02,531.00,531.00,531.00,531.00,000,531.00
2016-12-30,520.00,531.00,510.00,531.00,1596100,531.00
2016-12-29,514.50,525.886,511.00,522.50,1822600,522.50
2016-12-28,522.50,523.50,509.00,516.50,2797900,516.50
2016-12-27,520.50,520.50,520.50,520.50,000,520.50
2016-12-26,520.50,520.50,520.50,520.50,000,520.50
2016-12-23,503.50,522.50,502.366,520.50,1609400,520.50
2016-12-22,493.60,504.50,493.60,502.00,2215600,502.00
2016-12-21,498.60,498.60,488.00,495.00,3442700,495.00
2016-12-20,501.50,504.00,492.20,498.60,1962500,498.60
2016-12-19,491.10,506.50,489.20,501.00,6001900,501.00
2016-12-16,490.40,495.20,483.60,490.10,3915000,490.10
2016-12-15,477.80,491.00,475.50,487.40,4007000,487.40
2016-12-14,441.60,477.30,436.00,476.90,11749300,476.90
2016-12-13,456.50,459.946,449.08,452.40,4983200,452.40
2016-12-12,481.00,481.00,452.60,454.70,5920000,454.70
2016-12-09,476.00,481.90,431.30,480.00,12471700,480.00
2016-12-08,541.50,579.42,481.10,485.30,11258000,485.30
2016-12-07,550.00,564.50,536.50,564.00,4221500,564.00
2016-12-06,541.50,554.00,534.00,553.00,3722700,553.00
2016-12-05,543.00,544.50,535.00,539.50,3196700,539.50
2016-12-02,532.00,543.905,527.50,542.00,3887400,542.00
2016-12-01,522.00,536.00,518.00,535.00,4570200,535.00
2016-11-30,541.50,542.50,513.147,524.50,10264500,524.50
2016-11-29,567.00,569.00,556.00,557.50,1913300,557.50
2016-11-28,571.00,573.667,561.75,565.00,1608500,565.00
2016-11-25,573.50,578.98,565.50,570.00,1793100,570.00
2016-11-24,575.00,576.50,568.50,572.00,1723700,572.00
2016-11-23,581.50,586.50,574.50,575.50,2549800,575.50
2016-11-22,581.00,589.50,578.00,578.50,2294400,578.50
2016-11-21,579.00,579.252,565.00,573.00,3098600,573.00
2016-11-18,575.00,580.50,566.545,578.00,2520400,578.00
2016-11-17,585.00,593.78,570.50,574.00,2074000,574.00
2016-11-16,584.50,584.65,566.00,571.50,3292700,571.50
2016-11-15,576.50,582.05,573.00,581.00,2229700,581.00
2016-11-14,559.50,576.846,556.00,573.50,3898900,573.50
2016-11-11,560.50,574.637,547.00,550.50,4114900,550.50
2016-11-10,580.00,591.00,558.00,562.50,5779200,562.50
2016-11-09,575.00,588.00,562.50,577.50,3358900,577.50
2016-11-08,591.00,592.50,582.71,585.50,2821000,585.50
2016-11-07,577.00,588.00,571.50,588.00,3380700,588.00
2016-11-04,572.50,575.50,561.50,569.50,2431500,569.50
2016-11-03,574.50,592.50,561.50,575.00,4064500,575.00
2016-11-02,580.00,589.00,574.899,575.00,3924500,575.00
2016-11-01,586.00,595.00,578.00,584.00,2336900,584.00
2016-10-31,587.50,593.28,583.00,586.00,2820100,586.00
2016-10-28,590.00,601.487,585.00,591.00,2364700,591.00
2016-10-27,602.00,609.00,591.50,593.50,3151400,593.50
2016-10-26,607.00,613.96,586.00,602.00,6262100,602.00
2016-10-25,619.00,622.50,606.00,606.50,1775500,606.50
2016-10-24,617.50,626.253,612.818,615.50,2419500,615.50
2016-10-21,610.50,615.00,608.00,614.00,3235000,614.00
2016-10-20,610.00,620.00,608.00,613.50,4328700,613.50
2016-10-19,607.50,623.32,596.627,618.00,5681900,606.90
2016-10-18,588.00,603.00,585.50,603.00,4480400,592.169
2016-10-17,587.00,599.58,580.50,583.50,2786100,573.02
2016-10-14,580.00,598.50,579.00,590.50,2678000,579.894
2016-10-13,589.00,592.50,572.16,578.00,3841400,567.618
2016-10-12,583.00,601.50,580.104,591.50,5834100,580.876
2016-10-11,598.00,603.50,583.45,584.00,3778100,573.511
2016-10-10,602.50,607.00,592.00,598.50,4468000,587.75
2016-10-07,633.50,634.76,603.50,603.50,6639200,592.66
2016-10-06,658.00,660.00,631.00,632.50,4943700,621.14
2016-10-05,671.50,675.50,655.50,655.50,4541000,643.726
2016-10-04,672.00,677.50,664.92,666.50,5202000,654.529
2016-10-03,670.00,848.725,658.00,668.00,5280200,656.002
2016-09-30,691.00,700.08,652.00,670.00,8682200,657.966
2016-09-29,775.00,779.00,653.662,698.00,19386200,685.463
2016-09-28,953.50,960.00,948.00,952.50,1461100,935.392
2016-09-27,976.50,976.50,947.18,951.50,2521600,934.41
2016-09-26,989.00,989.00,969.00,970.50,1425700,953.069
2016-09-23,991.50,991.50,987.00,990.00,1287800,972.218
2016-09-22,985.50,991.50,980.50,990.00,851000,972.218
2016-09-21,981.00,988.701,978.00,978.50,1085900,960.925
2016-09-20,975.00,981.00,961.961,976.00,1358100,958.47
2016-09-19,970.00,978.00,957.00,978.00,1941000,960.434
2016-09-16,987.50,988.00,971.306,971.50,2313500,954.051
2016-09-15,985.50,989.00,980.00,987.00,891300,969.272
2016-09-14,996.50,997.50,985.00,985.00,1224600,967.308
2016-09-13,1006.00,1011.00,992.50,993.00,1132700,975.165
2016-09-12,1010.00,1010.00,999.50,1004.00,954400,985.967
2016-09-09,1036.00,1043.00,1015.00,1022.00,1121800,1003.644
2016-09-08,1050.00,1052.00,1032.00,1044.00,1365400,1025.249
2016-09-07,1048.00,1050.00,1038.84,1049.00,720100,1030.159
2016-09-06,1061.00,1065.00,1043.16,1044.00,953800,1025.249
2016-09-05,1050.00,1066.60,1045.00,1058.00,1521900,1038.997
2016-09-02,1038.00,1052.00,1023.00,1046.00,2005000,1027.213
2016-09-01,1036.00,1039.00,1024.00,1032.00,1824700,1013.464
2016-08-31,1041.00,1047.00,1033.00,1035.00,1577800,1016.41
2016-08-30,1042.00,1052.00,1042.00,1044.00,1209900,1025.249
2016-08-26,1045.00,1052.00,1037.00,1051.00,725900,1032.123
2016-08-25,1056.00,1060.00,1039.00,1042.00,1352400,1023.284
2016-08-24,1051.00,1066.00,1046.00,1061.00,1093900,1041.943
2016-08-23,1042.00,1062.00,1040.00,1059.00,1545600,1039.979
2016-08-22,1014.00,1037.00,1013.00,1037.00,1296200,1018.374
2016-08-19,1016.00,1026.00,1010.00,1016.00,777100,997.751
2016-08-18,1016.00,1027.00,1010.65,1016.00,1130100,997.751
2016-08-17,1016.00,1016.00,1008.00,1010.00,1126500,991.859
2016-08-16,1007.00,1017.00,1004.00,1010.00,1380300,991.859
2016-08-15,1006.00,1022.00,999.711,1014.00,1392400,995.787
2016-08-12,995.00,1012.00,995.00,1003.00,1048400,984.985
2016-08-11,996.50,998.00,979.634,998.00,1005100,980.075
2016-08-10,978.50,991.00,974.50,991.00,1076200,973.201
2016-08-09,978.50,982.00,971.18,980.50,990400,962.889
2016-08-08,960.50,977.50,957.50,975.00,1889300,957.488
2016-08-05,953.50,964.50,952.50,955.50,1247400,938.338
2016-08-04,940.00,965.00,939.50,955.00,2002300,937.847
2016-08-03,944.00,945.00,932.50,940.00,1785600,923.117
2016-08-02,942.50,949.50,937.00,943.00,1887200,926.063
2016-08-01,962.50,962.50,941.50,947.00,1482500,929.991
2016-07-29,943.50,960.50,936.50,960.00,2684200,942.757
2016-07-28,979.00,979.50,935.00,935.00,2875200,918.206
2016-07-27,980.00,998.00,956.50,975.00,2542700,957.488
2016-07-26,993.00,995.00,984.50,989.00,1286700,971.236
2016-07-25,980.50,991.50,977.50,990.00,1289000,972.218
2016-07-22,979.50,985.00,977.00,979.50,884900,961.907
2016-07-21,978.50,986.50,973.00,983.00,1076600,965.344
2016-07-20,978.50,984.50,971.50,982.00,1320800,964.362
2016-07-19,975.00,982.50,967.00,974.00,874600,956.506
2016-07-18,975.00,987.00,974.00,976.00,1132000,958.47
2016-07-15,972.00,980.50,959.00,974.50,1943200,956.997
2016-07-14,968.00,973.50,957.00,970.50,1647400,953.069
2016-07-13,964.00,982.50,959.00,959.50,1626800,942.266
2016-07-12,956.00,973.50,956.00,963.00,1816400,945.703
2016-07-11,935.00,959.00,921.50,958.00,1610200,940.793
2016-07-08,920.00,933.00,914.50,924.50,1520900,907.895
2016-07-07,900.00,913.50,891.00,908.00,1605200,891.691
2016-07-06,914.50,914.50,896.00,901.00,2666200,884.817
2016-07-05,935.00,939.50,915.00,917.00,2693400,900.53
2016-07-04,954.50,954.50,933.50,933.50,1250700,916.733
2016-07-01,964.00,966.50,946.00,950.00,2247000,932.937
2016-06-30,937.50,962.00,921.50,962.00,2858300,944.721
2016-06-29,912.50,940.00,912.50,940.00,2745500,923.117
2016-06-28,886.00,913.50,866.50,904.50,5798500,888.254
2016-06-27,906.00,942.50,839.00,848.50,4834400,833.26
2016-06-24,932.00,1005.00,932.00,989.50,4168000,971.727
2016-06-23,1081.00,1097.00,1072.00,1090.00,1104200,1070.422
2016-06-22,1074.00,1080.00,1066.00,1072.00,1403600,1052.746
2016-06-21,1042.00,1071.00,1032.00,1067.00,2196400,1047.835
2016-06-20,1023.00,1046.00,1022.00,1046.00,2175500,1027.213
2016-06-17,983.50,1002.00,982.00,1000.00,2472000,982.039
2016-06-16,983.00,989.00,969.00,976.00,1434900,958.47
2016-06-15,993.50,1000.00,989.50,992.50,1456700,974.674
2016-06-14,998.50,1002.00,987.50,987.50,2075600,969.763
2016-06-13,1020.00,1020.00,1003.00,1005.00,1778200,986.949
2016-06-10,1054.00,1054.00,1027.00,1027.00,1025400,1008.554
2016-06-09,1058.00,1063.00,1052.00,1054.00,929300,1035.069
2016-06-08,1061.00,1063.00,1053.00,1063.00,907900,1043.907
2016-06-07,1061.00,1074.00,1060.00,1066.00,946200,1046.853
2016-06-06,1053.00,1065.00,1049.98,1060.00,759400,1040.961
2016-06-03,1065.00,1065.00,1045.00,1052.00,936600,1033.105
2016-06-02,1053.00,1061.00,1049.00,1059.00,1508800,1039.979
2016-06-01,1065.00,1066.08,1046.00,1053.00,1351500,1034.087
2016-05-31,1072.00,1084.00,1064.00,1064.00,2686500,1044.889
2016-05-30,1075.00,1075.00,1075.00,1075.00,000,1055.692
2016-05-27,1080.00,1083.00,1069.00,1075.00,1364000,1055.692
2016-05-26,1091.00,1101.00,1088.00,1098.00,827200,1078.279
2016-05-25,1100.00,1101.00,1087.00,1094.00,1706000,1074.351
2016-05-24,1068.00,1098.00,1064.00,1097.00,1390100,1077.297
2016-05-23,1072.00,1081.00,1070.00,1074.00,2155200,1054.71
2016-05-20,1069.00,1077.00,1058.00,1077.00,1734900,1057.656
2016-05-19,1061.00,1071.75,1054.00,1062.00,1646900,1042.925
2016-05-18,1071.00,1077.00,1062.00,1070.00,1202100,1050.782
2016-05-17,1084.00,1088.00,1070.00,1076.00,955500,1056.674
2016-05-16,1074.00,1082.00,1066.00,1082.00,811200,1062.566
2016-05-13,1069.00,1079.00,1057.00,1077.00,1335800,1057.656
2016-05-12,1093.00,1095.00,1069.00,1071.00,1818400,1051.764
2016-05-11,1080.00,1101.00,1074.00,1096.00,2127600,1076.315
2016-05-10,1075.00,1088.00,1056.00,1078.00,5358200,1058.638
2016-05-09,1006.00,1024.00,1004.00,1024.00,1691800,1005.608
2016-05-06,997.00,1000.33,982.00,1000.00,1976100,982.039
2016-05-05,993.50,1000.00,989.50,998.50,1254300,980.566
2016-05-04,992.50,997.50,987.00,990.00,1571700,972.218
2016-05-03,1004.00,1004.00,988.00,992.50,1828400,974.674
2016-05-02,1001.00,1001.00,1001.00,1001.00,000,983.021
2016-04-29,1004.00,1005.70,994.00,1001.00,1363600,983.021
2016-04-28,995.00,1010.00,994.50,1010.00,1572600,991.859
2016-04-27,1000.00,1003.00,992.50,1000.00,1686300,982.039
2016-04-26,1011.00,1011.00,1001.00,1004.00,1017300,985.967
2016-04-25,1017.00,1018.00,1005.00,1010.00,1386500,991.859
2016-04-22,1016.00,1020.00,1012.00,1014.00,1373000,995.787
2016-04-21,1031.00,1034.23,1010.00,1018.00,1905400,999.716
2016-04-20,1040.00,1053.00,1036.00,1049.00,1367800,1009.34
2016-04-19,1041.00,1048.00,1035.00,1044.00,1727800,984.13
2016-04-18,1039.00,1044.00,1037.00,1041.00,1244500,981.302
2016-04-15,1067.00,1067.00,1042.00,1045.00,2040100,985.073
2016-04-14,1078.00,1081.63,1060.00,1066.00,1449500,1004.868
2016-04-13,1059.00,1075.00,1056.00,1075.00,2098300,1013.352
2016-04-12,1034.00,1052.00,1024.00,1052.00,2072100,991.671
2016-04-11,1033.00,1040.00,1027.00,1034.00,2299400,974.704
