Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,2722.00,2750.97,2692.00,2740.00,1907100,2740.00
2017-02-08,2734.00,2757.00,2694.00,2716.00,2551300,2716.00
2017-02-07,2829.00,2833.00,2743.00,2745.00,2626400,2745.00
2017-02-06,2839.00,2850.00,2804.00,2814.00,1173300,2814.00
2017-02-03,2830.00,2882.00,2826.00,2849.00,1389400,2849.00
2017-02-02,2801.00,2849.00,2790.00,2835.00,1753600,2835.00
2017-02-01,2772.00,2831.86,2770.00,2794.00,2214300,2794.00
2017-01-31,2814.00,2821.00,2754.31,2770.00,1733600,2770.00
2017-01-30,2836.00,2856.84,2792.00,2804.00,1087200,2804.00
2017-01-27,2865.00,2880.00,2829.41,2844.00,2111700,2844.00
2017-01-26,2900.00,2900.00,2846.00,2863.00,2187200,2863.00
2017-01-25,2900.00,2950.13,2842.80,2895.00,2293400,2895.00
2017-01-24,2830.00,2876.00,2815.32,2856.00,1474400,2856.00
2017-01-23,2812.00,2841.03,2808.00,2822.00,1270300,2822.00
2017-01-20,2783.00,2849.00,2775.00,2836.00,1347600,2836.00
2017-01-19,2811.00,2814.57,2777.00,2792.00,1424900,2792.00
2017-01-18,2802.00,2827.00,2779.00,2811.00,1587100,2811.00
2017-01-17,2861.00,2870.00,2796.00,2796.00,1452000,2796.00
2017-01-16,2875.00,2895.00,2839.02,2862.00,654800,2862.00
2017-01-13,2853.00,2895.00,2842.00,2878.00,1452900,2878.00
2017-01-12,2835.00,2841.00,2809.00,2833.00,1137000,2833.00
2017-01-11,2804.00,2850.64,2796.20,2836.00,1667700,2836.00
2017-01-10,2780.00,2817.00,2780.00,2810.00,1519300,2810.00
2017-01-09,2764.00,2784.00,2743.04,2782.00,1099000,2782.00
2017-01-06,2745.00,2778.00,2745.00,2767.00,818700,2767.00
2017-01-05,2750.00,2781.00,2716.96,2758.00,1293200,2758.00
2017-01-04,2758.00,2767.00,2741.00,2754.00,1200400,2754.00
2017-01-03,2842.00,3342.00,2752.54,2761.00,1835800,2761.00
2017-01-02,2830.00,2830.00,2830.00,2830.00,000,2830.00
2016-12-30,2773.00,2830.00,2763.00,2830.00,887700,2830.00
2016-12-29,2745.00,2789.00,2737.00,2782.00,733500,2782.00
2016-12-28,2738.00,2768.00,2714.00,2755.00,706000,2755.00
2016-12-27,2734.00,2734.00,2734.00,2734.00,000,2734.00
2016-12-26,2734.00,2734.00,2734.00,2734.00,000,2734.00
2016-12-23,2720.00,2743.00,2707.00,2734.00,262300,2734.00
2016-12-22,2705.00,2720.82,2686.60,2720.00,1039000,2720.00
2016-12-21,2710.00,2719.00,2675.00,2715.00,860500,2715.00
2016-12-20,2693.00,2711.32,2660.00,2710.00,1502700,2710.00
2016-12-19,2692.00,2701.00,2668.78,2693.00,815700,2693.00
2016-12-16,2725.00,2762.00,2686.00,2700.00,2151800,2700.00
2016-12-15,2662.00,2721.00,2659.00,2716.00,1567500,2716.00
2016-12-14,2669.00,2704.00,2647.30,2666.00,1362100,2666.00
2016-12-13,2671.00,2701.00,2658.34,2679.00,1132700,2679.00
2016-12-12,2703.00,2715.00,2667.00,2678.00,1337700,2678.00
2016-12-09,2710.00,2740.00,2704.48,2705.00,1696700,2705.00
2016-12-08,2747.00,2755.11,2709.00,2720.00,1884100,2720.00
2016-12-07,2690.00,2733.00,2679.55,2726.00,3643600,2726.00
2016-12-06,2587.00,2658.00,2571.00,2656.00,2523500,2656.00
2016-12-05,2563.00,2629.00,2559.00,2591.00,1928200,2591.00
2016-12-02,2600.00,2601.00,2572.00,2575.00,2288200,2575.00
2016-12-01,2639.00,2652.00,2603.00,2625.00,1427400,2625.00
2016-11-30,2661.00,2715.00,2659.00,2660.00,2278200,2660.00
2016-11-29,2642.00,2680.00,2612.99,2642.00,2499100,2642.00
2016-11-28,2713.00,2737.00,2640.70,2658.00,1644500,2658.00
2016-11-25,2721.00,2735.00,2682.00,2711.00,1210600,2711.00
2016-11-24,2679.00,2717.00,2645.00,2706.00,1636200,2706.00
2016-11-23,2701.00,2723.00,2637.00,2649.00,2032900,2649.00
2016-11-22,2722.00,2744.00,2691.00,2692.00,1698100,2692.00
2016-11-21,2751.00,2770.00,2709.00,2711.00,1990100,2711.00
2016-11-18,2755.00,2755.00,2719.00,2732.00,4272100,2732.00
2016-11-17,2676.00,2762.00,2645.00,2746.00,3450900,2746.00
2016-11-16,2780.00,2798.00,2690.00,2701.00,3119600,2701.00
2016-11-15,2805.00,2827.00,2767.00,2781.00,2395900,2781.00
2016-11-14,2800.00,2819.00,2761.38,2804.00,3395300,2804.00
2016-11-11,2803.00,2831.00,2731.09,2760.00,3759800,2760.00
2016-11-10,2820.00,3029.00,2789.00,2812.00,7148600,2812.00
2016-11-09,2620.00,2889.48,2595.00,2810.00,8614400,2810.00
2016-11-08,2599.00,2659.00,2599.00,2650.00,1333000,2650.00
2016-11-07,2584.00,2627.00,2552.20,2602.00,1399400,2602.00
2016-11-04,2534.00,2569.10,2522.00,2552.00,1219400,2552.00
2016-11-03,2582.00,2613.29,2538.00,2551.00,1853000,2551.00
2016-11-02,2618.00,2653.66,2583.00,2596.00,1831500,2596.00
2016-11-01,2659.00,2663.00,2593.48,2606.00,2183100,2606.00
2016-10-31,2663.00,2670.00,2644.00,2644.00,2298400,2644.00
2016-10-28,2656.00,2671.00,2608.00,2670.00,1251900,2670.00
2016-10-27,2662.00,2688.00,2634.00,2660.00,1023200,2660.00
2016-10-26,2675.00,2687.28,2641.00,2671.00,847000,2671.00
2016-10-25,2732.00,2744.00,2684.07,2696.00,1213100,2696.00
2016-10-24,2725.00,2744.00,2701.00,2723.00,1228000,2723.00
2016-10-21,2709.00,2721.00,2677.00,2711.00,1186600,2711.00
2016-10-20,2685.00,2703.00,2662.00,2688.00,1237000,2688.00
2016-10-19,2705.00,2705.00,2682.00,2691.00,836000,2691.00
2016-10-18,2687.00,2750.78,2687.00,2716.00,1406500,2716.00
2016-10-17,2658.00,2687.00,2642.00,2680.00,1646600,2680.00
2016-10-14,2655.00,2686.00,2634.25,2676.00,1236800,2676.00
2016-10-13,2657.00,2657.00,2609.00,2631.00,1257400,2631.00
2016-10-12,2676.00,2687.00,2647.00,2657.00,2248000,2657.00
2016-10-11,2716.00,2724.00,2669.18,2693.00,1480400,2693.00
2016-10-10,2657.00,2723.00,2646.39,2723.00,1769700,2723.00
2016-10-07,2660.00,2702.00,2619.59,2660.00,1386700,2660.00
2016-10-06,2642.00,2659.00,2628.77,2639.00,1284400,2639.00
2016-10-05,2655.00,2672.00,2596.23,2641.00,1525400,2641.00
2016-10-04,2594.00,2686.00,2593.00,2659.00,4091200,2659.00
2016-10-03,2565.00,2606.00,2550.76,2581.00,1036300,2581.00
2016-09-30,2539.00,2577.35,2517.00,2562.00,1826000,2562.00
2016-09-29,2560.00,2585.00,2544.00,2560.00,1315100,2560.00
2016-09-28,2539.00,2590.00,2529.00,2568.00,1091500,2568.00
2016-09-27,2572.00,2580.00,2517.00,2535.00,1286600,2535.00
2016-09-26,2599.00,2599.00,2539.92,2554.00,1105400,2554.00
2016-09-23,2574.00,2607.00,2564.00,2607.00,1387100,2607.00
2016-09-22,2534.00,2599.00,2530.25,2576.00,2452700,2576.00
2016-09-21,2530.00,2555.00,2515.00,2520.00,1803500,2520.00
2016-09-20,2503.00,2555.00,2485.50,2517.00,2705400,2517.00
2016-09-19,2490.00,2522.00,2472.00,2506.00,2799200,2506.00
2016-09-16,2519.00,2540.00,2483.50,2484.00,13004000,2484.00
2016-09-15,2481.00,2525.00,2467.00,2515.00,2593900,2515.00
2016-09-14,2482.00,2522.00,2476.00,2496.00,2147500,2496.00
2016-09-13,2451.00,2499.00,2431.58,2471.00,2318300,2471.00
2016-09-12,2407.00,2534.75,2402.28,2452.00,2578200,2452.00
2016-09-09,2512.00,2517.00,2447.00,2449.00,2061300,2449.00
2016-09-08,2535.00,2571.00,2514.84,2530.00,1508500,2530.00
2016-09-07,2553.00,2566.00,2534.00,2562.00,2023500,2543.20
2016-09-06,2577.00,2586.48,2534.80,2547.00,1819000,2528.31
2016-09-05,2547.00,2592.81,2532.00,2580.00,1339200,2561.068
2016-09-02,2547.00,2565.71,2522.00,2537.00,3156100,2518.384
2016-09-01,2564.00,2578.98,2520.00,2530.00,2170700,2511.435
2016-08-31,2578.00,2598.00,2547.00,2565.00,3881900,2546.178
2016-08-30,2555.00,2603.00,2555.00,2585.00,2460400,2566.031
2016-08-26,2520.00,2568.00,2488.00,2540.00,2331100,2521.362
2016-08-25,2501.00,2584.00,2476.00,2540.00,3655500,2521.362
2016-08-24,2483.00,2509.99,2455.00,2469.00,2751300,2450.883
2016-08-23,2524.00,2531.09,2492.00,2497.00,1930100,2478.677
2016-08-22,2500.00,2526.96,2484.00,2508.00,1558800,2489.596
2016-08-19,2535.00,2590.29,2491.52,2507.00,2703600,2488.604
2016-08-18,2555.00,2586.13,2502.36,2532.00,2274800,2513.42
2016-08-17,2514.00,2627.00,2513.00,2535.00,4264000,2516.398
2016-08-16,2471.00,2519.00,2460.00,2512.00,1593800,2493.567
2016-08-15,2453.00,2491.00,2443.00,2482.00,1670100,2463.787
2016-08-12,2406.00,2456.00,2404.00,2456.00,1960000,2437.978
2016-08-11,2391.00,2417.00,2379.00,2415.00,2063800,2397.279
2016-08-10,2369.00,2386.00,2361.00,2385.00,1432900,2367.499
2016-08-09,2334.00,2375.00,2318.07,2369.00,2610900,2351.616
2016-08-08,2294.00,2332.00,2279.21,2332.00,1476800,2314.888
2016-08-05,2263.00,2305.44,2263.00,2295.00,1381400,2278.159
2016-08-04,2239.00,2266.00,2215.00,2265.00,1919100,2248.379
2016-08-03,2240.00,2247.13,2229.00,2230.00,1577600,2213.636
2016-08-02,2273.00,2279.56,2243.00,2244.00,1460700,2227.534
2016-08-01,2325.00,2332.00,2277.06,2284.00,1333700,2267.24
2016-07-29,2295.00,2319.74,2276.00,2302.00,1207800,2285.108
2016-07-28,2300.00,2308.00,2263.39,2281.00,979800,2264.262
2016-07-27,2262.00,2297.00,2260.00,2287.00,1124300,2270.218
2016-07-26,2244.00,2261.00,2236.42,2250.00,1033400,2233.49
2016-07-25,2247.00,2261.00,2234.00,2243.00,1081800,2226.541
2016-07-22,2251.00,2292.88,2231.94,2252.00,2124400,2235.475
2016-07-21,2216.00,2219.00,2180.19,2195.00,1950700,2178.893
2016-07-20,2220.00,2238.00,2205.00,2215.00,1214000,2198.746
2016-07-19,2203.00,2220.00,2190.00,2208.00,1194000,2191.798
2016-07-18,2205.00,2221.00,2187.00,2201.00,3568000,2184.849
2016-07-15,2215.00,2218.00,2173.00,2204.00,2018100,2187.827
2016-07-14,2206.00,2246.00,2190.00,2209.00,2660500,2192.79
2016-07-13,2176.00,2247.00,2012.70,2228.00,2878600,2211.651
2016-07-12,2197.00,2213.40,2170.47,2185.00,2438200,2168.966
2016-07-11,2173.00,2209.00,2169.00,2205.00,3257100,2188.82
2016-07-08,2111.00,2170.81,2104.73,2148.00,3652800,2132.238
2016-07-07,2120.00,2146.00,2106.00,2106.00,3153600,2090.546
2016-07-06,2112.00,2140.00,2070.00,2096.00,2813300,2080.62
2016-07-05,2154.00,2170.00,2087.02,2125.00,2576800,2109.407
2016-07-04,2207.00,2207.00,2157.00,2158.00,1331100,2142.165
