Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,312.00,313.40,309.20,311.30,3112700,311.30
2017-02-08,311.70,316.40,308.20,311.70,6043600,311.70
2017-02-07,306.90,314.452,305.60,313.40,6132000,313.40
2017-02-06,303.50,306.90,294.60,305.30,8232200,305.30
2017-02-03,313.50,314.70,303.80,304.60,10633400,304.60
2017-02-02,311.70,318.90,308.10,313.50,5345600,313.50
2017-02-01,316.90,316.90,311.00,312.50,5655100,312.50
2017-01-31,316.80,318.20,315.70,315.90,5821500,315.90
2017-01-30,317.20,317.30,312.60,316.00,4670500,316.00
2017-01-27,322.50,322.50,314.667,317.20,2214000,317.20
2017-01-26,318.20,320.90,310.00,320.60,5756000,320.60
2017-01-25,315.80,319.00,311.40,317.60,7211800,317.60
2017-01-24,342.50,344.70,314.20,315.00,13184400,315.00
2017-01-23,343.00,346.30,335.02,336.10,6611500,336.10
2017-01-20,349.80,353.70,345.00,345.00,3247300,345.00
2017-01-19,351.30,354.80,346.80,348.90,4001700,348.90
2017-01-18,349.20,355.70,344.90,350.90,6164200,350.90
2017-01-17,341.90,348.20,339.00,346.50,4121600,346.50
2017-01-16,350.60,351.408,341.89,343.50,2410900,343.50
2017-01-13,347.40,356.427,347.40,350.90,7539300,350.90
2017-01-12,357.60,358.50,346.20,346.80,3933200,346.80
2017-01-11,344.40,358.30,344.40,357.00,8082100,357.00
2017-01-10,340.60,345.10,337.20,344.60,3852300,344.60
2017-01-09,338.70,342.20,334.90,340.60,2241500,340.60
2017-01-06,339.10,340.40,333.50,337.80,2753800,337.80
2017-01-05,331.40,342.40,331.20,340.90,5094800,340.90
2017-01-04,341.50,341.926,330.80,332.00,7103700,332.00
2017-01-03,358.30,359.00,340.60,341.00,5086700,341.00
2017-01-02,354.60,354.60,354.60,354.60,000,354.60
2016-12-30,349.80,354.60,348.50,354.60,1712100,354.60
2016-12-29,348.50,351.80,346.40,349.00,1735900,349.00
2016-12-28,349.80,352.70,344.60,352.70,2517500,349.20
2016-12-27,349.70,349.70,349.70,349.70,000,346.23
2016-12-26,349.70,349.70,349.70,349.70,000,346.23
2016-12-23,349.50,353.10,348.50,349.70,1430300,346.23
2016-12-22,345.10,349.60,344.836,349.60,1888700,346.131
2016-12-21,343.50,346.40,339.60,344.90,2588200,341.477
2016-12-20,345.50,347.40,339.40,343.10,3327000,339.695
2016-12-19,345.40,348.60,341.40,344.80,2819700,341.378
2016-12-16,345.00,346.092,335.50,344.10,5594100,340.685
2016-12-15,342.40,348.30,333.30,345.90,6977800,342.467
2016-12-14,370.10,373.28,339.20,342.60,10382100,339.20
2016-12-13,359.20,367.70,350.533,366.70,3883500,363.061
2016-12-12,367.20,368.90,354.00,356.60,4309400,353.061
2016-12-09,356.50,360.80,353.60,360.20,3129900,356.626
2016-12-08,356.80,359.80,352.30,354.10,2640600,350.586
2016-12-07,353.90,358.20,353.10,358.00,2662600,354.447
2016-12-06,344.50,351.811,341.50,351.70,2740800,348.21
2016-12-05,347.10,347.60,340.20,342.00,2927400,338.606
2016-12-02,340.50,347.60,336.10,346.30,3206400,342.863
2016-12-01,335.90,344.40,332.70,344.40,4221700,340.982
