Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,2249.50,2259.00,2236.00,2255.50,3088900,2231.80
2017-02-08,2226.00,2255.50,2212.00,2252.00,4321300,2228.337
2017-02-07,2207.50,2241.00,2207.50,2228.00,3133200,2204.589
2017-02-06,2209.50,2224.50,2205.50,2217.00,2368600,2193.705
2017-02-03,2198.00,2218.00,2195.00,2213.00,3165900,2189.747
2017-02-02,2183.00,2203.00,2170.00,2194.50,6082000,2171.441
2017-02-01,2216.00,2220.11,2180.00,2188.00,4487000,2165.009
2017-01-31,2213.50,2230.50,2196.00,2203.50,4489600,2180.346
2017-01-30,2210.00,2222.00,2195.50,2218.00,5663200,2194.694
2017-01-27,2222.50,2251.00,2218.38,2244.00,7112100,2220.421
2017-01-26,2206.50,2265.00,2195.50,2218.00,9465200,2194.694
2017-01-25,2169.00,2174.00,2141.00,2141.00,5709700,2118.503
2017-01-24,2147.50,2172.50,2143.00,2165.00,4532500,2142.251
2017-01-23,2138.50,2165.00,2138.00,2146.00,3662900,2123.451
2017-01-20,2163.00,2163.00,2143.94,2152.00,5280000,2129.388
2017-01-19,2169.50,2172.50,2152.50,2162.00,4335300,2139.282
2017-01-18,2142.00,2166.00,2137.50,2161.00,4575200,2138.293
2017-01-17,2190.50,2191.50,2128.50,2131.50,5411500,2109.103
2017-01-16,2200.00,2213.50,2185.11,2195.50,2541900,2172.43
2017-01-13,2182.00,2197.50,2176.00,2197.50,3272400,2174.409
2017-01-12,2171.50,2180.00,2163.00,2176.50,2575700,2153.63
2017-01-11,2158.50,2180.00,2152.50,2174.00,4009700,2151.156
2017-01-10,2173.50,2180.00,2161.51,2165.50,3759800,2142.746
2017-01-09,2145.50,2172.00,2143.50,2169.50,3344900,2146.704
2017-01-06,2125.50,2149.62,2125.50,2143.50,2621300,2120.977
2017-01-05,2129.50,2145.50,2122.50,2135.00,3627400,2112.566
2017-01-04,2101.00,2132.50,2088.50,2124.00,4222800,2101.682
2017-01-03,2117.50,2126.50,2091.50,2099.00,3497100,2076.944
2017-01-02,2110.00,2110.00,2110.00,2110.00,000,2087.829
2016-12-30,2099.50,2110.00,2087.50,2110.00,2179300,2087.829
2016-12-29,2080.50,2101.00,2078.00,2101.00,1527400,2078.923
2016-12-28,2097.00,2097.00,2075.00,2087.50,2891300,2065.565
2016-12-27,2097.00,2097.00,2097.00,2097.00,000,2074.965
2016-12-26,2097.00,2097.00,2097.00,2097.00,000,2074.965
2016-12-23,2082.00,2097.00,2082.00,2097.00,867800,2074.965
2016-12-22,2078.50,2085.00,2068.50,2084.50,2421000,2062.597
2016-12-21,2068.50,2086.00,2064.00,2086.00,3308700,2064.081
2016-12-20,2076.00,2082.07,2065.78,2075.00,3563900,2053.197
2016-12-19,2062.50,2081.11,2058.50,2075.50,2417300,2053.691
2016-12-16,2047.50,2070.50,2047.50,2055.00,4710200,2033.407
2016-12-15,2053.50,2064.00,2040.00,2055.50,4777300,2033.902
2016-12-14,2063.50,2076.50,2049.00,2057.00,4737900,2035.386
2016-12-13,2046.00,2088.59,2037.50,2076.50,6134200,2054.681
2016-12-12,2041.50,2048.00,2030.50,2038.00,5215300,2016.585
2016-12-09,2023.50,2043.61,2023.00,2043.00,3400800,2021.533
2016-12-08,2008.50,2029.00,2000.00,2029.00,5337600,2007.68
2016-12-07,1960.00,2000.50,1946.00,2000.50,5862000,1979.479
2016-12-06,1962.50,1968.50,1948.00,1956.50,3144900,1935.942
2016-12-05,1946.50,1985.00,1946.50,1961.00,4808000,1940.395
2016-12-02,1953.00,1968.50,1949.00,1957.50,4999300,1936.931
2016-12-01,2000.00,2001.00,1955.00,1966.50,6014300,1945.837
2016-11-30,2016.50,2043.50,2003.50,2005.00,5709500,1983.932
2016-11-29,2012.50,2023.50,1996.00,2011.50,4184800,1990.364
2016-11-28,2016.00,2016.00,1994.50,2010.00,4071800,1988.88
2016-11-25,1994.50,2027.86,1994.00,2015.00,2904600,1993.827
2016-11-24,1998.50,2002.50,1978.22,1996.00,2681900,1975.027
2016-11-23,1992.00,2019.50,1990.00,1991.50,4855100,1970.574
2016-11-22,2007.50,2019.00,1988.02,2002.50,6521000,1981.458
2016-11-21,2021.00,2025.00,1994.00,2005.00,8884600,1983.932
2016-11-18,2026.50,2042.50,2016.50,2029.00,6840500,2007.68
2016-11-17,2006.50,2045.00,2002.00,2027.00,7161600,2005.701
2016-11-16,1994.00,2002.50,1974.50,2002.50,4504000,1981.458
2016-11-15,1975.00,2004.00,1970.00,1987.50,4973900,1966.616
2016-11-14,1990.50,1995.50,1959.00,1970.00,4691700,1949.30
2016-11-11,2001.50,2013.00,1959.75,1982.50,7964800,1961.669
2016-11-10,2076.00,2076.62,1981.50,1992.50,7622800,1971.564
2016-11-09,2055.00,2098.00,2037.86,2067.00,6679500,2045.281
2016-11-08,2074.50,2092.50,2070.08,2091.00,4768600,2069.029
2016-11-07,2083.50,2084.00,2057.61,2072.00,4329200,2050.228
2016-11-04,2052.50,2073.89,2049.50,2058.50,5227900,2036.87
2016-11-03,2129.00,2140.00,2066.00,2070.50,6998100,2048.744
2016-11-02,2150.00,2157.00,2129.50,2132.50,3635500,2110.092
2016-11-01,2159.50,2182.89,2154.00,2159.50,3409700,2136.809
2016-10-31,2185.50,2194.50,2176.00,2179.50,3797400,2156.599
2016-10-28,2178.50,2201.50,2165.00,2187.50,4222300,2164.515
2016-10-27,2177.00,2208.00,2177.00,2189.00,3761900,2165.999
2016-10-26,2215.00,2219.00,2189.00,2190.00,6552000,2166.988
2016-10-25,2189.00,2213.50,2178.50,2203.50,4672000,2180.346
2016-10-24,2188.50,2201.00,2178.00,2178.00,4212000,2155.114
2016-10-21,2188.50,2201.00,2172.89,2178.50,5400000,2155.609
2016-10-20,2185.00,2190.50,2171.50,2190.00,4649400,2166.988
2016-10-19,2166.50,2186.00,2161.50,2180.50,3439700,2157.588
2016-10-18,2186.00,2203.00,2168.50,2173.00,3982300,2150.167
2016-10-17,2189.50,2189.50,2168.50,2174.00,4078500,2151.156
2016-10-14,2200.50,2203.50,2189.00,2190.00,4412100,2166.988
2016-10-13,2198.00,2205.50,2184.50,2198.50,5018800,2175.399
