Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,934.50,957.50,918.50,950.00,3809300,896.20
2017-02-08,925.50,941.50,922.00,933.50,2761700,880.634
2017-02-07,935.00,939.18,922.50,923.00,3403600,870.729
2017-02-06,940.00,944.00,926.563,932.50,2741300,879.691
2017-02-03,939.00,953.50,934.50,940.00,1971300,886.766
2017-02-02,940.00,945.21,931.50,935.00,2899800,882.049
2017-02-01,948.50,960.925,937.75,942.50,3983800,889.125
2017-01-31,963.50,970.00,950.00,950.00,3002400,896.20
2017-01-30,965.50,972.255,954.00,963.00,5318300,908.464
2017-01-27,983.50,988.00,966.51,974.00,5413700,918.841
2017-01-26,1005.00,1010.00,983.516,995.00,3311200,938.652
2017-01-25,982.50,1075.90,980.864,1008.00,6371100,950.915
2017-01-24,1018.00,1075.90,967.00,981.00,15180900,925.444
2017-01-23,1035.00,1079.00,1035.00,1076.00,4804000,1015.064
2017-01-20,1040.00,1054.00,1036.12,1044.00,3010000,984.877
2017-01-19,1052.00,1056.46,1032.00,1041.00,3002400,982.047
2017-01-18,1063.00,1071.00,1041.36,1051.00,2592200,991.48
2017-01-17,1026.00,1070.00,1020.00,1058.00,3906300,998.084
2017-01-16,1035.00,1040.72,1014.75,1023.00,3042000,965.066
2017-01-13,1037.00,1049.00,1032.36,1036.00,1863700,977.33
2017-01-12,1056.00,1068.00,1033.00,1036.00,1646100,977.33
2017-01-11,1060.00,1079.00,1051.00,1055.00,2378800,995.254
2017-01-10,1055.00,1083.00,1046.75,1079.00,2263100,1017.895
2017-01-09,1060.00,1070.11,1047.72,1052.00,1639300,992.424
2017-01-06,1052.00,1076.00,1048.00,1059.00,3310000,999.027
2017-01-05,1010.00,1055.00,1008.98,1055.00,2984400,995.254
2017-01-04,990.00,1014.22,985.82,1009.00,2319400,951.859
2017-01-03,1005.00,1016.00,985.905,989.50,2083700,933.463
2017-01-02,1005.00,1005.00,1005.00,1005.00,000,948.085
2016-12-30,998.50,1005.00,990.50,1005.00,892100,948.085
2016-12-29,1009.00,1018.00,997.39,1002.00,1152200,945.255
2016-12-28,1031.00,1035.00,1010.36,1014.00,1089300,956.576
2016-12-26,1035.00,1035.00,1035.00,1035.00,000,976.386
2016-12-23,1025.00,1037.00,1021.00,1035.00,339100,976.386
2016-12-22,1027.00,1031.00,1017.00,1026.00,988400,967.896
2016-12-21,1026.00,1039.44,1025.00,1028.00,1404800,969.783
2016-12-20,1034.00,1046.00,1027.00,1028.00,1619700,969.783
2016-12-19,1043.00,1047.80,1022.00,1034.00,1936800,975.443
2016-12-16,1004.00,1047.00,998.50,1043.00,3795300,983.933
2016-12-15,985.00,1009.22,983.50,1007.00,2275900,949.972
2016-12-14,985.00,1010.00,979.50,980.50,2312600,924.973
2016-12-13,967.00,992.50,964.00,989.00,2153000,932.991
2016-12-12,995.00,995.00,968.50,970.00,2525400,915.067
2016-12-09,1005.00,1009.00,981.39,997.00,2014800,940.538
2016-12-08,1001.00,1008.01,970.00,1007.00,4719300,949.972
2016-12-07,988.50,998.50,974.50,993.50,2965300,937.237
2016-12-06,980.00,984.50,968.00,980.50,1630700,924.973
2016-12-05,968.00,988.00,960.00,974.50,1853500,919.313
2016-12-02,979.50,985.00,963.00,970.50,1872300,915.539
2016-12-01,992.00,1006.00,981.50,996.50,1937000,940.067
2016-11-30,1005.00,1008.08,979.01,990.00,7653800,933.935
2016-11-29,1003.00,1025.00,996.50,1011.00,2163500,953.745
2016-11-28,1015.00,1034.00,995.50,1005.00,2219700,948.085
2016-11-25,1019.00,1028.36,1013.00,1020.00,1697500,962.236
2016-11-24,1051.00,1055.28,1016.21,1022.00,1727000,964.123
2016-11-23,1069.00,1077.00,1042.00,1046.00,3608500,986.763
2016-11-22,1070.00,1084.00,1058.00,1065.00,2379800,1004.687
2016-11-21,1077.00,1078.00,1059.50,1067.00,2677400,1006.574
2016-11-18,1084.00,1093.00,1069.81,1071.00,2579100,1010.348
2016-11-17,1059.00,1084.00,1059.00,1082.00,2573900,1020.725
2016-11-16,1084.00,1110.00,1042.55,1060.00,3380000,999.971
2016-11-15,1053.00,1095.50,1021.00,1087.00,5470700,1025.441
2016-11-14,1064.00,1075.00,1027.36,1032.00,3470400,973.556
2016-11-11,1050.00,1071.78,1039.64,1055.00,3823700,995.254
2016-11-10,1040.00,1050.00,1031.00,1038.00,3332300,979.216
2016-11-09,994.00,1037.00,987.378,1034.00,3544100,975.443
2016-11-08,994.50,1030.00,988.00,1016.00,6284600,958.462
2016-11-07,997.50,1008.00,977.50,994.50,1999200,938.18
2016-11-04,987.00,991.50,963.00,983.50,5401900,927.803
2016-11-03,967.50,1016.00,956.00,997.50,5169300,941.01
2016-11-02,953.50,979.50,952.00,968.00,4186300,913.181
2016-11-01,938.50,947.742,929.50,940.50,2476200,887.238
