Date,Open,High,Low,Close,Volume,Adj Close
2015-04-10,429.40,429.40,429.40,429.40,000,429.40
2015-04-09,430.30,434.85,429.40,429.40,12060600,429.40
2015-04-08,410.10,432.50,404.00,429.30,13356200,405.20
2015-04-07,424.30,431.50,420.937,430.40,4012000,406.238
2015-04-06,423.50,423.50,423.50,423.50,000,399.726
2015-04-03,423.50,423.50,423.50,423.50,000,399.726
2015-04-02,418.70,423.50,417.90,423.50,3709900,399.726
2015-04-01,414.10,422.50,413.80,420.20,4864800,396.611
2015-03-31,419.50,421.90,407.10,413.60,11746100,390.381
2015-03-30,426.50,428.20,418.60,421.90,3473900,398.215
2015-03-27,424.10,428.20,420.20,421.70,7151900,398.027
2015-03-26,426.00,426.14,416.90,423.10,7941900,399.348
2015-03-25,434.30,437.60,430.30,430.40,2690100,406.238
2015-03-24,429.50,437.30,427.773,434.20,7627100,409.825
2015-03-23,434.70,434.70,428.40,429.20,6001700,405.106
2015-03-20,435.20,435.30,427.90,433.20,13099500,408.881
2015-03-19,426.40,433.80,423.90,432.10,9182600,407.843
2015-03-18,416.30,425.00,415.788,424.20,4583700,400.386
2015-03-17,417.80,419.80,413.90,416.10,3547500,392.741
2015-03-16,416.70,419.10,415.80,419.10,2549600,395.573
2015-03-13,419.10,421.70,411.10,413.70,4103900,390.476
2015-03-12,418.30,423.90,414.20,419.30,5928300,395.761
2015-03-11,420.50,424.30,415.30,417.50,3147500,394.062
2015-03-10,428.60,429.90,417.70,417.70,4133000,394.251
2015-03-09,426.70,429.60,421.80,428.10,2364700,404.067
2015-03-06,432.00,440.192,426.90,429.50,3907000,405.389
2015-03-05,410.60,436.50,410.60,434.90,7398400,410.486
2015-03-04,407.50,408.40,404.30,406.20,3996400,383.397
2015-03-03,410.10,412.30,405.40,405.40,3922800,382.642
2015-03-02,410.10,411.70,407.40,410.10,4831600,387.078
2015-02-27,415.70,416.60,411.10,411.10,3600600,388.022
2015-02-26,413.60,416.70,413.20,416.70,1857800,393.307
2015-02-25,416.70,419.60,413.80,415.30,3752500,391.986
2015-02-24,417.00,419.00,413.50,419.00,5099200,395.478
2015-02-23,421.50,421.50,415.50,416.10,3239400,392.741
2015-02-20,418.10,419.063,415.90,417.10,2900500,393.685
2015-02-19,416.30,420.30,415.80,417.80,4297800,394.346
2015-02-18,413.60,419.00,413.30,419.00,3033200,395.478
2015-02-17,407.00,413.60,406.60,413.50,2672600,390.287
2015-02-16,408.20,412.60,408.20,409.70,1271400,386.70
2015-02-13,411.50,413.50,408.30,410.50,3194900,387.455
2015-02-12,404.00,412.70,404.00,411.20,3067000,388.116
2015-02-11,408.80,410.20,404.70,406.00,3646100,383.208
2015-02-10,402.70,410.60,402.70,410.60,3931900,387.55
2015-02-09,405.00,405.80,400.90,403.00,2006800,380.376
2015-02-06,403.00,407.70,398.50,405.60,6721500,382.83
2015-02-05,397.40,399.40,396.325,398.90,6960000,376.507
2015-02-04,401.50,402.60,395.20,397.60,10592000,375.28
2015-02-03,398.60,404.60,398.10,401.80,9558700,379.244
2015-02-02,399.20,401.80,396.20,398.60,7194600,376.223
2015-01-30,404.40,407.60,398.40,398.40,6785900,376.035
2015-01-29,400.20,405.40,398.70,404.40,10668000,381.698
2015-01-28,407.20,407.30,399.00,401.10,10134200,378.583
2015-01-27,409.60,410.387,401.40,404.00,4352300,381.32
2015-01-26,405.80,413.50,403.68,409.50,3561900,386.512
2015-01-23,407.50,413.625,404.50,407.00,5816500,384.152
2015-01-22,398.60,409.20,398.282,406.80,4770900,383.963
2015-01-21,390.50,400.20,390.50,399.90,6192100,377.45
2015-01-20,389.60,391.20,385.40,390.20,8065900,368.295
2015-01-19,381.30,388.244,381.30,386.00,10745800,364.331
2015-01-16,379.10,382.80,376.944,381.50,8483700,360.083
2015-01-15,373.20,382.60,369.10,382.50,9242000,361.027
2015-01-14,366.50,374.20,366.50,371.20,7156300,350.362
2015-01-13,362.90,372.50,362.40,371.20,4660000,350.362
2015-01-12,371.30,376.40,363.20,365.00,4368800,344.51
2015-01-09,363.40,375.20,363.40,371.70,6524600,350.834
2015-01-08,354.50,367.60,352.50,365.10,5940000,344.604
2015-01-07,353.70,355.20,349.80,351.00,5538100,331.296
2015-01-06,356.30,358.539,352.30,352.60,4590000,332.806
2015-01-05,363.30,366.40,356.40,357.50,3264800,337.431
2015-01-02,369.30,369.90,363.70,365.00,2119200,344.51
2015-01-01,366.20,366.20,366.20,366.20,000,345.642
2014-12-31,368.20,369.40,364.90,366.20,437700,345.642
2014-12-30,367.10,370.40,365.20,366.40,1488200,345.831
2014-12-29,375.50,376.50,367.20,370.70,2000300,349.89
2014-12-26,371.60,371.60,371.60,371.60,000,350.739
2014-12-25,371.60,371.60,371.60,371.60,000,350.739
2014-12-24,367.40,374.40,367.40,371.60,411400,350.739
2014-12-23,373.20,375.10,369.70,371.40,2868500,350.55
2014-12-22,373.80,375.30,370.30,371.30,1990700,350.456
2014-12-19,364.10,375.10,363.90,372.60,4643900,351.683
2014-12-18,355.50,363.70,354.20,363.50,6158700,343.094
2014-12-17,348.30,352.40,344.072,350.00,8198300,330.352
2014-12-16,350.40,351.988,345.953,351.90,10842700,332.145
2014-12-15,354.10,361.10,349.80,349.80,6550700,330.163
2014-12-12,364.80,366.80,355.10,355.10,5437800,335.165
2014-12-11,370.50,371.90,365.10,367.30,6106600,346.681
2014-12-10,372.60,374.30,369.743,372.10,4209600,351.211
2014-12-09,379.60,381.40,371.52,371.90,9503800,351.022
2014-12-08,380.00,382.90,378.40,381.80,4583000,360.367
2014-12-05,379.50,382.30,377.653,380.50,8527000,359.14
2014-12-04,380.30,383.40,376.00,376.00,7681300,354.892
2014-12-03,373.80,382.40,372.315,379.30,10158700,358.007
2014-12-02,367.80,386.50,363.20,375.10,26483400,354.043
2014-12-01,367.00,372.49,360.50,366.20,5465000,345.642
2014-11-28,366.20,370.068,365.487,369.20,6906800,348.474
2014-11-27,367.80,369.40,366.50,367.20,3331300,346.586
