Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1577.00,1580.00,1523.00,1529.00,1694700,1529.00
2017-02-08,1572.00,1594.00,1533.00,1569.00,1571400,1569.00
2017-02-07,1500.00,1572.00,1495.92,1566.00,1296100,1566.00
2017-02-06,1486.00,1502.00,1467.00,1488.00,920900,1488.00
2017-02-03,1465.00,1471.02,1438.00,1469.00,1088000,1469.00
2017-02-02,1472.00,1506.00,1472.00,1484.00,1311600,1484.00
2017-02-01,1450.00,1489.00,1428.00,1466.00,1719400,1466.00
2017-01-31,1419.00,1465.00,1407.00,1453.00,1314900,1453.00
2017-01-30,1423.00,1431.00,1404.00,1414.00,1217400,1414.00
2017-01-27,1331.00,1433.00,1331.00,1428.00,1208400,1428.00
2017-01-26,1421.00,1424.00,1360.20,1372.00,1755800,1372.00
2017-01-25,1479.00,1503.01,1403.00,1420.00,1946400,1420.00
2017-01-24,1458.00,1490.00,1422.00,1482.00,1078500,1482.00
2017-01-23,1419.00,1450.02,1411.99,1450.00,930400,1450.00
2017-01-20,1401.00,1414.00,1390.00,1402.00,969400,1402.00
2017-01-19,1426.00,1436.00,1394.00,1398.00,1518700,1398.00
2017-01-18,1420.00,1447.00,1400.00,1447.00,1196400,1447.00
2017-01-17,1450.00,1463.00,1425.00,1425.00,1507900,1425.00
2017-01-16,1435.00,1463.00,1416.00,1436.00,1027100,1436.00
2017-01-13,1419.00,1432.57,1352.00,1413.00,1683500,1413.00
2017-01-12,1405.00,1449.00,1405.00,1422.00,1699300,1422.00
2017-01-11,1421.00,1431.86,1370.00,1381.00,1223100,1381.00
2017-01-10,1379.00,1450.00,1371.00,1432.00,1768500,1432.00
2017-01-09,1352.00,1370.00,1328.00,1370.00,1312200,1370.00
2017-01-06,1384.00,1384.00,1344.00,1349.00,1440300,1349.00
2017-01-05,1325.00,1402.00,1317.95,1398.00,1780600,1398.00
2017-01-04,1273.00,1330.00,1264.15,1314.00,2282300,1314.00
2017-01-03,1221.00,1272.00,1213.00,1266.00,1615500,1266.00
2017-01-02,1221.00,1221.00,1221.00,1221.00,000,1221.00
2016-12-30,1227.00,1229.00,1185.00,1221.00,698400,1221.00
2016-12-29,1184.00,1224.62,1184.00,1224.00,945700,1224.00
2016-12-28,1126.00,1175.00,1112.00,1170.00,783100,1170.00
2016-12-27,1112.00,1112.00,1112.00,1112.00,000,1112.00
2016-12-26,1112.00,1112.00,1112.00,1112.00,000,1112.00
2016-12-23,1120.00,1127.00,1112.00,1112.00,323600,1112.00
2016-12-22,1096.00,1137.00,1094.00,1124.00,823300,1124.00
2016-12-21,1097.00,1117.00,1087.00,1093.00,968200,1093.00
2016-12-20,1112.00,1112.00,1082.00,1091.00,972200,1091.00
2016-12-19,1110.00,1115.50,1072.00,1114.00,1276700,1114.00
2016-12-16,1111.00,1127.00,1094.00,1101.00,1843900,1101.00
2016-12-15,1133.00,1133.00,1052.00,1114.00,2994100,1114.00
2016-12-14,1140.00,1183.00,1131.00,1180.00,1630700,1180.00
2016-12-13,1151.00,1153.00,1108.77,1140.00,1376100,1140.00
2016-12-12,1182.00,1186.57,1142.00,1145.00,1484200,1145.00
2016-12-09,1176.00,1219.00,1166.00,1184.00,1410400,1184.00
2016-12-08,1181.00,1193.00,1158.00,1168.00,1155100,1168.00
2016-12-07,1159.00,1179.00,1122.00,1173.00,1534600,1173.00
2016-12-06,1155.00,1164.00,1137.00,1144.00,1449400,1144.00
2016-12-05,1198.00,1209.00,1140.00,1150.00,1461400,1150.00
2016-12-02,1176.00,1207.00,1160.00,1198.00,1122300,1198.00
2016-12-01,1209.00,1215.00,1132.00,1182.00,1524400,1182.00
2016-11-30,1240.00,1255.00,1199.64,1200.00,2743100,1200.00
2016-11-29,1269.00,1277.00,1223.00,1234.00,1250700,1234.00
2016-11-28,1246.00,1278.00,1242.00,1278.00,1261000,1278.00
2016-11-25,1250.00,1250.00,1218.30,1232.00,847000,1232.00
2016-11-24,1241.00,1266.00,1227.00,1244.00,722300,1244.00
2016-11-23,1277.00,1337.00,1222.00,1244.00,1710100,1244.00
2016-11-22,1362.00,1362.00,1280.00,1282.00,1462700,1282.00
2016-11-21,1297.00,1338.00,1297.00,1330.00,1057500,1330.00
2016-11-18,1349.00,1349.00,1285.00,1289.00,1778800,1289.00
2016-11-17,1392.00,1401.00,1364.00,1384.00,1739300,1384.00
2016-11-16,1414.00,1427.00,1374.00,1378.00,1306500,1378.00
2016-11-15,1451.00,1470.00,1394.00,1405.00,1635000,1405.00
2016-11-14,1432.00,1513.91,1392.00,1405.00,1646800,1405.00
2016-11-11,1544.00,1554.00,1432.00,1435.00,1978800,1435.00
2016-11-10,1771.00,1785.00,1571.00,1576.00,2455400,1576.00
2016-11-09,1760.00,1864.00,1702.28,1771.00,4123500,1771.00
2016-11-08,1575.00,1616.00,1558.00,1600.00,1255900,1600.00
2016-11-07,1615.00,1620.45,1570.82,1576.00,1146600,1576.00
2016-11-04,1691.00,1712.34,1616.00,1625.00,1349300,1625.00
2016-11-03,1766.00,1781.00,1679.00,1703.00,1530900,1703.00
2016-11-02,1707.00,1794.00,1706.00,1780.00,2032300,1780.00
2016-11-01,1649.00,1722.00,1640.00,1718.00,1607900,1718.00
2016-10-31,1617.00,1646.00,1609.00,1640.00,1151800,1640.00
2016-10-28,1607.00,1626.00,1585.79,1612.00,753200,1612.00
2016-10-27,1614.00,1629.00,1586.00,1614.00,664800,1614.00
2016-10-26,1632.00,1642.00,1599.00,1608.00,1041400,1608.00
2016-10-25,1628.00,1648.36,1612.00,1643.00,943400,1643.00
2016-10-24,1653.00,1678.00,1613.00,1613.00,1038500,1613.00
2016-10-21,1653.00,1659.00,1634.00,1646.00,1156000,1646.00
2016-10-20,1655.00,1656.00,1624.00,1650.00,959400,1650.00
2016-10-19,1643.00,1667.00,1620.00,1651.00,1354200,1651.00
2016-10-18,1628.00,1662.00,1618.00,1635.00,934900,1635.00
2016-10-17,1616.00,1619.00,1595.00,1608.00,955000,1608.00
2016-10-14,1689.00,1695.00,1616.00,1620.00,1156000,1620.00
2016-10-13,1640.00,1696.00,1639.00,1666.00,1609600,1666.00
2016-10-12,1645.00,1659.00,1607.64,1636.00,1179400,1636.00
2016-10-11,1687.00,1703.00,1638.00,1647.00,1092700,1647.00
2016-10-10,1686.00,1709.00,1680.00,1685.00,948200,1685.00
2016-10-07,1628.00,1714.00,1612.61,1665.00,1957500,1665.00
2016-10-06,1678.00,1695.00,1613.85,1614.00,1484400,1614.00
2016-10-05,1699.00,1706.00,1659.00,1675.00,1584600,1675.00
2016-10-04,1820.00,1851.00,1722.00,1724.00,2006000,1724.00
2016-10-03,1814.00,1858.00,1805.00,1827.00,859500,1827.00
2016-09-30,1799.00,1858.00,1795.00,1814.00,1437400,1814.00
2016-09-29,1825.00,1843.00,1799.00,1810.00,1051800,1810.00
2016-09-28,1783.00,1803.00,1761.00,1777.00,775800,1777.00
2016-09-27,1809.00,1825.00,1774.00,1776.00,1178800,1776.00
2016-09-26,1777.00,1806.00,1763.00,1790.00,858400,1790.00
2016-09-23,1766.00,1808.00,1747.00,1786.00,931200,1786.00
2016-09-22,1759.00,1806.00,1757.00,1802.00,1184400,1802.00
2016-09-21,1677.00,1716.00,1673.00,1713.00,1048800,1713.00
2016-09-20,1670.00,1702.00,1666.00,1670.00,873700,1670.00
2016-09-19,1633.00,1685.27,1633.00,1670.00,701700,1670.00
2016-09-16,1641.00,1641.00,1593.00,1616.00,1689700,1616.00
2016-09-15,1647.00,1663.00,1606.00,1646.00,1232700,1646.00
2016-09-14,1616.00,1677.00,1612.00,1635.00,946200,1635.00
2016-09-13,1649.00,1682.00,1603.00,1612.00,933300,1612.00
2016-09-12,1622.00,1641.00,1599.00,1635.00,926600,1635.00
2016-09-09,1688.00,1697.00,1630.00,1640.00,961200,1640.00
2016-09-08,1723.00,1727.00,1693.00,1697.00,951400,1697.00
2016-09-07,1706.00,1733.00,1702.00,1719.00,1015100,1719.00
2016-09-06,1681.00,1712.00,1677.00,1694.00,1310200,1694.00
2016-09-05,1679.00,1715.00,1665.00,1673.00,955100,1673.00
2016-09-02,1619.00,1697.00,1609.00,1668.00,1869800,1668.00
2016-09-01,1603.00,1633.00,1572.00,1619.00,1574500,1619.00
2016-08-31,1679.00,1692.00,1605.00,1606.00,1748800,1606.00
2016-08-30,1763.00,1766.00,1678.00,1690.00,1507400,1690.00
2016-08-26,1779.00,1797.00,1729.00,1790.00,985100,1790.00
2016-08-25,1751.00,1773.00,1716.00,1756.00,1122800,1756.00
2016-08-24,1824.00,1824.00,1759.00,1762.00,1331400,1762.00
2016-08-23,1830.00,1872.00,1822.00,1836.00,666700,1836.00
2016-08-22,1912.00,1914.00,1804.00,1825.00,1445100,1825.00
2016-08-19,1936.00,1971.00,1918.94,1939.00,1025900,1939.00
2016-08-18,1940.00,1976.00,1926.00,1937.00,841700,1937.00
2016-08-17,1985.00,2010.00,1916.00,1927.00,1131700,1927.00
2016-08-16,1984.00,2035.15,1965.00,1982.00,1193900,1982.00
2016-08-15,1960.00,1996.00,1945.00,1983.00,657100,1983.00
2016-08-12,1950.00,1977.00,1917.00,1963.00,1139500,1963.00
2016-08-11,1961.00,1977.00,1943.00,1972.00,1111700,1972.00
2016-08-10,1960.00,1995.00,1951.00,1960.00,1250500,1951.40
2016-08-09,1915.00,1960.00,1894.00,1957.00,978500,1948.413
2016-08-08,1865.00,1955.08,1850.00,1915.00,1348400,1906.597
2016-08-05,1969.00,1995.00,1876.72,1884.00,1514700,1875.734
2016-08-04,1930.00,1961.00,1832.63,1954.00,1665400,1945.426
2016-08-03,1975.00,2010.00,1914.00,1941.00,1216400,1932.483
2016-08-02,1965.00,1995.00,1921.00,1955.00,1265800,1946.422
2016-08-01,1946.00,1974.00,1899.35,1923.00,922900,1914.562
2016-07-29,1903.00,1931.00,1866.00,1931.00,1092200,1922.527
2016-07-28,1859.00,1953.00,1859.00,1902.00,1075600,1893.655
2016-07-27,1875.00,1894.00,1831.00,1847.00,907400,1838.896
2016-07-26,1808.00,1887.00,1798.00,1867.00,1041600,1858.808
2016-07-25,1830.00,1838.17,1777.00,1801.00,732900,1793.098
2016-07-22,1827.00,1854.00,1801.40,1831.00,948000,1822.966
2016-07-21,1786.00,1833.00,1738.00,1817.00,1279800,1809.027
2016-07-20,1873.00,1895.00,1787.00,1819.00,985000,1811.019
2016-07-19,1881.00,1904.00,1859.00,1877.00,852100,1868.764
2016-07-18,1840.00,1882.00,1803.55,1874.00,1061100,1865.777
2016-07-15,1895.00,1898.82,1818.00,1858.00,1772400,1849.848
2016-07-14,1955.00,1961.00,1878.00,1907.00,1368800,1898.633
2016-07-13,1933.00,1984.00,1917.07,1936.00,1309400,1927.505
2016-07-12,1945.00,1979.67,1914.00,1929.00,1464000,1920.536
2016-07-11,1888.00,1999.75,1888.00,1984.00,1662600,1975.295
2016-07-08,1907.00,1949.00,1817.00,1870.00,1919600,1861.795
2016-07-07,1966.00,2002.00,1909.00,1916.00,1933100,1907.593
2016-07-06,1932.00,2057.21,1923.24,2008.00,2650400,1999.189
2016-07-05,1860.00,1940.00,1793.00,1893.00,2151700,1884.694
