Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,254.30,255.60,253.20,255.40,2093600,255.40
2017-02-08,255.20,257.90,253.70,255.40,3135600,255.40
2017-02-07,254.90,260.60,252.30,256.20,4057300,256.20
2017-02-06,252.80,255.90,251.50,255.50,3497500,255.50
2017-02-03,255.00,255.60,251.40,252.40,5702300,252.40
2017-02-02,253.80,257.90,251.00,255.70,3589000,255.70
2017-02-01,255.30,257.90,252.90,254.00,4275700,254.00
2017-01-31,253.00,262.40,253.00,255.20,8929300,255.20
2017-01-30,253.20,255.70,250.90,251.50,3280400,251.50
2017-01-27,252.00,256.10,250.632,254.20,4900000,254.20
2017-01-26,253.30,253.30,249.30,252.70,3755000,252.70
2017-01-25,254.00,256.70,251.90,253.00,7845200,253.00
2017-01-24,251.20,254.30,247.10,252.10,4852000,252.10
2017-01-23,248.20,252.70,245.385,250.70,6697400,250.70
2017-01-20,246.80,247.80,244.90,246.20,5170400,246.20
2017-01-19,250.30,253.50,246.60,246.80,7351500,246.80
2017-01-18,244.40,245.80,241.70,245.00,5359200,245.00
2017-01-17,245.80,246.613,241.20,243.10,2861100,243.10
2017-01-16,244.10,247.60,244.10,247.10,2729600,247.10
2017-01-13,244.20,245.60,243.60,245.60,2678800,245.60
2017-01-12,243.00,246.60,243.00,243.70,3447200,243.70
2017-01-11,241.10,243.20,239.50,242.00,4209600,242.00
2017-01-10,242.30,244.60,240.80,241.10,5219000,241.10
2017-01-09,242.40,242.40,238.70,240.70,5692100,240.70
2017-01-06,240.60,241.50,236.60,240.90,5281400,240.90
2017-01-05,237.40,245.10,236.80,239.00,6780300,239.00
2017-01-04,230.80,233.20,228.70,232.40,3883000,232.40
2017-01-03,236.80,236.80,228.70,229.70,4133600,229.70
2017-01-02,235.00,235.00,235.00,235.00,000,235.00
2016-12-30,231.20,235.00,231.20,235.00,1436800,235.00
2016-12-29,230.70,232.30,228.25,231.80,3276900,231.80
2016-12-28,229.80,234.50,229.80,232.00,2966300,232.00
2016-12-27,230.30,230.30,230.30,230.30,000,230.30
2016-12-26,230.30,230.30,230.30,230.30,000,230.30
2016-12-23,232.10,233.90,230.30,230.30,1249900,230.30
2016-12-22,228.40,233.10,227.10,231.90,2822500,231.90
2016-12-21,233.10,233.40,227.00,229.20,7399100,229.20
2016-12-20,232.90,235.10,229.70,234.10,4866000,234.10
2016-12-19,234.70,235.40,229.50,234.60,2330800,234.60
2016-12-16,235.80,236.70,233.10,235.10,4265700,235.10
2016-12-15,233.60,235.40,231.10,235.00,3963800,235.00
2016-12-14,235.40,235.50,231.50,232.30,6227600,232.30
2016-12-13,231.60,236.30,231.20,236.10,4370400,236.10
2016-12-12,228.50,232.20,228.50,230.40,5608800,230.40
2016-12-09,226.40,230.70,224.80,230.50,4353900,230.50
2016-12-08,225.30,230.00,222.80,225.80,6081100,225.80
2016-12-07,229.80,230.31,221.40,224.10,8575100,224.10
2016-12-06,230.90,236.00,226.10,229.50,6826300,229.50
2016-12-05,240.50,242.10,231.10,231.70,6560400,231.70
2016-12-02,241.90,244.10,239.60,243.10,3655400,243.10
2016-12-01,243.30,244.20,238.70,241.60,3715300,241.60
2016-11-30,238.50,244.222,238.00,244.10,13942600,244.10
2016-11-29,244.20,246.10,237.20,239.80,4469100,239.80
2016-11-28,246.80,246.90,242.50,244.80,1566100,244.80
2016-11-25,247.30,247.30,242.20,245.40,1468000,245.40
2016-11-24,244.90,246.50,242.60,246.50,1504900,246.50
2016-11-23,244.20,248.60,240.10,244.40,2958000,244.40
2016-11-22,243.40,245.80,242.30,244.60,2122500,244.60
2016-11-21,245.70,245.70,239.60,243.00,3284200,243.00
2016-11-18,247.30,247.875,244.30,244.50,2423500,244.50
2016-11-17,247.80,250.50,245.50,247.60,2540900,247.60
2016-11-16,248.90,249.20,244.90,245.70,1992400,245.70
2016-11-15,247.90,250.20,244.20,248.20,2398200,248.20
2016-11-14,245.00,251.70,241.70,248.10,3752000,248.10
2016-11-11,247.60,249.70,241.50,243.20,3201200,243.20
2016-11-10,245.30,251.30,245.30,247.70,9637300,247.70
2016-11-09,240.40,249.70,235.70,246.70,3963000,246.70
2016-11-08,244.20,247.10,243.50,246.60,3117300,246.60
2016-11-07,247.60,251.79,241.80,245.20,4633200,245.20
2016-11-04,249.30,249.80,243.50,244.50,5671600,244.50
2016-11-03,246.00,254.30,242.44,251.00,10380700,251.00
2016-11-02,235.00,243.90,233.00,242.80,16061100,242.80
2016-11-01,220.00,222.603,217.00,220.10,3784800,220.10
2016-10-31,221.00,223.30,218.90,220.00,6401200,220.00
2016-10-28,223.10,225.40,222.00,222.30,4204800,222.30
2016-10-27,226.70,227.50,223.40,224.40,3454500,224.40
2016-10-26,225.60,228.40,224.00,226.60,2418300,226.60
2016-10-25,229.90,230.30,226.20,227.10,2859700,227.10
2016-10-24,233.60,233.80,229.50,229.60,2742500,229.60
2016-10-21,233.40,234.47,231.40,231.90,2633600,231.90
2016-10-20,236.10,239.40,233.50,234.20,4243200,234.20
2016-10-19,235.60,237.00,233.70,235.40,2822900,235.40
2016-10-18,235.30,237.20,233.70,236.30,2387100,236.30
2016-10-17,239.80,241.00,232.20,234.30,4193400,234.30
2016-10-14,236.70,241.90,236.10,241.70,4241400,241.70
2016-10-13,233.00,237.30,232.60,235.70,4524200,235.70
2016-10-12,231.50,232.20,230.05,230.90,2768700,230.90
2016-10-11,230.20,232.80,229.60,231.10,1944900,231.10
2016-10-10,231.00,231.60,227.10,230.20,2671400,230.20
2016-10-07,232.00,234.50,229.40,230.20,3783200,230.20
2016-10-06,236.60,237.27,231.50,232.10,3791100,232.10
2016-10-05,241.70,242.20,233.312,234.60,10698400,234.60
2016-10-04,235.00,243.80,234.90,240.70,6085300,240.70
