Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,344.90,346.90,339.40,341.80,4487800,341.80
2017-02-08,343.10,347.70,342.20,344.50,5290800,344.50
2017-02-07,343.50,348.10,342.20,343.80,6103800,343.80
2017-02-06,345.70,347.70,342.80,343.90,5310800,343.90
2017-02-03,346.40,349.00,344.90,347.10,5129800,347.10
2017-02-02,346.00,348.30,343.10,346.30,4132600,346.30
2017-02-01,345.00,349.80,345.00,346.60,4595900,346.60
2017-01-31,345.00,350.60,343.00,343.40,13341500,343.40
2017-01-30,347.00,348.312,343.80,345.00,11267600,345.00
2017-01-27,352.00,352.00,347.00,348.50,3794500,348.50
2017-01-26,351.10,353.20,347.10,350.20,3949300,350.20
2017-01-25,347.60,353.225,347.25,351.30,5193100,351.30
2017-01-24,342.70,346.70,342.25,345.40,7159700,345.40
2017-01-23,340.00,341.50,337.20,340.90,4813200,340.90
2017-01-20,338.10,343.40,335.499,343.00,6422800,343.00
2017-01-19,338.60,342.60,338.60,342.00,4505800,342.00
2017-01-18,339.30,340.50,336.40,339.50,4588300,339.50
2017-01-17,339.90,342.30,338.469,338.50,7380600,338.50
2017-01-16,340.80,346.00,340.50,341.50,4066100,341.50
2017-01-13,340.50,343.80,338.40,341.30,10072600,341.30
2017-01-12,334.40,341.90,333.60,338.90,5235300,338.90
2017-01-11,332.80,336.10,331.65,334.90,5700500,334.90
2017-01-10,337.00,337.892,331.70,334.80,6894100,334.80
2017-01-09,333.30,334.60,329.60,330.50,3679400,330.50
2017-01-06,331.40,334.60,331.30,331.40,3454700,331.40
2017-01-05,330.50,333.50,330.50,332.40,3293400,332.40
2017-01-04,334.70,334.70,328.10,331.90,3550200,331.90
2017-01-03,331.80,336.40,330.70,333.10,7218100,333.10
2017-01-02,331.70,331.70,331.70,331.70,000,331.70
2016-12-30,327.50,331.70,326.536,331.70,1566800,331.70
2016-12-29,328.60,329.10,327.372,329.10,1870800,329.10
2016-12-28,331.40,331.40,328.30,330.10,3795400,330.10
2016-12-27,330.50,330.50,330.50,330.50,000,330.50
2016-12-26,330.50,330.50,330.50,330.50,000,330.50
2016-12-23,330.40,330.80,327.60,330.50,1376400,330.50
2016-12-22,329.00,331.30,328.40,330.80,2062800,330.80
2016-12-21,329.10,332.00,328.50,329.50,6337300,329.50
2016-12-20,329.80,330.50,325.80,328.80,3378600,328.80
2016-12-19,329.60,330.90,327.20,329.00,2654100,329.00
2016-12-16,332.00,335.90,328.30,329.80,14712500,329.80
2016-12-15,320.00,331.00,318.476,330.90,13622500,330.90
2016-12-14,318.20,322.70,318.20,319.40,14689900,319.40
2016-12-13,312.90,319.80,312.90,319.50,5433000,319.50
2016-12-12,315.70,316.90,311.30,312.10,4843000,312.10
2016-12-09,316.40,317.60,314.10,316.20,6705300,316.20
2016-12-08,318.80,321.00,315.00,316.80,4651600,316.80
2016-12-07,311.10,318.40,310.00,318.40,8531500,318.40
2016-12-06,307.00,308.70,304.20,304.70,4445800,304.70
2016-12-05,301.20,308.40,301.20,307.40,3845900,307.40
2016-12-02,304.00,305.10,301.70,303.10,3486300,303.10
2016-12-01,308.40,308.40,302.10,306.20,5150300,306.20
2016-11-30,306.80,310.30,306.80,309.90,7875500,309.90
2016-11-29,308.50,308.50,304.20,308.40,8217500,308.40
2016-11-28,309.00,309.00,305.50,308.60,3843700,308.60
2016-11-25,310.80,311.00,308.50,308.90,3692700,308.90
2016-11-24,310.90,312.80,309.00,310.50,2915800,310.50
2016-11-23,309.70,313.00,308.80,311.60,4540400,311.60
2016-11-22,310.00,312.00,307.358,309.60,6260000,309.60
2016-11-21,305.70,309.20,304.20,309.10,6791500,309.10
2016-11-18,306.80,309.30,303.40,304.30,5489800,304.30
2016-11-17,305.80,308.80,304.50,307.20,5507200,307.20
2016-11-16,308.40,309.70,302.70,304.80,6399700,304.80
2016-11-15,304.60,309.00,304.60,307.10,4775400,307.10
2016-11-14,302.00,308.20,301.30,304.40,7687900,304.40
2016-11-11,307.00,307.80,298.70,299.60,5655500,299.60
2016-11-10,308.80,313.00,304.60,305.80,6974100,305.80
2016-11-09,298.30,310.00,295.20,306.40,6397100,306.40
2016-11-08,308.60,310.20,306.10,308.80,4235400,308.80
2016-11-07,306.20,310.30,305.48,309.20,4944200,309.20
2016-11-04,306.30,306.90,302.40,302.90,5611500,302.90
2016-11-03,312.00,313.70,308.00,308.50,6517000,308.50
2016-11-02,314.00,320.27,311.40,313.00,4086800,313.00
2016-11-01,321.10,323.50,314.70,315.20,5785800,315.20
2016-10-31,314.40,320.788,313.50,319.20,5642700,319.20
2016-10-28,314.80,316.10,311.60,315.20,5129200,315.20
2016-10-27,312.40,316.80,310.60,315.70,5761100,315.70
2016-10-26,313.20,313.773,307.30,312.00,7236200,312.00
2016-10-25,322.20,323.60,312.70,313.90,10047100,313.90
2016-10-24,328.70,329.90,323.168,323.20,8815200,323.20
2016-10-21,322.10,327.40,322.10,327.40,7377700,327.40
2016-10-20,326.20,327.30,321.50,323.00,7988800,323.00
2016-10-19,328.10,328.90,324.80,326.70,6088200,326.70
2016-10-18,330.30,331.10,326.60,328.10,4459300,328.10
2016-10-17,328.00,331.10,326.50,329.00,4236200,329.00
2016-10-14,327.30,331.50,327.10,328.20,3252000,328.20
2016-10-13,331.00,331.16,325.40,327.70,4610300,327.70
2016-10-12,333.50,335.40,332.10,332.70,5506900,332.70
2016-10-11,335.50,338.00,332.60,332.90,4240200,332.90
2016-10-10,335.00,338.50,333.40,336.20,4623300,336.20
2016-10-07,334.00,337.00,333.10,334.00,7122900,334.00
2016-10-06,336.10,339.60,333.00,333.00,7250200,333.00
2016-10-05,331.50,334.30,329.312,331.20,6470300,331.20
2016-10-04,325.30,334.20,324.70,332.50,10447500,332.50
2016-10-03,321.10,324.40,319.70,323.90,5092100,323.90
2016-09-30,317.60,321.70,314.60,320.30,6246000,320.30
2016-09-29,323.00,325.90,321.10,321.40,4438300,321.40
2016-09-28,318.90,325.10,318.90,321.90,5241400,321.90
2016-09-27,325.80,325.80,316.90,318.20,5062200,318.20
2016-09-26,321.90,325.40,318.96,323.00,8838900,323.00
2016-09-23,322.00,326.60,320.40,323.20,9674000,323.20
2016-09-22,320.80,323.80,320.00,320.90,4231300,320.90
2016-09-21,320.10,321.60,318.20,319.60,5077300,319.60
2016-09-20,315.60,319.40,314.30,317.50,3489800,317.50
2016-09-19,317.60,320.50,315.70,316.10,4686400,316.10
2016-09-16,317.80,320.20,314.90,315.30,7647800,315.30
2016-09-15,312.70,318.40,311.60,317.90,7380700,317.90
2016-09-14,314.00,316.70,313.40,313.90,5302300,313.90
2016-09-13,315.10,315.80,310.70,312.50,5900400,312.50
2016-09-12,313.40,315.56,309.46,313.40,10094800,313.40
2016-09-09,319.00,323.60,317.30,318.90,5101000,318.90
2016-09-08,325.10,328.811,317.20,320.40,8556400,320.40
2016-09-07,324.00,327.90,322.60,325.00,10594300,325.00
2016-09-06,329.00,331.70,322.20,323.00,15363100,323.00
2016-09-05,325.00,327.40,321.30,327.00,8953500,327.00
2016-09-02,327.00,328.80,324.40,327.90,12873600,327.90
2016-09-01,313.20,339.90,312.744,325.90,19973900,325.90
2016-08-31,309.00,313.60,309.00,311.00,11942000,311.00
2016-08-30,309.80,312.30,308.40,309.30,4430600,309.30
2016-08-29,309.30,309.30,309.30,309.30,000,309.30
2016-08-26,309.40,310.50,306.85,309.30,3950400,309.30
2016-08-25,309.60,309.70,306.00,308.80,5200000,308.80
2016-08-24,310.50,314.60,309.00,311.60,3732700,311.60
2016-08-23,312.00,313.90,309.10,311.10,5639900,311.10
2016-08-22,309.20,312.90,307.30,310.60,6309600,310.60
2016-08-19,310.90,311.00,306.90,309.60,4478000,309.60
2016-08-18,309.40,312.40,308.30,310.50,4372000,310.50
2016-08-17,310.20,310.60,306.50,307.40,5855600,307.40
2016-08-16,308.20,313.50,306.50,308.60,5578300,308.60
2016-08-15,306.50,310.782,306.50,308.20,3536200,308.20
2016-08-12,307.70,311.25,304.00,307.00,7328500,307.00
2016-08-11,306.60,310.70,302.40,308.00,7422400,308.00
2016-08-10,304.30,308.10,302.10,307.40,6264200,304.45
2016-08-09,302.30,305.00,301.20,303.80,3512800,300.885
2016-08-08,301.20,304.60,298.50,301.40,9411300,298.508
2016-08-05,292.20,299.40,292.20,299.30,7134000,296.428
2016-08-04,295.30,298.70,289.90,293.20,7139000,290.386
2016-08-03,286.10,296.10,282.50,295.60,10763500,292.763
2016-08-02,287.80,291.685,284.70,286.40,9714700,283.652
2016-08-01,290.60,293.30,287.30,289.00,4344400,286.227
2016-07-29,289.90,290.90,286.60,289.40,7109700,286.623
2016-07-28,293.70,296.00,288.00,288.00,7902700,285.236
2016-07-27,299.80,305.109,294.40,295.90,7176800,293.06
2016-07-26,295.00,301.80,294.461,301.00,7301400,298.111
2016-07-25,284.60,290.20,283.50,289.90,4576700,287.118
2016-07-22,284.90,286.80,282.80,284.60,3118800,281.869
2016-07-21,287.80,290.10,284.60,287.20,4493500,284.444
2016-07-20,280.80,287.90,280.80,287.40,4639300,284.642
2016-07-19,281.60,282.00,276.769,280.40,4601500,277.709
2016-07-18,280.10,285.60,278.70,283.60,3835500,280.878
2016-07-15,278.80,281.50,275.70,280.20,4798500,277.511
2016-07-14,276.90,281.50,276.00,279.30,5426600,276.62
2016-07-13,282.90,283.40,253.684,275.30,12317900,272.658
2016-07-12,278.90,286.829,278.90,284.00,5333700,281.275
2016-07-11,274.90,279.47,272.60,279.40,4689600,276.719
2016-07-08,266.10,274.50,265.38,272.00,5771800,269.39
2016-07-07,266.40,272.80,266.20,266.40,3560000,263.843
2016-07-06,264.00,264.50,258.16,263.80,6911000,261.268
2016-07-05,265.00,265.80,260.10,263.50,6990500,260.971
2016-07-04,277.20,278.72,266.60,267.20,4136700,264.636
2016-07-01,271.50,276.20,269.40,275.80,7460000,273.153
2016-06-30,261.80,269.70,259.60,269.70,10642400,267.112
2016-06-29,264.20,270.00,254.10,263.60,7825800,261.07
2016-06-28,260.30,261.70,254.80,258.70,10050500,256.217
2016-06-27,269.20,271.90,249.40,253.40,16402700,250.968
2016-06-24,277.90,280.70,267.40,278.00,10387400,275.332
2016-06-23,287.50,290.10,285.70,287.60,5044400,284.84
2016-06-22,286.50,287.40,283.90,284.60,4190900,281.869
2016-06-21,287.50,288.20,283.60,284.30,4647200,281.572
2016-06-20,282.00,287.80,280.07,287.70,4994900,284.939
2016-06-17,272.80,277.60,272.50,275.00,10325900,272.361
2016-06-16,267.20,272.10,266.60,271.00,8286900,268.399
2016-06-15,268.80,272.40,268.20,271.30,5845200,268.696
2016-06-14,268.40,270.50,263.80,266.60,6606300,264.042
