Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1563.00,1589.50,1555.77,1577.00,9739000,1554.00
2017-02-08,1556.00,1573.00,1517.50,1562.50,14237200,1539.711
2017-02-07,1564.50,1576.00,1560.50,1562.50,9037100,1539.711
2017-02-06,1550.50,1563.50,1545.00,1556.00,6375600,1533.306
2017-02-03,1547.50,1554.50,1543.50,1547.50,5946200,1524.93
2017-02-02,1524.00,1548.00,1518.50,1537.50,7104400,1515.076
2017-02-01,1542.00,1570.65,1533.00,1535.00,7017100,1512.613
2017-01-31,1541.00,1543.50,1526.69,1528.00,9697000,1505.715
2017-01-30,1515.00,1535.00,1511.50,1533.50,7318300,1511.134
2017-01-27,1529.00,1529.00,1516.00,1520.00,10390900,1497.831
2017-01-26,1529.00,1533.00,1521.50,1529.00,9332700,1506.70
2017-01-25,1531.00,1535.50,1519.00,1522.00,7392900,1499.802
2017-01-24,1540.00,1541.50,1517.19,1523.50,7512300,1501.28
2017-01-23,1537.00,1539.50,1522.00,1527.00,7693300,1504.729
2017-01-20,1550.00,1558.42,1542.50,1546.50,6319700,1523.945
2017-01-19,1561.50,1567.00,1549.00,1553.00,7726400,1530.35
2017-01-18,1562.50,1567.00,1552.50,1560.50,9821900,1537.741
2017-01-17,1574.00,1581.50,1550.00,1551.50,8463300,1528.872
2017-01-16,1591.50,1600.50,1579.50,1580.50,6069800,1557.449
2017-01-13,1580.00,1585.64,1571.00,1585.50,7713800,1562.376
2017-01-12,1579.50,1579.50,1562.00,1566.00,12127100,1543.16
2017-01-11,1591.50,1605.50,1579.00,1581.50,7058600,1558.434
2017-01-10,1604.50,1620.00,1590.50,1594.00,5368900,1570.752
2017-01-09,1589.50,1602.50,1582.00,1596.00,6423100,1572.723
2017-01-06,1581.50,1590.50,1577.00,1583.50,4716900,1560.405
2017-01-05,1571.50,1584.50,1568.50,1583.50,6174300,1560.405
2017-01-04,1564.50,1573.03,1555.50,1571.50,6171200,1548.58
2017-01-03,1563.50,1574.02,1552.00,1562.00,7897500,1539.219
2017-01-02,1562.00,1562.00,1562.00,1562.00,000,1539.219
2016-12-30,1556.00,1562.00,1552.00,1562.00,4202900,1539.219
2016-12-29,1543.00,1563.50,1541.50,1562.50,5486400,1539.711
2016-12-28,1549.00,1560.50,1540.82,1551.50,5354000,1528.872
2016-12-27,1549.00,1549.00,1549.00,1549.00,000,1526.408
2016-12-26,1549.00,1549.00,1549.00,1549.00,000,1526.408
2016-12-23,1539.00,1549.00,1538.50,1549.00,1947100,1526.408
2016-12-22,1526.00,1544.96,1524.50,1544.50,4937200,1521.974
2016-12-21,1530.00,1537.19,1523.46,1528.00,4512100,1505.715
2016-12-20,1534.50,1556.66,1527.50,1537.00,9323000,1514.583
2016-12-19,1530.00,1536.00,1513.00,1533.00,5971800,1510.642
2016-12-16,1521.00,1547.60,1517.90,1526.00,13265200,1503.744
2016-12-15,1500.00,1523.50,1488.00,1515.50,9938300,1493.397
2016-12-14,1496.00,1499.97,1485.19,1490.00,8074600,1468.269
2016-12-13,1476.50,1504.50,1471.50,1500.50,8434100,1478.616
2016-12-12,1481.00,1482.50,1464.50,1471.00,9741400,1449.546
2016-12-09,1466.00,1482.50,1463.00,1478.00,16774500,1456.444
2016-12-08,1465.50,1470.00,1456.81,1460.00,10513400,1438.706
2016-12-07,1463.00,1471.50,1453.50,1462.50,12258500,1441.17
2016-12-06,1457.50,1463.00,1446.50,1460.00,7126500,1438.706
2016-12-05,1459.00,1484.00,1457.75,1459.00,7363900,1437.721
2016-12-02,1462.00,1471.50,1451.50,1467.00,6542300,1445.604
2016-12-01,1473.50,1488.30,1458.69,1468.50,11628100,1447.082
2016-11-30,1507.00,1520.50,1495.05,1495.50,17099500,1473.689
2016-11-29,1522.00,1539.35,1504.37,1508.00,8779800,1486.006
2016-11-28,1534.00,1544.00,1524.00,1527.50,5960800,1505.222
2016-11-25,1520.00,1548.00,1520.00,1540.50,7445700,1518.032
2016-11-24,1509.50,1535.75,1506.00,1523.00,6243000,1500.788
2016-11-23,1518.50,1523.46,1497.87,1505.00,10523300,1483.05
2016-11-22,1516.50,1538.50,1501.37,1503.50,9628900,1481.572
2016-11-21,1527.00,1528.00,1508.50,1515.50,8491000,1493.397
2016-11-18,1530.00,1535.00,1516.50,1522.50,6672100,1500.295
2016-11-17,1523.50,1524.00,1503.50,1523.50,10842500,1501.28
2016-11-16,1536.00,1538.50,1521.76,1526.00,7601500,1503.744
2016-11-15,1546.00,1566.94,1530.50,1534.50,8627400,1512.12
2016-11-14,1545.50,1555.00,1533.00,1537.50,7687500,1515.076
2016-11-11,1575.00,1576.50,1529.43,1534.50,11976100,1512.12
2016-11-10,1615.50,1620.00,1555.82,1573.50,14161200,1550.551
