Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,1369.00,1387.00,1350.00,1353.00,1159700,1344.40
2017-02-08,1400.00,1421.85,1344.00,1364.00,1597700,1355.33
2017-02-07,1360.00,1387.00,1353.00,1386.00,1054100,1377.19
2017-02-06,1379.00,1384.00,1358.85,1362.00,638400,1353.343
2017-02-03,1365.00,1392.00,1354.00,1381.00,1643900,1372.222
2017-02-02,1356.00,1372.00,1334.00,1358.00,774500,1349.368
2017-02-01,1357.00,1371.00,1345.00,1357.00,619100,1348.375
2017-01-31,1333.00,1355.00,1332.00,1353.00,1189400,1344.40
2017-01-30,1333.00,1336.00,1319.00,1328.00,742200,1319.559
2017-01-27,1356.00,1356.00,1330.64,1341.00,552400,1332.476
2017-01-26,1346.00,1364.00,1341.00,1352.00,814400,1343.406
2017-01-25,1326.00,1338.00,1326.00,1331.00,695100,1322.54
2017-01-24,1326.00,1332.00,1313.00,1321.00,756900,1312.603
2017-01-23,1307.00,1330.00,1301.00,1321.00,758900,1312.603
2017-01-20,1323.00,1336.00,1306.39,1310.00,986200,1301.673
2017-01-19,1328.00,1333.00,1320.00,1321.00,658200,1312.603
2017-01-18,1329.00,1342.00,1320.00,1331.00,897200,1322.54
2017-01-17,1293.00,1352.20,1292.00,1329.00,1851900,1320.553
2017-01-16,1270.00,1284.00,1270.00,1279.00,387700,1270.87
2017-01-13,1280.00,1283.00,1271.00,1277.00,389600,1268.883
2017-01-12,1282.00,1283.59,1256.13,1273.00,627500,1264.909
2017-01-11,1285.00,1293.00,1280.88,1281.00,550900,1272.858
2017-01-10,1284.00,1303.00,1278.00,1292.00,634800,1283.788
2017-01-09,1294.00,1297.28,1277.00,1290.00,386600,1281.80
2017-01-06,1282.00,1297.00,1275.36,1289.00,569900,1280.807
2017-01-05,1280.00,1305.00,1274.00,1285.00,654100,1276.832
2017-01-04,1277.00,1285.00,1272.00,1279.00,887000,1270.87
2017-01-03,1228.00,1274.00,1214.00,1274.00,1069800,1265.902
2017-01-02,1213.00,1213.00,1213.00,1213.00,000,1205.29
2016-12-30,1220.00,1220.00,1207.00,1213.00,358800,1205.29
2016-12-29,1204.00,1217.00,1204.00,1215.00,443200,1207.277
2016-12-28,1218.00,1220.00,1207.00,1208.00,455000,1200.322
2016-12-27,1220.00,1220.00,1220.00,1220.00,000,1212.245
2016-12-26,1220.00,1220.00,1220.00,1220.00,000,1212.245
2016-12-23,1218.00,1225.00,1198.96,1220.00,156200,1212.245
2016-12-22,1206.00,1217.00,1204.00,1215.00,458500,1207.277
2016-12-21,1242.00,1246.00,1206.00,1206.00,1065900,1198.334
2016-12-20,1237.00,1245.00,1228.00,1243.00,379500,1235.099
2016-12-19,1241.00,1244.05,1227.00,1236.00,691700,1228.144
2016-12-16,1233.00,1243.00,1228.50,1236.00,669200,1228.144
2016-12-15,1234.00,1262.00,1222.00,1241.00,517000,1233.112
