Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,564.50,572.00,562.00,567.50,3500300,567.50
2017-02-08,554.50,566.50,553.00,562.50,2699200,562.50
2017-02-07,549.00,556.00,548.726,554.50,1664800,554.50
2017-02-06,550.00,555.00,547.50,548.00,2048900,548.00
2017-02-03,547.50,552.00,546.50,550.50,2913800,550.50
2017-02-02,545.00,549.00,542.873,545.50,5152300,545.50
2017-02-01,547.00,550.50,544.50,546.00,2073200,546.00
2017-01-31,547.00,549.50,542.50,546.50,3008900,546.50
2017-01-30,546.00,547.50,543.00,546.50,2678200,546.50
2017-01-27,548.50,549.50,545.00,547.00,1399900,547.00
2017-01-26,546.00,553.00,544.50,546.50,2176400,546.50
2017-01-25,540.00,548.00,539.50,545.00,2875300,545.00
2017-01-24,554.50,554.50,545.50,547.00,2133900,547.00
2017-01-23,539.50,550.50,539.00,549.50,2478400,549.50
2017-01-20,547.00,554.00,543.50,544.00,2044300,544.00
2017-01-19,561.50,561.50,543.00,546.50,3044300,546.50
2017-01-18,562.50,565.00,559.00,563.00,1263000,563.00
2017-01-17,559.00,569.00,559.00,562.00,2773500,562.00
2017-01-16,561.00,563.50,558.50,560.50,1159800,560.50
2017-01-13,568.00,569.00,561.50,564.00,1860000,564.00
2017-01-12,573.00,573.00,562.50,567.00,3444600,567.00
2017-01-11,569.00,575.50,569.00,573.50,2163700,573.50
2017-01-10,566.50,572.235,566.50,570.50,2024200,570.50
2017-01-09,573.00,574.46,564.50,566.50,1680700,566.50
2017-01-06,568.50,574.50,567.00,571.00,1850800,571.00
2017-01-05,562.50,570.50,562.50,569.50,2200400,569.50
2017-01-04,562.00,566.00,555.00,565.00,1832100,565.00
2017-01-03,572.50,572.50,557.50,560.00,2234700,560.00
2017-01-02,573.00,573.00,573.00,573.00,000,573.00
2016-12-30,565.50,573.00,561.50,573.00,969000,573.00
2016-12-29,553.50,563.282,549.994,563.00,992200,563.00
2016-12-28,562.50,566.50,555.50,557.50,1737800,557.50
2016-12-27,569.00,569.00,569.00,569.00,000,569.00
2016-12-26,569.00,569.00,569.00,569.00,000,569.00
2016-12-23,561.50,569.00,559.50,569.00,451800,569.00
2016-12-22,561.50,561.50,557.50,560.00,1084100,560.00
2016-12-21,559.00,562.00,553.00,562.00,1635300,562.00
2016-12-20,557.50,559.50,555.00,558.50,1547800,558.50
2016-12-19,556.50,561.50,555.50,558.00,1690100,558.00
2016-12-16,548.50,554.50,547.50,553.50,3409300,553.50
2016-12-15,549.00,552.50,540.50,550.00,2814000,550.00
2016-12-14,558.00,558.00,549.50,550.00,9415100,550.00
2016-12-13,549.50,559.00,546.00,558.50,1733600,558.50
2016-12-12,550.00,550.50,542.50,547.50,2216400,547.50
2016-12-09,546.50,554.50,546.50,552.00,2681200,552.00
2016-12-08,545.50,550.50,542.50,546.00,3012300,546.00
2016-12-07,537.00,546.00,537.00,542.50,4705900,542.50
2016-12-06,532.50,537.00,530.50,534.00,4419000,534.00
2016-12-05,530.50,536.16,529.00,530.50,3193100,530.50
2016-12-02,532.50,540.527,531.00,535.00,4011900,535.00
