Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,482.10,491.40,477.60,489.20,11001800,489.20
2017-02-08,472.70,485.20,472.54,480.30,11884500,480.30
2017-02-07,475.90,478.70,472.458,472.60,6437500,472.60
2017-02-06,482.60,487.20,474.30,474.30,7128900,474.30
2017-02-03,485.50,488.00,481.30,484.70,9550700,484.70
2017-02-02,486.00,486.90,477.154,483.40,6443600,483.40
2017-02-01,482.20,491.572,478.90,486.60,6296800,486.60
2017-01-31,483.50,489.90,474.353,476.70,17606900,476.70
2017-01-30,496.20,499.60,484.80,485.40,21298900,485.40
2017-01-27,498.00,509.00,491.314,497.90,11351800,497.90
2017-01-26,497.80,498.00,490.70,491.20,5362200,491.20
2017-01-25,489.70,501.02,486.703,496.80,9417600,496.80
2017-01-24,487.80,490.90,473.50,488.90,12557900,488.90
2017-01-23,489.60,495.30,488.00,491.10,14120900,491.10
2017-01-20,491.10,495.90,488.30,493.40,9654500,493.40
2017-01-19,489.70,493.60,483.30,490.40,7992000,490.40
2017-01-18,491.80,493.80,482.70,489.80,7104300,489.80
2017-01-17,480.00,500.404,478.469,491.50,10168900,491.50
2017-01-16,488.00,490.20,478.022,481.90,6586100,481.90
2017-01-13,479.90,491.10,479.90,488.70,10216800,488.70
2017-01-12,482.10,486.40,476.153,479.20,9778600,479.20
2017-01-11,478.40,489.70,476.60,481.10,12532600,481.10
2017-01-10,466.60,479.10,462.00,478.80,11501300,478.80
2017-01-09,469.00,475.00,457.186,467.20,8713400,467.20
2017-01-06,466.60,475.70,463.10,466.60,9446200,466.60
2017-01-05,446.10,468.00,445.90,468.00,22262100,468.00
2017-01-04,446.10,449.60,443.00,449.10,7468700,449.10
2017-01-03,446.40,451.924,444.20,445.10,6285000,445.10
2017-01-02,440.90,440.90,440.90,440.90,000,440.90
2016-12-30,441.90,444.00,437.80,440.90,3222400,440.90
2016-12-29,442.10,448.50,439.10,443.30,2796900,443.30
2016-12-28,448.50,451.077,443.30,444.60,5369600,444.60
2016-12-27,457.20,457.20,457.20,457.20,000,457.20
2016-12-26,457.20,457.20,457.20,457.20,000,457.20
2016-12-23,451.00,457.20,447.04,457.20,2523300,457.20
2016-12-22,448.80,452.70,447.00,450.90,3554200,450.90
2016-12-21,450.80,455.00,447.50,450.40,10825700,450.40
2016-12-20,454.70,458.20,450.10,452.40,6569300,452.40
2016-12-19,461.50,461.50,452.148,454.70,6028500,454.70
2016-12-16,450.90,460.70,442.20,459.80,8825400,459.80
2016-12-15,435.10,452.20,433.70,450.70,9722400,450.70
2016-12-14,445.40,451.50,433.10,433.90,8796900,433.90
2016-12-13,431.80,449.50,431.80,446.50,9742400,446.50
2016-12-12,438.60,438.90,358.262,432.50,20412100,432.50
2016-12-09,447.30,451.10,439.10,441.40,6988200,441.40
2016-12-08,434.80,454.826,434.80,448.50,22004100,448.50
2016-12-07,417.50,435.30,414.78,434.70,26371200,434.70
2016-12-06,411.90,417.90,410.80,414.90,9229500,414.90
2016-12-05,414.00,424.40,406.00,414.00,19511700,414.00
2016-12-02,417.60,423.00,415.80,416.00,6495500,416.00
2016-12-01,431.00,435.20,418.60,422.40,9862200,422.40
2016-11-30,446.30,448.30,431.80,433.50,15708900,422.50
2016-11-29,438.70,447.202,434.20,444.50,11453300,433.221
2016-11-28,440.40,442.60,431.30,436.90,7522900,425.814
2016-11-25,439.20,446.261,437.70,440.10,7686700,428.933
2016-11-24,452.00,455.30,438.70,440.50,6332800,429.322
2016-11-23,453.30,463.30,449.60,450.60,42577200,439.166
2016-11-22,447.00,455.60,444.521,453.70,16283200,442.187
2016-11-21,448.50,448.60,439.80,443.30,4262400,432.051
2016-11-18,448.90,452.00,442.85,446.00,12418700,434.683
2016-11-17,443.60,448.80,442.40,447.00,7640900,435.657
2016-11-16,453.20,455.50,441.20,444.20,10989400,432.929
2016-11-15,447.00,454.90,441.00,453.80,13995900,442.285
2016-11-14,444.30,447.30,439.00,440.70,14143000,429.517
2016-11-11,438.20,443.90,431.00,440.60,12167500,429.42
2016-11-10,446.00,454.20,432.50,434.40,11628500,423.377
2016-11-09,422.50,445.137,417.60,441.70,15672400,430.492
2016-11-08,446.80,451.20,436.60,440.80,12276900,429.615
2016-11-07,441.00,445.60,435.00,445.30,13879600,434.001
2016-11-04,444.00,452.28,427.30,434.70,14540800,423.67
2016-11-03,439.60,459.419,437.50,450.80,13696900,439.361
2016-11-02,439.70,442.34,437.30,441.40,9772500,430.20
2016-11-01,438.30,444.90,413.736,443.10,12863100,431.856
2016-10-31,440.00,447.00,433.00,434.40,10789000,423.377
2016-10-28,413.90,444.40,408.696,438.00,19579600,426.886
2016-10-27,419.00,420.30,406.50,413.50,13334400,403.008
2016-10-26,399.90,424.521,399.30,422.70,14907700,411.974
2016-10-25,405.00,405.90,394.80,401.80,8163700,391.604
2016-10-24,401.90,410.10,400.40,404.80,7637400,394.528
2016-10-21,399.00,401.50,396.30,399.70,8799300,389.558
2016-10-20,399.70,406.30,397.10,400.90,32406900,390.727
2016-10-19,395.00,396.10,364.963,393.10,9890900,383.125
2016-10-18,365.00,391.588,362.40,386.70,21846200,376.888
2016-10-17,379.00,384.20,375.90,377.50,7359700,367.921
2016-10-14,372.50,383.40,371.384,379.40,21222900,369.773
2016-10-13,379.40,381.50,281.725,371.50,14754900,362.073
2016-10-12,378.40,384.30,376.40,379.40,11777400,369.773
2016-10-11,362.00,377.951,357.30,376.10,13600400,366.557
2016-10-10,365.10,369.20,356.60,362.70,10017300,353.497
2016-10-07,379.10,385.057,283.267,364.80,24503700,355.543
2016-10-06,392.90,394.20,379.583,381.30,14368000,371.625
2016-10-05,389.80,400.60,389.80,396.80,9112100,386.731
2016-10-04,398.80,400.30,392.285,393.70,12768000,383.71
2016-10-03,400.00,400.80,393.263,396.90,6655100,386.829
2016-09-30,390.20,399.80,384.70,398.80,15483400,388.681
2016-09-29,402.00,403.70,389.10,394.50,9685900,384.49
2016-09-28,396.40,402.07,394.80,399.00,7160400,388.875
2016-09-27,397.80,399.10,385.40,394.80,8942500,384.782
2016-09-26,403.60,408.182,391.202,394.50,9065400,384.49
2016-09-23,407.30,411.20,403.081,405.80,3912000,395.503
2016-09-22,406.80,410.818,402.609,408.10,6909100,397.745
2016-09-21,403.80,408.417,400.60,403.00,12062600,392.774
2016-09-20,414.70,417.50,399.116,401.00,13865200,390.825
2016-09-19,424.30,424.30,414.599,415.80,11166500,405.249
2016-09-16,419.10,420.00,412.70,418.90,10665200,408.27
2016-09-15,412.40,419.90,410.80,419.00,4957400,408.368
2016-09-14,421.60,422.40,411.56,414.40,10956100,403.885
2016-09-13,419.80,428.30,411.197,419.70,16669200,409.05
2016-09-12,414.00,417.745,406.30,417.10,12846000,406.516
2016-09-09,421.10,430.80,418.10,421.30,9013300,410.61
2016-09-08,404.60,424.50,404.60,422.10,19671700,411.389
2016-09-07,398.90,406.40,393.50,406.00,14884800,395.698
2016-09-06,392.60,402.072,392.10,398.90,8796100,388.778
2016-09-05,394.40,395.70,387.30,392.30,6603500,382.345
2016-09-02,391.90,395.184,386.10,392.80,9511200,382.833
2016-09-01,384.40,394.50,382.723,390.10,11703800,380.201
2016-08-31,388.60,393.50,382.995,383.00,10220500,373.281
2016-08-30,390.00,397.70,389.742,392.80,6354900,382.833
2016-08-29,392.00,392.00,392.00,392.00,000,382.053
2016-08-26,393.80,396.80,391.60,392.00,3445200,382.053
2016-08-25,399.40,402.60,392.007,394.30,5102200,384.295
2016-08-24,391.60,405.905,389.10,401.70,6641400,391.507
2016-08-23,391.60,395.40,388.30,393.30,7578100,383.32
2016-08-22,384.50,392.473,383.10,390.10,5767200,380.201
2016-08-19,389.10,393.00,382.90,384.90,8039200,375.133
2016-08-18,389.00,392.069,384.30,389.10,5924300,379.227
2016-08-17,395.30,395.30,385.20,385.20,6665700,375.426
2016-08-16,400.20,403.20,393.70,394.30,7026300,384.295
2016-08-15,409.00,409.085,401.742,402.80,4126900,392.579
2016-08-12,397.80,408.80,396.50,407.60,10520900,397.257
2016-08-11,404.50,405.10,395.821,398.40,7063300,388.291
2016-08-10,406.90,409.70,400.131,402.50,5942200,392.287
2016-08-09,400.80,408.96,398.90,407.20,11017700,396.867
2016-08-08,396.00,405.253,394.60,399.90,5748400,389.753
2016-08-05,390.50,396.807,386.00,395.70,8487500,385.659
2016-08-04,390.00,396.02,385.667,390.20,7033100,380.299
2016-08-03,393.80,395.90,387.067,388.20,7059900,378.35
2016-08-02,398.30,401.104,388.50,392.20,11197900,382.248
2016-08-01,407.80,414.20,391.174,400.60,11380300,390.435
2016-07-29,403.00,423.30,398.00,406.00,15497900,395.698
2016-07-28,424.00,424.70,405.398,409.30,12416000,398.914
2016-07-27,402.30,421.734,402.30,416.40,10829500,405.834
2016-07-26,402.20,404.20,394.60,399.80,7390900,389.655
2016-07-25,407.90,408.90,400.60,403.40,8466900,393.164
2016-07-22,404.30,409.00,398.90,405.90,7080200,395.60
2016-07-21,415.70,417.80,401.80,405.60,17170400,395.308
2016-07-20,424.10,426.80,413.80,420.70,9583100,410.025
2016-07-19,428.00,434.10,421.357,423.50,8941400,412.754
2016-07-18,423.00,440.00,423.00,430.30,11252900,419.381
2016-07-15,420.00,431.00,407.20,422.10,12184500,411.389
