Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,3751.00,3785.00,3728.00,3774.00,370700,3774.00
2017-02-08,3755.00,3805.00,3745.00,3755.00,475600,3755.00
2017-02-07,3745.00,3812.00,3745.00,3772.00,502700,3772.00
2017-02-06,3734.00,3759.00,3722.00,3752.00,482700,3752.00
2017-02-03,3715.00,3756.00,3692.19,3740.00,372900,3740.00
2017-02-02,3663.00,3749.00,3642.00,3706.00,564300,3706.00
2017-02-01,3705.00,3719.00,3676.00,3681.00,580100,3681.00
2017-01-31,3724.00,3724.00,3670.00,3680.00,827100,3680.00
2017-01-30,3767.00,3781.00,3709.00,3717.00,715300,3717.00
2017-01-27,3770.00,3818.00,3732.84,3785.00,878100,3785.00
2017-01-26,3728.00,3761.00,3708.00,3743.00,506900,3743.00
2017-01-25,3728.00,3750.00,3690.00,3719.00,670200,3719.00
2017-01-24,3711.00,3736.00,3698.00,3719.00,803600,3719.00
2017-01-23,3734.00,3739.00,3699.00,3712.00,649200,3712.00
2017-01-20,3754.00,3781.00,3739.00,3750.00,497300,3750.00
2017-01-19,3755.00,3763.82,3728.00,3762.00,776300,3762.00
2017-01-18,3716.00,3769.00,3697.00,3757.00,724200,3757.00
2017-01-17,3756.00,3768.09,3686.00,3686.00,589200,3686.00
2017-01-16,3750.00,3782.00,3732.00,3762.00,346900,3762.00
2017-01-13,3760.00,3782.36,3742.00,3759.00,417700,3759.00
2017-01-12,3748.00,3762.00,3727.00,3743.00,472100,3743.00
2017-01-11,3741.00,3774.00,3741.00,3752.00,432800,3752.00
2017-01-10,3720.00,3801.00,3710.00,3759.00,740800,3759.00
2017-01-09,3677.00,3716.00,3650.00,3701.00,492300,3701.00
2017-01-06,3687.00,3707.00,3666.00,3666.00,697800,3666.00
2017-01-05,3708.00,3730.78,3700.00,3716.00,395100,3716.00
2017-01-04,3682.00,3725.00,3666.20,3709.00,1190800,3709.00
2017-01-03,3713.00,3801.00,3675.00,3684.00,1230400,3684.00
2017-01-02,3638.00,3638.00,3638.00,3638.00,000,3638.00
2016-12-30,3582.00,3638.00,3581.00,3638.00,197400,3638.00
2016-12-29,3544.00,3604.00,3539.88,3583.00,297200,3583.00
2016-12-28,3559.00,3581.00,3544.00,3567.00,494300,3567.00
2016-12-27,3601.00,3601.00,3601.00,3601.00,000,3601.00
2016-12-26,3601.00,3601.00,3601.00,3601.00,000,3601.00
2016-12-23,3546.00,3601.00,3545.00,3601.00,133900,3601.00
2016-12-22,3504.00,3565.00,3504.00,3558.00,271500,3558.00
2016-12-21,3528.00,3541.00,3509.00,3518.00,299200,3518.00
2016-12-20,3522.00,3541.28,3500.00,3541.00,334500,3541.00
