Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,6.615,6.645,6.58,6.61,1472100,6.61
2016-10-20,6.575,6.625,6.52,6.62,1715700,6.62
2016-10-19,6.545,6.575,6.475,6.545,1491700,6.545
2016-10-18,5.3056,5.3056,5.3056,5.3056,000,5.3056
2016-10-17,5.30894,5.30894,5.30894,5.30894,000,5.30894
2016-10-14,6.60,6.65,6.565,6.57,3008200,6.57
2016-10-13,6.65,6.70,6.565,6.585,3021500,6.585
2016-10-12,6.69,6.725,6.645,6.66,1607900,6.66
2016-10-11,6.705,6.73458,6.675,6.69,1395300,6.69
2016-10-10,6.785,6.785,6.69,6.725,1433300,6.725
2016-10-07,6.765,6.78,6.625,6.75,1778500,6.75
2016-10-06,6.765,6.795,6.705,6.71,1810200,6.71
2016-10-05,6.69,6.755,6.63226,6.735,2697800,6.735
2016-10-04,6.575,6.75,6.56,6.70,3314700,6.70
2016-10-03,6.405,6.57,6.405,6.52,2755200,6.52
2016-09-30,6.435,6.52,6.34,6.505,2262200,6.505
2016-09-29,6.41,6.50,6.41,6.50,2107500,6.50
2016-09-28,6.37,6.44,6.365,6.405,1098400,6.405
2016-09-27,6.445,6.45,6.30,6.37,1787000,6.37
2016-09-26,6.455,6.475,6.355,6.395,1437900,6.395
2016-09-23,6.52,6.53,6.445,6.45,1793100,6.45
2016-09-22,6.53,6.56,6.50,6.525,1232700,6.525
2016-09-21,6.51,6.56,6.479,6.49,1870700,6.49
2016-09-20,6.405,6.495,6.405,6.44,1465000,6.44
2016-09-19,6.36,6.416,6.36,6.405,1920100,6.405
2016-09-16,6.345,6.42,6.285,6.315,3316700,6.315
2016-09-15,6.24,6.345,6.209,6.345,2176400,6.345
2016-09-14,6.215,6.315,6.16,6.265,1640500,6.265
2016-09-13,6.22,6.265,6.16,6.16,1297800,6.16
2016-09-12,6.15,6.19,6.11021,6.175,1694900,6.175
2016-09-09,6.335,6.37657,6.24,6.26,1097200,6.26
2016-09-08,6.29,6.40,6.29,6.375,1350900,6.375
2016-09-07,6.355,6.40,6.295,6.305,2240400,6.305
2016-09-06,6.40,6.415,6.31,6.33,1547100,6.33
2016-09-05,6.43,6.47,6.365,6.405,1037100,6.405
2016-09-02,6.335,6.46,6.285,6.425,2956200,6.425
2016-09-01,6.175,6.375,6.155,6.305,2798400,6.305
2016-08-31,6.18,6.235,6.12141,6.145,2837600,6.145
2016-08-30,6.12,6.25,6.12,6.19,1927200,6.19
2016-08-29,5.25487,5.25487,5.25487,5.25487,000,5.25487
2016-08-26,6.15,6.18,6.09,6.13,1385000,6.13
2016-08-25,6.17,6.195,6.13,6.13,1697800,6.13
2016-08-24,6.205,6.26,6.175,6.20,896000,6.20
2016-08-23,6.27,6.315,6.225,6.235,1276900,6.235
2016-08-22,6.225,6.27,6.205,6.25,1696500,6.25
2016-08-19,6.225,6.261,6.175,6.225,1262600,6.225
2016-08-18,6.255,6.27,6.235,6.24,929100,6.24
2016-08-17,6.25,6.265,6.18,6.21,1266300,6.21
2016-08-16,6.325,6.33,6.25,6.25,1444500,6.25
2016-08-15,6.37,6.395,6.33,6.335,962300,6.335
2016-08-12,6.385,6.405,6.32,6.34,1542700,6.34
2016-08-11,6.27,6.40,6.22,6.40,1961200,6.40
2016-08-10,6.32,6.32,6.23,6.25,2315300,6.25
2016-08-09,5.2937,5.2937,5.2937,5.2937,000,5.2937
2016-08-08,5.29592,5.29592,5.29592,5.29592,000,5.29592
2016-08-05,5.29567,5.29567,5.29567,5.29567,000,5.29567
2016-08-04,5.28714,5.28714,5.28714,5.28714,000,5.28714
2016-08-03,5.26029,5.26029,5.26029,5.26029,000,5.26029
2016-08-02,5.2604,5.2604,5.2604,5.2604,000,5.2604
2016-08-01,5.26153,5.26153,5.26153,5.26153,000,5.26153
2016-07-29,6.16,6.215,6.11,6.17,2435900,6.17
2016-07-28,5.26506,5.26506,5.26506,5.26506,000,5.26506
2016-07-27,5.26154,5.26154,5.26154,5.26154,000,5.26154
2016-07-26,6.115,6.17,6.07,6.085,1891400,6.085
2016-07-25,5.895,6.105,5.895,6.105,2662700,6.105
2016-07-22,5.87,5.925,5.825,5.91,1888000,5.91
2016-07-21,5.95,5.98,5.845,5.865,1736700,5.865
2016-07-20,4.54854,4.54854,4.54854,4.54854,000,4.54854
2016-07-19,4.54538,4.54538,4.54538,4.54538,000,4.54538
2016-07-18,4.53553,4.53553,4.53553,4.53553,000,4.53553
2016-07-15,4.53313,4.53313,4.53313,4.53313,000,4.53313
2016-07-14,4.53384,4.53384,4.53384,4.53384,000,4.53384
2016-07-13,4.53289,4.53289,4.53289,4.53289,000,4.53289
2016-07-12,4.54142,4.54142,4.54142,4.54142,000,4.54142
2016-07-11,4.54763,4.54763,4.54763,4.54763,000,4.54763
2016-07-08,4.54273,4.54273,4.54273,4.54273,000,4.54273
2016-07-07,4.54404,4.54404,4.54404,4.54404,000,4.54404
2016-07-06,4.54671,4.54671,4.54671,4.54671,000,4.54671
2016-07-05,5.57,5.60,5.36,5.40,2699100,5.40
2016-07-04,4.53502,4.53502,4.53502,4.53502,000,4.53502
2016-07-01,4.53722,4.53722,4.53722,4.53722,000,4.53722
2016-06-30,5.22,5.22,5.22,5.22,000,5.22
2016-06-29,4.51701,4.51701,4.51701,4.51701,000,4.51701
2016-06-28,4.51602,4.51602,4.51602,4.51602,000,4.51602
2016-06-27,4.50964,4.50964,4.50964,4.50964,000,4.50964
2016-06-24,4.50724,4.50724,4.50724,4.50724,000,4.50724
2016-06-23,4.47853,4.47853,4.47853,4.47853,000,4.47853
2016-06-22,4.4782,4.4782,4.4782,4.4782,000,4.4782
2016-06-21,4.47392,4.47392,4.47392,4.47392,000,4.47392
2016-06-20,4.47162,4.47162,4.47162,4.47162,000,4.47162
2016-06-17,4.47666,4.47666,4.47666,4.47666,000,4.47666
2016-06-16,4.47924,4.47924,4.47924,4.47924,000,4.47924
2016-06-15,4.47657,4.47657,4.47657,4.47657,000,4.31657
2016-06-14,4.4795,4.4795,4.4795,4.4795,000,4.3194
2016-06-13,4.47789,4.47789,4.47789,4.47789,000,4.31784
2016-06-10,4.47985,4.47985,4.47985,4.47985,000,4.31973
2016-06-09,4.47593,4.47593,4.47593,4.47593,000,4.31595
2016-06-08,4.47728,4.47728,4.47728,4.47728,000,4.31725
2016-06-07,4.45053,4.45053,4.45053,4.45053,000,4.29146
2016-06-06,4.45779,4.45779,4.45779,4.45779,000,4.29846
2016-06-03,4.45779,4.45779,4.45779,4.45779,000,4.29846
2016-06-02,4.45871,4.45871,4.45871,4.45871,000,4.29935
2016-06-01,5.57,5.59,5.45099,5.465,2876400,5.26967
2016-05-31,5.525,5.615,5.52,5.615,4255600,5.41431
2016-05-30,4.45972,4.45972,4.45972,4.45972,000,4.30032
2016-05-27,5.445,5.54,5.42,5.52,1728600,5.32271
2016-05-26,4.45577,4.45577,4.45577,4.45577,000,4.29651
2016-05-25,5.36,5.395,5.285,5.325,2137200,5.13468
2016-05-24,4.45592,4.45592,4.45592,4.45592,000,4.29666
2016-05-23,4.44728,4.44728,4.44728,4.44728,000,4.28833
2016-05-20,4.44725,4.44725,4.44725,4.44725,000,4.2883
2016-05-19,4.44668,4.44668,4.44668,4.44668,000,4.28775
2016-05-18,4.13348,4.13348,4.13348,4.13348,000,3.98574
2016-05-17,4.14252,4.14252,4.14252,4.14252,000,3.99446
2016-05-16,4.776,4.823,4.776,4.812,1120300,4.64001
2016-05-13,4.14175,4.14175,4.14175,4.14175,000,3.99372
2016-05-12,4.13494,4.13494,4.13494,4.13494,000,3.98715
2016-05-11,4.16098,4.16098,4.16098,4.16098,000,4.01226
2016-05-10,4.16243,4.16243,4.16243,4.16243,000,4.01366
2016-05-09,4.16464,4.16464,4.16464,4.16464,000,4.01579
2016-05-06,4.16464,4.16464,4.16464,4.16464,000,4.01579
2016-05-05,4.16293,4.16293,4.16293,4.16293,000,4.01414
2016-05-04,4.16249,4.16249,4.16249,4.16249,000,4.01372
2016-05-03,4.16291,4.16291,4.16291,4.16291,000,4.01412
2016-05-02,4.1586,4.1586,4.1586,4.1586,000,4.00996
2016-04-29,4.48311,4.48311,4.48311,4.48311,000,4.32288
2016-04-28,4.16228,4.16228,4.16228,4.16228,000,4.01351
2016-04-27,4.811,4.851,4.808,4.851,1338900,4.67762
2016-04-26,4.157,4.157,4.157,4.157,000,4.00842
2016-04-25,4.15797,4.15797,4.15797,4.15797,000,4.00936
2016-04-22,4.15808,4.15808,4.15808,4.15808,000,4.00946
2016-04-21,4.15789,4.15789,4.15789,4.15789,000,4.00928
2016-04-20,4.15532,4.15532,4.15532,4.15532,000,4.0068
2016-04-19,4.15665,4.15665,4.15665,4.15665,000,4.00808
2016-04-18,4.15698,4.15698,4.15698,4.15698,000,4.0084
2016-04-15,4.15884,4.15884,4.15884,4.15884,000,4.0102
2016-04-14,4.15772,4.15772,4.15772,4.15772,000,4.00912
2016-04-13,4.15476,4.15476,4.15476,4.15476,000,4.00626
2016-04-12,4.1539,4.1539,4.1539,4.1539,000,4.00543
2016-04-11,4.15192,4.15192,4.15192,4.15192,000,4.00352
2016-04-08,4.15916,4.15916,4.15916,4.15916,000,4.0105
2016-04-07,4.15779,4.15779,4.15779,4.15779,000,4.00918
2016-04-06,4.15766,4.15766,4.15766,4.15766,000,4.00906
2016-04-05,4.15478,4.15478,4.15478,4.15478,000,4.00628
2016-04-04,4.15001,4.15001,4.15001,4.15001,000,4.00168
2016-04-01,4.15261,4.15261,4.15261,4.15261,000,4.00419
2016-03-31,4.595,4.607,4.559,4.564,1995300,4.40088
2016-03-30,4.14448,4.14448,4.14448,4.14448,000,3.99635
2016-03-29,4.1499,4.1499,4.1499,4.1499,000,4.00158
2016-03-28,4.15322,4.15322,4.15322,4.15322,000,4.00478
2016-03-25,4.15322,4.15322,4.15322,4.15322,000,4.00478
2016-03-24,4.539,4.567,4.507,4.531,1227300,4.36905
2016-03-23,4.15406,4.15406,4.15406,4.15406,000,4.00559
2016-03-22,4.1524,4.1524,4.1524,4.1524,000,4.00399
2016-03-21,4.1479,4.1479,4.1479,4.1479,000,3.99965
2016-03-18,4.14346,4.14346,4.14346,4.14346,000,3.99537
2016-03-17,4.14494,4.14494,4.14494,4.14494,000,3.99679
2016-03-16,4.15611,4.15611,4.15611,4.15611,000,4.00756
2016-03-15,4.15392,4.15392,4.15392,4.15392,000,4.00545
2016-03-14,4.14799,4.14799,4.14799,4.14799,000,3.99973
2016-03-11,4.14781,4.14781,4.14781,4.14781,000,3.99956
2016-03-10,4.275,4.367,4.224,4.224,2677200,4.07303
2016-03-09,4.15287,4.15287,4.15287,4.15287,000,4.00444
2016-03-08,4.15204,4.15204,4.15204,4.15204,000,4.00364
2016-03-07,4.438,4.472,4.362,4.372,1104600,4.21574
2016-03-04,4.15159,4.15159,4.15159,4.15159,000,4.00321
2016-03-03,4.15322,4.15322,4.15322,4.15322,000,4.00478
2016-03-02,4.15441,4.15441,4.15441,4.15441,000,4.00592
2016-03-01,4.15846,4.15846,4.15846,4.15846,000,4.00983
2016-02-29,4.343,4.385,4.305,4.381,1932500,4.22442
2016-02-26,4.15875,4.15875,4.15875,4.15875,000,4.01011
2016-02-25,4.15417,4.15417,4.15417,4.15417,000,4.00569
2016-02-24,4.213,4.265,4.168,4.25,3088900,4.0981
2016-02-23,4.14977,4.14977,4.14977,4.14977,000,4.00145
2016-02-22,4.15033,4.15033,4.15033,4.15033,000,4.00199
2016-02-19,4.14218,4.14218,4.14218,4.14218,000,3.99413
2016-02-18,4.13983,4.13983,4.13983,4.13983,000,3.99187
2016-02-17,4.096,4.26,4.096,4.241,1502400,4.08942
2016-02-16,4.13384,4.13384,4.13384,4.13384,000,3.98609
2016-02-15,4.13025,4.13025,4.13025,4.13025,000,3.98263
2016-02-12,4.1295,4.1295,4.1295,4.1295,000,3.9819
2016-02-11,4.003,4.01,3.898,3.898,2294700,3.75868
2016-02-10,4.13771,4.13771,4.13771,4.13771,000,3.98982
2016-02-09,4.14056,4.14056,4.14056,4.14056,000,3.99257
2016-02-08,4.14348,4.14348,4.14348,4.14348,000,3.99539
2016-02-05,4.13821,4.13821,4.13821,4.13821,000,3.9903
2016-02-04,4.13599,4.13599,4.13599,4.13599,000,3.98816
