Date,Open,High,Low,Close,Volume,Adj Close
2017-01-12,3635.00,3724.05,3570.50,3601.50,2668000,3601.50
2017-01-11,3581.50,3757.00,3552.00,3626.50,4457100,3626.50
2017-01-10,3606.50,3620.00,3574.50,3592.50,1941100,3592.50
2017-01-09,3550.50,3625.00,3534.00,3616.50,1426200,3616.50
2017-01-06,3509.00,3548.50,3502.50,3538.50,1584700,3538.50
2017-01-05,3528.00,3551.00,3510.38,3540.50,1455300,3540.50
2017-01-04,3540.00,3569.00,3512.50,3538.50,1519200,3538.50
2017-01-03,3542.00,3587.00,3523.50,3534.00,1984700,3534.00
2017-01-02,3542.50,3542.50,3542.50,3542.50,000,3542.50
2016-12-30,3544.00,3564.50,3520.00,3542.50,1170500,3542.50
2016-12-29,3513.50,3551.50,3510.00,3549.00,857100,3549.00
2016-12-28,3541.00,3546.66,3483.50,3527.50,1234800,3527.50
2016-12-27,3539.00,3539.00,3539.00,3539.00,000,3539.00
2016-12-26,3539.00,3539.00,3539.00,3539.00,000,3539.00
2016-12-23,3494.00,3549.00,3491.50,3539.00,583600,3539.00
2016-12-22,3495.00,3516.00,3485.50,3501.00,1159700,3501.00
2016-12-21,3516.50,3541.50,3497.50,3507.00,2375400,3507.00
2016-12-20,3556.00,3556.50,3515.00,3529.00,1829400,3529.00
2016-12-19,3502.50,3557.00,3483.00,3553.00,1748000,3553.00
2016-12-16,3517.00,3534.78,3458.00,3490.00,2749900,3490.00
2016-12-15,3477.00,3525.00,3447.00,3517.50,2159900,3517.50
2016-12-14,3502.00,3511.50,3475.50,3487.00,2095000,3487.00
2016-12-13,3434.00,3511.50,3423.50,3500.50,2094700,3500.50
2016-12-12,3485.00,3485.00,3412.50,3422.50,2173700,3422.50
2016-12-09,3403.50,3486.50,3401.50,3470.50,3535600,3470.50
2016-12-08,3398.50,3408.00,3363.45,3405.00,2397500,3405.00
2016-12-07,3408.50,3413.50,3361.00,3391.50,2526000,3391.50
2016-12-06,3400.00,3429.78,3369.50,3405.00,1883200,3405.00
2016-12-05,3374.00,3441.00,3360.00,3393.00,2498700,3393.00
2016-12-02,3334.00,3412.50,3328.50,3395.50,1794600,3395.50
2016-12-01,3400.00,3403.00,3324.00,3345.00,2616000,3345.00
2016-11-30,3505.50,3524.50,3427.50,3433.00,4112100,3433.00
2016-11-29,3514.50,3526.00,3479.50,3518.00,2021200,3518.00
2016-11-28,3500.00,3542.00,3483.50,3526.50,1655700,3526.50
2016-11-25,3485.50,3528.50,3485.50,3501.00,1586400,3501.00
2016-11-24,3503.50,3528.45,3467.00,3488.00,1420100,3488.00
2016-11-23,3481.00,3539.00,3481.00,3507.00,2723100,3507.00
2016-11-22,3480.00,3518.00,3478.50,3481.00,2786100,3481.00
2016-11-21,3443.50,3473.50,3431.00,3462.50,3452900,3462.50
2016-11-18,3479.00,3525.98,3444.50,3461.00,3528400,3461.00
2016-11-17,3426.50,3493.10,3409.00,3470.00,3001200,3470.00
2016-11-16,3516.00,3534.00,3446.50,3468.00,2503000,3468.00
2016-11-15,3420.00,3518.00,3420.00,3498.50,3569700,3498.50
2016-11-14,3460.00,3468.50,3420.00,3423.00,4314600,3423.00
2016-11-11,3356.50,3460.00,3350.50,3434.50,4763500,3434.50
2016-11-10,3628.50,3640.50,3373.50,3389.00,6887400,3389.00
2016-11-09,3610.00,3685.50,3608.00,3610.50,4910000,3610.50
