Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,271.50,274.80,271.131,272.90,3243000,272.90
2017-02-08,269.20,273.60,267.40,271.70,4612600,271.70
2017-02-07,267.60,269.40,266.50,268.50,3462600,268.50
2017-02-06,268.50,270.02,266.50,266.50,2627400,266.50
2017-02-03,267.10,270.20,266.60,268.70,3285800,268.70
2017-02-02,268.90,268.90,265.30,267.00,4227000,267.00
2017-02-01,270.90,271.40,265.40,268.90,4358000,268.90
2017-01-31,268.90,270.70,267.80,270.30,4963200,270.30
2017-01-30,268.30,268.30,265.10,268.10,2907500,268.10
2017-01-27,272.10,272.10,266.90,269.50,2286100,269.50
2017-01-26,271.60,274.10,269.036,270.70,3609400,270.70
2017-01-25,271.30,273.20,269.20,269.80,4469400,269.80
2017-01-24,276.90,276.90,271.80,272.00,4876500,272.00
2017-01-23,272.00,273.00,271.00,272.40,2874100,272.40
2017-01-20,276.20,277.10,271.30,271.30,4497500,271.30
2017-01-19,282.80,282.80,275.10,275.20,3851700,275.20
2017-01-18,284.10,285.70,280.70,282.00,2585400,282.00
2017-01-17,279.90,286.90,278.20,282.40,6183000,282.40
2017-01-16,278.00,280.20,276.20,279.20,2080100,279.20
2017-01-13,279.50,280.90,277.60,278.80,2352800,278.80
2017-01-12,280.30,281.30,276.60,278.20,1810000,278.20
2017-01-11,278.10,281.70,278.10,280.00,1877600,280.00
2017-01-10,276.60,279.90,275.70,279.90,2328300,279.90
2017-01-09,283.60,284.70,276.10,277.20,1630000,277.20
2017-01-06,278.10,282.70,277.90,281.60,2184900,281.60
2017-01-05,277.40,280.00,277.40,279.00,1601100,279.00
2017-01-04,275.30,278.70,273.00,278.60,2298700,278.60
2017-01-03,282.70,283.90,273.60,274.00,2788700,274.00
2017-01-02,281.30,281.30,281.30,281.30,000,281.30
2016-12-30,275.30,281.30,275.30,281.30,1484100,281.30
2016-12-29,273.00,277.70,273.00,277.30,1382900,277.30
2016-12-28,278.30,279.10,274.20,274.90,2611800,274.90
2016-12-27,276.60,276.60,276.60,276.60,000,276.60
2016-12-26,276.60,276.60,276.60,276.60,000,276.60
2016-12-23,274.40,278.20,274.40,276.60,898600,276.60
2016-12-22,274.70,275.30,272.40,274.30,1671100,274.30
2016-12-21,273.70,275.70,271.30,275.30,1497800,275.30
2016-12-20,273.00,275.40,272.80,274.30,1645000,274.30
2016-12-19,272.90,275.90,272.00,273.20,2204900,273.20
2016-12-16,267.20,273.055,267.20,273.00,9400700,273.00
2016-12-15,270.10,270.10,265.80,267.60,3562800,267.60
2016-12-14,270.40,273.40,270.40,271.10,2575600,271.10
2016-12-13,267.30,272.60,265.90,272.30,2203400,272.30
2016-12-12,271.70,272.40,265.20,265.90,2830000,265.90
2016-12-09,270.20,272.20,269.80,271.30,2960000,271.30
2016-12-08,269.20,272.60,266.90,269.20,4420800,269.20
2016-12-07,264.70,269.70,262.87,268.50,3459900,268.50
2016-12-06,260.70,265.20,260.00,264.10,1933200,264.10
2016-12-05,260.80,263.30,258.30,260.00,3300800,260.00
2016-12-02,263.20,265.50,261.80,262.10,3013800,262.10
2016-12-01,264.70,266.00,262.50,263.00,3050900,263.00
2016-11-30,271.40,273.50,269.00,269.10,4052700,269.10
2016-11-29,270.30,271.60,268.60,271.60,2985000,271.60
2016-11-28,267.90,269.90,265.10,268.90,3748900,268.90
2016-11-25,269.00,269.20,266.00,267.20,1501000,267.20
2016-11-24,270.60,271.40,267.40,268.40,1215300,268.40
2016-11-23,271.80,273.20,268.10,268.60,2493200,268.60
2016-11-22,271.70,273.00,269.30,270.30,1950700,270.30
2016-11-21,269.90,271.90,267.30,268.80,3028600,268.80
2016-11-18,271.70,272.00,266.90,268.10,2128100,268.10
2016-11-17,267.10,270.10,266.90,270.10,1989900,270.10
2016-11-16,269.40,269.40,263.80,265.60,2268900,265.60
2016-11-15,265.40,269.60,264.80,268.30,3287500,268.30
2016-11-14,267.10,267.10,260.60,263.00,4287500,263.00
2016-11-11,265.30,266.90,261.50,263.30,4153100,263.30
2016-11-10,274.30,277.20,262.10,263.80,5603600,263.80
2016-11-09,265.00,271.30,262.50,271.00,3330500,271.00
2016-11-08,270.10,274.80,269.90,272.90,3724400,272.90
2016-11-07,270.80,270.80,265.80,269.50,2922700,269.50
2016-11-04,269.90,269.90,263.80,265.80,2783600,265.80
2016-11-03,268.20,277.90,267.00,272.50,4663800,272.50
2016-11-02,268.80,273.10,268.30,270.40,3153900,270.40
2016-11-01,274.00,275.80,269.60,270.60,3457800,270.60
2016-10-31,274.90,276.70,272.60,275.50,4423000,275.50
2016-10-28,280.20,280.90,274.30,276.00,5573800,276.00
2016-10-27,282.50,285.00,279.90,281.40,3884600,281.40
2016-10-26,284.10,291.20,278.60,282.20,4865500,282.20
2016-10-25,287.60,291.30,283.80,286.20,8724900,286.20
2016-10-24,291.60,294.60,289.10,291.20,2292000,291.20
2016-10-21,292.20,292.60,289.10,291.60,3603300,291.60
2016-10-20,288.00,293.30,288.00,293.20,3818000,293.20
2016-10-19,293.40,295.20,290.20,295.10,5866900,290.50
2016-10-18,288.80,294.90,288.80,293.50,4081400,288.925
2016-10-17,290.50,290.57,287.00,287.40,4034700,282.92
2016-10-14,292.30,293.90,289.20,291.50,3514000,286.956
2016-10-13,282.70,290.223,281.20,290.20,4468800,285.676
2016-10-12,285.00,286.30,281.30,283.30,6592100,278.884
2016-10-11,283.80,290.50,283.60,285.30,5044300,280.853
2016-10-10,283.40,285.60,282.50,284.60,4817400,280.164
2016-10-07,285.50,285.50,281.20,282.00,4133200,277.604
2016-10-06,290.00,291.50,283.30,283.90,2158200,279.475
2016-10-05,298.10,300.80,290.00,290.00,3388400,285.48
2016-10-04,297.30,302.70,296.40,300.80,5318400,296.111
2016-10-03,297.20,297.20,293.60,296.20,2338500,291.583
2016-09-30,293.10,296.60,289.80,296.40,2948600,291.78
2016-09-29,293.50,296.369,292.70,293.10,3319100,288.531
2016-09-28,292.90,294.70,292.00,292.70,1839500,288.137
2016-09-27,291.60,292.40,287.10,292.10,2721800,287.547
2016-09-26,292.00,292.10,287.70,288.80,2272000,284.298
2016-09-23,293.80,293.80,291.30,292.70,1520500,288.137
2016-09-22,291.30,293.802,289.90,293.40,1429200,288.826
2016-09-21,292.00,292.70,287.40,288.20,2093400,283.708
2016-09-20,286.30,293.20,286.30,291.20,2390800,286.661
2016-09-19,290.30,291.30,285.60,287.70,2630400,283.215
2016-09-16,285.40,288.50,284.30,286.70,6936800,282.231
2016-09-15,286.50,287.30,282.90,285.50,3929800,281.05
2016-09-14,289.10,289.60,286.40,287.00,2955300,282.526
2016-09-13,290.00,292.40,288.00,289.20,3894300,284.692
2016-09-12,295.50,296.20,291.20,295.40,2915300,290.795
2016-09-09,304.00,307.00,297.30,298.20,2899700,293.552
2016-09-08,305.50,309.10,303.20,307.00,2714400,302.215
2016-09-07,309.20,309.30,304.60,306.30,2206300,301.525
2016-09-06,304.30,309.40,304.30,307.90,2522200,303.10
2016-09-05,314.00,315.00,304.20,305.60,2351500,300.836
2016-09-02,315.60,315.70,308.00,312.40,3101100,307.53
2016-09-01,315.80,319.40,312.90,314.90,2767800,309.991
2016-08-31,313.80,318.40,313.80,316.00,2774700,311.074
2016-08-30,316.10,318.90,314.90,314.90,1597100,309.991
2016-08-29,314.20,314.20,314.20,314.20,000,309.302
2016-08-26,315.40,317.40,313.60,314.20,990500,309.302
2016-08-25,314.80,316.50,313.20,316.20,3850100,311.271
2016-08-24,315.30,316.60,311.30,314.20,2958300,309.302
2016-08-23,313.30,318.30,312.90,317.00,2877300,312.059
2016-08-22,309.90,313.30,308.10,312.70,1875500,307.826
2016-08-19,309.50,311.60,305.60,309.00,1764400,304.183
2016-08-18,310.40,311.60,308.90,310.50,1352200,305.66
2016-08-17,311.70,312.70,305.50,307.50,1595100,302.707
2016-08-16,309.30,313.00,308.20,309.80,2256500,304.971
2016-08-15,313.80,313.80,311.20,311.30,1877500,306.447
2016-08-12,304.30,313.80,304.30,312.70,3204300,307.826
2016-08-11,308.30,308.80,302.40,305.70,2674700,300.935
2016-08-10,306.70,309.00,303.90,308.00,3750500,303.199
2016-08-09,307.00,309.00,305.60,308.30,2315000,303.494
2016-08-08,307.10,311.30,306.30,307.50,2064400,302.707
2016-08-05,306.40,307.40,304.30,307.30,2490600,302.51
2016-08-04,297.50,306.30,294.80,306.10,3286600,301.329
2016-08-03,295.90,300.20,294.85,295.00,4214400,290.402
2016-08-02,302.30,303.40,299.10,300.40,5115900,295.717
2016-08-01,300.30,305.60,297.20,301.40,3689700,296.702
2016-07-29,298.00,303.403,296.00,300.10,3506800,295.422
2016-07-28,295.60,306.50,294.50,296.90,4011800,292.272
2016-07-27,288.60,294.80,288.60,294.50,3086000,289.909
2016-07-26,290.70,290.70,287.70,288.70,2226200,284.20
2016-07-25,287.20,290.20,285.50,289.30,1454600,284.79
2016-07-22,284.40,289.50,284.40,287.70,2344100,283.215
2016-07-21,284.10,287.00,282.10,286.70,3139100,282.231
2016-07-20,283.50,285.40,282.60,284.90,1559800,280.459
2016-07-19,277.20,282.40,277.20,282.40,1755900,277.998
2016-07-18,276.50,282.70,276.50,279.30,2735600,274.946
2016-07-15,283.10,284.60,280.50,281.90,2574100,277.506
2016-07-14,282.40,283.80,279.00,282.90,2711400,278.49
2016-07-13,280.50,284.20,279.40,280.80,2950300,276.423
2016-07-12,279.90,287.40,279.90,282.60,5001900,278.195
2016-07-11,274.50,281.70,273.10,280.50,2911900,276.128
2016-07-08,258.80,271.50,255.80,270.90,5153600,266.677
2016-07-07,261.90,269.00,260.50,262.60,5285900,258.507
2016-07-06,263.30,266.90,259.70,260.70,10498600,256.636
2016-07-05,276.20,276.60,265.30,266.00,9706600,261.854
2016-07-04,290.90,293.40,278.10,278.80,4469400,274.454
2016-07-01,293.10,294.30,286.20,291.50,4058400,286.956
2016-06-30,275.00,291.20,273.30,290.10,8130000,285.578
2016-06-29,268.90,276.10,268.90,276.10,4300600,271.796
2016-06-28,263.60,271.10,263.20,266.20,5185700,262.051
2016-06-27,276.20,277.80,254.70,255.70,6916300,251.714
2016-06-24,272.60,290.00,271.10,277.20,10764000,272.879
2016-06-23,314.80,319.90,310.90,317.50,3204200,312.551
2016-06-22,308.60,314.90,305.80,311.90,3734900,307.038
2016-06-21,297.10,308.70,296.50,308.30,3350000,303.494
2016-06-20,291.80,298.50,291.30,298.50,2574300,293.847
2016-06-17,285.40,288.40,282.466,286.10,5059200,281.64
2016-06-16,285.40,288.40,281.70,282.70,2792100,278.293
2016-06-15,288.30,292.20,288.30,289.10,2129900,284.594
2016-06-14,289.10,291.70,286.50,287.60,3191100,283.117
2016-06-13,294.10,296.20,291.70,292.50,1839300,287.941
2016-06-10,305.00,305.10,296.20,296.20,2130500,291.583
2016-06-09,302.10,305.70,299.20,304.90,1882700,300.147
2016-06-08,296.80,303.20,296.50,303.20,1804500,298.474
2016-06-07,301.60,302.20,298.10,298.20,2380800,293.552
2016-06-06,298.00,302.80,296.50,301.50,2195700,296.80
2016-06-03,296.50,299.50,294.70,298.20,1909100,293.552
2016-06-02,296.10,298.20,294.80,295.00,2268800,290.402
2016-06-01,300.70,302.70,295.30,296.60,2742400,291.977
2016-05-31,305.80,305.80,299.40,299.70,3584600,295.028
2016-05-30,304.70,304.70,304.70,304.70,000,299.95
2016-05-27,302.20,304.70,297.64,304.70,2219000,299.95
2016-05-26,299.20,306.40,297.10,304.10,4105600,299.36
2016-05-25,298.20,300.30,295.00,298.10,3096800,293.453
2016-05-24,288.90,295.80,286.30,295.10,2673400,290.50
2016-05-23,286.00,290.00,285.90,288.50,1950800,284.003
2016-05-20,283.20,287.50,282.00,286.40,2985200,281.936
2016-05-19,285.60,286.90,281.90,282.00,3346100,277.604
2016-05-18,293.30,293.90,287.30,288.40,3763100,283.904
2016-05-17,294.90,297.10,292.80,294.50,2778900,289.909
2016-05-16,290.00,293.30,287.70,293.10,2132200,288.531
2016-05-13,290.10,292.70,287.30,292.70,2244800,288.137
2016-05-12,290.70,292.30,286.20,290.30,2679500,285.775
2016-05-11,295.70,296.60,290.90,292.10,1476000,287.547
2016-05-10,299.90,302.90,295.00,297.10,1449800,292.469
2016-05-09,300.00,301.00,297.70,299.00,1367200,294.339
2016-05-06,294.40,297.90,292.60,296.90,1888000,292.272
2016-05-05,294.90,297.80,292.70,294.50,2305000,289.909
2016-05-04,299.00,299.80,293.20,293.30,2543900,288.728
2016-05-03,304.20,305.00,298.60,298.60,2125500,293.945
2016-05-02,304.30,304.30,304.30,304.30,000,299.557
2016-04-29,308.50,310.60,304.30,304.30,2922300,299.557
2016-04-28,308.00,312.90,307.20,311.40,4356200,306.546
2016-04-27,304.60,307.40,304.50,306.00,1931600,301.23
2016-04-26,297.30,306.40,297.30,306.30,3506200,301.525
2016-04-25,291.10,297.20,291.10,296.90,2334600,292.272
2016-04-22,295.10,295.10,289.70,290.50,1545600,285.972
2016-04-21,298.10,300.20,294.20,295.00,1977400,290.402
2016-04-20,295.80,302.00,293.827,298.70,1842400,294.044
2016-04-19,293.00,300.40,293.00,298.30,2914000,293.65
2016-04-18,295.10,296.60,293.00,293.30,2123200,288.728
2016-04-15,306.90,308.30,296.50,296.50,4215300,291.878
2016-04-14,311.40,311.90,307.00,307.40,2001800,302.608
2016-04-13,314.20,319.90,311.367,318.00,2180900,304.085
2016-04-12,309.60,311.80,307.70,311.80,2490900,298.156
2016-04-11,314.50,317.90,313.30,317.20,1819800,303.32
2016-04-08,311.00,317.00,311.00,315.90,1323900,302.077
2016-04-07,313.40,315.10,309.05,309.90,1254700,296.339
2016-04-06,311.00,315.445,310.70,313.50,1502000,299.782
2016-04-05,310.30,313.00,308.70,310.70,1852300,297.104
2016-04-04,310.50,315.50,310.50,313.00,1641300,299.304
2016-04-01,310.30,312.70,308.50,311.70,2365800,298.061
2016-03-31,312.00,317.50,311.40,313.00,2634400,299.304
2016-03-30,315.70,318.50,315.30,315.70,1607000,301.886
