Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,3483.00,3505.00,3474.00,3501.00,371400,3501.00
2017-02-08,3492.00,3502.00,3468.80,3486.00,351600,3486.00
2017-02-07,3480.00,3508.00,3464.00,3500.00,317000,3500.00
2017-02-06,3450.00,3480.00,3446.00,3469.00,305700,3469.00
2017-02-03,3451.00,3466.00,3440.00,3457.00,242500,3457.00
2017-02-02,3402.00,3457.00,3389.00,3437.00,415800,3437.00
2017-02-01,3397.00,3445.00,3397.00,3419.00,327500,3419.00
2017-01-31,3410.00,3431.00,3383.00,3392.00,652800,3392.00
2017-01-30,3421.00,3448.00,3390.00,3400.00,428300,3400.00
2017-01-27,3492.00,3492.00,3425.00,3447.00,315100,3447.00
2017-01-26,3470.00,3478.00,3460.00,3476.00,373700,3476.00
2017-01-25,3435.00,3471.00,3424.00,3465.00,379000,3465.00
2017-01-24,3458.00,3462.00,3410.00,3429.00,494000,3429.00
2017-01-23,3450.00,3459.00,3423.00,3444.00,494400,3444.00
2017-01-20,3483.00,3500.00,3454.00,3457.00,504300,3457.00
2017-01-19,3520.00,3525.00,3462.00,3478.00,399800,3478.00
2017-01-18,3443.00,3474.00,3420.00,3462.00,441100,3462.00
2017-01-17,3502.00,3510.00,3405.00,3449.00,882100,3449.00
2017-01-16,3545.00,3577.00,3533.00,3563.00,317400,3563.00
2017-01-13,3547.00,3553.00,3536.00,3547.00,248400,3547.00
2017-01-12,3512.00,3557.00,3487.00,3550.00,317100,3550.00
2017-01-11,3469.00,3524.00,3469.00,3510.00,296300,3510.00
2017-01-10,3465.00,3494.00,3455.00,3467.00,219700,3467.00
2017-01-09,3491.00,3506.00,3469.00,3479.00,235900,3479.00
2017-01-06,3434.00,3486.00,3431.00,3480.00,197100,3480.00
2017-01-05,3461.00,3477.00,3433.00,3437.00,293800,3437.00
2017-01-04,3496.00,3496.00,3464.00,3467.00,340400,3467.00
2017-01-03,3487.00,3522.00,3457.00,3483.00,419300,3483.00
2017-01-02,3481.00,3481.00,3481.00,3481.00,000,3481.00
2016-12-30,3441.00,3481.00,3428.00,3481.00,280000,3481.00
