Date,Open,High,Low,Close,Volume,Adj Close
2017-02-09,206.20,210.00,205.80,209.60,13502800,209.60
2017-02-08,203.50,206.80,202.35,206.10,12855400,206.10
2017-02-07,202.40,205.407,201.10,203.50,15925300,203.50
2017-02-06,205.70,206.50,202.10,202.80,13088500,202.80
2017-02-03,204.10,207.90,203.20,205.50,22729400,205.50
2017-02-02,202.40,203.028,200.70,201.50,13583800,201.50
2017-02-01,204.40,204.40,201.22,202.30,16127300,202.30
2017-01-31,206.00,206.999,203.20,203.20,16995400,203.20
2017-01-30,207.40,208.60,202.10,206.00,11483400,206.00
2017-01-27,206.60,206.60,201.70,204.70,22878400,204.70
2017-01-26,206.00,207.20,204.40,205.00,15098700,205.00
2017-01-25,210.90,212.671,204.60,204.60,24299500,204.60
2017-01-24,202.50,216.90,197.51,209.30,57084800,209.30
2017-01-23,201.00,203.60,199.82,201.30,9036600,201.30
2017-01-20,204.50,204.888,201.50,201.50,10073500,201.50
2017-01-19,198.90,203.60,197.80,203.50,14911700,203.50
2017-01-18,204.40,204.40,200.871,202.60,12307600,202.60
2017-01-17,204.40,207.30,201.90,203.30,19365600,203.30
2017-01-16,209.10,209.60,203.964,204.20,16715300,204.20
2017-01-13,205.20,209.90,205.20,208.60,22589500,208.60
2017-01-12,206.50,206.70,200.40,203.00,14786600,203.00
2017-01-11,207.00,208.323,204.80,206.50,12858600,206.50
2017-01-10,208.00,209.00,205.167,207.20,17686500,207.20
2017-01-09,207.50,208.20,204.65,207.50,15412500,207.50
2017-01-06,205.00,205.738,201.50,205.50,15019200,205.50
2017-01-05,202.00,206.422,198.68,204.60,18771400,204.60
2017-01-04,208.00,210.00,198.634,201.40,24802100,201.40
2017-01-03,207.50,208.807,204.90,208.00,16130600,208.00
2017-01-02,206.40,206.40,206.40,206.40,000,206.40
2016-12-30,203.80,206.40,203.002,206.40,5688500,206.40
2016-12-29,202.30,204.00,201.379,204.00,12511700,204.00
2016-12-28,203.10,204.433,202.10,202.80,11744600,202.80
2016-12-27,203.50,203.50,203.50,203.50,000,203.50
2016-12-26,203.50,203.50,203.50,203.50,000,203.50
2016-12-23,203.20,205.18,201.365,203.50,4253200,203.50
2016-12-22,201.20,207.00,200.50,203.80,13869900,203.80
2016-12-21,197.90,200.60,197.90,200.00,10651700,200.00
2016-12-20,199.00,201.50,197.70,198.90,17423800,198.90
2016-12-19,197.30,200.10,193.842,200.00,16464700,200.00
2016-12-16,194.90,197.10,194.50,195.90,21024200,195.90
2016-12-15,194.70,200.202,193.80,196.50,24546900,196.50
2016-12-14,192.30,197.408,192.192,195.10,37019700,195.10
2016-12-13,184.50,193.10,184.50,192.10,29070600,192.10
2016-12-12,191.00,193.40,181.47,185.20,21312900,185.20
2016-12-09,181.40,193.092,180.015,191.50,39597500,191.50
2016-12-08,177.90,183.558,177.70,181.50,28778600,181.50
2016-12-07,176.20,177.50,166.87,177.50,22343200,177.50
2016-12-06,168.90,175.40,167.10,175.00,20733000,175.00
2016-12-05,166.20,171.00,165.00,169.10,16190600,169.10
2016-12-02,169.50,170.00,165.10,166.90,11979700,166.90
2016-12-01,167.30,172.633,166.70,170.00,19554200,170.00
2016-11-30,171.30,171.90,166.436,168.00,34093500,168.00
2016-11-29,166.70,171.515,166.20,171.20,14308600,171.20
2016-11-28,168.00,168.40,165.80,166.70,11141000,166.70
2016-11-25,166.50,168.896,165.70,168.00,12237200,168.00
2016-11-24,166.50,167.10,165.60,166.80,7292500,166.80
2016-11-23,166.30,166.90,165.50,166.00,12158500,166.00
2016-11-22,166.40,168.30,165.20,165.60,17396200,165.60
2016-11-21,169.70,170.80,165.60,165.60,16239200,165.60
2016-11-18,170.10,170.913,166.568,170.00,18486100,170.00
2016-11-17,166.90,170.75,166.50,170.50,16799000,170.50
2016-11-16,164.80,167.701,156.237,167.00,14589000,167.00
2016-11-15,167.80,169.10,165.00,165.00,22709800,165.00
2016-11-14,170.90,172.20,167.50,167.70,25928800,167.70
2016-11-11,168.70,172.00,166.40,169.20,32289800,169.20
2016-11-10,163.00,172.00,162.10,168.10,32196500,168.10
2016-11-09,161.20,168.00,161.00,166.00,28320000,166.00
2016-11-08,167.40,168.40,164.70,165.80,17175700,165.80
2016-11-07,170.20,171.60,166.80,166.80,25525800,166.80
2016-11-04,170.30,170.50,167.40,168.00,20390300,168.00
2016-11-03,168.20,173.40,167.40,171.10,30284100,171.10
2016-11-02,170.00,170.913,168.40,168.80,11500600,168.80
2016-11-01,171.40,172.719,170.01,170.70,11571700,170.70
2016-10-31,172.20,173.00,170.10,170.50,12379500,170.50
2016-10-28,169.80,173.20,168.225,172.00,19530000,172.00
2016-10-27,164.20,172.40,163.80,172.10,19969400,172.10
2016-10-26,170.00,170.50,165.954,167.40,23299800,165.00
2016-10-25,172.00,173.336,170.20,170.30,18577200,167.858
2016-10-24,173.10,175.70,171.90,171.90,27854700,169.435
2016-10-21,172.50,172.90,169.00,171.00,22131900,168.548
2016-10-20,179.80,180.50,171.85,173.20,23841500,170.717
2016-10-19,178.70,181.15,177.40,179.80,19351800,177.222
2016-10-18,175.00,180.719,173.00,178.90,19766900,176.335
2016-10-17,172.80,174.927,172.407,173.70,15294600,171.21
2016-10-14,171.80,175.90,171.60,172.50,20400800,170.027
2016-10-13,175.80,176.20,170.80,172.70,20432300,170.224
2016-10-12,178.10,178.50,175.182,175.90,11606700,173.378
2016-10-11,172.30,178.60,172.30,177.60,34953700,175.054
2016-10-10,176.30,176.30,172.70,173.50,21441300,171.013
2016-10-07,184.00,186.22,173.30,175.10,37785000,172.59
2016-10-06,185.50,186.90,184.00,184.00,18466900,181.362
2016-10-05,186.00,187.80,183.70,183.70,18195900,181.066
2016-10-04,184.30,188.30,184.10,185.70,38179200,183.038
2016-10-03,186.30,186.90,183.50,183.80,13742500,181.165
2016-09-30,182.80,187.751,182.00,187.20,16174200,184.516
2016-09-29,187.20,188.50,184.00,184.60,12826600,181.953
2016-09-28,185.30,188.00,185.20,186.60,7942700,183.925
2016-09-27,184.70,185.40,181.50,183.70,14263800,181.066
2016-09-26,185.30,186.10,181.00,183.40,21330500,180.771
2016-09-23,194.10,194.10,186.60,186.70,22462600,184.023
2016-09-22,195.60,195.90,192.072,194.20,10828600,191.416
2016-09-21,198.70,199.20,194.10,194.80,12569600,192.007
2016-09-20,194.00,198.087,192.50,197.00,14446800,194.176
2016-09-19,195.30,196.60,193.087,194.10,14676400,191.317
2016-09-16,197.50,199.10,192.10,193.10,25437700,190.332
2016-09-15,196.30,198.304,195.395,198.30,11383800,195.457
2016-09-14,197.90,199.839,194.90,197.20,17032900,194.373
2016-09-13,196.80,198.00,194.30,196.90,14568500,194.077
2016-09-12,199.70,200.67,195.88,196.40,16911600,193.584
2016-09-09,204.40,206.09,202.40,202.90,10043100,199.991
2016-09-08,205.10,206.80,204.30,205.50,16844600,202.554
2016-09-07,206.30,207.00,204.40,205.20,16394300,202.258
2016-09-06,208.00,209.60,206.58,206.60,9170800,203.638
2016-09-05,210.30,210.30,207.10,207.50,6474100,204.525
2016-09-02,206.70,210.00,204.80,209.10,17903600,206.102
2016-09-01,200.40,208.411,199.90,205.50,16254700,202.554
2016-08-31,200.60,203.10,198.60,200.70,14651200,197.823
2016-08-30,202.20,204.40,200.10,200.50,15022400,197.625
2016-08-26,202.60,203.80,201.10,201.80,10781700,198.907
2016-08-25,200.50,207.30,199.40,202.80,19097300,199.892
2016-08-24,195.60,201.80,194.848,201.80,10658900,198.907
2016-08-23,196.90,198.612,194.22,196.50,8526400,193.683
2016-08-22,195.00,197.709,194.00,195.00,8773000,192.204
2016-08-19,197.10,197.10,194.30,195.60,8294600,192.796
2016-08-18,197.30,198.60,195.70,196.90,6500500,194.077
2016-08-17,196.60,196.60,194.20,195.40,7695300,192.599
2016-08-16,198.10,199.387,195.90,195.90,7420500,193.091
2016-08-15,200.70,200.816,197.30,199.20,10807700,196.344
2016-08-12,197.40,200.96,195.20,200.00,11172300,197.133
2016-08-11,201.90,201.90,194.80,197.30,14954600,194.471
2016-08-10,198.10,201.50,195.00,200.50,13849400,197.625
2016-08-09,200.00,201.282,197.987,198.70,11753400,195.851
2016-08-08,200.20,202.837,199.30,199.50,10538900,196.64
2016-08-05,197.70,200.60,197.30,199.00,11042900,196.147
2016-08-04,194.40,199.628,189.10,197.40,16639300,194.57
2016-08-03,195.60,195.60,191.426,195.00,15561600,192.204
2016-08-02,192.70,195.30,191.20,194.90,15952300,192.106
2016-08-01,197.70,198.30,191.272,193.60,13955800,190.824
2016-07-29,196.20,197.80,194.00,196.00,19287300,193.19
2016-07-28,200.70,201.20,194.70,195.20,18819900,192.401
2016-07-27,192.20,203.50,191.30,197.30,27773500,194.471
2016-07-26,187.80,188.40,181.80,184.80,21637500,182.151
2016-07-25,189.00,190.90,187.70,189.10,14142100,186.389
2016-07-22,189.40,190.20,186.80,188.10,14895400,185.403
2016-07-21,186.70,192.00,186.10,189.90,14372200,187.177
2016-07-20,187.10,188.30,183.20,187.70,16391600,185.009
2016-07-19,190.10,190.80,184.572,185.90,15375100,183.235
2016-07-18,189.90,193.50,185.80,190.60,33974700,187.867
2016-07-15,187.20,189.90,185.30,188.50,14054300,185.797
2016-07-14,185.50,187.40,181.20,186.70,24782300,184.023
2016-07-13,190.30,190.80,184.80,184.90,17446200,182.249
2016-07-12,188.00,192.235,187.70,190.70,18395700,187.966
2016-07-11,183.00,188.30,177.80,185.70,29970500,183.038
2016-07-08,174.70,182.20,174.00,180.80,17507800,178.208
2016-07-07,172.50,177.658,171.30,175.00,16174100,172.491
2016-07-06,168.30,173.10,168.10,170.20,28295300,167.76
2016-07-05,174.10,176.52,168.70,168.90,21671900,166.478
2016-07-04,182.40,183.80,174.40,175.10,18367100,172.59
2016-07-01,181.30,183.30,177.80,180.90,19425400,178.306
2016-06-30,175.70,180.50,172.072,179.70,34387700,177.124
2016-06-29,171.00,178.641,168.10,177.70,47661200,175.152
2016-06-28,160.60,166.30,159.80,166.00,55942000,163.62
2016-06-27,170.00,173.90,152.80,154.00,68319800,151.792
2016-06-24,143.00,187.348,141.00,174.40,92132000,171.90
2016-06-23,216.60,219.80,214.50,219.20,18819900,216.057
2016-06-22,212.20,216.10,210.30,214.50,12293600,211.425
2016-06-21,211.10,213.364,210.20,210.90,14984900,207.876
2016-06-20,209.00,212.70,207.70,212.70,21462600,209.651
2016-06-17,200.00,204.40,200.00,204.00,22057100,201.075
2016-06-16,196.00,203.90,194.995,198.50,13016100,195.654
2016-06-15,198.00,200.20,196.90,198.00,15950700,195.161
2016-06-14,200.70,200.82,196.60,196.70,17861800,193.88
2016-06-13,203.90,205.70,201.90,201.90,16303300,199.005
2016-06-10,208.00,209.10,204.754,205.40,12217800,202.455
2016-06-09,208.30,210.50,207.30,208.60,24876000,205.609
2016-06-08,210.80,211.20,208.10,208.20,16464200,205.215
2016-06-07,211.10,213.00,209.216,211.50,13688300,208.468
2016-06-06,215.00,215.60,210.30,211.40,13359400,208.369
2016-06-03,212.80,214.50,211.50,213.50,13540300,210.439
2016-06-02,210.60,212.60,210.30,212.50,11529600,209.453
2016-06-01,215.10,215.10,210.70,210.70,15525300,207.679
2016-05-31,220.20,220.60,214.80,214.80,29453800,211.72
2016-05-30,220.50,220.50,220.50,220.50,000,217.339
2016-05-27,218.70,221.30,218.30,220.50,17618100,217.339
2016-05-26,216.80,219.00,214.70,218.80,9221500,215.663
2016-05-25,219.00,220.20,216.80,217.60,15304100,214.48
2016-05-24,210.40,217.30,208.40,216.70,15274200,213.593
2016-05-23,213.30,213.70,211.20,212.00,13276100,208.961
2016-05-20,209.40,225.589,208.60,212.80,21499000,209.749
2016-05-19,204.40,208.30,203.50,207.50,22983800,204.525
2016-05-18,205.60,206.50,203.70,205.50,16256300,202.554
2016-05-17,208.20,210.10,206.20,206.40,16356300,203.441
2016-05-16,202.80,205.10,201.638,204.60,11895100,201.667
2016-05-13,209.10,210.239,202.20,204.90,30543700,201.962
2016-05-12,220.20,220.90,206.50,210.00,31153600,206.989
2016-05-11,218.80,218.80,214.80,215.30,14299000,212.213
2016-05-10,220.40,220.80,217.30,218.30,14016100,215.17
2016-05-09,217.90,221.50,217.369,220.60,20160400,217.437
2016-05-06,222.80,222.80,215.55,216.70,18911300,213.593
2016-05-05,225.80,226.941,220.74,223.10,14574800,219.901
2016-05-04,227.70,230.30,224.80,225.10,19757700,221.873
2016-05-03,226.40,229.50,225.40,228.00,21288200,224.731
2016-05-02,225.20,225.20,225.20,225.20,000,221.971
2016-04-29,224.60,225.70,223.60,225.20,21697800,221.971
2016-04-28,219.70,225.60,217.727,225.60,25814500,222.366
2016-04-27,234.00,237.40,233.20,233.80,20152300,226.407
2016-04-26,232.40,235.40,231.70,232.80,15716900,225.438
2016-04-25,227.10,233.20,226.644,232.00,17170600,224.664
2016-04-22,226.00,227.60,225.40,226.60,23004300,219.434
2016-04-21,233.70,234.40,227.10,227.50,17812300,220.306
2016-04-20,238.50,238.50,230.20,233.50,22917800,226.116
2016-04-19,237.20,239.90,236.20,238.40,12616200,230.861
2016-04-18,238.70,241.20,237.00,237.30,11074300,229.796
2016-04-15,244.00,244.00,239.50,239.50,14665500,231.927
2016-04-14,239.90,243.90,239.361,243.70,17099500,235.994
2016-04-13,241.60,241.60,238.60,240.20,11203200,232.604
2016-04-12,240.80,241.10,236.90,239.00,11376800,231.442
2016-04-11,237.80,243.30,235.50,240.70,14623100,233.089
2016-04-08,240.10,241.60,238.00,238.40,9759100,230.861
2016-04-07,243.80,244.30,238.276,238.70,13514900,231.152
2016-04-06,240.70,242.95,238.50,242.20,8666500,234.541
2016-04-05,243.80,244.80,238.50,239.50,18004800,231.927
