Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,1525.00,1533.50,1480.00,1500.50,8063400,1342.09
2014-02-26,1495.50,1513.01,1484.00,1494.00,4600500,1336.276
2014-02-27,1495.00,1515.00,1475.00,1511.50,5114200,1351.929
2014-02-28,1508.50,1531.00,1498.00,1531.00,6788200,1369.37
2014-03-01,1508.50,1531.00,1498.00,1531.00,6788200,1369.37
2014-03-02,1508.50,1531.00,1498.00,1531.00,6788200,1369.37
2014-03-03,1490.50,1509.50,1478.35,1478.50,6800500,1322.413
2014-03-04,1492.00,1515.00,1479.00,1502.50,3871900,1343.879
2014-03-05,1500.00,1526.00,1492.00,1520.00,5240200,1359.532
2014-03-06,1531.50,1574.50,1530.00,1565.00,4522700,1399.781
2014-03-07,1557.50,1558.50,1455.50,1462.50,8838400,1308.102
2014-03-08,1557.50,1558.50,1455.50,1462.50,8838400,1308.102
2014-03-09,1557.50,1558.50,1455.50,1462.50,8838400,1308.102
2014-03-10,1450.00,1452.00,1415.00,1433.00,5830200,1281.716
2014-03-11,1437.50,1466.50,1426.00,1435.50,5091300,1283.952
2014-03-12,1422.50,1430.50,1409.00,1419.50,5758500,1269.641
2014-03-13,1432.00,1442.00,1410.50,1411.50,4778900,1262.486
2014-03-14,1391.00,1434.00,1387.00,1423.00,5556600,1272.772
2014-03-15,1391.00,1434.00,1387.00,1423.00,5556600,1272.772
2014-03-16,1391.00,1434.00,1387.00,1423.00,5556600,1272.772
2014-03-17,1428.00,1479.00,1427.00,1461.50,5338500,1307.208
2014-03-18,1459.00,1483.00,1438.50,1467.50,4416900,1312.574
2014-03-19,1439.50,1449.50,1388.50,1388.50,4921900,1269.228
2014-03-20,1382.50,1417.00,1374.50,1411.50,5095900,1290.252
2014-03-21,1413.00,1454.00,1406.50,1439.50,5945000,1315.847
2014-03-22,1413.00,1454.00,1406.50,1439.50,5945000,1315.847
2014-03-23,1413.00,1454.00,1406.50,1439.50,5945000,1315.847
2014-03-24,1440.00,1463.00,1433.00,1440.00,21684700,1316.304
2014-03-25,1453.00,1498.50,1453.00,1498.00,4789000,1369.322
2014-03-26,1507.50,1522.50,1481.50,1489.00,4875500,1361.095
2014-03-27,1478.50,1487.00,1459.00,1487.00,3230700,1359.267
2014-03-28,1499.50,1533.50,1496.50,1509.00,4074400,1379.377
2014-03-29,1499.50,1533.50,1496.50,1509.00,4074400,1379.377
2014-03-30,1499.50,1533.50,1496.50,1509.00,4074400,1379.377
2014-03-31,1517.00,1546.00,1515.00,1526.50,5381400,1395.374
2014-04-01,1541.00,1552.50,1518.00,1521.50,3301700,1390.803
2014-04-02,1529.00,1560.00,1529.00,1544.00,3496200,1411.371
2014-04-03,1537.50,1547.50,1505.00,1516.50,4408800,1386.233
2014-04-04,1517.00,1573.00,1517.00,1565.00,4218300,1430.567
2014-04-05,1517.00,1573.00,1517.00,1565.00,4218300,1430.567
2014-04-06,1517.00,1573.00,1517.00,1565.00,4218300,1430.567
2014-04-07,1547.50,1583.50,1537.94,1554.00,4570300,1420.512
2014-04-08,1563.50,1585.00,1539.50,1577.00,5682300,1441.536
2014-04-09,1578.00,1594.50,1555.50,1558.00,5464400,1424.168
2014-04-10,1567.50,1592.50,1541.50,1548.50,4736500,1415.484
2014-04-11,1530.00,1554.00,1516.50,1537.00,5676000,1404.972
2014-04-12,1530.00,1554.00,1516.50,1537.00,5676000,1404.972
2014-04-13,1530.00,1554.00,1516.50,1537.00,5676000,1404.972
2014-04-14,1531.00,1543.65,1506.00,1543.50,7089600,1410.914
2014-04-15,1542.00,1543.00,1504.50,1514.00,6253200,1383.948
2014-04-16,1530.50,1542.00,1506.00,1538.50,3895800,1406.343
2014-04-17,1545.00,1550.00,1512.50,1547.00,3209200,1414.113
2014-04-18,1547.00,1547.00,1547.00,1547.00,000,1414.113
2014-04-19,1547.00,1547.00,1547.00,1547.00,000,1414.113
2014-04-20,1547.00,1547.00,1547.00,1547.00,000,1414.113
2014-04-21,1547.00,1547.00,1547.00,1547.00,000,1414.113
2014-04-22,1545.00,1548.50,1520.50,1538.50,4321100,1406.343
2014-04-23,1539.00,1551.00,1523.50,1547.00,6114500,1414.113
2014-04-24,1580.00,1605.50,1555.50,1566.50,4202800,1431.938
2014-04-25,1552.00,1562.50,1519.00,1533.00,3850700,1401.315
2014-04-26,1552.00,1562.50,1519.00,1533.00,3850700,1401.315
2014-04-27,1552.00,1562.50,1519.00,1533.00,3850700,1401.315
2014-04-28,1533.00,1533.00,1510.00,1519.00,2253800,1388.518
2014-04-29,1516.50,1542.65,1505.50,1542.50,5493100,1409.999
2014-04-30,1535.00,1582.50,1525.50,1582.00,5539300,1446.106
2014-05-01,1583.50,1589.50,1548.00,1564.50,1068800,1430.11
2014-05-02,1562.00,1580.00,1550.50,1565.00,3254200,1430.567
2014-05-03,1562.00,1580.00,1550.50,1565.00,3254200,1430.567
2014-05-04,1562.00,1580.00,1550.50,1565.00,3254200,1430.567
2014-05-05,1565.00,1565.00,1565.00,1565.00,000,1430.567
2014-05-06,1564.50,1571.50,1529.00,1542.50,3743300,1409.999
2014-05-07,1537.50,1567.58,1532.00,1567.50,2779900,1432.852
2014-05-08,1576.00,1594.50,1574.00,1589.00,3741300,1452.505
