Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,476.00,476.60,469.60,474.50,17146100,373.52
2014-02-26,474.10,475.224,471.00,473.00,4220900,372.339
2014-02-27,472.70,473.65,457.60,469.10,8191400,369.269
2014-02-28,470.00,476.00,470.00,473.60,6618500,372.811
2014-03-01,470.00,476.00,470.00,473.60,6618500,372.811
2014-03-02,470.00,476.00,470.00,473.60,6618500,372.811
2014-03-03,465.40,466.40,454.50,459.90,5811700,362.027
2014-03-04,464.50,466.10,459.40,462.50,8804300,364.073
2014-03-05,461.90,468.00,460.30,466.10,8623000,366.907
2014-03-06,497.00,514.00,495.90,504.00,24240400,396.742
2014-03-07,503.00,526.00,502.50,508.50,14861300,400.284
2014-03-08,503.00,526.00,502.50,508.50,14861300,400.284
2014-03-09,503.00,526.00,502.50,508.50,14861300,400.284
2014-03-10,508.50,520.359,508.00,509.50,6830400,401.071
2014-03-11,512.50,528.50,510.50,523.50,12305000,412.092
2014-03-12,522.00,527.50,518.50,523.00,9183000,411.698
2014-03-13,525.00,525.00,511.50,516.00,9064000,406.188
2014-03-14,511.50,512.00,505.50,507.00,8612500,399.103
2014-03-15,511.50,512.00,505.50,507.00,8612500,399.103
2014-03-16,511.50,512.00,505.50,507.00,8612500,399.103
2014-03-17,508.00,518.50,505.00,515.50,6774600,405.794
2014-03-18,515.50,519.50,510.50,517.00,5962300,406.975
2014-03-19,517.50,522.00,472.50,490.40,28878500,386.036
2014-03-20,489.50,498.70,477.539,493.70,16271900,388.634
2014-03-21,494.40,494.80,480.30,480.30,25853200,378.085
2014-03-22,494.40,494.80,480.30,480.30,25853200,378.085
2014-03-23,494.40,494.80,480.30,480.30,25853200,378.085
2014-03-24,484.30,485.00,475.30,476.40,8397600,375.015
2014-03-25,477.70,482.40,473.20,481.10,12298800,378.715
2014-03-26,483.00,495.40,478.30,489.80,8607900,385.564
2014-03-27,486.80,490.563,482.10,483.50,5168700,380.604
2014-03-28,482.30,482.30,442.40,470.20,42280600,370.135
2014-03-29,482.30,482.30,442.40,470.20,42280600,370.135
2014-03-30,482.30,482.30,442.40,470.20,42280600,370.135
2014-03-31,473.50,481.80,473.10,477.00,23920900,375.488
2014-04-01,484.70,494.70,477.00,492.10,13563300,387.374
2014-04-02,481.20,491.70,481.20,487.80,8376200,391.467
2014-04-03,487.90,493.00,487.00,489.00,6693300,392.43
2014-04-04,489.00,501.857,488.60,498.20,10228800,399.813
2014-04-05,489.00,501.857,488.60,498.20,10228800,399.813
2014-04-06,489.00,501.857,488.60,498.20,10228800,399.813
2014-04-07,492.80,496.50,488.772,491.30,6048600,394.276
2014-04-08,489.50,493.30,484.12,490.00,9661900,393.232
2014-04-09,490.30,500.50,489.90,500.50,8112600,401.659
2014-04-10,503.50,507.00,497.90,503.00,8808300,403.665
2014-04-11,498.60,502.00,494.90,499.20,6563700,400.616
2014-04-12,498.60,502.00,494.90,499.20,6563700,400.616
2014-04-13,498.60,502.00,494.90,499.20,6563700,400.616
2014-04-14,497.30,505.50,492.10,505.00,5678400,405.27
2014-04-15,503.00,512.00,489.50,491.40,8008800,394.356
2014-04-16,494.30,501.007,494.30,499.00,6077500,400.455
2014-04-17,502.00,509.75,499.50,509.00,5544100,408.48
2014-04-18,509.00,509.00,509.00,509.00,000,408.48
2014-04-19,509.00,509.00,509.00,509.00,000,408.48
2014-04-20,509.00,509.00,509.00,509.00,000,408.48
2014-04-21,509.00,509.00,509.00,509.00,000,408.48
2014-04-22,510.50,514.50,504.00,510.50,4855300,409.684
2014-04-23,512.00,513.535,504.50,506.00,4208900,406.073
2014-04-24,508.00,515.50,503.00,509.50,4893000,408.881
2014-04-25,508.50,510.925,505.00,509.50,7511100,408.881
2014-04-26,508.50,510.925,505.00,509.50,7511100,408.881
2014-04-27,508.50,510.925,505.00,509.50,7511100,408.881
2014-04-28,509.50,514.555,505.50,509.00,3759400,408.48
2014-04-29,510.50,518.00,510.105,517.00,4791300,414.90
2014-04-30,516.50,526.925,513.50,525.50,7071800,421.722
2014-05-01,527.50,527.50,519.00,525.00,6591300,421.32
2014-05-02,526.00,527.00,520.00,523.00,6085500,419.715
2014-05-03,526.00,527.00,520.00,523.00,6085500,419.715
2014-05-04,526.00,527.00,520.00,523.00,6085500,419.715
2014-05-05,523.00,523.00,523.00,523.00,000,419.715
2014-05-06,527.50,533.00,523.50,531.00,6077800,426.136
2014-05-07,531.00,531.00,522.153,526.00,5458900,422.123
2014-05-08,527.50,529.50,520.00,525.00,4660500,421.32
2014-05-09,524.50,525.00,514.50,524.50,3411200,420.919
2014-05-10,524.50,525.00,514.50,524.50,3411200,420.919
2014-05-11,524.50,525.00,514.50,524.50,3411200,420.919
2014-05-12,525.50,531.50,522.00,531.00,4353700,426.136
2014-05-13,534.00,534.00,523.50,528.00,4704000,423.728
