Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,259.35,259.90,254.00,257.90,58267400,241.645
2014-02-26,258.45,260.477,251.80,253.15,45055400,237.195
2014-02-27,252.20,254.60,249.60,253.90,46077500,237.897
2014-02-28,254.40,255.00,251.25,252.10,58789700,236.211
2014-03-01,254.40,255.00,251.25,252.10,58789700,236.211
2014-03-02,254.40,255.00,251.25,252.10,58789700,236.211
2014-03-03,249.35,250.345,245.05,247.85,53499700,232.229
2014-03-04,250.25,254.25,249.05,252.95,46362500,237.007
2014-03-05,253.70,254.00,250.40,252.25,34279100,236.351
2014-03-06,253.90,256.289,252.60,253.30,25035900,237.335
2014-03-07,254.05,254.495,247.30,248.35,50823900,232.697
2014-03-08,254.05,254.495,247.30,248.35,50823900,232.697
2014-03-09,254.05,254.495,247.30,248.35,50823900,232.697
2014-03-10,245.50,248.355,240.70,242.00,68238700,226.747
2014-03-11,242.35,243.15,233.65,236.15,94805400,221.266
2014-03-12,235.00,237.10,230.35,233.75,61994600,219.017
2014-03-13,235.50,240.35,234.95,235.65,64888300,220.798
2014-03-14,235.60,238.65,228.289,231.15,73837400,216.581
2014-03-15,235.60,238.65,228.289,231.15,73837400,216.581
2014-03-16,235.60,238.65,228.289,231.15,73837400,216.581
2014-03-17,232.10,233.667,229.95,231.05,46130600,216.488
2014-03-18,231.80,238.00,230.20,236.05,57727600,221.172
2014-03-19,238.50,243.30,232.166,241.50,64501400,226.279
2014-03-20,239.90,242.05,236.10,238.65,44844600,223.609
2014-03-21,238.15,239.25,234.50,235.90,105176000,221.032
2014-03-22,238.15,239.25,234.50,235.90,105176000,221.032
2014-03-23,238.15,239.25,234.50,235.90,105176000,221.032
2014-03-24,237.60,250.00,233.10,234.05,42304900,219.298
2014-03-25,234.65,250.00,234.30,236.95,41103100,222.016
2014-03-26,237.25,237.60,232.85,233.30,60112200,218.596
2014-03-27,232.35,232.70,229.80,230.95,48071800,216.394
2014-03-28,232.65,233.95,227.65,231.10,49112100,216.534
2014-03-29,232.65,233.95,227.65,231.10,49112100,216.534
2014-03-30,232.65,233.95,227.65,231.10,49112100,216.534
2014-03-31,231.90,233.75,231.10,233.40,69418300,218.689
2014-04-01,236.35,237.952,233.40,237.45,46496400,222.484
2014-04-02,238.50,243.965,238.118,242.75,56180700,227.45
2014-04-03,244.00,246.45,240.77,244.10,52338100,228.715
2014-04-04,245.55,249.00,241.762,248.15,53060500,232.51
2014-04-05,245.55,249.00,241.762,248.15,53060500,232.51
2014-04-06,245.55,249.00,241.762,248.15,53060500,232.51
2014-04-07,246.45,248.05,241.15,241.85,49049900,226.607
2014-04-08,241.05,242.25,234.35,238.60,42603500,223.562
2014-04-09,239.05,241.25,237.55,238.50,36477200,223.468
2014-04-10,239.60,242.067,237.85,239.75,36763600,224.639
2014-04-11,238.00,239.679,232.976,236.05,66656600,221.172
2014-04-12,238.00,239.679,232.976,236.05,66656600,221.172
2014-04-13,238.00,239.679,232.976,236.05,66656600,221.172
2014-04-14,234.90,237.32,230.95,237.30,73074700,222.344
2014-04-15,237.00,239.117,232.15,233.15,35919800,218.455
2014-04-16,234.15,238.209,234.00,237.55,37671100,222.578
2014-04-17,238.90,250.15,234.65,246.50,143984200,230.964
2014-04-18,246.50,246.50,246.50,246.50,000,230.964
2014-04-19,246.50,246.50,246.50,246.50,000,230.964
2014-04-20,246.50,246.50,246.50,246.50,000,230.964
2014-04-21,246.50,246.50,246.50,246.50,000,230.964
2014-04-22,247.00,249.40,244.90,247.25,48714500,231.667
2014-04-23,249.00,249.70,246.05,248.90,43800000,233.213
2014-04-24,249.95,253.55,249.45,252.00,45180900,236.117
2014-04-25,250.85,252.85,247.75,248.85,31678000,233.166
2014-04-26,250.85,252.85,247.75,248.85,31678000,233.166
2014-04-27,250.85,252.85,247.75,248.85,31678000,233.166
2014-04-28,249.00,250.70,248.05,249.00,29178000,233.306
2014-04-29,248.80,251.70,244.80,250.25,52098800,234.477
2014-04-30,249.80,253.104,248.11,252.20,38563100,236.305
2014-05-01,255.00,257.178,253.75,256.15,26966900,240.006
2014-05-02,256.00,258.603,253.98,258.50,55473800,242.207
2014-05-03,256.00,258.603,253.98,258.50,55473800,242.207
2014-05-04,256.00,258.603,253.98,258.50,55473800,242.207
2014-05-05,258.50,258.50,258.50,258.50,000,242.207
2014-05-06,252.85,255.323,244.268,245.00,76029500,229.558
2014-05-07,242.80,245.544,239.10,243.30,86499900,227.965
2014-05-08,251.00,264.566,249.35,262.45,173407500,245.909
2014-05-09,265.00,267.55,258.70,260.15,72010500,243.753
2014-05-10,265.00,267.55,258.70,260.15,72010500,243.753
2014-05-11,265.00,267.55,258.70,260.15,72010500,243.753
2014-05-12,259.00,259.70,254.75,256.65,38397100,240.474
2014-05-13,257.50,259.00,252.482,255.35,42992300,239.256
2014-05-14,254.10,254.90,249.95,251.30,26025600,236.387
2014-05-15,251.95,254.05,244.339,244.80,51428200,230.273
2014-05-16,245.80,246.408,239.30,241.55,70617100,227.216
2014-05-17,245.80,246.408,239.30,241.55,70617100,227.216
2014-05-18,245.80,246.408,239.30,241.55,70617100,227.216
2014-05-19,240.00,241.47,235.75,238.95,70096500,224.77
2014-05-20,239.60,239.963,236.70,238.55,31494100,224.394
2014-05-21,239.75,243.871,236.90,241.70,50774400,227.357
2014-05-22,243.50,244.673,241.65,243.50,30945700,229.05
2014-05-23,243.60,247.544,242.445,246.60,34838000,231.966
2014-05-24,243.60,247.544,242.445,246.60,34838000,231.966
2014-05-25,243.60,247.544,242.445,246.60,34838000,231.966
2014-05-26,246.60,246.60,246.60,246.60,000,231.966
2014-05-27,247.75,249.428,245.25,245.50,41354600,230.931
2014-05-28,246.00,246.95,242.30,245.35,46099900,230.79
2014-05-29,245.95,246.276,244.32,246.05,20966600,231.449
2014-05-30,246.50,247.09,243.968,247.00,86089200,232.342
2014-05-31,246.50,247.09,243.968,247.00,86089200,232.342
2014-06-01,246.50,247.09,243.968,247.00,86089200,232.342
2014-06-02,248.40,249.45,245.55,246.10,22401900,231.496
