Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,506.00,509.949,503.50,508.00,53548300,425.343
2014-02-26,507.00,510.00,504.70,506.80,21231200,424.338
2014-02-27,504.90,508.40,500.80,503.30,22887400,421.408
2014-02-28,504.80,506.10,501.10,504.40,37273600,422.329
2014-03-01,504.80,506.10,501.10,504.40,37273600,422.329
2014-03-02,504.80,506.10,501.10,504.40,37273600,422.329
2014-03-03,499.70,500.00,491.80,492.90,38155500,412.70
2014-03-04,492.85,495.45,481.00,491.50,33571600,411.528
2014-03-05,491.00,491.00,485.20,486.00,27282600,406.922
2014-03-06,488.15,489.70,485.10,486.90,18090600,407.676
2014-03-07,487.85,488.30,480.05,480.05,31978200,401.941
2014-03-08,487.85,488.30,480.05,480.05,31978200,401.941
2014-03-09,487.85,488.30,480.05,480.05,31978200,401.941
2014-03-10,480.00,487.15,479.25,484.00,33760600,405.248
2014-03-11,484.15,487.85,483.20,484.00,27941500,405.248
2014-03-12,483.10,485.80,482.15,482.60,24078100,404.076
2014-03-13,484.10,484.30,477.85,478.50,20068700,400.643
2014-03-14,478.80,486.071,476.30,477.25,26241100,399.596
2014-03-15,478.80,486.071,476.30,477.25,26241100,399.596
2014-03-16,478.80,486.071,476.30,477.25,26241100,399.596
2014-03-17,479.20,479.956,475.068,476.85,28048600,399.261
2014-03-18,476.05,480.50,475.05,477.00,31950000,399.387
2014-03-19,477.15,479.052,473.50,476.95,21131100,399.345
2014-03-20,477.00,477.00,467.60,468.25,56121500,392.061
2014-03-21,468.50,474.00,462.637,468.75,95672700,392.479
2014-03-22,468.50,474.00,462.637,468.75,95672700,392.479
2014-03-23,468.50,474.00,462.637,468.75,95672700,392.479
2014-03-24,470.45,473.40,468.15,468.50,30041700,392.27
2014-03-25,470.15,476.35,466.00,473.95,34229900,396.833
2014-03-26,473.25,479.75,472.00,476.20,20619700,398.717
2014-03-27,474.10,477.15,471.50,476.35,21691300,398.843
2014-03-28,477.90,497.691,476.95,484.15,24941400,405.373
2014-03-29,477.90,497.691,476.95,484.15,24941400,405.373
2014-03-30,477.90,497.691,476.95,484.15,24941400,405.373
2014-03-31,485.35,486.60,478.80,480.00,32543300,401.899
2014-04-01,480.70,484.95,480.50,484.30,15140800,405.499
2014-04-02,484.15,488.15,482.00,485.40,17401900,406.42
2014-04-03,484.85,488.80,482.80,485.15,15099900,406.211
2014-04-04,486.60,495.68,483.40,490.05,17303000,410.313
2014-04-05,486.60,495.68,483.40,490.05,17303000,410.313
2014-04-06,486.60,495.68,483.40,490.05,17303000,410.313
2014-04-07,486.00,489.465,482.80,484.85,27091300,405.96
2014-04-08,482.90,485.15,476.90,477.20,25438400,399.554
2014-04-09,478.20,483.15,477.871,482.90,16198500,404.327
2014-04-10,484.55,486.294,481.00,484.00,14130700,405.248
2014-04-11,480.90,482.65,475.10,475.45,20172300,398.089
2014-04-12,480.90,482.65,475.10,475.45,20172300,398.089
2014-04-13,480.90,482.65,475.10,475.45,20172300,398.089
2014-04-14,471.55,474.55,467.10,474.55,58616900,397.335
2014-04-15,474.85,478.15,472.80,473.50,40336500,396.456
2014-04-16,476.50,479.90,476.00,478.50,14978200,400.643
2014-04-17,480.20,483.00,477.50,482.05,16169700,403.615
2014-04-18,482.05,482.05,482.05,482.05,000,403.615
2014-04-19,482.05,482.05,482.05,482.05,000,403.615
2014-04-20,482.05,482.05,482.05,482.05,000,403.615
2014-04-21,482.05,482.05,482.05,482.05,000,403.615
2014-04-22,483.25,488.20,482.293,486.60,29349700,407.425
2014-04-23,486.70,487.25,482.35,485.85,23684700,406.797
2014-04-24,487.50,489.65,486.00,489.35,32968700,409.727
2014-04-25,490.00,496.00,489.182,493.50,32281000,413.202
2014-04-26,490.00,496.00,489.182,493.50,32281000,413.202
2014-04-27,490.00,496.00,489.182,493.50,32281000,413.202
2014-04-28,490.85,492.25,483.95,488.35,33475400,408.89
2014-04-29,491.00,502.65,491.00,502.60,46833900,420.821
2014-04-30,496.75,506.10,495.50,499.20,32946300,417.975
2014-05-01,503.90,505.50,496.10,498.05,11872300,417.012
2014-05-02,498.65,503.80,497.75,501.70,25918200,420.068
2014-05-03,498.65,503.80,497.75,501.70,25918200,420.068
2014-05-04,498.65,503.80,497.75,501.70,25918200,420.068
2014-05-05,501.70,501.70,501.70,501.70,000,420.068
2014-05-06,503.90,504.593,499.65,501.00,20305500,419.482
2014-05-07,495.75,504.20,494.00,501.40,27716800,424.74
2014-05-08,501.60,506.783,499.75,501.30,23748600,424.655
2014-05-09,501.60,502.774,499.00,500.90,13421400,424.316
2014-05-10,501.60,502.774,499.00,500.90,13421400,424.316
2014-05-11,501.60,502.774,499.00,500.90,13421400,424.316
2014-05-12,501.30,504.428,498.90,501.30,15642300,424.655
2014-05-13,502.00,502.00,497.35,500.20,16501800,423.723
2014-05-14,500.30,504.20,499.20,503.50,18438200,426.519
2014-05-15,504.40,505.30,500.036,503.00,23200500,426.095
2014-05-16,504.90,508.10,502.981,507.10,28256100,429.568
2014-05-17,504.90,508.10,502.981,507.10,28256100,429.568
2014-05-18,504.90,508.10,502.981,507.10,28256100,429.568
2014-05-19,508.40,510.262,505.83,509.10,20881600,431.263
2014-05-20,504.80,506.90,501.00,506.30,21047300,428.891
2014-05-21,505.10,509.30,505.10,509.30,28272900,431.432
2014-05-22,511.10,511.10,501.00,508.20,19289200,430.50
2014-05-23,507.60,507.92,504.70,506.97,12188300,429.458
2014-05-24,507.60,507.92,504.70,506.97,12188300,429.458
2014-05-25,507.60,507.92,504.70,506.97,12188300,429.458
2014-05-26,506.97,506.97,506.97,506.97,000,429.458
2014-05-27,508.90,508.90,503.50,504.20,18387500,427.112
2014-05-28,503.70,507.95,502.60,506.10,17777300,428.721
2014-05-29,505.80,509.40,504.70,505.60,12034500,428.298
2014-05-30,503.90,506.60,501.00,503.00,34703100,426.095
2014-05-31,503.90,506.60,501.00,503.00,34703100,426.095
2014-06-01,503.90,506.60,501.00,503.00,34703100,426.095
2014-06-02,504.50,506.50,503.30,504.90,18274500,427.705
2014-06-03,503.50,505.30,501.50,503.20,12548100,426.265
2014-06-04,502.40,502.60,496.60,497.85,19707300,421.733
2014-06-05,498.75,502.10,494.30,499.70,16408600,423.30
2014-06-06,499.40,505.00,498.15,505.00,14918000,427.789
2014-06-07,499.40,505.00,498.15,505.00,14918000,427.789
2014-06-08,499.40,505.00,498.15,505.00,14918000,427.789
2014-06-09,504.10,506.40,502.80,505.60,8316800,428.298
2014-06-10,504.40,507.20,502.635,507.20,27922500,429.653
2014-06-11,508.90,509.20,503.536,506.00,12553600,428.637
2014-06-12,505.20,509.00,503.80,508.30,15110000,430.585
2014-06-13,509.10,513.956,505.20,507.50,41582000,429.907
2014-06-14,509.10,513.956,505.20,507.50,41582000,429.907
2014-06-15,509.10,513.956,505.20,507.50,41582000,429.907
2014-06-16,507.50,510.50,505.60,505.60,21881300,428.298
