Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,319.50,322.428,317.40,320.10,18876100,273.477
2014-02-26,320.20,320.20,317.00,319.70,13618900,273.135
2014-02-27,320.50,320.90,316.40,318.10,24153900,271.768
2014-02-28,317.60,320.40,316.20,319.00,16847400,272.537
2014-03-01,317.60,320.40,316.20,319.00,16847400,272.537
2014-03-02,317.60,320.40,316.20,319.00,16847400,272.537
2014-03-03,315.60,317.60,312.70,313.30,15670000,267.667
2014-03-04,317.30,320.50,316.015,319.20,13146100,272.708
2014-03-05,319.70,322.80,317.964,322.30,12713100,275.356
2014-03-06,322.50,324.30,321.60,322.20,11129300,275.271
2014-03-07,322.30,326.50,321.50,324.60,15266300,277.322
2014-03-08,322.30,326.50,321.50,324.60,15266300,277.322
2014-03-09,322.30,326.50,321.50,324.60,15266300,277.322
2014-03-10,328.10,331.80,325.60,327.40,15628800,279.714
2014-03-11,331.00,331.00,326.70,327.00,14502700,279.372
2014-03-12,325.80,329.80,325.048,327.90,12901700,280.141
2014-03-13,330.40,337.40,327.20,334.80,21357600,286.036
2014-03-14,334.30,335.30,328.50,330.50,13199300,282.362
2014-03-15,334.30,335.30,328.50,330.50,13199300,282.362
2014-03-16,334.30,335.30,328.50,330.50,13199300,282.362
2014-03-17,330.70,334.10,329.10,332.50,23562700,284.071
2014-03-18,332.90,336.00,331.50,334.10,13989700,285.438
2014-03-19,334.10,336.311,329.50,331.50,14991400,283.217
2014-03-20,330.10,331.80,323.10,331.10,19486200,282.875
2014-03-21,331.20,337.90,330.145,337.90,31578500,288.684
2014-03-22,331.20,337.90,330.145,337.90,31578500,288.684
2014-03-23,331.20,337.90,330.145,337.90,31578500,288.684
2014-03-24,335.00,335.538,330.10,331.50,20753600,283.217
2014-03-25,330.90,335.00,329.50,332.50,13987500,284.071
2014-03-26,331.00,331.00,322.00,323.10,23464700,276.04
2014-03-27,321.30,326.60,320.80,325.20,17106300,277.834
2014-03-28,325.70,329.40,324.568,328.60,11476300,280.739
2014-03-29,325.70,329.40,324.568,328.60,11476300,280.739
2014-03-30,325.70,329.40,324.568,328.60,11476300,280.739
2014-03-31,329.00,331.60,325.40,329.70,19404000,281.679
2014-04-01,329.50,331.10,327.644,328.50,12623100,280.653
2014-04-02,328.80,329.30,325.621,328.00,10594300,280.226
2014-04-03,329.60,329.60,326.60,328.50,14224900,280.653
2014-04-04,329.50,330.60,326.80,328.50,16039600,280.653
2014-04-05,329.50,330.60,326.80,328.50,16039600,280.653
2014-04-06,329.50,330.60,326.80,328.50,16039600,280.653
2014-04-07,326.80,336.20,325.00,334.80,21267300,286.036
2014-04-08,335.20,336.30,332.172,336.00,25247400,287.061
2014-04-09,336.80,340.00,335.50,337.60,12622400,288.428
2014-04-10,339.00,339.00,332.40,333.70,14281400,285.096
2014-04-11,332.90,337.10,332.20,334.90,13959000,286.121
2014-04-12,332.90,337.10,332.20,334.90,13959000,286.121
2014-04-13,332.90,337.10,332.20,334.90,13959000,286.121
2014-04-14,334.70,340.60,333.30,339.30,13375200,289.88
2014-04-15,338.70,343.40,338.00,342.40,10694500,292.529
2014-04-16,344.60,346.20,341.10,343.30,11085000,293.298
2014-04-17,344.30,345.40,340.00,345.00,10432500,294.75
2014-04-18,345.00,345.00,345.00,345.00,000,294.75
2014-04-19,345.00,345.00,345.00,345.00,000,294.75
2014-04-20,345.00,345.00,345.00,345.00,000,294.75
2014-04-21,345.00,345.00,345.00,345.00,000,294.75
2014-04-22,345.20,348.80,344.00,344.90,15167200,294.665
2014-04-23,332.90,341.98,328.60,330.60,13366600,292.699
2014-04-24,330.60,342.28,328.00,331.80,9498400,293.762
2014-04-25,332.00,345.78,330.90,332.70,10824700,294.559
2014-04-26,332.00,345.78,330.90,332.70,10824700,294.559
2014-04-27,332.00,345.78,330.90,332.70,10824700,294.559
2014-04-28,332.00,334.00,330.05,332.70,6608000,294.559
2014-04-29,332.60,337.10,332.60,335.00,8426500,296.595
2014-04-30,333.50,334.125,328.80,330.00,13521600,292.168
2014-05-01,333.30,333.60,328.972,330.00,4749100,292.168
2014-05-02,329.60,332.60,327.90,328.80,7937300,291.106
2014-05-03,329.60,332.60,327.90,328.80,7937300,291.106
2014-05-04,329.60,332.60,327.90,328.80,7937300,291.106
2014-05-05,328.80,328.80,328.80,328.80,000,291.106
2014-05-06,329.40,330.216,321.80,324.20,13587400,287.033
2014-05-07,324.60,326.909,324.40,326.80,9347000,289.335
2014-05-08,314.00,323.10,310.00,320.40,22284200,283.669
2014-05-09,319.30,319.40,313.964,318.50,14495200,281.986
2014-05-10,319.30,319.40,313.964,318.50,14495200,281.986
2014-05-11,319.30,319.40,313.964,318.50,14495200,281.986
2014-05-12,319.40,319.40,316.10,318.00,9061500,281.544
2014-05-13,319.60,324.50,318.917,323.60,16861200,286.502
2014-05-14,324.70,327.30,323.20,327.10,13957600,289.601
2014-05-15,328.00,329.30,323.40,326.50,12446700,289.069
2014-05-16,328.10,331.20,324.50,328.90,12161400,291.194
2014-05-17,328.10,331.20,324.50,328.90,12161400,291.194
2014-05-18,328.10,331.20,324.50,328.90,12161400,291.194
2014-05-19,330.00,331.158,327.50,328.20,7974100,290.574
2014-05-20,329.00,329.10,324.90,327.30,8493200,289.778
2014-05-21,327.10,329.50,325.372,328.30,6713300,290.663
2014-05-22,329.50,332.40,327.20,328.70,8612600,291.017
2014-05-23,329.00,329.00,326.11,328.28,5207300,290.645
2014-05-24,329.00,329.00,326.11,328.28,5207300,290.645
