Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,1673.00,1689.23,1662.50,1674.50,14442900,1425.989
2014-02-26,1667.00,1695.18,1667.00,1690.50,7464400,1439.614
2014-02-27,1685.00,1698.50,1679.11,1684.50,8121000,1434.505
2014-02-28,1680.00,1696.91,1665.50,1671.50,9378400,1423.434
2014-03-01,1680.00,1696.91,1665.50,1671.50,9378400,1423.434
2014-03-02,1680.00,1696.91,1665.50,1671.50,9378400,1423.434
2014-03-03,1652.00,1669.00,1649.06,1664.00,6327400,1417.047
2014-03-04,1680.00,1692.73,1680.00,1690.00,6550200,1439.188
2014-03-05,1690.50,1695.00,1679.50,1686.50,5581600,1436.208
2014-03-06,1689.00,1707.00,1671.50,1672.50,7056000,1424.286
2014-03-07,1670.50,1676.01,1647.22,1653.50,6180300,1408.105
2014-03-08,1670.50,1676.01,1647.22,1653.50,6180300,1408.105
2014-03-09,1670.50,1676.01,1647.22,1653.50,6180300,1408.105
2014-03-10,1660.00,1673.00,1657.50,1672.50,6766600,1424.286
2014-03-11,1672.50,1678.00,1665.50,1674.00,6006100,1425.563
2014-03-12,1670.00,1672.00,1644.86,1649.50,7488600,1404.699
2014-03-13,1653.00,1654.16,1635.00,1638.50,5315700,1395.331
2014-03-14,1632.50,1646.00,1627.50,1629.50,6148400,1387.667
2014-03-15,1632.50,1646.00,1627.50,1629.50,6148400,1387.667
2014-03-16,1632.50,1646.00,1627.50,1629.50,6148400,1387.667
2014-03-17,1629.50,1642.00,1625.94,1637.50,5082100,1394.48
2014-03-18,1635.00,1654.50,1628.50,1647.50,5207300,1402.996
2014-03-19,1649.50,1662.00,1642.00,1655.00,4496500,1409.383
2014-03-20,1638.50,1643.00,1617.50,1629.00,8340100,1387.241
2014-03-21,1634.00,1634.00,1616.50,1617.00,15868000,1377.022
2014-03-22,1634.00,1634.00,1616.50,1617.00,15868000,1377.022
2014-03-23,1634.00,1634.00,1616.50,1617.00,15868000,1377.022
2014-03-24,1612.00,1617.50,1590.50,1600.00,6043600,1362.545
2014-03-25,1597.00,1625.10,1596.00,1622.00,6374800,1381.28
2014-03-26,1623.50,1634.50,1613.50,1623.50,6262100,1382.558
2014-03-27,1616.00,1619.32,1605.00,1614.00,4760300,1374.467
2014-03-28,1622.50,1651.50,1616.50,1618.00,6563500,1377.874
2014-03-29,1622.50,1651.50,1616.50,1618.00,6563500,1377.874
2014-03-30,1622.50,1651.50,1616.50,1618.00,6563500,1377.874
2014-03-31,1617.50,1633.00,1586.00,1591.50,8975000,1355.307
2014-04-01,1597.00,1603.28,1579.00,1593.50,8868800,1357.01
2014-04-02,1590.50,1594.00,1577.50,1583.00,7371500,1348.068
2014-04-03,1581.50,1603.48,1574.00,1578.50,5661300,1344.236
2014-04-04,1587.00,1588.50,1573.00,1577.00,6209300,1342.959
2014-04-05,1587.00,1588.50,1573.00,1577.00,6209300,1342.959
2014-04-06,1587.00,1588.50,1573.00,1577.00,6209300,1342.959
2014-04-07,1569.00,1574.00,1552.00,1554.00,7171000,1323.372
2014-04-08,1550.00,1566.10,1545.50,1555.50,8741800,1324.649
2014-04-09,1564.50,1583.50,1562.27,1581.50,7215700,1346.791
2014-04-10,1584.00,1594.00,1576.00,1581.50,10762200,1346.791
2014-04-11,1560.00,1567.86,1541.50,1552.00,10049900,1321.669
2014-04-12,1560.00,1567.86,1541.50,1552.00,10049900,1321.669
2014-04-13,1560.00,1567.86,1541.50,1552.00,10049900,1321.669
2014-04-14,1538.50,1545.00,1528.00,1543.00,10066900,1314.005
2014-04-15,1539.50,1558.50,1539.50,1547.00,13506300,1317.411
2014-04-16,1554.00,1567.55,1546.44,1563.50,6665100,1331.462
2014-04-17,1557.00,1560.00,1544.78,1559.00,9692800,1327.63
2014-04-18,1559.00,1559.00,1559.00,1559.00,000,1327.63
2014-04-19,1559.00,1559.00,1559.00,1559.00,000,1327.63
2014-04-20,1559.00,1559.00,1559.00,1559.00,000,1327.63
2014-04-21,1559.00,1559.00,1559.00,1559.00,000,1327.63
2014-04-22,1629.00,1654.00,1611.50,1640.00,33261300,1396.609
2014-04-23,1643.00,1657.00,1639.00,1642.50,6811500,1398.738
2014-04-24,1652.00,1661.18,1640.00,1651.00,6741500,1405.976
2014-04-25,1649.00,1664.84,1642.50,1655.00,5302200,1409.383
2014-04-26,1649.00,1664.84,1642.50,1655.00,5302200,1409.383
2014-04-27,1649.00,1664.84,1642.50,1655.00,5302200,1409.383
2014-04-28,1666.50,1689.00,1652.50,1653.00,8127600,1407.68
2014-04-29,1664.00,1676.18,1651.00,1665.50,7702600,1418.324
2014-04-30,1652.00,1664.50,1617.32,1632.00,15079900,1389.796
2014-05-01,1640.00,1658.09,1621.00,1637.50,4280000,1394.48
2014-05-02,1635.00,1639.50,1619.00,1627.50,6763600,1385.964
2014-05-03,1635.00,1639.50,1619.00,1627.50,6763600,1385.964
2014-05-04,1635.00,1639.50,1619.00,1627.50,6763600,1385.964
2014-05-05,1627.50,1627.50,1627.50,1627.50,000,1385.964
2014-05-06,1632.50,1639.00,1623.00,1626.00,7194400,1384.687
2014-05-07,1627.00,1638.52,1615.00,1629.50,6545700,1387.667
2014-05-08,1630.00,1632.22,1610.50,1617.00,7053400,1377.022
2014-05-09,1612.50,1617.14,1607.50,1613.50,5394900,1374.042
2014-05-10,1612.50,1617.14,1607.50,1613.50,5394900,1374.042
2014-05-11,1612.50,1617.14,1607.50,1613.50,5394900,1374.042
2014-05-12,1622.50,1629.50,1602.50,1621.00,6533000,1380.429
2014-05-13,1631.00,1640.00,1611.00,1637.00,8365400,1394.054
2014-05-14,1623.00,1644.00,1200.67,1623.50,6225800,1398.793
2014-05-15,1640.00,1647.00,1633.50,1640.00,11834000,1413.009
2014-05-16,1640.00,1656.50,1631.00,1643.50,9961800,1416.025
2014-05-17,1640.00,1656.50,1631.00,1643.50,9961800,1416.025
2014-05-18,1640.00,1656.50,1631.00,1643.50,9961800,1416.025
2014-05-19,1643.50,1643.50,1616.00,1620.00,9522400,1395.777
2014-05-20,1622.50,1627.00,1616.50,1618.50,5508900,1394.485
2014-05-21,1619.50,1634.50,1617.00,1633.50,7318600,1407.409
2014-05-22,1639.50,1639.50,1623.67,1631.00,5230100,1405.255
2014-05-23,1629.00,1646.19,1615.50,1627.50,4108400,1402.239
2014-05-24,1629.00,1646.19,1615.50,1627.50,4108400,1402.239
2014-05-25,1629.00,1646.19,1615.50,1627.50,4108400,1402.239
2014-05-26,1627.50,1627.50,1627.50,1627.50,000,1402.239
2014-05-27,1636.00,1658.39,1626.50,1634.50,4750700,1408.27
2014-05-28,1615.50,1619.50,1603.00,1608.50,7948200,1385.869
2014-05-29,1608.00,1639.21,1604.75,1616.50,4406500,1392.762
2014-05-30,1613.50,1629.87,1600.50,1601.00,11651300,1379.407
2014-05-31,1613.50,1629.87,1600.50,1601.00,11651300,1379.407
2014-06-01,1613.50,1629.87,1600.50,1601.00,11651300,1379.407
2014-06-02,1606.50,1611.43,1589.25,1593.50,7691200,1372.945
2014-06-03,1594.50,1602.64,1578.11,1582.00,8329200,1363.037
2014-06-04,1581.00,1600.50,1575.00,1581.00,7431600,1362.175
2014-06-05,1585.00,1604.20,1572.85,1582.00,6549700,1363.037
2014-06-06,1586.50,1591.57,1580.66,1588.00,5460900,1368.206
2014-06-07,1586.50,1591.57,1580.66,1588.00,5460900,1368.206
2014-06-08,1586.50,1591.57,1580.66,1588.00,5460900,1368.206
2014-06-09,1586.00,1598.50,1584.50,1598.50,3039800,1377.253
2014-06-10,1593.50,1605.50,1593.00,1605.50,6222400,1383.284
2014-06-11,1606.50,1621.00,1606.50,1611.50,6400100,1388.454
2014-06-12,1618.00,1621.04,1611.50,1615.50,4727100,1391.90
2014-06-13,1605.00,1626.32,1592.00,1605.00,6688200,1382.853
2014-06-14,1605.00,1626.32,1592.00,1605.00,6688200,1382.853
2014-06-15,1605.00,1626.32,1592.00,1605.00,6688200,1382.853
2014-06-16,1600.00,1619.03,1595.00,1595.50,8651400,1374.668
2014-06-17,1605.00,1605.00,1581.00,1586.50,6491800,1366.914
2014-06-18,1590.50,1593.50,1577.50,1579.00,8648600,1360.452
2014-06-19,1585.00,1596.50,1575.00,1590.00,15842700,1369.929
2014-06-20,1594.00,1599.50,1584.00,1591.50,12884300,1371.222
2014-06-21,1594.00,1599.50,1584.00,1591.50,12884300,1371.222
2014-06-22,1594.00,1599.50,1584.00,1591.50,12884300,1371.222
2014-06-23,1595.00,1597.30,1570.50,1571.50,5498200,1353.99
2014-06-24,1576.00,1598.41,1563.00,1576.50,8577300,1358.298
2014-06-25,1568.50,1575.00,1560.00,1561.50,6036100,1345.374
2014-06-26,1563.50,1565.50,1554.50,1562.50,4627600,1346.236
2014-06-27,1564.50,1599.87,1562.15,1573.50,4764900,1355.713
2014-06-28,1564.50,1599.87,1562.15,1573.50,4764900,1355.713
2014-06-29,1564.50,1599.87,1562.15,1573.50,4764900,1355.713
2014-06-30,1573.50,1578.50,1556.50,1564.00,6525400,1347.528
2014-07-01,1565.00,1586.13,1561.36,1574.00,7200600,1356.144
2014-07-02,1565.00,1576.00,1565.00,1568.50,4420200,1351.405
2014-07-03,1576.00,1593.24,1570.00,1582.50,4477300,1363.468
2014-07-04,1583.50,1585.00,1570.50,1579.00,2439300,1360.452
2014-07-05,1583.50,1585.00,1570.50,1579.00,2439300,1360.452
2014-07-06,1583.50,1585.00,1570.50,1579.00,2439300,1360.452
2014-07-07,1579.50,1590.50,1574.00,1577.00,5147700,1358.729
2014-07-08,1575.00,1577.80,1551.00,1551.00,7074900,1336.327
2014-07-09,1550.00,1561.61,1548.00,1556.50,10669700,1341.066
2014-07-10,1560.00,1576.50,1558.00,1572.00,15381000,1354.421
2014-07-11,1578.50,1579.00,1555.00,1562.00,6044200,1345.805
2014-07-12,1578.50,1579.00,1555.00,1562.00,6044200,1345.805
2014-07-13,1578.50,1579.00,1555.00,1562.00,6044200,1345.805
2014-07-14,1566.00,1569.92,1555.50,1556.00,5299400,1340.635
2014-07-15,1557.50,1564.00,1538.58,1543.50,6094800,1329.865
2014-07-16,1551.50,1559.00,1538.50,1543.50,7827800,1329.865
2014-07-17,1542.50,1556.13,1532.60,1549.50,8766800,1335.035
2014-07-18,1550.00,1562.00,1542.50,1559.00,7169600,1343.22
2014-07-19,1550.00,1562.00,1542.50,1559.00,7169600,1343.22
2014-07-20,1550.00,1562.00,1542.50,1559.00,7169600,1343.22
2014-07-21,1557.00,1563.50,1546.50,1557.00,5422900,1341.497
2014-07-22,1558.50,1563.00,1548.00,1555.00,6093400,1339.774
2014-07-23,1556.00,1560.00,1447.50,1481.50,22930900,1276.447
2014-07-24,1462.00,1477.50,1457.50,1469.50,12743000,1266.108
2014-07-25,1456.00,1459.28,1410.89,1423.00,14329900,1226.044
2014-07-26,1456.00,1459.28,1410.89,1423.00,14329900,1226.044
2014-07-27,1456.00,1459.28,1410.89,1423.00,14329900,1226.044
2014-07-28,1428.00,1436.00,1409.00,1414.50,10249300,1218.72
2014-07-29,1403.00,1433.00,1403.00,1419.00,8381400,1222.597
2014-07-30,1414.50,1431.50,1412.36,1425.00,13096400,1227.767
2014-07-31,1451.50,1451.50,1430.00,1436.50,11819400,1237.675
2014-08-01,1431.50,1434.50,1403.16,1416.50,13561100,1220.443
2014-08-02,1431.50,1434.50,1403.16,1416.50,13561100,1220.443
2014-08-03,1431.50,1434.50,1403.16,1416.50,13561100,1220.443
2014-08-04,1419.00,1448.50,1416.50,1430.00,9824900,1232.075
2014-08-05,1435.50,1453.00,1435.00,1445.50,8511000,1245.43
2014-08-06,1423.00,1439.50,1406.00,1416.00,11932600,1236.262
2014-08-07,1412.00,1425.50,1374.00,1377.00,13534900,1202.213
2014-08-08,1375.00,1392.50,1365.00,1380.00,10718300,1204.832
2014-08-09,1375.00,1392.50,1365.00,1380.00,10718300,1204.832
2014-08-10,1375.00,1392.50,1365.00,1380.00,10718300,1204.832
2014-08-11,1385.50,1389.57,1372.00,1377.50,8053300,1202.649
2014-08-12,1383.00,1384.00,1371.50,1377.50,6289800,1202.649
2014-08-13,1378.00,1392.72,1372.14,1389.00,6371300,1212.69
2014-08-14,1393.00,1398.50,1389.00,1395.00,7229100,1217.928
2014-08-15,1402.00,1410.07,1392.00,1392.00,6169200,1215.309
2014-08-16,1402.00,1410.07,1392.00,1392.00,6169200,1215.309
2014-08-17,1402.00,1410.07,1392.00,1392.00,6169200,1215.309
2014-08-18,1398.00,1414.37,1397.50,1409.50,4535300,1230.587
2014-08-19,1411.50,1423.00,1392.38,1412.50,6125300,1233.207
2014-08-20,1414.00,1440.50,1410.00,1417.50,5596100,1237.572
2014-08-21,1425.00,1443.40,1421.00,1434.50,7100500,1252.414
2014-08-22,1430.00,1430.00,1330.00,1429.50,5372000,1248.049
2014-08-23,1430.00,1430.00,1330.00,1429.50,5372000,1248.049
2014-08-24,1430.00,1430.00,1330.00,1429.50,5372000,1248.049
2014-08-25,1429.50,1429.50,1429.50,1429.50,000,1248.049
2014-08-26,1444.00,1458.08,1434.00,1447.50,6658400,1263.764
2014-08-27,1448.50,1464.50,1440.55,1463.00,9047500,1277.297
2014-08-28,1467.00,1471.00,1461.07,1463.00,7694300,1277.297
2014-08-29,1463.00,1479.47,1463.00,1474.50,7473200,1287.337
2014-08-30,1463.00,1479.47,1463.00,1474.50,7473200,1287.337
2014-08-31,1463.00,1479.47,1463.00,1474.50,7473200,1287.337
2014-09-01,1470.00,1475.70,1455.00,1460.00,5664300,1274.677
2014-09-02,1458.50,1463.15,1451.50,1454.50,6093700,1269.875
2014-09-03,1455.00,1472.00,1450.00,1467.00,5931700,1280.789
2014-09-04,1471.50,1477.22,1457.45,1462.00,8105200,1276.423
2014-09-05,1463.50,1468.70,1444.82,1447.50,7817700,1263.764
2014-09-06,1463.50,1468.70,1444.82,1447.50,7817700,1263.764
2014-09-07,1463.50,1468.70,1444.82,1447.50,7817700,1263.764
2014-09-08,1450.50,1451.50,1412.68,1432.50,16722300,1250.668
2014-09-09,1440.00,1441.50,1427.50,1438.00,9192600,1255.47
2014-09-10,1439.50,1451.15,1430.50,1445.50,6072300,1262.018
2014-09-11,1451.00,1463.69,1415.50,1430.00,9942600,1248.485
2014-09-12,1440.00,1445.88,1432.50,1441.00,6648400,1258.089
2014-09-13,1440.00,1445.88,1432.50,1441.00,6648400,1258.089
2014-09-14,1440.00,1445.88,1432.50,1441.00,6648400,1258.089
2014-09-15,1430.00,1439.00,1400.28,1432.00,7695200,1250.231
2014-09-16,1434.00,1442.00,1424.15,1441.00,6848500,1258.089
2014-09-17,1445.50,1445.50,1430.00,1434.00,7171400,1251.978
2014-09-18,1433.50,1446.29,1430.82,1436.50,6281000,1254.16
2014-09-19,1449.50,1456.00,1433.00,1449.00,19191700,1265.074
2014-09-20,1449.50,1456.00,1433.00,1449.00,19191700,1265.074
2014-09-21,1449.50,1456.00,1433.00,1449.00,19191700,1265.074
2014-09-22,1457.50,1464.50,1443.07,1443.50,7638700,1260.272
2014-09-23,1442.50,1443.00,1413.50,1422.00,8883800,1241.501
2014-09-24,1424.00,1429.50,1398.50,1428.50,12669300,1247.176
2014-09-25,1431.00,1442.50,1397.51,1428.50,11001000,1247.176
2014-09-26,1431.50,1436.50,1426.50,1432.50,5664500,1250.668
2014-09-27,1431.50,1436.50,1426.50,1432.50,5664500,1250.668
2014-09-28,1431.50,1436.50,1426.50,1432.50,5664500,1250.668
2014-09-29,1434.00,1439.29,1385.30,1420.50,8012600,1240.191
2014-09-30,1425.00,1426.37,1412.50,1413.00,9133100,1233.643
2014-10-01,1415.00,1419.40,1382.48,1414.00,11839500,1234.516
2014-10-02,1414.00,1422.01,1397.90,1403.50,12427300,1225.349
2014-10-03,1409.50,1426.00,1394.79,1425.50,9582900,1244.557
2014-10-04,1409.50,1426.00,1394.79,1425.50,9582900,1244.557
2014-10-05,1409.50,1426.00,1394.79,1425.50,9582900,1244.557
2014-10-06,1429.50,1453.45,1409.27,1434.00,11257200,1251.978
2014-10-07,1425.00,1434.81,1398.80,1407.00,9285700,1228.405
2014-10-08,1406.00,1413.00,1386.50,1400.00,10905700,1222.293
2014-10-09,1413.50,1419.56,1389.00,1395.00,11716500,1217.928
2014-10-10,1385.00,1397.50,1354.22,1375.00,10294700,1200.467
2014-10-11,1385.00,1397.50,1354.22,1375.00,10294700,1200.467
2014-10-12,1385.00,1397.50,1354.22,1375.00,10294700,1200.467
2014-10-13,1365.00,1377.77,1359.00,1370.00,8674400,1196.101
2014-10-14,1363.50,1380.50,1349.50,1371.00,8697300,1196.974
2014-10-15,1371.00,1372.50,1322.26,1331.00,16027000,1162.052
2014-10-16,1350.00,1357.50,1296.50,1324.00,18430600,1155.94
2014-10-17,1330.50,1357.25,1308.61,1354.50,14448900,1182.569
2014-10-18,1330.50,1357.25,1308.61,1354.50,14448900,1182.569
2014-10-19,1330.50,1357.25,1308.61,1354.50,14448900,1182.569
2014-10-20,1352.00,1358.30,1329.50,1339.00,9832100,1169.036
2014-10-21,1336.00,1342.00,1324.00,1342.00,12689200,1171.655
2014-10-22,1347.00,1412.00,1306.50,1377.00,20212500,1202.213
2014-10-23,1397.00,1417.12,1373.50,1412.00,13915500,1232.77
2014-10-24,1412.50,1425.50,1402.50,1415.50,10137800,1235.826
2014-10-25,1412.50,1425.50,1402.50,1415.50,10137800,1235.826
2014-10-26,1412.50,1425.50,1402.50,1415.50,10137800,1235.826
2014-10-27,1429.50,1429.50,1368.69,1399.00,9755200,1221.42
2014-10-28,1407.00,1407.25,1368.35,1386.50,10032100,1210.507
2014-10-29,1394.50,1399.00,1384.00,1398.50,6558100,1220.984
2014-10-30,1400.00,1403.00,1383.50,1398.00,8988000,1220.547
2014-10-31,1412.50,1422.50,1407.50,1417.50,10277500,1237.572
2014-11-01,1412.50,1422.50,1407.50,1417.50,10277500,1237.572
2014-11-02,1412.50,1422.50,1407.50,1417.50,10277500,1237.572
2014-11-03,1414.00,1424.87,1409.62,1414.00,7184200,1234.516
2014-11-04,1418.50,1422.00,1396.39,1416.00,9449000,1236.262
2014-11-05,1424.50,1438.50,1416.07,1436.00,6669200,1253.724
2014-11-06,1415.00,1427.00,1398.75,1413.50,7000300,1250.627
2014-11-07,1418.00,1438.00,1406.20,1417.00,7334300,1253.724
2014-11-08,1418.00,1438.00,1406.20,1417.00,7334300,1253.724
2014-11-09,1418.00,1438.00,1406.20,1417.00,7334300,1253.724
2014-11-10,1414.50,1427.90,1408.25,1423.50,4820500,1259.475
2014-11-11,1427.00,1445.56,1422.38,1440.00,8262400,1274.074
2014-11-12,1444.00,1459.50,1437.00,1443.00,5722900,1276.728
2014-11-13,1445.00,1458.44,1439.50,1454.00,7123500,1286.46
2014-11-14,1460.00,1465.62,1457.00,1461.50,7543900,1293.096
2014-11-15,1460.00,1465.62,1457.00,1461.50,7543900,1293.096
2014-11-16,1460.00,1465.62,1457.00,1461.50,7543900,1293.096
2014-11-17,1458.00,1470.13,1451.62,1463.50,5480700,1294.866
2014-11-18,1466.00,1477.10,1461.00,1475.50,5531600,1305.483
2014-11-19,1480.00,1481.50,1465.00,1471.00,7192700,1301.502
2014-11-20,1470.50,1480.50,1467.00,1477.00,7839700,1306.81
2014-11-21,1482.00,1490.00,1469.00,1481.50,10673200,1310.792
2014-11-22,1482.00,1490.00,1469.00,1481.50,10673200,1310.792
2014-11-23,1482.00,1490.00,1469.00,1481.50,10673200,1310.792
2014-11-24,1478.00,1482.00,1465.50,1470.00,6061700,1300.617
