Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,630.90,635.70,624.39,627.00,60717300,519.634
2014-02-26,626.50,630.30,623.30,627.10,21951500,519.717
2014-02-27,633.20,636.90,624.10,635.90,33224100,527.01
2014-02-28,634.50,635.30,628.10,629.70,28006200,521.872
2014-03-01,634.50,635.30,628.10,629.70,28006200,521.872
2014-03-02,634.50,635.30,628.10,629.70,28006200,521.872
2014-03-03,622.00,624.30,616.93,622.60,30465700,515.988
2014-03-04,629.20,635.40,626.00,631.70,20341600,523.53
2014-03-05,630.20,630.50,622.30,622.60,26913200,515.988
2014-03-06,627.40,629.00,624.30,625.70,21122500,518.557
2014-03-07,624.60,626.50,618.589,619.60,24329100,513.501
2014-03-08,624.60,626.50,618.589,619.60,24329100,513.501
2014-03-09,624.60,626.50,618.589,619.60,24329100,513.501
2014-03-10,619.50,625.40,614.20,615.70,27017100,510.269
2014-03-11,621.30,621.50,613.50,616.60,30163600,511.015
2014-03-12,608.60,610.00,598.85,599.20,39359200,505.859
2014-03-13,602.00,606.588,597.14,597.20,30346700,504.17
2014-03-14,600.90,603.80,597.10,598.10,30491600,504.93
2014-03-15,600.90,603.80,597.10,598.10,30491600,504.93
2014-03-16,600.90,603.80,597.10,598.10,30491600,504.93
2014-03-17,598.60,600.80,595.30,597.00,30454000,504.001
2014-03-18,597.40,608.10,594.20,597.90,29512300,504.761
2014-03-19,593.90,598.638,591.40,591.80,31386300,499.611
2014-03-20,591.00,597.583,589.875,594.20,33696500,501.638
2014-03-21,596.80,614.30,596.20,605.70,53943500,511.346
2014-03-22,596.80,614.30,596.20,605.70,53943500,511.346
2014-03-23,596.80,614.30,596.20,605.70,53943500,511.346
2014-03-24,605.50,610.50,605.50,606.20,26781500,511.768
2014-03-25,607.80,613.80,607.80,611.70,20017500,516.411
2014-03-26,610.80,615.60,608.70,611.20,22917700,515.989
2014-03-27,609.00,609.30,605.30,608.30,20887900,513.541
2014-03-28,610.50,613.522,606.60,611.00,17927400,515.82
2014-03-29,610.50,613.522,606.60,611.00,17927400,515.82
2014-03-30,610.50,613.522,606.60,611.00,17927400,515.82
2014-03-31,611.20,611.20,604.70,607.50,43694100,512.866
2014-04-01,609.00,615.70,606.70,613.00,25310100,517.509
2014-04-02,612.40,613.90,609.60,611.20,23155100,515.989
2014-04-03,610.70,614.90,604.75,610.50,20000100,515.398
2014-04-04,613.10,628.40,611.30,612.50,22475100,517.087
2014-04-05,613.10,628.40,611.30,612.50,22475100,517.087
2014-04-06,613.10,628.40,611.30,612.50,22475100,517.087
2014-04-07,610.00,613.15,604.20,606.20,18908000,511.768
2014-04-08,606.50,610.20,602.40,605.00,46210500,510.755
2014-04-09,609.90,615.00,608.824,612.70,30513300,517.256
2014-04-10,616.70,622.475,616.60,618.70,27259100,522.321
2014-04-11,619.90,623.40,614.90,617.60,49527900,521.392
2014-04-12,619.90,623.40,614.90,617.60,49527900,521.392
2014-04-13,619.90,623.40,614.90,617.60,49527900,521.392
2014-04-14,617.20,623.076,592.986,621.40,31079300,524.60
2014-04-15,618.90,622.82,593.092,617.90,46673100,521.646
2014-04-16,620.10,620.70,614.10,616.30,20701600,520.295
2014-04-17,616.00,619.30,610.80,617.40,18301700,521.223
2014-04-18,617.40,617.40,617.40,617.40,000,521.223
2014-04-19,617.40,617.40,617.40,617.40,000,521.223
2014-04-20,617.40,617.40,617.40,617.40,000,521.223
2014-04-21,617.40,617.40,617.40,617.40,000,521.223
2014-04-22,618.20,620.40,614.80,614.90,34075700,519.113
2014-04-23,614.10,614.60,607.50,612.20,32167600,516.834
2014-04-24,613.50,618.608,611.60,613.00,18584300,517.509
2014-04-25,607.30,608.166,599.00,602.50,27922600,508.645
2014-04-26,607.30,608.166,599.00,602.50,27922600,508.645
2014-04-27,607.30,608.166,599.00,602.50,27922600,508.645
2014-04-28,604.10,606.288,600.84,600.90,20077500,507.294
2014-04-29,604.70,611.512,604.50,611.10,22718300,515.905
2014-04-30,605.30,607.363,589.877,604.10,22865600,509.995
2014-05-01,605.10,737.00,603.762,607.40,15540200,512.781
2014-05-02,605.90,609.002,601.80,605.70,21343500,511.346
2014-05-03,605.90,609.002,601.80,605.70,21343500,511.346
2014-05-04,605.90,609.002,601.80,605.70,21343500,511.346
2014-05-05,605.70,605.70,605.70,605.70,000,511.346
2014-05-06,603.50,650.60,589.88,604.10,25837900,509.995
2014-05-07,592.10,635.30,590.00,596.50,29166500,503.579
2014-05-08,596.40,597.80,587.40,593.80,34362200,501.30
2014-05-09,593.60,596.876,590.404,596.00,20570600,503.157
2014-05-10,593.60,596.876,590.404,596.00,20570600,503.157
2014-05-11,593.60,596.876,590.404,596.00,20570600,503.157
2014-05-12,603.00,642.903,601.90,606.30,37665000,511.853
2014-05-13,606.00,611.10,605.60,611.00,25916200,515.82
2014-05-14,611.00,618.70,606.00,617.50,26647500,521.308
2014-05-15,618.10,629.00,610.539,625.00,39223200,527.64
2014-05-16,623.70,634.417,622.70,632.50,44465000,533.971
2014-05-17,623.70,634.417,622.70,632.50,44465000,533.971
2014-05-18,623.70,634.417,622.70,632.50,44465000,533.971
2014-05-19,629.10,634.636,628.10,632.90,29879500,534.309
2014-05-20,632.10,635.328,623.50,627.10,22862100,529.412
2014-05-21,618.80,621.041,614.90,618.50,20873700,527.092
2014-05-22,619.70,619.70,613.80,616.10,20229100,525.046
2014-05-23,615.60,619.70,614.10,614.80,14475600,523.939
2014-05-24,615.60,619.70,614.10,614.80,14475600,523.939
2014-05-25,615.60,619.70,614.10,614.80,14475600,523.939
2014-05-26,614.80,614.80,614.80,614.80,000,523.939
2014-05-27,620.90,623.934,619.50,621.20,21272000,529.393
2014-05-28,626.10,631.361,619.50,629.20,20912300,536.21
2014-05-29,631.30,632.70,626.00,627.90,15151900,535.102
2014-05-30,628.30,631.50,626.30,629.20,21338200,536.21
2014-05-31,628.30,631.50,626.30,629.20,21338200,536.21
2014-06-01,628.30,631.50,626.30,629.20,21338200,536.21
2014-06-02,630.60,631.975,626.00,626.80,12369400,534.165
2014-06-03,626.50,627.80,621.30,624.00,17581900,531.779
2014-06-04,626.60,628.90,620.90,623.00,16534300,530.927
2014-06-05,623.50,625.975,618.20,620.90,20786900,529.137
2014-06-06,621.20,626.20,619.60,624.00,17457600,531.779
2014-06-07,621.20,626.20,619.60,624.00,17457600,531.779
2014-06-08,621.20,626.20,619.60,624.00,17457600,531.779
2014-06-09,624.30,628.30,624.30,628.30,9993300,535.443
2014-06-10,628.90,629.80,622.30,624.90,17628900,532.546
2014-06-11,623.00,642.863,618.90,620.90,18440200,529.137
2014-06-12,622.50,623.701,620.30,621.00,19141200,529.222
2014-06-13,621.00,621.20,612.00,616.40,19958700,525.302
2014-06-14,621.00,621.20,612.00,616.40,19958700,525.302
2014-06-15,621.00,621.20,612.00,616.40,19958700,525.302
2014-06-16,616.20,616.50,611.70,612.00,36868700,521.552
2014-06-17,612.50,615.00,610.025,612.10,13950300,521.638
2014-06-18,614.50,617.00,609.80,610.10,18509400,519.933
2014-06-19,612.80,615.90,610.30,610.30,17216900,520.104
2014-06-20,610.70,613.30,607.40,609.40,42795900,519.337
2014-06-21,610.70,613.30,607.40,609.40,42795900,519.337
2014-06-22,610.70,613.30,607.40,609.40,42795900,519.337
2014-06-23,607.30,609.927,603.90,606.40,14722900,516.78
2014-06-24,606.30,607.954,604.432,605.40,53003300,515.928
2014-06-25,606.30,606.40,599.00,601.60,23366300,512.689
2014-06-26,604.40,605.30,592.30,594.60,29335300,506.724
2014-06-27,596.80,599.80,593.50,597.00,15510500,508.769
2014-06-28,596.80,599.80,593.50,597.00,15510500,508.769
2014-06-29,596.80,599.80,593.50,597.00,15510500,508.769
2014-06-30,595.20,604.378,591.90,592.90,22495600,505.275
2014-07-01,594.00,599.50,593.40,598.20,17960600,509.792
2014-07-02,599.80,604.60,598.00,601.30,16249300,512.434
2014-07-03,602.20,607.80,601.60,607.10,15257600,517.376
2014-07-04,605.80,608.80,604.50,607.30,10736800,517.547
2014-07-05,605.80,608.80,604.50,607.30,10736800,517.547
2014-07-06,605.80,608.80,604.50,607.30,10736800,517.547
2014-07-07,606.00,607.10,602.00,603.30,12103700,514.138
2014-07-08,602.70,604.30,594.50,594.50,18407300,506.639
2014-07-09,596.40,597.50,593.30,596.50,15276500,508.343
2014-07-10,595.40,595.70,585.00,589.00,21115100,501.952
2014-07-11,589.90,595.40,588.10,592.30,17213400,504.764
2014-07-12,589.90,595.40,588.10,592.30,17213400,504.764
2014-07-13,589.90,595.40,588.10,592.30,17213400,504.764
2014-07-14,593.20,602.578,592.70,599.40,16969900,510.815
2014-07-15,597.80,601.70,594.70,596.60,20216500,508.428
2014-07-16,599.60,606.508,599.20,605.10,20339600,515.672
2014-07-17,601.70,603.90,596.50,599.20,15811000,510.644
2014-07-18,597.10,600.60,592.80,599.20,19524300,510.644
2014-07-19,597.10,600.60,592.80,599.20,19524300,510.644
2014-07-20,597.10,600.60,592.80,599.20,19524300,510.644
2014-07-21,597.70,600.20,594.80,597.10,9981200,508.854
2014-07-22,602.00,607.533,602.00,604.90,14273200,515.502
2014-07-23,603.60,610.952,603.30,607.30,11720700,517.547
2014-07-24,609.60,622.60,606.90,621.00,27304700,529.222
2014-07-25,619.00,625.80,614.639,621.70,22896600,529.819
2014-07-26,619.00,625.80,614.639,621.70,22896600,529.819
2014-07-27,619.00,625.80,614.639,621.70,22896600,529.819
2014-07-28,625.10,632.90,618.469,630.90,30017100,537.659
2014-07-29,632.00,640.655,630.90,637.50,25484400,543.284
2014-07-30,638.70,643.50,632.087,641.50,22210500,546.693
2014-07-31,638.70,640.00,634.60,636.40,30165600,542.346
2014-08-01,634.70,635.50,626.074,629.30,25110500,536.296
2014-08-02,634.70,635.50,626.074,629.30,25110500,536.296
