Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,204.10,206.579,203.10,206.10,19565900,190.395
2014-02-26,206.00,209.00,195.50,201.50,37688500,186.146
2014-02-27,201.50,201.80,196.40,199.20,16036100,184.021
2014-02-28,198.70,203.60,198.60,201.90,15350800,186.515
2014-03-01,198.70,203.60,198.60,201.90,15350800,186.515
2014-03-02,198.70,203.60,198.60,201.90,15350800,186.515
2014-03-03,198.30,199.00,194.964,196.10,10143300,181.157
2014-03-04,197.90,202.411,197.90,202.20,11088000,186.792
2014-03-05,202.50,203.40,199.40,199.90,11323900,184.668
2014-03-06,200.60,201.20,198.30,198.60,7653200,183.467
2014-03-07,198.60,203.70,198.30,200.50,10433000,185.222
2014-03-08,198.60,203.70,198.30,200.50,10433000,185.222
2014-03-09,198.60,203.70,198.30,200.50,10433000,185.222
2014-03-10,200.90,201.80,195.80,196.80,10791900,181.804
2014-03-11,196.80,198.389,195.50,197.80,8515900,182.728
2014-03-12,197.20,198.60,195.80,198.30,8092100,183.19
2014-03-13,198.90,199.60,195.70,195.90,11577700,180.973
2014-03-14,194.90,195.75,192.966,194.50,9405200,179.679
2014-03-15,194.90,195.75,192.966,194.50,9405200,179.679
2014-03-16,194.90,195.75,192.966,194.50,9405200,179.679
2014-03-17,194.40,198.50,194.32,197.80,15186000,182.728
2014-03-18,197.70,203.028,197.20,203.00,14373100,187.532
2014-03-19,203.30,203.60,200.40,202.20,8894400,186.792
2014-03-20,200.80,200.80,196.70,197.50,11610500,182.451
2014-03-21,198.10,198.20,195.00,196.00,20393600,181.065
2014-03-22,198.10,198.20,195.00,196.00,20393600,181.065
2014-03-23,198.10,198.20,195.00,196.00,20393600,181.065
2014-03-24,196.30,196.90,191.352,193.00,10400000,178.294
2014-03-25,193.10,195.40,192.90,195.00,7404900,180.141
2014-03-26,191.00,196.30,189.017,196.00,15672500,181.065
2014-03-27,195.10,195.718,192.20,192.50,10427600,177.832
2014-03-28,192.50,193.80,189.30,189.40,13365000,174.968
2014-03-29,192.50,193.80,189.30,189.40,13365000,174.968
2014-03-30,192.50,193.80,189.30,189.40,13365000,174.968
2014-03-31,190.00,193.80,189.30,191.50,13778700,176.908
2014-04-01,191.80,193.30,191.30,192.70,11814900,178.016
2014-04-02,193.70,196.00,193.30,195.60,8461700,180.695
2014-04-03,196.20,197.20,194.90,195.50,10235700,180.603
2014-04-04,196.70,197.093,194.40,196.60,8656500,181.619
2014-04-05,196.70,197.093,194.40,196.60,8656500,181.619
2014-04-06,196.70,197.093,194.40,196.60,8656500,181.619
2014-04-07,195.60,196.20,192.50,192.70,8161600,178.016
2014-04-08,193.10,193.60,184.40,187.80,17071800,173.49
2014-04-09,188.40,192.00,188.40,189.20,12089600,174.783
2014-04-10,190.20,191.50,188.20,190.10,8915400,175.615
2014-04-11,188.60,188.60,182.30,183.00,18657200,169.056
2014-04-12,188.60,188.60,182.30,183.00,18657200,169.056
2014-04-13,188.60,188.60,182.30,183.00,18657200,169.056
2014-04-14,182.10,182.90,176.00,177.40,17713000,163.882
2014-04-15,177.70,179.484,173.10,173.60,22479200,160.372
2014-04-16,175.50,180.819,175.50,180.00,22130900,166.284
2014-04-17,181.00,187.30,180.60,186.20,21762600,172.012
2014-04-18,186.20,186.20,186.20,186.20,000,172.012
2014-04-19,186.20,186.20,186.20,186.20,000,172.012
2014-04-20,186.20,186.20,186.20,186.20,000,172.012
2014-04-21,186.20,186.20,186.20,186.20,000,172.012
2014-04-22,187.40,191.10,187.30,188.60,20259600,174.229
2014-04-23,188.90,189.20,185.90,187.80,13322700,173.49
2014-04-24,188.60,189.70,184.80,187.10,9852800,172.843
2014-04-25,187.00,187.50,184.30,185.10,6971300,170.996
2014-04-26,187.00,187.50,184.30,185.10,6971300,170.996
2014-04-27,187.00,187.50,184.30,185.10,6971300,170.996
2014-04-28,186.30,187.801,182.30,182.40,9459300,168.501
2014-04-29,183.90,185.597,180.716,183.70,25411600,169.702
2014-04-30,177.20,187.069,175.50,182.00,25259800,170.357
2014-05-01,184.70,191.90,182.80,186.60,10594400,174.663
2014-05-02,188.10,190.036,183.80,184.50,16275000,172.697
2014-05-03,188.10,190.036,183.80,184.50,16275000,172.697
2014-05-04,188.10,190.036,183.80,184.50,16275000,172.697
2014-05-05,184.50,184.50,184.50,184.50,000,172.697
2014-05-06,185.40,187.118,184.40,185.90,9112400,174.008
2014-05-07,187.50,190.50,186.80,187.50,15882800,175.506
2014-05-08,189.00,189.60,187.10,188.90,14068500,176.816
2014-05-09,189.00,190.50,187.90,189.00,10237000,176.91
2014-05-10,189.00,190.50,187.90,189.00,10237000,176.91
2014-05-11,189.00,190.50,187.90,189.00,10237000,176.91
2014-05-12,189.40,190.11,185.30,186.80,12882500,174.85
2014-05-13,188.00,191.10,187.50,191.00,11884000,178.782
2014-05-14,183.00,183.90,178.20,179.10,33985800,167.643
2014-05-15,180.00,180.10,169.10,169.60,29111600,158.751
2014-05-16,170.60,176.894,167.10,172.50,27608400,161.465
2014-05-17,170.60,176.894,167.10,172.50,27608400,161.465
2014-05-18,170.60,176.894,167.10,172.50,27608400,161.465
2014-05-19,171.90,176.12,171.50,172.80,12270900,161.746
