Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,243.40,244.925,241.60,243.50,20993900,209.482
2014-02-26,243.80,244.50,238.80,240.30,14598100,206.73
2014-02-27,239.50,239.80,235.50,239.20,15712400,205.783
2014-02-28,239.30,242.10,214.10,240.40,14985800,206.816
2014-03-01,239.30,242.10,214.10,240.40,14985800,206.816
2014-03-02,239.30,242.10,214.10,240.40,14985800,206.816
2014-03-03,236.10,237.90,233.00,237.00,19246100,203.891
2014-03-04,240.00,242.10,238.40,240.50,18291100,206.902
2014-03-05,236.40,239.12,234.20,236.00,16390800,203.03
2014-03-06,235.20,236.80,230.10,233.60,28190600,200.966
2014-03-07,234.20,240.90,232.40,237.20,24873500,204.063
2014-03-08,234.20,240.90,232.40,237.20,24873500,204.063
2014-03-09,234.20,240.90,232.40,237.20,24873500,204.063
2014-03-10,236.50,238.30,233.70,234.30,16761600,201.568
2014-03-11,234.20,235.70,231.957,233.80,11047600,201.138
2014-03-12,232.60,233.70,230.70,230.70,14300000,198.471
2014-03-13,231.80,231.80,229.60,229.70,14741400,197.61
2014-03-14,228.10,230.40,227.00,227.80,13182400,195.976
2014-03-15,228.10,230.40,227.00,227.80,13182400,195.976
2014-03-16,228.10,230.40,227.00,227.80,13182400,195.976
2014-03-17,227.70,230.10,225.40,229.40,12409600,197.352
2014-03-18,228.90,231.40,227.60,230.50,9741300,198.299
2014-03-19,231.00,231.429,197.712,211.20,106955700,181.695
2014-03-20,211.90,215.80,206.40,213.10,63160200,183.329
2014-03-21,213.00,214.60,204.50,206.00,56142100,177.221
2014-03-22,213.00,214.60,204.50,206.00,56142100,177.221
2014-03-23,213.00,214.60,204.50,206.00,56142100,177.221
2014-03-24,204.70,210.97,204.00,207.70,29563000,178.684
2014-03-25,208.10,210.10,208.10,209.50,18122400,180.232
2014-03-26,214.00,217.50,211.10,214.80,32817300,184.792
2014-03-27,213.60,213.80,210.70,212.40,18405200,182.727
2014-03-28,207.70,208.00,193.00,205.00,75973200,176.361
2014-03-29,207.70,208.00,193.00,205.00,75973200,176.361
2014-03-30,207.70,208.00,193.00,205.00,75973200,176.361
2014-03-31,206.00,208.183,204.30,204.70,22461000,176.103
2014-04-01,205.70,211.90,204.637,211.70,34050800,182.125
2014-04-02,212.10,212.50,209.70,211.90,13169900,182.297
2014-04-03,212.50,214.064,210.80,211.10,17424200,181.609
2014-04-04,209.70,219.00,209.70,217.70,25962600,187.287
2014-04-05,209.70,219.00,209.70,217.70,25962600,187.287
2014-04-06,209.70,219.00,209.70,217.70,25962600,187.287
2014-04-07,216.00,217.40,211.80,216.40,22543500,186.168
2014-04-08,216.00,217.40,212.00,213.50,24882400,183.674
2014-04-09,213.30,214.50,210.80,213.00,18562200,183.243
2014-04-10,213.90,215.718,211.70,212.10,12562200,182.469
2014-04-11,211.00,212.50,209.90,211.00,24173900,181.523
2014-04-12,211.00,212.50,209.90,211.00,24173900,181.523
2014-04-13,211.00,212.50,209.90,211.00,24173900,181.523
2014-04-14,210.00,211.60,207.30,211.40,17765100,181.867
2014-04-15,212.00,212.70,206.50,207.10,22773500,178.168
2014-04-16,208.20,209.40,207.10,207.80,12671400,178.77
2014-04-17,209.30,211.50,208.60,210.70,13528100,181.265
2014-04-18,210.70,210.70,210.70,210.70,000,181.265
2014-04-19,210.70,210.70,210.70,210.70,000,181.265
2014-04-20,210.70,210.70,210.70,210.70,000,181.265
2014-04-21,210.70,210.70,210.70,210.70,000,181.265
2014-04-22,210.50,213.06,210.39,212.20,12761500,182.555
2014-04-23,205.60,207.80,204.575,207.10,14227700,184.156
2014-04-24,207.60,208.60,203.70,205.10,13577900,182.377
2014-04-25,205.10,211.90,204.20,207.60,17961900,184.60
2014-04-26,205.10,211.90,204.20,207.60,17961900,184.60
2014-04-27,205.10,211.90,204.20,207.60,17961900,184.60
2014-04-28,207.40,208.50,206.10,206.30,10338600,183.444
2014-04-29,206.80,212.90,206.80,212.90,13957400,189.313
2014-04-30,212.00,212.20,209.60,211.80,11734100,188.335
2014-05-01,211.90,213.313,210.71,211.80,4877600,188.335
2014-05-02,212.50,214.70,210.90,214.30,12007200,190.558
2014-05-03,212.50,214.70,210.90,214.30,12007200,190.558
2014-05-04,212.50,214.70,210.90,214.30,12007200,190.558
2014-05-05,214.30,214.30,214.30,214.30,000,190.558
2014-05-06,215.40,215.45,211.80,213.50,10064900,189.847
2014-05-07,217.00,221.428,215.20,220.00,20702900,195.627
2014-05-08,221.40,221.80,220.00,221.70,10824300,197.138
2014-05-09,221.60,222.80,220.00,222.40,11378100,197.761
2014-05-10,221.60,222.80,220.00,222.40,11378100,197.761
2014-05-11,221.60,222.80,220.00,222.40,11378100,197.761
2014-05-12,222.80,228.00,222.60,227.20,15727800,202.029
2014-05-13,228.30,229.30,226.90,228.00,11829000,202.74
2014-05-14,227.50,228.765,226.60,227.40,12324200,202.207
2014-05-15,228.20,228.90,225.50,227.00,21549500,201.851
2014-05-16,226.60,227.525,223.40,226.60,11712800,201.495
2014-05-17,226.60,227.525,223.40,226.60,11712800,201.495
2014-05-18,226.60,227.525,223.40,226.60,11712800,201.495
2014-05-19,227.00,227.40,224.00,224.70,9125900,199.806
2014-05-20,225.30,227.267,222.10,223.00,15515100,198.294
2014-05-21,223.30,224.00,221.10,223.30,12024400,198.561
2014-05-22,223.00,225.40,222.825,224.60,9095000,199.717
2014-05-23,224.80,225.20,223.00,225.10,7978400,200.162
2014-05-24,224.80,225.20,223.00,225.10,7978400,200.162
2014-05-25,224.80,225.20,223.00,225.10,7978400,200.162
2014-05-26,225.10,225.10,225.10,225.10,000,200.162
2014-05-27,226.60,229.70,225.30,228.70,14355100,203.363
2014-05-28,229.10,229.80,228.207,229.30,7360400,203.896
2014-05-29,229.70,231.50,229.10,230.00,5074800,204.519
2014-05-30,229.20,231.128,228.90,230.20,10421500,204.697
2014-05-31,229.20,231.128,228.90,230.20,10421500,204.697
2014-06-01,229.20,231.128,228.90,230.20,10421500,204.697
2014-06-02,230.10,234.10,228.00,233.30,12727800,207.453
2014-06-03,233.00,234.20,229.40,230.00,9329100,204.519
2014-06-04,230.20,231.40,229.00,230.70,14839800,205.141
2014-06-05,231.10,233.70,230.10,231.30,10080900,205.675
2014-06-06,231.50,236.50,230.00,235.70,10219400,209.587
2014-06-07,231.50,236.50,230.00,235.70,10219400,209.587
2014-06-08,231.50,236.50,230.00,235.70,10219400,209.587
2014-06-09,236.50,236.50,234.55,235.40,5752300,209.32
2014-06-10,235.80,235.90,233.50,234.00,13196100,208.076
2014-06-11,233.90,235.10,231.60,232.20,9568400,206.475
2014-06-12,233.30,234.10,230.725,231.20,6337300,205.586
2014-06-13,230.60,230.90,224.90,227.60,9026100,202.385
2014-06-14,230.60,230.90,224.90,227.60,9026100,202.385
2014-06-15,230.60,230.90,224.90,227.60,9026100,202.385
2014-06-16,227.20,227.90,224.50,224.70,8419200,199.806
2014-06-17,224.90,227.00,224.80,225.60,8221700,200.606
2014-06-18,226.20,227.90,224.70,224.80,7672200,199.895
2014-06-19,223.00,226.50,221.10,226.00,14288100,200.962
2014-06-20,225.40,226.90,223.80,226.50,15274200,201.406
2014-06-21,225.40,226.90,223.80,226.50,15274200,201.406
2014-06-22,225.40,226.90,223.80,226.50,15274200,201.406
2014-06-23,226.40,228.10,225.40,226.60,10609200,201.495
2014-06-24,227.10,227.50,224.50,226.50,8725000,201.406
2014-06-25,225.50,225.80,222.882,224.20,8131000,199.361
2014-06-26,225.30,225.492,222.90,224.80,7431200,199.895
2014-06-27,224.90,227.00,224.80,226.10,8872400,201.051
2014-06-28,224.90,227.00,224.80,226.10,8872400,201.051
2014-06-29,224.90,227.00,224.80,226.10,8872400,201.051
2014-06-30,226.20,227.20,223.90,225.40,7794400,200.428
2014-07-01,225.50,227.00,224.10,227.00,9356500,201.851
2014-07-02,227.00,227.60,224.91,226.80,10796300,201.673
2014-07-03,227.60,230.20,226.463,229.00,9631400,203.629
2014-07-04,229.50,229.50,227.20,228.10,5077300,202.829
2014-07-05,229.50,229.50,227.20,228.10,5077300,202.829
2014-07-06,229.50,229.50,227.20,228.10,5077300,202.829
2014-07-07,227.80,229.00,226.70,227.30,5804800,202.118
2014-07-08,228.40,228.40,226.00,226.40,8342600,201.318
2014-07-09,226.60,226.615,223.40,224.70,8699700,199.806
2014-07-10,224.50,226.10,221.50,224.60,11864300,199.717
2014-07-11,225.20,227.30,224.90,226.20,9852100,201.14
2014-07-12,225.20,227.30,224.90,226.20,9852100,201.14
2014-07-13,225.20,227.30,224.90,226.20,9852100,201.14
2014-07-14,226.50,230.20,226.50,229.70,9284100,204.252
2014-07-15,229.30,230.60,228.30,230.10,13533200,204.608
2014-07-16,231.10,233.80,230.325,233.50,12971600,207.631
2014-07-17,232.90,234.336,230.40,233.00,10142600,207.186
2014-07-18,232.50,234.50,230.10,234.50,13374800,208.52
2014-07-19,232.50,234.50,230.10,234.50,13374800,208.52
2014-07-20,232.50,234.50,230.10,234.50,13374800,208.52
2014-07-21,234.40,235.40,232.53,234.70,8380100,208.698
2014-07-22,235.70,236.80,234.90,234.90,12936200,208.876
2014-07-23,234.90,236.586,234.50,236.00,8723500,209.854
2014-07-24,236.20,237.40,234.30,237.00,7417700,210.743
2014-07-25,236.70,237.913,235.70,235.90,7619100,209.765
2014-07-26,236.70,237.913,235.70,235.90,7619100,209.765
2014-07-27,236.70,237.913,235.70,235.90,7619100,209.765
2014-07-28,237.00,237.00,234.40,235.00,10334300,208.965
2014-07-29,235.60,236.20,233.88,235.00,8687500,208.965
2014-07-30,235.60,235.60,232.70,234.90,10232400,208.876
2014-07-31,235.00,235.50,231.80,234.40,13189800,208.431
2014-08-01,234.70,234.70,228.90,232.10,14724100,206.386
2014-08-02,234.70,234.70,228.90,232.10,14724100,206.386
2014-08-03,234.70,234.70,228.90,232.10,14724100,206.386
2014-08-04,232.60,233.463,230.70,233.00,8510700,207.186
2014-08-05,233.50,236.465,231.20,231.60,11958900,205.941
2014-08-06,231.30,234.20,230.50,232.00,9736100,206.297
2014-08-07,231.20,238.20,229.00,237.70,20786400,211.366
2014-08-08,236.20,238.20,235.30,237.80,24638300,211.455
2014-08-09,236.20,238.20,235.30,237.80,24638300,211.455
2014-08-10,236.20,238.20,235.30,237.80,24638300,211.455
2014-08-11,239.40,239.55,235.80,237.00,11093600,210.743
2014-08-12,236.90,237.368,235.20,236.80,13213100,210.565
2014-08-13,237.90,239.10,236.70,238.90,11292700,212.433
2014-08-14,238.00,239.536,236.981,239.30,9019000,212.788
2014-08-15,239.20,239.50,237.80,238.30,9840400,211.899
2014-08-16,239.20,239.50,237.80,238.30,9840400,211.899
2014-08-17,239.20,239.50,237.80,238.30,9840400,211.899
2014-08-18,239.50,239.50,236.80,238.20,10815600,211.81
2014-08-19,239.70,240.813,236.00,240.00,9905000,213.411
2014-08-20,239.80,240.50,238.10,240.50,9247900,213.855
2014-08-21,240.50,242.10,239.60,241.60,7767200,214.834
2014-08-22,242.10,242.15,240.00,241.20,10382400,214.478
2014-08-23,242.10,242.15,240.00,241.20,10382400,214.478
2014-08-24,242.10,242.15,240.00,241.20,10382400,214.478
