Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,81.65,81.755,80.56,81.23,169075800,76.759
2014-02-26,81.39,81.528,80.212,80.83,115459400,76.381
2014-02-27,80.98,81.892,79.71,81.66,143098200,77.166
2014-02-28,81.87,82.85,81.11,82.53,139148700,77.988
2014-03-01,81.87,82.85,81.11,82.53,139148700,77.988
2014-03-02,81.87,82.85,81.11,82.53,139148700,77.988
2014-03-03,80.77,81.61,79.92,81.27,146507500,76.797
2014-03-04,82.09,82.497,80.72,80.90,133145400,76.448
2014-03-05,80.87,85.53,80.312,80.73,92768600,76.287
2014-03-06,81.13,82.48,80.85,81.70,119575800,77.204
2014-03-07,81.81,82.25,81.26,81.35,125563200,76.873
2014-03-08,81.81,82.25,81.26,81.35,125563200,76.873
2014-03-09,81.81,82.25,81.26,81.35,125563200,76.873
2014-03-10,81.24,82.765,80.947,81.50,113095900,77.015
2014-03-11,81.48,81.98,80.70,81.11,118147800,76.646
2014-03-12,80.91,81.49,79.904,80.62,111241000,76.183
2014-03-13,81.00,81.00,79.41,79.55,127918300,75.172
2014-03-14,79.09,79.531,77.49,78.38,138685900,74.066
2014-03-15,79.09,79.531,77.49,78.38,138685900,74.066
2014-03-16,79.09,79.531,77.49,78.38,138685900,74.066
2014-03-17,78.53,79.94,78.45,79.50,82873700,75.125
2014-03-18,79.45,80.35,79.127,79.71,106472100,75.323
2014-03-19,79.66,80.03,78.95,79.06,235045400,74.709
2014-03-20,78.25,79.35,77.83,78.75,98020800,74.416
2014-03-21,78.75,78.875,76.30,77.37,273866300,73.112
2014-03-22,78.75,78.875,76.30,77.37,273866300,73.112
2014-03-23,78.75,78.875,76.30,77.37,273866300,73.112
2014-03-24,78.40,78.75,78.00,78.50,97642200,74.18
2014-03-25,78.55,79.13,78.248,79.11,81003500,74.756
2014-03-26,74.50,76.17,74.50,75.20,713992300,71.061
2014-03-27,75.00,75.80,74.217,75.38,247930100,71.231
2014-03-28,75.78,76.07,73.00,74.34,293332000,70.249
2014-03-29,75.78,76.07,73.00,74.34,293332000,70.249
2014-03-30,75.78,76.07,73.00,74.34,293332000,70.249
2014-03-31,74.87,75.15,74.40,74.65,154666000,70.542
2014-04-01,75.25,76.202,74.65,75.67,220885900,71.505
2014-04-02,76.13,76.90,76.10,76.90,428443700,72.668
2014-04-03,76.90,77.44,75.972,76.18,141420500,71.987
2014-04-04,76.75,77.78,75.92,77.46,181194100,73.197
2014-04-05,76.75,77.78,75.92,77.46,181194100,73.197
2014-04-06,76.75,77.78,75.92,77.46,181194100,73.197
2014-04-07,76.70,77.17,75.15,75.38,124153700,71.231
2014-04-08,75.26,75.70,72.34,73.90,300335700,69.833
2014-04-09,74.00,74.99,73.554,74.50,139195000,70.40
2014-04-10,74.97,75.71,73.554,74.55,123151600,70.447
2014-04-11,73.61,73.88,72.10,72.97,184801600,68.954
2014-04-12,73.61,73.88,72.10,72.97,184801600,68.954
2014-04-13,73.61,73.88,72.10,72.97,184801600,68.954
2014-04-14,72.43,72.75,70.015,72.58,220441600,68.586
2014-04-15,72.54,72.99,70.59,70.94,141653400,67.036
2014-04-16,71.78,72.88,70.62,72.86,158784100,68.85
2014-04-17,73.02,74.87,72.44,74.28,174485600,70.192
2014-04-18,74.28,74.28,74.28,74.28,000,70.192
2014-04-19,74.28,74.28,74.28,74.28,000,70.192
2014-04-20,74.28,74.28,74.28,74.28,000,70.192
2014-04-21,74.28,74.28,74.28,74.28,000,70.192
2014-04-22,74.59,74.77,74.02,74.37,96075600,70.277
2014-04-23,74.79,75.04,74.10,74.80,76552500,70.683
2014-04-24,75.16,75.92,74.62,75.49,106863600,71.335
2014-04-25,74.97,75.50,74.252,74.84,97777400,70.721
2014-04-26,74.97,75.50,74.252,74.84,97777400,70.721
2014-04-27,74.97,75.50,74.252,74.84,97777400,70.721
2014-04-28,75.10,75.683,73.68,73.98,116332700,69.908
2014-04-29,74.55,75.16,74.04,74.87,87907800,70.749
2014-04-30,74.65,75.768,74.38,75.36,131207100,71.213
2014-05-01,77.21,79.60,77.03,79.50,231039900,75.125
2014-05-02,80.01,80.40,79.195,79.62,170765100,75.238
2014-05-03,80.01,80.40,79.195,79.62,170765100,75.238
2014-05-04,80.01,80.40,79.195,79.62,170765100,75.238
2014-05-05,79.62,79.62,79.62,79.62,000,75.238
2014-05-06,79.83,79.90,78.41,78.50,172532000,74.18
2014-05-07,78.11,78.23,76.37,76.72,169370800,72.498
2014-05-08,76.76,77.50,76.37,76.94,132597300,72.706
2014-05-09,77.05,77.46,76.00,76.37,130279300,72.167
2014-05-10,77.05,77.46,76.00,76.37,130279300,72.167
2014-05-11,77.05,77.46,76.00,76.37,130279300,72.167
2014-05-12,76.62,77.297,76.076,77.00,52302500,72.762
2014-05-13,77.38,77.59,76.12,76.89,85591400,72.658
2014-05-14,77.00,77.46,76.40,77.10,69274600,72.857
2014-05-15,77.24,77.84,73.31,73.76,228880100,69.701
2014-05-16,73.97,74.05,72.833,73.47,247289600,69.427
2014-05-17,73.97,74.05,72.833,73.47,247289600,69.427
2014-05-18,73.97,74.05,72.833,73.47,247289600,69.427
2014-05-19,73.40,74.18,72.30,73.99,104511700,69.918
2014-05-20,74.41,75.35,74.03,74.67,89239400,70.56
2014-05-21,74.84,74.86,73.90,74.34,120157400,70.249
2014-05-22,74.71,74.96,74.09,74.81,73160000,70.693
2014-05-23,75.18,76.07,74.702,75.96,126799700,71.779
2014-05-24,75.18,76.07,74.702,75.96,126799700,71.779
2014-05-25,75.18,76.07,74.702,75.96,126799700,71.779
2014-05-26,75.96,75.96,75.96,75.96,000,71.779
2014-05-27,77.00,77.43,76.40,77.15,144036700,72.904
2014-05-28,77.27,77.91,76.98,77.91,95599400,73.622
2014-05-29,78.07,78.13,77.20,77.41,61224600,73.15
2014-05-30,77.91,78.13,77.06,77.86,502801200,73.575
2014-05-31,77.91,78.13,77.06,77.86,502801200,73.575
2014-06-01,77.91,78.13,77.06,77.86,502801200,73.575
2014-06-02,78.15,78.24,77.21,77.39,89834500,73.131
2014-06-03,77.65,77.73,76.536,77.05,80371000,72.81
2014-06-04,77.03,78.10,77.00,78.04,110438000,73.745
2014-06-05,78.24,78.96,77.65,78.80,144507100,74.463
2014-06-06,79.23,80.26,78.238,80.15,255638500,75.739
2014-06-07,79.23,80.26,78.238,80.15,255638500,75.739
2014-06-08,79.23,80.26,78.238,80.15,255638500,75.739
2014-06-09,80.05,80.135,78.60,78.82,89379200,74.482
2014-06-10,78.51,78.746,77.40,78.45,99341900,74.132
2014-06-11,78.58,79.25,78.14,79.06,172968400,74.709
2014-06-12,79.86,80.00,79.242,79.48,108219300,75.106
2014-06-13,79.16,79.86,77.07,77.58,135229900,73.31
2014-06-14,79.16,79.86,77.07,77.58,135229900,73.31
2014-06-15,79.16,79.86,77.07,77.58,135229900,73.31
2014-06-16,76.95,77.69,76.36,76.66,114370200,72.441
2014-06-17,76.99,77.99,76.67,77.99,98958200,73.698
2014-06-18,78.32,78.90,77.576,77.66,68349500,73.386
2014-06-19,78.41,78.70,77.30,77.40,97689300,73.14
2014-06-20,77.54,77.83,76.59,76.70,172258100,72.479
2014-06-21,77.54,77.83,76.59,76.70,172258100,72.479
2014-06-22,77.54,77.83,76.59,76.70,172258100,72.479
2014-06-23,76.83,76.83,75.265,75.45,75511900,71.298
2014-06-24,75.73,76.36,74.095,75.00,116856600,70.872
2014-06-25,74.99,75.08,74.00,74.53,98772900,70.428
2014-06-26,74.90,80.042,73.893,75.39,220142900,71.241
2014-06-27,75.35,75.84,75.07,75.35,80573700,71.203
2014-06-28,75.35,75.84,75.07,75.35,80573700,71.203
2014-06-29,75.35,75.84,75.07,75.35,80573700,71.203
2014-06-30,75.54,75.72,73.955,74.25,112826000,70.164
2014-07-01,74.63,75.95,74.28,75.51,78402600,71.354
2014-07-02,75.60,76.48,75.226,75.70,65683100,71.534
2014-07-03,75.99,76.49,75.74,76.40,72597200,72.195
2014-07-04,76.39,76.647,75.596,75.68,46686000,71.515
2014-07-05,76.39,76.647,75.596,75.68,46686000,71.515
2014-07-06,76.39,76.647,75.596,75.68,46686000,71.515
2014-07-07,75.52,75.97,74.76,75.10,57153600,70.967
2014-07-08,75.46,75.46,73.35,73.37,121354100,69.332
2014-07-09,73.33,73.63,72.253,72.90,105819700,68.888
2014-07-10,73.00,73.43,71.72,73.11,126417700,69.086
2014-07-11,73.01,73.688,72.11,72.67,104144500,68.671
2014-07-12,73.01,73.688,72.11,72.67,104144500,68.671
2014-07-13,73.01,73.688,72.11,72.67,104144500,68.671
2014-07-14,72.77,73.74,72.13,73.15,70950800,69.124
2014-07-15,72.88,73.75,72.31,72.87,118106100,68.86
2014-07-16,73.00,74.51,72.59,74.44,94979000,70.343
2014-07-17,74.45,74.51,73.07,73.17,82900500,69.143
2014-07-18,72.98,73.77,72.14,73.42,82535400,69.379
2014-07-19,72.98,73.77,72.14,73.42,82535400,69.379
2014-07-20,72.98,73.77,72.14,73.42,82535400,69.379
2014-07-21,73.17,74.00,72.37,72.59,69975000,68.595
2014-07-22,73.08,74.00,72.77,73.30,82920500,69.266
2014-07-23,73.12,74.10,72.90,73.63,112351800,69.578
2014-07-24,73.50,73.99,72.959,73.95,79645200,69.88
2014-07-25,74.40,75.85,74.113,74.81,118251500,70.693
2014-07-26,74.40,75.85,74.113,74.81,118251500,70.693
2014-07-27,74.40,75.85,74.113,74.81,118251500,70.693
2014-07-28,75.32,75.47,73.89,74.84,90888400,70.721
2014-07-29,75.18,76.09,74.716,75.63,79857200,71.468
2014-07-30,75.92,77.038,75.39,76.41,115805100,72.205
2014-07-31,77.48,77.48,73.95,74.25,258483100,70.164
2014-08-01,74.15,74.37,72.87,73.33,113639000,69.294
2014-08-02,74.15,74.37,72.87,73.33,113639000,69.294
2014-08-03,74.15,74.37,72.87,73.33,113639000,69.294
2014-08-04,73.61,74.771,73.27,73.34,109524400,69.304
2014-08-05,73.56,74.134,72.70,72.90,82304100,68.888
2014-08-06,72.51,73.00,71.01,72.23,133992200,68.255
2014-08-07,72.01,72.49,71.13,71.92,76114200,67.962
2014-08-08,71.09,72.40,70.72,72.21,94569700,68.236
2014-08-09,71.09,72.40,70.72,72.21,94569700,68.236
2014-08-10,71.09,72.40,70.72,72.21,94569700,68.236
2014-08-11,73.16,73.43,50.00,73.11,80548200,69.086
2014-08-12,73.00,73.561,72.867,73.24,63289200,69.209
2014-08-13,73.49,74.32,72.702,73.68,95691500,69.625
2014-08-14,73.65,74.13,73.14,73.50,110980500,69.455
2014-08-15,73.64,75.38,73.50,73.59,82341300,69.54
2014-08-16,73.64,75.38,73.50,73.59,82341300,69.54
2014-08-17,73.64,75.38,73.50,73.59,82341300,69.54
2014-08-18,74.00,74.17,73.23,74.05,63054100,69.975
2014-08-19,74.24,75.01,74.13,74.60,62284900,70.494
2014-08-20,74.63,75.08,74.56,75.06,87994800,70.929
2014-08-21,75.06,75.37,74.64,75.24,61387000,71.099
2014-08-22,75.51,76.33,75.238,76.25,128366500,72.054
2014-08-23,75.51,76.33,75.238,76.25,128366500,72.054
2014-08-24,75.51,76.33,75.238,76.25,128366500,72.054
2014-08-25,76.25,76.25,76.25,76.25,000,72.054
2014-08-26,76.50,76.85,75.995,76.49,116044200,72.28
2014-08-27,76.50,77.27,76.32,76.83,93572200,72.602
2014-08-28,76.68,77.05,76.11,76.28,72034200,72.082
2014-08-29,76.37,77.08,75.67,76.27,89276600,72.072
2014-08-30,76.37,77.08,75.67,76.27,89276600,72.072
2014-08-31,76.37,77.08,75.67,76.27,89276600,72.072
2014-09-01,76.15,76.47,75.34,75.85,55831100,71.676
2014-09-02,75.91,76.20,74.25,74.82,290712400,70.702
2014-09-03,74.93,75.47,74.92,75.03,133957800,70.901
2014-09-04,74.83,75.22,74.36,75.00,111211900,70.872
2014-09-05,75.02,75.25,73.83,74.00,106917600,69.927
2014-09-06,75.02,75.25,73.83,74.00,106917600,69.927
2014-09-07,75.02,75.25,73.83,74.00,106917600,69.927
2014-09-08,72.50,72.70,71.40,72.20,257941100,68.226
2014-09-09,72.51,73.91,72.51,73.25,149996300,69.219
2014-09-10,73.25,73.528,72.73,73.23,115110600,69.20
2014-09-11,74.10,74.49,73.64,74.08,109064800,70.003
2014-09-12,75.48,75.49,74.01,74.58,90164400,70.475
2014-09-13,75.48,75.49,74.01,74.58,90164400,70.475
2014-09-14,75.48,75.49,74.01,74.58,90164400,70.475
2014-09-15,74.21,74.22,73.25,73.54,83441600,69.493
2014-09-16,73.26,73.80,72.55,73.50,106496000,69.455
2014-09-17,74.46,75.032,73.752,74.84,154660000,70.721
2014-09-18,75.13,76.12,74.53,75.87,135622700,71.694
2014-09-19,77.00,78.11,76.22,76.82,399971600,72.592
2014-09-20,77.00,78.11,76.22,76.82,399971600,72.592
2014-09-21,77.00,78.11,76.22,76.82,399971600,72.592
2014-09-22,76.35,76.63,75.78,76.24,90808300,72.044
2014-09-23,75.83,76.084,74.85,75.14,109442700,71.005
2014-09-24,75.00,75.39,74.42,75.39,114104900,71.241
2014-09-25,75.61,76.40,75.397,76.20,218248900,72.006
2014-09-26,76.20,77.09,76.00,76.66,112516700,72.441
2014-09-27,76.20,77.09,76.00,76.66,112516700,72.441
2014-09-28,76.20,77.09,76.00,76.66,112516700,72.441
2014-09-29,76.43,76.63,75.337,76.50,95703500,72.29
2014-09-30,77.00,77.20,76.66,76.87,222899800,72.639
2014-10-01,76.65,77.20,76.544,76.73,160916700,72.507
2014-10-02,76.87,77.10,75.20,75.20,125640100,71.061
2014-10-03,76.00,77.40,75.60,77.25,126890600,72.998
2014-10-04,76.00,77.40,75.60,77.25,126890600,72.998
2014-10-05,76.00,77.40,75.60,77.25,126890600,72.998
2014-10-06,77.30,77.62,76.85,77.20,124584100,72.951
2014-10-07,76.90,76.90,75.82,75.90,177222600,71.723
2014-10-08,75.30,75.70,75.052,75.31,168090500,71.165
2014-10-09,75.93,76.32,75.00,75.27,185477600,71.127
2014-10-10,74.84,75.623,74.38,74.68,144754900,70.57
2014-10-11,74.84,75.623,74.38,74.68,144754900,70.57
2014-10-12,74.84,75.623,74.38,74.68,144754900,70.57
2014-10-13,74.04,75.09,73.47,74.87,170146800,70.749
2014-10-14,74.34,75.85,74.32,75.56,109893600,71.401
2014-10-15,75.80,75.86,73.41,73.48,187732100,69.436
2014-10-16,74.02,74.28,70.96,72.27,422129200,68.293
2014-10-17,72.56,74.73,71.033,74.63,166243400,70.523
2014-10-18,72.56,74.73,71.033,74.63,166243400,70.523
2014-10-19,72.56,74.73,71.033,74.63,166243400,70.523
2014-10-20,74.26,74.97,72.252,74.69,100788100,70.579
2014-10-21,74.43,75.99,73.86,75.88,120376300,71.704
2014-10-22,76.00,76.06,75.45,75.88,116088500,71.704
2014-10-23,75.85,76.54,75.11,76.33,177471400,72.129
2014-10-24,76.16,77.03,75.90,76.72,96161400,72.498
2014-10-25,76.16,77.03,75.90,76.72,96161400,72.498
2014-10-26,76.16,77.03,75.90,76.72,96161400,72.498
2014-10-27,75.20,76.16,74.37,75.34,228876000,71.194
2014-10-28,74.70,76.00,73.05,73.50,255696800,69.455
2014-10-29,74.09,74.643,73.799,74.48,113384000,70.381
2014-10-30,74.50,75.41,73.55,75.17,148220400,71.033
2014-10-31,75.90,77.20,75.74,77.13,235081000,72.885
2014-11-01,75.90,77.20,75.74,77.13,235081000,72.885
2014-11-02,75.90,77.20,75.74,77.13,235081000,72.885
2014-11-03,76.88,77.08,76.23,76.80,153627600,72.573
2014-11-04,76.60,77.00,76.24,76.30,162038600,72.101
2014-11-05,76.68,77.48,76.556,77.26,122053200,73.008
2014-11-06,76.50,77.29,76.124,76.55,151134400,72.337
2014-11-07,76.81,76.83,75.72,76.27,129036100,72.072
2014-11-08,76.81,76.83,75.72,76.27,129036100,72.072
2014-11-09,76.81,76.83,75.72,76.27,129036100,72.072
2014-11-10,76.25,76.66,75.722,76.66,77597700,72.441
2014-11-11,76.58,77.06,76.22,76.40,108696700,72.195
2014-11-12,76.25,76.31,75.52,75.76,101732600,71.59
2014-11-13,75.77,76.78,75.51,76.67,126475400,72.45
2014-11-14,76.75,77.042,76.46,77.02,79323400,72.781
2014-11-15,76.75,77.042,76.46,77.02,79323400,72.781
2014-11-16,76.75,77.042,76.46,77.02,79323400,72.781
2014-11-17,76.27,77.58,76.25,77.27,91273400,73.017
2014-11-18,77.13,78.04,77.01,77.91,127308100,73.622
2014-11-19,79.00,79.00,78.09,78.57,158491500,74.246
2014-11-20,78.40,78.634,77.80,78.12,109022800,73.821
2014-11-21,78.27,79.00,75.51,78.49,116578400,74.17
2014-11-22,78.27,79.00,75.51,78.49,116578400,74.17
2014-11-23,78.27,79.00,75.51,78.49,116578400,74.17
2014-11-24,78.80,79.74,78.67,78.81,109731500,74.473
2014-11-25,78.81,79.72,78.81,79.59,132450300,75.21
2014-11-26,79.67,80.00,79.105,79.53,93880900,75.153
2014-11-27,79.63,80.12,79.35,79.95,64285700,75.55
2014-11-28,79.78,80.50,78.90,80.35,105643400,75.928
2014-11-29,79.78,80.50,78.90,80.35,105643400,75.928
2014-11-30,79.78,80.50,78.90,80.35,105643400,75.928
2014-12-01,80.15,80.75,79.27,79.68,93136400,75.295
2014-12-02,79.87,80.72,79.54,80.41,81481800,75.985
2014-12-03,80.41,81.11,79.24,79.65,162758100,75.266
2014-12-04,79.75,80.43,79.08,79.57,112257800,75.191
2014-12-05,80.11,81.06,79.76,80.89,108744600,76.438
2014-12-06,80.11,81.06,79.76,80.89,108744600,76.438
2014-12-07,80.11,81.06,79.76,80.89,108744600,76.438
2014-12-08,80.87,80.99,80.27,80.41,73084200,75.985
2014-12-09,80.20,80.21,78.48,78.54,191891700,74.217
2014-12-10,78.56,78.96,77.85,78.60,106187900,74.274
2014-12-11,78.49,78.82,77.75,78.20,130898800,73.896
2014-12-12,77.79,78.22,75.98,76.13,106252300,71.94
2014-12-13,77.79,78.22,75.98,76.13,106252300,71.94
2014-12-14,77.79,78.22,75.98,76.13,106252300,71.94
2014-12-15,75.51,76.82,74.36,74.40,187302600,70.305
2014-12-16,75.00,76.96,73.812,76.86,173598800,72.63
2014-12-17,75.96,76.64,75.35,75.35,120676800,71.203
2014-12-18,75.51,75.94,74.66,75.37,141634200,71.222
2014-12-19,75.28,76.625,75.28,76.16,172799000,71.968
2014-12-20,75.28,76.625,75.28,76.16,172799000,71.968
2014-12-21,75.28,76.625,75.28,76.16,172799000,71.968
2014-12-22,76.21,77.071,75.203,76.57,63227300,72.356
2014-12-23,76.57,76.99,76.41,76.89,59136700,72.658
2014-12-24,74.87,77.25,74.862,76.80,59975700,72.573
2014-12-25,76.80,76.80,76.80,76.80,000,72.573
2014-12-26,76.80,76.80,76.80,76.80,000,72.573
2014-12-27,76.80,76.80,76.80,76.80,000,72.573
2014-12-28,76.80,76.80,76.80,76.80,000,72.573
2014-12-29,76.48,77.07,75.636,76.25,44636500,72.054
2014-12-30,75.91,76.56,75.29,75.55,59013900,71.392
2014-12-31,75.21,76.42,75.21,75.82,19240600,71.647
2015-01-01,75.82,75.82,75.82,75.82,000,71.647
2015-01-02,76.47,76.75,75.669,76.15,54277900,71.959
2015-01-03,76.47,76.75,75.669,76.15,54277900,71.959
2015-01-04,76.47,76.75,75.669,76.15,54277900,71.959
2015-01-05,76.07,76.40,74.46,74.62,102525500,70.513
