Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,506.50,512.00,502.50,511.00,5363800,451.63
2014-02-26,510.50,512.00,500.50,502.00,3140600,443.676
2014-02-27,500.00,504.00,493.453,502.50,3392400,444.118
2014-02-28,502.50,505.00,499.30,503.50,2840200,445.001
2014-03-01,502.50,505.00,499.30,503.50,2840200,445.001
2014-03-02,502.50,505.00,499.30,503.50,2840200,445.001
2014-03-03,496.20,501.00,494.20,499.90,2820600,441.82
2014-03-04,502.00,505.75,501.00,504.00,3777200,445.443
2014-03-05,503.00,508.85,502.50,503.00,4347400,444.559
2014-03-06,503.50,505.00,496.70,496.80,3978400,439.08
2014-03-07,496.40,496.40,486.50,488.40,4985500,431.656
2014-03-08,496.40,496.40,486.50,488.40,4985500,431.656
2014-03-09,496.40,496.40,486.50,488.40,4985500,431.656
2014-03-10,487.90,488.625,479.40,481.50,4038000,425.557
2014-03-11,481.90,482.40,476.00,480.00,5332400,424.232
2014-03-12,477.60,482.90,472.00,473.60,5481300,418.575
2014-03-13,467.80,468.80,458.50,458.80,8022400,405.495
2014-03-14,455.60,464.80,455.60,461.30,4121500,407.704
2014-03-15,455.60,464.80,455.60,461.30,4121500,407.704
2014-03-16,455.60,464.80,455.60,461.30,4121500,407.704
2014-03-17,460.80,471.00,458.80,466.30,4465300,412.123
2014-03-18,461.00,472.70,458.90,467.40,5861300,413.096
2014-03-19,469.10,475.70,466.90,472.60,4074300,417.691
2014-03-20,469.90,475.80,465.30,471.20,6152800,416.454
2014-03-21,471.80,472.142,459.70,459.70,8503600,406.29
2014-03-22,471.80,472.142,459.70,459.70,8503600,406.29
2014-03-23,471.80,472.142,459.70,459.70,8503600,406.29
2014-03-24,459.00,461.90,453.30,454.00,3712400,401.252
2014-03-25,454.00,458.60,451.80,455.30,6561400,402.401
2014-03-26,455.70,461.10,455.50,459.20,3422600,405.848
2014-03-27,457.40,459.00,453.80,455.10,2459400,402.225
2014-03-28,457.20,461.40,453.10,453.70,2613700,400.987
2014-03-29,457.20,461.40,453.10,453.70,2613700,400.987
2014-03-30,457.20,461.40,453.10,453.70,2613700,400.987
2014-03-31,455.90,455.90,450.20,451.50,6326400,399.043
2014-04-01,452.00,460.90,452.00,459.80,7221300,406.379
2014-04-02,460.10,472.485,460.10,469.90,5419400,415.305
2014-04-03,469.90,475.10,469.90,471.60,5786800,416.808
2014-04-04,463.60,473.00,460.80,461.90,8489400,408.235
2014-04-05,463.60,473.00,460.80,461.90,8489400,408.235
2014-04-06,463.60,473.00,460.80,461.90,8489400,408.235
2014-04-07,458.60,460.41,359.20,452.90,4168500,400.28
2014-04-08,451.10,453.90,441.60,453.30,10664900,400.634
2014-04-09,454.60,460.083,452.90,456.00,4841100,403.02
2014-04-10,469.80,471.00,438.10,442.00,15623300,390.647
2014-04-11,437.70,440.00,431.60,435.50,6223700,384.902
2014-04-12,437.70,440.00,431.60,435.50,6223700,384.902
2014-04-13,437.70,440.00,431.60,435.50,6223700,384.902
2014-04-14,433.40,435.40,425.50,426.70,5803400,377.124
