Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,240.00,240.385,238.00,239.60,14865500,204.637
2014-02-26,239.00,240.32,234.70,235.00,9394200,200.709
2014-02-27,235.20,237.70,234.10,237.00,7846400,202.417
2014-02-28,237.00,238.10,233.10,235.30,10722100,200.965
2014-03-01,237.00,238.10,233.10,235.30,10722100,200.965
2014-03-02,237.00,238.10,233.10,235.30,10722100,200.965
2014-03-03,232.20,233.80,229.37,230.50,9498400,196.865
2014-03-04,232.90,235.10,230.80,235.00,8015700,200.709
2014-03-05,235.50,237.01,234.30,236.20,8085200,201.734
2014-03-06,237.00,237.664,235.80,236.50,6431500,201.99
2014-03-07,237.00,242.70,235.70,237.50,21377300,202.844
2014-03-08,237.00,242.70,235.70,237.50,21377300,202.844
2014-03-09,237.00,242.70,235.70,237.50,21377300,202.844
2014-03-10,237.40,237.70,233.70,233.70,12992500,199.598
2014-03-11,233.60,233.70,225.80,230.80,18897800,197.122
2014-03-12,231.50,233.80,230.20,233.00,9850500,199.001
2014-03-13,214.80,219.638,201.30,205.20,65528000,175.257
2014-03-14,204.50,214.61,198.00,208.00,28444000,177.649
2014-03-15,204.50,214.61,198.00,208.00,28444000,177.649
2014-03-16,204.50,214.61,198.00,208.00,28444000,177.649
2014-03-17,208.90,208.90,205.20,207.40,13482500,177.136
2014-03-18,205.20,210.55,204.50,209.60,13131500,179.015
2014-03-19,208.20,212.185,207.50,210.20,12996900,179.528
2014-03-20,209.10,210.00,206.50,208.30,10235600,177.905
2014-03-21,208.80,211.385,208.00,211.20,46087600,180.382
2014-03-22,208.80,211.385,208.00,211.20,46087600,180.382
2014-03-23,208.80,211.385,208.00,211.20,46087600,180.382
2014-03-24,212.40,213.80,211.10,212.20,19568800,181.236
2014-03-25,212.60,214.525,209.40,210.30,12540700,179.613
2014-03-26,210.50,214.108,209.745,211.30,7448700,180.467
2014-03-27,211.00,213.251,209.55,212.30,7114300,181.321
2014-03-28,213.60,215.47,212.50,214.90,6269100,183.542
2014-03-29,213.60,215.47,212.50,214.90,6269100,183.542
2014-03-30,213.60,215.47,212.50,214.90,6269100,183.542
2014-03-31,216.10,216.87,212.80,213.00,10072400,181.919
2014-04-01,213.60,214.50,210.20,210.80,16036900,180.04
2014-04-02,210.50,210.80,205.768,207.20,18376600,176.965
2014-04-03,207.90,209.30,206.30,207.00,7543900,176.794
2014-04-04,207.40,207.80,204.80,204.80,10595600,174.916
2014-04-05,207.40,207.80,204.80,204.80,10595600,174.916
2014-04-06,207.40,207.80,204.80,204.80,10595600,174.916
2014-04-07,203.50,207.844,203.10,204.90,7476300,175.001
2014-04-08,205.10,206.10,200.80,203.00,12186900,173.378
2014-04-09,203.60,204.40,201.20,201.90,8261900,172.439
2014-04-10,203.00,203.80,197.10,197.30,14305700,168.51
2014-04-11,197.00,201.30,196.00,201.20,14331200,171.841
2014-04-12,197.00,201.30,196.00,201.20,14331200,171.841
2014-04-13,197.00,201.30,196.00,201.20,14331200,171.841
2014-04-14,200.30,203.95,200.00,203.90,10090600,174.147
2014-04-15,204.60,204.60,199.90,200.80,8418100,171.499
2014-04-16,203.00,205.70,199.40,202.00,11522200,172.524
2014-04-17,203.10,203.10,199.40,201.40,7935900,172.012
2014-04-18,201.40,201.40,201.40,201.40,000,172.012
2014-04-19,201.40,201.40,201.40,201.40,000,172.012
2014-04-20,201.40,201.40,201.40,201.40,000,172.012
2014-04-21,201.40,201.40,201.40,201.40,000,172.012
2014-04-22,202.90,205.00,201.70,204.10,6259500,174.318
2014-04-23,201.00,202.928,195.70,196.70,19030600,167.997
2014-04-24,198.00,199.65,196.80,197.90,9880100,169.022
2014-04-25,197.50,198.506,195.40,196.40,7680500,167.741
2014-04-26,197.50,198.506,195.40,196.40,7680500,167.741
2014-04-27,197.50,198.506,195.40,196.40,7680500,167.741
2014-04-28,197.00,200.00,196.164,198.80,9099900,169.791
2014-04-29,199.80,201.70,199.275,200.80,9159600,171.499
2014-04-30,200.10,202.80,199.20,200.90,6993600,171.585
2014-05-01,201.80,203.00,197.40,197.50,6690400,168.681
2014-05-02,195.00,198.04,194.80,196.20,11149300,167.57
2014-05-03,195.00,198.04,194.80,196.20,11149300,167.57
2014-05-04,195.00,198.04,194.80,196.20,11149300,167.57
2014-05-05,196.20,196.20,196.20,196.20,000,167.57
2014-05-06,197.90,203.30,196.30,202.00,15871000,172.524
2014-05-07,196.00,196.00,188.98,190.80,19949400,170.699
2014-05-08,189.80,205.66,184.40,198.90,25449200,177.946
2014-05-09,198.40,206.483,196.20,197.60,15563900,176.783
2014-05-10,198.40,206.483,196.20,197.60,15563900,176.783
2014-05-11,198.40,206.483,196.20,197.60,15563900,176.783
2014-05-12,198.50,200.40,195.40,197.20,6610700,176.425
2014-05-13,198.20,199.70,194.90,195.80,7317200,175.172
2014-05-14,195.60,197.90,194.022,196.30,6407000,175.62
2014-05-15,197.00,210.50,196.70,205.20,17628800,183.582
2014-05-16,205.30,214.98,204.90,212.90,21612900,190.471
2014-05-17,205.30,214.98,204.90,212.90,21612900,190.471
2014-05-18,205.30,214.98,204.90,212.90,21612900,190.471
2014-05-19,213.10,215.20,209.30,214.00,9201100,191.455
2014-05-20,214.40,214.90,208.60,209.50,8862400,187.429
2014-05-21,206.50,206.90,200.70,205.00,17785500,183.403
2014-05-22,205.00,206.40,203.50,204.90,13759800,183.314
2014-05-23,205.00,205.00,201.00,202.70,9086000,181.345
2014-05-24,205.00,205.00,201.00,202.70,9086000,181.345
2014-05-25,205.00,205.00,201.00,202.70,9086000,181.345
2014-05-26,202.70,202.70,202.70,202.70,000,181.345
2014-05-27,204.40,205.00,199.10,200.00,12453000,178.93
2014-05-28,200.00,200.20,197.20,198.90,11852300,177.946
2014-05-29,199.30,202.80,198.86,202.20,8653900,180.898
2014-05-30,201.90,202.70,198.30,201.70,26312200,180.451
