Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,840.00,842.50,831.825,836.50,14352100,727.543
2014-02-26,833.00,833.50,824.00,830.00,5337600,721.889
2014-02-27,831.50,836.50,823.612,834.50,7168200,725.803
2014-02-28,834.50,838.149,830.50,834.50,6874000,725.803
2014-03-01,834.50,838.149,830.50,834.50,6874000,725.803
2014-03-02,834.50,838.149,830.50,834.50,6874000,725.803
2014-03-03,825.50,835.087,823.50,826.50,7597200,718.845
2014-03-04,832.00,838.325,829.575,837.00,5742500,727.977
2014-03-05,837.50,839.50,832.50,835.50,4658000,726.673
2014-03-06,835.00,835.50,827.50,830.50,4604600,722.324
2014-03-07,830.00,833.50,820.00,822.00,7445500,714.931
2014-03-08,830.00,833.50,820.00,822.00,7445500,714.931
2014-03-09,830.00,833.50,820.00,822.00,7445500,714.931
2014-03-10,822.00,828.50,815.974,824.50,5208800,717.106
2014-03-11,826.50,835.50,822.50,835.50,6988900,726.673
2014-03-12,833.00,836.50,828.00,833.00,6713500,724.498
2014-03-13,829.50,829.50,819.82,822.00,7515000,714.931
2014-03-14,823.50,827.50,819.50,824.50,6894300,717.106
2014-03-15,823.50,827.50,819.50,824.50,6894300,717.106
2014-03-16,823.50,827.50,819.50,824.50,6894300,717.106
2014-03-17,824.50,828.00,819.50,826.00,5490800,718.41
2014-03-18,824.00,831.00,821.00,828.50,6087700,720.585
2014-03-19,826.00,830.00,821.828,830.00,5866100,721.889
2014-03-20,823.00,825.00,815.05,818.00,8077100,711.452
2014-03-21,817.00,824.00,816.00,822.50,9953200,715.366
2014-03-22,817.00,824.00,816.00,822.50,9953200,715.366
2014-03-23,817.00,824.00,816.00,822.50,9953200,715.366
2014-03-24,823.50,823.50,812.50,814.00,5700300,707.973
2014-03-25,812.00,819.50,808.00,818.50,6036700,711.887
2014-03-26,819.50,821.50,813.50,816.50,5459600,710.148
2014-03-27,814.50,820.348,810.20,819.00,5577500,712.322
2014-03-28,822.00,830.42,817.471,830.00,5352300,721.889
2014-03-29,822.00,830.42,817.471,830.00,5352300,721.889
2014-03-30,822.00,830.42,817.471,830.00,5352300,721.889
2014-03-31,833.50,838.00,820.00,822.00,7970100,714.931
2014-04-01,825.00,828.50,820.21,828.50,8997200,720.585
2014-04-02,827.50,830.589,822.00,823.50,5114200,716.236
2014-04-03,823.00,827.00,815.50,818.00,4069500,711.452
2014-04-04,822.00,824.00,816.50,820.50,6287400,713.627
2014-04-05,822.00,824.00,816.50,820.50,6287400,713.627
2014-04-06,822.00,824.00,816.50,820.50,6287400,713.627
2014-04-07,815.00,821.00,813.735,817.00,6835500,710.582
2014-04-08,815.50,819.50,811.50,816.50,5972800,710.148
2014-04-09,815.00,819.50,812.50,816.50,6789800,710.148
2014-04-10,817.00,819.50,812.625,818.50,6206200,711.887
2014-04-11,817.00,817.00,809.00,809.50,7460300,704.059
2014-04-12,817.00,817.00,809.00,809.50,7460300,704.059
2014-04-13,817.00,817.00,809.00,809.50,7460300,704.059
2014-04-14,808.50,815.00,806.216,813.50,5413000,707.538
2014-04-15,817.50,830.50,815.10,824.00,32545500,716.671
2014-04-16,828.50,832.787,825.00,829.00,5241800,721.019
2014-04-17,827.50,830.00,823.50,824.00,5028500,716.671
2014-04-18,824.00,824.00,824.00,824.00,000,716.671
2014-04-19,824.00,824.00,824.00,824.00,000,716.671
2014-04-20,824.00,824.00,824.00,824.00,000,716.671
2014-04-21,824.00,824.00,824.00,824.00,000,716.671
2014-04-22,827.00,834.00,825.00,831.00,5874200,722.759
2014-04-23,829.00,832.325,823.00,823.00,6138500,715.801
