Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,187.60,187.80,185.55,187.00,17662800,164.308
2014-02-26,187.40,188.50,185.90,186.70,10977600,164.044
2014-02-27,186.20,186.50,183.60,186.20,7946300,163.605
2014-02-28,190.00,198.50,190.00,197.10,16669300,173.182
2014-03-01,190.00,198.50,190.00,197.10,16669300,173.182
2014-03-02,190.00,198.50,190.00,197.10,16669300,173.182
2014-03-03,193.80,195.50,191.70,194.70,14181300,171.073
2014-03-04,196.50,196.50,193.10,196.30,9899800,172.479
2014-03-05,195.70,197.00,194.80,196.60,9207700,172.743
2014-03-06,197.30,200.20,197.00,198.90,10815000,174.764
2014-03-07,199.40,200.00,196.90,196.90,10601500,173.006
2014-03-08,199.40,200.00,196.90,196.90,10601500,173.006
2014-03-09,199.40,200.00,196.90,196.90,10601500,173.006
2014-03-10,196.40,198.10,194.50,195.60,9878600,171.864
2014-03-11,195.60,195.60,191.20,193.80,12090500,170.283
2014-03-12,193.20,193.60,190.20,191.60,14394300,168.349
2014-03-13,192.60,192.80,189.80,189.80,11701500,166.768
2014-03-14,189.00,190.40,187.60,187.90,8438600,165.098
2014-03-15,189.00,190.40,187.60,187.90,8438600,165.098
2014-03-16,189.00,190.40,187.60,187.90,8438600,165.098
2014-03-17,188.50,191.50,188.363,189.90,7758900,166.856
2014-03-18,189.20,192.70,188.30,191.80,13088400,168.525
2014-03-19,191.80,195.10,191.20,192.90,11850100,169.492
2014-03-20,190.90,192.20,189.80,191.30,15766100,168.086
2014-03-21,191.60,195.20,191.40,194.20,23614800,170.634
2014-03-22,191.60,195.20,191.40,194.20,23614800,170.634
2014-03-23,191.60,195.20,191.40,194.20,23614800,170.634
2014-03-24,194.20,194.50,191.90,192.50,7490700,169.14
2014-03-25,193.50,198.20,193.50,197.80,10627800,173.797
2014-03-26,198.60,200.50,197.95,200.00,11582400,175.73
2014-03-27,199.40,201.50,199.10,201.20,10542900,176.785
2014-03-28,202.40,202.70,198.00,200.50,11635100,176.169
2014-03-29,202.40,202.70,198.00,200.50,11635100,176.169
2014-03-30,202.40,202.70,198.00,200.50,11635100,176.169
2014-03-31,201.50,202.50,200.50,201.10,21779500,176.697
2014-04-01,201.90,203.90,201.50,203.30,5842700,178.63
2014-04-02,203.50,203.746,201.50,202.60,7503100,178.015
2014-04-03,202.10,202.80,200.40,201.20,8188100,176.785
2014-04-04,201.10,206.20,201.10,205.20,9020400,180.299
2014-04-05,201.10,206.20,201.10,205.20,9020400,180.299
2014-04-06,201.10,206.20,201.10,205.20,9020400,180.299
2014-04-07,203.00,204.47,201.80,202.60,6312200,178.015
2014-04-08,202.10,203.20,198.50,199.60,10313200,175.379
2014-04-09,200.20,201.90,199.30,200.80,7974000,176.433
2014-04-10,202.00,203.275,199.30,201.60,11255000,177.136
2014-04-11,200.00,200.70,197.30,199.00,15215200,174.851
2014-04-12,200.00,200.70,197.30,199.00,15215200,174.851
2014-04-13,200.00,200.70,197.30,199.00,15215200,174.851
2014-04-14,198.00,199.10,195.50,198.90,9033200,174.764
2014-04-15,199.30,199.60,196.40,197.10,8142300,173.182
2014-04-16,198.60,199.30,196.80,197.30,7203300,173.358
2014-04-17,198.20,202.10,197.00,201.20,7639800,176.785
2014-04-18,201.20,201.20,201.20,201.20,000,176.785
2014-04-19,201.20,201.20,201.20,201.20,000,176.785
2014-04-20,201.20,201.20,201.20,201.20,000,176.785
2014-04-21,201.20,201.20,201.20,201.20,000,176.785
2014-04-22,201.60,204.50,198.90,204.00,16584100,179.245
2014-04-23,198.00,198.50,195.80,196.00,8656600,177.434
2014-04-24,197.00,197.80,194.10,195.50,10760700,176.982
2014-04-25,195.50,196.00,193.90,194.60,9333400,176.167
2014-04-26,195.50,196.00,193.90,194.60,9333400,176.167
2014-04-27,195.50,196.00,193.90,194.60,9333400,176.167
2014-04-28,195.10,201.34,193.90,195.20,5188000,176.71
2014-04-29,194.90,202.001,194.90,197.90,13047400,179.154
2014-04-30,197.10,203.668,197.10,199.70,11348700,180.784
2014-05-01,200.10,201.00,198.90,200.50,2719300,181.508
2014-05-02,200.60,203.60,200.20,202.60,12270600,183.409
2014-05-03,200.60,203.60,200.20,202.60,12270600,183.409
2014-05-04,200.60,203.60,200.20,202.60,12270600,183.409
2014-05-05,202.60,202.60,202.60,202.60,000,183.409
2014-05-06,204.20,204.60,202.40,203.80,7621500,184.495
2014-05-07,203.50,204.50,202.40,203.10,5688100,183.862
2014-05-08,203.70,211.521,203.70,208.00,9858400,188.298
2014-05-09,206.10,207.15,204.70,205.80,7356700,186.306
2014-05-10,206.10,207.15,204.70,205.80,7356700,186.306
2014-05-11,206.10,207.15,204.70,205.80,7356700,186.306
2014-05-12,206.10,207.20,204.50,207.00,6465100,187.392
2014-05-13,208.20,209.10,207.40,208.20,5456200,188.479
2014-05-14,208.20,211.20,208.20,209.40,6792600,189.565
2014-05-15,208.90,208.90,198.70,199.10,16121700,180.241
2014-05-16,199.10,206.20,197.80,200.00,8396700,181.055
2014-05-17,199.10,206.20,197.80,200.00,8396700,181.055
2014-05-18,199.10,206.20,197.80,200.00,8396700,181.055
2014-05-19,201.00,201.90,199.50,200.70,4848100,181.689
2014-05-20,201.50,201.50,198.40,198.60,8396500,179.788
2014-05-21,198.80,201.10,198.30,200.90,5267900,181.87
2014-05-22,200.60,201.80,199.20,201.20,5565100,182.142
2014-05-23,202.00,202.50,200.70,202.10,3571900,182.956
2014-05-24,202.00,202.50,200.70,202.10,3571900,182.956
2014-05-25,202.00,202.50,200.70,202.10,3571900,182.956
2014-05-26,202.10,202.10,202.10,202.10,000,182.956
2014-05-27,203.60,203.90,202.50,203.00,6574300,183.771
2014-05-28,202.40,203.90,202.00,203.70,6073500,184.405
2014-05-29,203.10,204.90,203.10,203.90,2629300,184.586
2014-05-30,203.00,204.40,201.99,202.00,9535500,182.866
2014-05-31,203.00,204.40,201.99,202.00,9535500,182.866
2014-06-01,203.00,204.40,201.99,202.00,9535500,182.866
2014-06-02,202.60,202.80,200.10,201.60,8339600,182.504
2014-06-03,201.30,201.60,198.60,198.80,6066800,179.969
2014-06-04,199.00,200.30,198.438,199.20,5502600,180.331
2014-06-05,199.20,203.30,198.70,202.10,7719300,182.956
2014-06-06,202.30,205.80,202.30,205.20,5375200,185.763
2014-06-07,202.30,205.80,202.30,205.20,5375200,185.763
2014-06-08,202.30,205.80,202.30,205.20,5375200,185.763
2014-06-09,206.00,206.00,203.70,204.50,4099100,185.129
2014-06-10,204.60,204.60,200.90,202.10,8638800,182.956
2014-06-11,201.80,202.10,199.964,200.10,6769700,181.146
2014-06-12,200.60,201.00,199.20,199.80,4898400,180.874
2014-06-13,199.40,199.40,194.70,196.00,7153300,177.434
2014-06-14,199.40,199.40,194.70,196.00,7153300,177.434
2014-06-15,199.40,199.40,194.70,196.00,7153300,177.434
2014-06-16,196.10,196.60,193.20,193.40,7594800,175.08
2014-06-17,193.60,196.20,193.40,195.50,10855200,176.982
2014-06-18,195.90,197.70,195.40,196.40,6097400,177.796
2014-06-19,198.10,198.50,196.80,196.80,7041200,178.158
2014-06-20,195.80,196.90,195.50,195.50,6851900,176.982
2014-06-21,195.80,196.90,195.50,195.50,6851900,176.982
2014-06-22,195.80,196.90,195.50,195.50,6851900,176.982
2014-06-23,195.20,196.50,193.60,194.90,4094300,176.438
2014-06-24,195.80,195.90,193.50,194.90,6168700,176.438
