Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,2377.50,2384.50,2347.00,2357.50,11859900,1939.08
2014-02-26,2353.50,2370.00,2343.00,2346.00,4076300,1929.62
2014-02-27,2346.00,2353.50,2323.77,2336.50,4346900,1921.80
2014-02-28,2334.00,2347.00,2325.50,2327.00,7142800,1913.99
2014-03-01,2334.00,2347.00,2325.50,2327.00,7142800,1913.99
2014-03-02,2334.00,2347.00,2325.50,2327.00,7142800,1913.99
2014-03-03,2300.00,2325.65,2291.50,2306.00,5061200,1896.72
2014-03-04,2320.00,2348.50,2317.45,2345.00,3552200,1928.79
2014-03-05,2346.00,2354.00,2333.56,2337.50,3518900,1922.63
2014-03-06,2338.00,2357.50,2320.50,2325.50,4881500,1912.76
2014-03-07,2321.00,2336.00,2311.50,2321.50,4135700,1909.46
2014-03-08,2321.00,2336.00,2311.50,2321.50,4135700,1909.46
2014-03-09,2321.00,2336.00,2311.50,2321.50,4135700,1909.46
2014-03-10,2310.00,2350.50,2306.88,2342.50,4640300,1926.74
2014-03-11,2343.00,2352.50,2329.44,2345.50,4238200,1929.21
2014-03-12,2333.50,2337.25,2318.00,2324.00,3551900,1911.52
2014-03-13,2324.00,2331.73,2296.50,2300.00,4536400,1891.78
2014-03-14,2287.50,2305.50,2279.00,2292.00,3994300,1885.20
2014-03-15,2287.50,2305.50,2279.00,2292.00,3994300,1885.20
2014-03-16,2287.50,2305.50,2279.00,2292.00,3994300,1885.20
2014-03-17,2291.50,2319.50,2280.00,2286.00,9508400,1880.27
2014-03-18,2285.50,2319.50,2276.50,2302.50,4881500,1893.84
2014-03-19,2298.50,2310.00,2288.00,2301.50,2696200,1893.01
2014-03-20,2286.00,2295.00,2264.00,2288.00,4162400,1881.91
2014-03-21,2286.00,2310.00,2269.27,2298.50,7142800,1890.55
2014-03-22,2286.00,2310.00,2269.27,2298.50,7142800,1890.55
2014-03-23,2286.00,2310.00,2269.27,2298.50,7142800,1890.55
2014-03-24,2304.00,2310.50,2278.50,2287.50,3848700,1881.50
2014-03-25,2288.00,2314.50,2284.50,2306.50,2767500,1897.13
2014-03-26,2310.00,2329.00,2305.00,2308.50,3167300,1898.77
2014-03-27,2302.00,2318.50,2302.00,2318.00,3081200,1906.59
2014-03-28,2317.50,2353.64,2310.00,2339.50,3640800,1924.27
2014-03-29,2317.50,2353.64,2310.00,2339.50,3640800,1924.27
2014-03-30,2317.50,2353.64,2310.00,2339.50,3640800,1924.27
2014-03-31,2345.00,2362.50,2335.00,2340.50,5775200,1925.09
2014-04-01,2340.00,2356.19,2335.60,2349.00,2976300,1932.08
2014-04-02,2341.50,2348.00,2326.50,2328.50,3283700,1915.22
2014-04-03,2330.00,2343.06,2327.00,2342.50,3047000,1926.74
2014-04-04,2344.00,2364.18,2344.00,2359.50,2906800,1940.72
2014-04-05,2344.00,2364.18,2344.00,2359.50,2906800,1940.72
2014-04-06,2344.00,2364.18,2344.00,2359.50,2906800,1940.72
2014-04-07,2344.00,2362.29,2336.50,2352.00,2744800,1934.55
2014-04-08,2345.00,2349.00,2337.00,2348.50,4046200,1931.67
2014-04-09,2346.00,2362.66,2343.69,2356.50,2498500,1938.25
2014-04-10,2356.00,2369.84,2346.50,2361.00,2516800,1941.95
2014-04-11,2346.00,2357.50,2342.50,2350.50,3261300,1933.32
2014-04-12,2346.00,2357.50,2342.50,2350.50,3261300,1933.32
2014-04-13,2346.00,2357.50,2342.50,2350.50,3261300,1933.32
2014-04-14,2337.00,2373.50,2330.23,2373.50,5394400,1952.24
2014-04-15,2375.50,2393.85,2370.84,2390.00,3328800,1965.81
2014-04-16,2395.00,2406.50,2377.00,2384.50,3204400,1961.28
2014-04-17,2384.00,2990.50,2365.32,2393.00,3047700,1968.27
2014-04-18,2393.00,2393.00,2393.00,2393.00,000,1968.27
2014-04-19,2393.00,2393.00,2393.00,2393.00,000,1968.27
2014-04-20,2393.00,2393.00,2393.00,2393.00,000,1968.27
2014-04-21,2393.00,2393.00,2393.00,2393.00,000,1968.27
2014-04-22,2390.00,2402.81,2372.85,2389.00,4423900,1964.98
2014-04-23,2385.50,2401.06,2385.50,2400.00,2112900,1974.03
2014-04-24,2405.50,2416.09,2395.00,2408.50,2460000,1981.02
2014-04-25,2405.00,2412.44,2389.50,2401.50,2590500,1975.27
2014-04-26,2405.00,2412.44,2389.50,2401.50,2590500,1975.27
2014-04-27,2405.00,2412.44,2389.50,2401.50,2590500,1975.27
2014-04-28,2392.50,2413.00,2387.00,2409.00,2503700,1981.43
2014-04-29,2405.00,2431.00,2403.50,2431.00,3500500,1999.53
2014-04-30,2500.00,2555.50,2490.00,2520.00,7769300,2072.73
2014-05-01,2505.00,2540.94,2502.50,2504.50,3067000,2059.98
