Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,3468.00,3486.95,3394.50,3439.00,10156700,2898.635
2014-02-26,3422.50,3450.00,3397.00,3407.50,4529900,2872.084
2014-02-27,3400.00,3466.50,3367.00,3459.00,4186700,2915.492
2014-02-28,3453.00,3516.58,3399.00,3432.50,4534000,2893.156
2014-03-01,3453.00,3516.58,3399.00,3432.50,4534000,2893.156
2014-03-02,3453.00,3516.58,3399.00,3432.50,4534000,2893.156
2014-03-03,3349.00,3369.50,3316.50,3350.50,4693000,2824.041
2014-03-04,3399.00,3405.00,3338.00,3381.50,3720000,2850.17
2014-03-05,3315.50,3330.50,3263.50,3269.00,9468200,2810.043
2014-03-06,3293.50,3356.80,3270.50,3310.50,3594900,2845.717
2014-03-07,3290.00,3309.46,3174.50,3200.00,6407600,2750.731
2014-03-08,3290.00,3309.46,3174.50,3200.00,6407600,2750.731
2014-03-09,3290.00,3309.46,3174.50,3200.00,6407600,2750.731
2014-03-10,3132.00,3202.50,3104.00,3139.50,8310500,2698.725
2014-03-11,3177.00,3203.00,3130.50,3155.00,5331900,2712.049
2014-03-12,3132.00,3194.79,3108.50,3173.50,6283100,2727.951
2014-03-13,3220.00,3241.50,3160.00,3162.00,5264200,2718.066
2014-03-14,3107.00,3158.00,3102.30,3140.50,4839000,2699.584
2014-03-15,3107.00,3158.00,3102.30,3140.50,4839000,2699.584
2014-03-16,3107.00,3158.00,3102.30,3140.50,4839000,2699.584
2014-03-17,3148.50,3213.00,3143.00,3179.50,3784400,2733.109
2014-03-18,3183.50,3219.00,3151.00,3190.00,2837100,2742.135
2014-03-19,3178.00,3200.00,3132.50,3144.50,3752800,2703.023
2014-03-20,3132.50,3164.50,3105.00,3157.00,4587900,2713.768
2014-03-21,3174.50,3223.50,3169.00,3207.00,6696400,2756.748
2014-03-22,3174.50,3223.50,3169.00,3207.00,6696400,2756.748
2014-03-23,3174.50,3223.50,3169.00,3207.00,6696400,2756.748
2014-03-24,3236.50,3249.20,3179.00,3189.00,4151800,2741.275
2014-03-25,3248.50,3300.00,3230.50,3283.00,4654700,2822.078
2014-03-26,3308.50,3347.50,3298.00,3304.00,6118600,2840.129
2014-03-27,3297.00,3300.00,3238.50,3275.00,3870100,2815.201
2014-03-28,3300.00,3349.50,3249.00,3279.50,3546500,2819.069
2014-03-29,3300.00,3349.50,3249.00,3279.50,3546500,2819.069
2014-03-30,3300.00,3349.50,3249.00,3279.50,3546500,2819.069
2014-03-31,3309.50,3362.50,3304.50,3337.50,5135800,2868.926
2014-04-01,3363.50,3400.00,3337.50,3375.00,3700800,2901.161
2014-04-02,3375.00,3392.50,3359.50,3377.00,4774800,2902.88
2014-04-03,3355.00,3380.00,3297.50,3316.00,4218200,2850.445
2014-04-04,3333.50,3409.32,3330.00,3380.50,3751000,2905.889
2014-04-05,3333.50,3409.32,3330.00,3380.50,3751000,2905.889
2014-04-06,3333.50,3409.32,3330.00,3380.50,3751000,2905.889
2014-04-07,3362.00,3397.00,3321.00,3343.50,2981900,2874.084
2014-04-08,3380.00,3435.00,3343.00,3426.50,5293500,2945.431
2014-04-09,3430.00,3451.00,3381.00,3393.00,4176800,2916.634
2014-04-10,3402.50,3431.50,3359.00,3382.50,3720200,2907.608
2014-04-11,3349.50,3370.00,3299.50,3330.50,4095500,2862.909
2014-04-12,3349.50,3370.00,3299.50,3330.50,4095500,2862.909
2014-04-13,3349.50,3370.00,3299.50,3330.50,4095500,2862.909
2014-04-14,3320.00,3409.50,3311.50,3408.00,4303100,2929.528
2014-04-15,3364.00,3385.00,3291.00,3302.50,4612200,2838.84
2014-04-16,3325.50,3349.00,3279.00,3305.50,3439200,2841.419
2014-04-17,3303.00,3315.74,3247.50,3288.50,3099200,2826.806
2014-04-18,3288.50,3288.50,3288.50,3288.50,000,2826.806
2014-04-19,3288.50,3288.50,3288.50,3288.50,000,2826.806
2014-04-20,3288.50,3288.50,3288.50,3288.50,000,2826.806
2014-04-21,3288.50,3288.50,3288.50,3288.50,000,2826.806
2014-04-22,3257.00,3286.50,3236.00,3257.00,4647000,2799.728
2014-04-23,3261.50,3279.00,3243.00,3249.00,2553800,2792.851
2014-04-24,3268.50,3303.00,3249.58,3278.50,3852600,2818.21
2014-04-25,3282.50,3303.50,3256.50,3278.50,2386800,2818.21
2014-04-26,3282.50,3303.50,3256.50,3278.50,2386800,2818.21
2014-04-27,3282.50,3303.50,3256.50,3278.50,2386800,2818.21
2014-04-28,3247.00,3252.00,3175.50,3185.50,4828500,2738.266
2014-04-29,3194.50,3220.32,3154.00,3220.00,4089100,2767.923
2014-04-30,3199.50,3242.00,3187.00,3224.50,3824400,2771.791
2014-05-01,3150.00,3217.00,3150.00,3200.00,1904100,2750.731
2014-05-02,3205.00,3248.00,3184.00,3247.00,3041200,2791.132
2014-05-03,3205.00,3248.00,3184.00,3247.00,3041200,2791.132
2014-05-04,3205.00,3248.00,3184.00,3247.00,3041200,2791.132
2014-05-05,3247.00,3247.00,3247.00,3247.00,000,2791.132
2014-05-06,3237.50,3241.00,3187.50,3215.00,3147400,2763.625
2014-05-07,3183.00,3250.00,3173.50,3247.00,3301900,2791.132
2014-05-08,3250.00,3258.00,3202.00,3205.00,4441000,2755.029
2014-05-09,3220.00,3255.50,3188.50,3188.50,4710200,2740.845
2014-05-10,3220.00,3255.50,3188.50,3188.50,4710200,2740.845
2014-05-11,3220.00,3255.50,3188.50,3188.50,4710200,2740.845
2014-05-12,3247.00,3364.00,3246.50,3340.00,6671500,2871.075
2014-05-13,3348.00,3372.50,3308.00,3330.50,4158200,2862.909
2014-05-14,3332.50,3390.00,3313.00,3374.00,4090700,2900.302
2014-05-15,3360.00,3410.50,3336.49,3369.00,4182900,2896.004
2014-05-16,3324.50,3345.00,3260.50,3286.50,5391400,2825.086
2014-05-17,3324.50,3345.00,3260.50,3286.50,5391400,2825.086
2014-05-18,3324.50,3345.00,3260.50,3286.50,5391400,2825.086
2014-05-19,3211.00,3246.00,3208.00,3225.00,4506300,2772.221
2014-05-20,3219.00,3242.00,3186.50,3203.00,4801600,2753.31
2014-05-21,3171.00,3203.50,3154.50,3189.50,4152400,2741.705
2014-05-22,3226.50,3256.00,3164.94,3230.00,3506600,2776.519
2014-05-23,3230.00,3263.00,3192.50,3257.50,2472900,2800.158
2014-05-24,3230.00,3263.00,3192.50,3257.50,2472900,2800.158
2014-05-25,3230.00,3263.00,3192.50,3257.50,2472900,2800.158
2014-05-26,3257.50,3257.50,3257.50,3257.50,000,2800.158
2014-05-27,3283.50,3285.00,3230.00,3236.00,4563800,2781.676
2014-05-28,3235.00,3235.00,3167.00,3177.50,4683900,2731.39
2014-05-29,3170.00,3188.50,3159.77,3188.50,2158400,2740.845
2014-05-30,3152.50,3157.00,3047.50,3057.00,9470800,2627.807
2014-05-31,3152.50,3157.00,3047.50,3057.00,9470800,2627.807
2014-06-01,3152.50,3157.00,3047.50,3057.00,9470800,2627.807
2014-06-02,3100.50,3130.00,3093.92,3120.00,3235400,2681.962
2014-06-03,3109.00,3141.50,3082.50,3119.00,3585100,2681.103
2014-06-04,3115.00,3161.50,3100.00,3129.00,5055900,2689.699
2014-06-05,3130.00,3158.00,3110.00,3144.00,3279000,2702.593
