Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,993.50,995.324,976.50,979.00,9862300,914.733
2014-02-26,983.00,986.00,952.00,961.50,10970200,898.382
2014-02-27,965.50,997.80,962.50,992.50,11100400,927.347
2014-02-28,987.50,1006.00,987.50,999.00,7565100,933.42
2014-03-01,987.50,1006.00,987.50,999.00,7565100,933.42
2014-03-02,987.50,1006.00,987.50,999.00,7565100,933.42
2014-03-03,988.00,1004.00,980.00,1000.00,7908800,934.355
2014-03-04,1011.00,1041.00,1006.57,1038.00,7581200,969.86
2014-03-05,1039.00,1047.00,1021.00,1025.00,8381500,957.714
2014-03-06,1025.00,1043.00,1000.00,1039.00,8039400,970.795
2014-03-07,1044.00,1049.00,1021.00,1026.00,8214700,958.648
2014-03-08,1044.00,1049.00,1021.00,1026.00,8214700,958.648
2014-03-09,1044.00,1049.00,1021.00,1026.00,8214700,958.648
2014-03-10,1050.00,1064.00,1034.00,1043.00,9426400,974.532
2014-03-11,1044.00,1068.00,1044.00,1052.00,5820300,982.941
2014-03-12,1047.00,1050.00,1021.00,1034.00,5993700,966.123
2014-03-13,1036.00,1038.00,1010.00,1010.00,4366400,943.698
2014-03-14,1004.00,1037.00,1000.00,1033.00,6108300,965.188
2014-03-15,1004.00,1037.00,1000.00,1033.00,6108300,965.188
2014-03-16,1004.00,1037.00,1000.00,1033.00,6108300,965.188
2014-03-17,1035.00,1050.36,1032.96,1047.00,3638000,978.269
2014-03-18,1045.00,1064.00,1040.00,1060.00,4044200,990.416
2014-03-19,1090.00,1092.00,1061.00,1073.00,7182300,1002.563
2014-03-20,1062.00,1080.00,1062.00,1077.00,3672900,1006.30
2014-03-21,1079.00,1086.00,1070.00,1080.00,12892600,1009.103
2014-03-22,1079.00,1086.00,1070.00,1080.00,12892600,1009.103
2014-03-23,1079.00,1086.00,1070.00,1080.00,12892600,1009.103
2014-03-24,1086.00,1089.00,1070.00,1081.00,3765000,1010.037
2014-03-25,1083.00,1099.50,1080.61,1099.00,4352200,1026.856
2014-03-26,1098.00,1103.67,1075.00,1077.00,7377900,1006.30
2014-03-27,1078.00,1087.00,1073.25,1078.00,4721800,1007.234
2014-03-28,1082.00,1093.00,1074.00,1077.00,3917500,1006.30
2014-03-29,1082.00,1093.00,1074.00,1077.00,3917500,1006.30
2014-03-30,1082.00,1093.00,1074.00,1077.00,3917500,1006.30
2014-03-31,1077.00,1088.00,1073.00,1074.00,4565200,1003.497
2014-04-01,1084.00,1103.00,1078.00,1098.00,4816100,1025.921
2014-04-02,1105.00,1108.00,1093.00,1093.00,3742100,1021.25
2014-04-03,1094.00,1103.00,1091.00,1093.00,2076600,1021.25
2014-04-04,1095.00,1099.17,1079.00,1083.00,6460600,1011.906
2014-04-05,1095.00,1099.17,1079.00,1083.00,6460600,1011.906
