Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,349.10,350.155,345.20,350.10,8641600,301.717
2014-02-26,350.30,353.20,341.10,345.50,9327000,297.752
2014-02-27,346.00,349.14,342.667,347.70,6415200,299.648
2014-02-28,348.50,350.30,341.80,342.60,9048500,295.253
2014-03-01,348.50,350.30,341.80,342.60,9048500,295.253
2014-03-02,348.50,350.30,341.80,342.60,9048500,295.253
2014-03-03,338.90,341.756,335.70,337.20,10374400,290.599
2014-03-04,338.50,345.10,337.225,344.60,5549300,296.977
2014-03-05,345.10,346.50,341.40,345.90,4811800,298.097
2014-03-06,347.20,347.70,344.30,344.30,4292200,296.718
2014-03-07,344.20,344.965,339.00,339.00,9364400,292.151
2014-03-08,344.20,344.965,339.00,339.00,9364400,292.151
2014-03-09,344.20,344.965,339.00,339.00,9364400,292.151
2014-03-10,339.30,342.40,337.30,337.60,6684200,290.944
2014-03-11,337.40,338.51,332.60,333.80,13698300,287.669
2014-03-12,333.60,336.70,329.60,333.20,7339500,287.152
2014-03-13,318.00,319.60,304.60,304.90,54392600,262.763
2014-03-14,303.30,314.91,301.70,313.60,23121000,270.261
2014-03-15,303.30,314.91,301.70,313.60,23121000,270.261
2014-03-16,303.30,314.91,301.70,313.60,23121000,270.261
2014-03-17,314.00,314.00,307.50,311.40,12637300,268.365
2014-03-18,306.00,321.40,305.80,313.90,18461700,270.519
2014-03-19,312.40,314.60,308.90,310.50,13384900,267.589
2014-03-20,308.20,308.90,305.20,306.90,10790700,264.487
2014-03-21,306.70,310.30,303.51,309.50,24411200,266.727
2014-03-22,306.70,310.30,303.51,309.50,24411200,266.727
2014-03-23,306.70,310.30,303.51,309.50,24411200,266.727
2014-03-24,311.70,313.40,307.80,310.40,11676400,267.503
2014-03-25,313.90,314.00,306.90,310.30,11714200,267.417
2014-03-26,310.30,315.20,309.50,312.90,8275800,269.658
2014-03-27,312.80,315.20,309.70,313.50,7204500,270.175
2014-03-28,314.30,317.90,313.80,317.10,7504300,273.277
2014-03-29,314.30,317.90,313.80,317.10,7504300,273.277
2014-03-30,314.30,317.90,313.80,317.10,7504300,273.277
2014-03-31,318.40,318.40,315.50,316.10,6933200,272.415
2014-04-01,316.20,316.30,308.70,309.50,9658400,266.727
2014-04-02,311.30,313.727,307.41,313.00,7141500,269.744
2014-04-03,315.00,315.10,308.70,309.10,7594300,266.383
2014-04-04,310.10,312.30,308.875,311.00,9515300,268.02
2014-04-05,310.10,312.30,308.875,311.00,9515300,268.02
2014-04-06,310.10,312.30,308.875,311.00,9515300,268.02
2014-04-07,309.80,312.00,308.872,310.00,6989100,267.158
2014-04-08,309.90,311.80,301.50,308.50,15704600,265.866
2014-04-09,309.20,312.90,308.70,312.00,8036600,268.882
2014-04-10,313.50,313.60,307.00,309.60,7156500,266.814
2014-04-11,308.40,312.30,307.20,309.60,4234500,266.814
2014-04-12,308.40,312.30,307.20,309.60,4234500,266.814
2014-04-13,308.40,312.30,307.20,309.60,4234500,266.814
2014-04-14,309.20,326.50,308.00,326.50,11893200,281.378
2014-04-15,326.50,328.20,318.60,319.40,11721000,275.259
2014-04-16,324.10,324.40,316.80,320.60,9063000,276.293
2014-04-17,322.30,322.30,311.10,314.00,7775300,270.606
2014-04-18,314.00,314.00,314.00,314.00,000,270.606
2014-04-19,314.00,314.00,314.00,314.00,000,270.606
2014-04-20,314.00,314.00,314.00,314.00,000,270.606
2014-04-21,314.00,314.00,314.00,314.00,000,270.606
2014-04-22,316.70,321.50,315.815,320.50,5072900,276.207
2014-04-23,320.10,321.00,316.90,319.80,5837600,275.604
2014-04-24,321.90,325.30,320.85,323.70,6770900,278.965
2014-04-25,323.80,325.195,320.00,322.10,4461400,277.586
2014-04-26,323.80,325.195,320.00,322.10,4461400,277.586
2014-04-27,323.80,325.195,320.00,322.10,4461400,277.586
2014-04-28,323.50,334.00,321.30,330.50,8461600,284.825
2014-04-29,330.50,334.00,329.562,333.20,6654700,287.152
2014-04-30,331.50,335.70,328.70,335.70,7859200,289.307
2014-05-01,332.00,332.10,320.60,325.10,9534400,280.172
2014-05-02,324.20,327.30,320.11,321.30,8850200,276.897
2014-05-03,324.20,327.30,320.11,321.30,8850200,276.897
2014-05-04,324.20,327.30,320.11,321.30,8850200,276.897
2014-05-05,321.30,321.30,321.30,321.30,000,276.897
2014-05-06,323.10,334.50,320.73,333.40,10602600,287.324
2014-05-07,340.00,345.00,322.10,323.90,17905400,279.137
2014-05-08,325.50,332.20,320.30,331.20,11784800,285.429
2014-05-09,332.30,336.70,329.97,335.80,6331700,289.393
2014-05-10,332.30,336.70,329.97,335.80,6331700,289.393
2014-05-11,332.30,336.70,329.97,335.80,6331700,289.393
2014-05-12,337.00,337.40,332.40,336.00,5645000,289.565
2014-05-13,337.90,341.34,336.20,339.00,10428600,292.151
2014-05-14,327.80,328.847,323.80,327.70,7831700,293.045
2014-05-15,328.90,333.50,326.435,332.80,7592800,297.605
2014-05-16,331.40,348.50,329.50,347.70,18070000,310.93
2014-05-17,331.40,348.50,329.50,347.70,18070000,310.93
2014-05-18,331.40,348.50,329.50,347.70,18070000,310.93
2014-05-19,349.00,349.00,337.40,345.00,8262300,308.515
2014-05-20,345.50,345.50,337.00,339.50,8577700,303.597
2014-05-21,339.70,339.90,334.70,337.70,7010200,301.987
2014-05-22,339.00,343.40,337.10,342.50,7717500,306.28
2014-05-23,343.60,346.30,339.90,343.70,5548200,307.353
2014-05-24,343.60,346.30,339.90,343.70,5548200,307.353
2014-05-25,343.60,346.30,339.90,343.70,5548200,307.353
2014-05-26,343.70,343.70,343.70,343.70,000,307.353
2014-05-27,345.90,345.90,338.50,339.00,5958100,303.15
2014-05-28,339.40,339.40,331.00,335.50,12278900,300.02
2014-05-29,335.70,341.80,334.08,340.60,3922300,304.581
2014-05-30,341.60,348.60,337.00,346.10,10557100,309.499
2014-05-31,341.60,348.60,337.00,346.10,10557100,309.499
2014-06-01,341.60,348.60,337.00,346.10,10557100,309.499
2014-06-02,346.70,346.70,336.50,339.10,6131700,303.239
2014-06-03,338.90,339.40,331.60,333.80,6649800,298.50
2014-06-04,336.30,336.90,325.30,327.60,11291500,292.955
2014-06-05,327.40,328.60,324.164,327.50,6616300,292.866
2014-06-06,328.80,329.50,324.40,326.10,7139100,291.614
2014-06-07,328.80,329.50,324.40,326.10,7139100,291.614
2014-06-08,328.80,329.50,324.40,326.10,7139100,291.614
2014-06-09,327.20,329.60,323.90,328.60,4056200,293.85
2014-06-10,328.40,330.10,324.70,329.80,6015300,294.923
2014-06-11,330.10,344.90,329.30,333.00,13372500,297.784
2014-06-12,333.00,333.10,325.30,325.70,6475700,291.256
2014-06-13,325.80,327.00,320.30,322.80,6800800,288.663
2014-06-14,325.80,327.00,320.30,322.80,6800800,288.663
2014-06-15,325.80,327.00,320.30,322.80,6800800,288.663
2014-06-16,322.80,323.50,316.70,317.70,14524700,284.102
2014-06-17,318.60,323.10,318.10,321.90,6653200,287.858
2014-06-18,323.40,326.00,316.98,317.10,5284600,283.566
2014-06-19,319.30,331.84,318.07,321.30,7167400,287.322
2014-06-20,321.00,321.90,316.30,316.80,8310100,283.297
2014-06-21,321.00,321.90,316.30,316.80,8310100,283.297
2014-06-22,321.00,321.90,316.30,316.80,8310100,283.297
2014-06-23,318.30,318.40,313.072,315.30,4818900,281.956
2014-06-24,316.30,319.80,314.30,315.90,4664900,282.493
2014-06-25,315.50,317.20,311.60,312.70,5412800,279.631
2014-06-26,314.50,314.84,310.70,313.50,4481500,280.346
2014-06-27,314.60,317.40,314.09,316.70,4975300,283.208
2014-06-28,314.60,317.40,314.09,316.70,4975300,283.208
2014-06-29,314.60,317.40,314.09,316.70,4975300,283.208
2014-06-30,317.30,319.00,314.90,315.50,5223500,282.135
2014-07-01,316.30,316.90,311.40,314.10,5728200,280.883
2014-07-02,315.10,316.30,313.00,314.30,4635000,281.062
2014-07-03,315.20,321.70,313.81,321.00,10075000,287.053
2014-07-04,322.00,322.40,319.50,321.60,3155300,287.59
2014-07-05,322.00,322.40,319.50,321.60,3155300,287.59
2014-07-06,322.00,322.40,319.50,321.60,3155300,287.59
2014-07-07,320.90,322.60,316.50,317.10,3548300,283.566
2014-07-08,318.40,320.00,307.40,309.00,9622400,276.322
2014-07-09,309.70,311.142,307.00,309.20,5841000,276.501
2014-07-10,309.30,321.50,308.60,314.90,17881800,281.598
2014-07-11,315.80,319.50,311.90,315.10,8071600,281.777
2014-07-12,315.80,319.50,311.90,315.10,8071600,281.777
2014-07-13,315.80,319.50,311.90,315.10,8071600,281.777
2014-07-14,315.90,320.727,315.444,320.00,5434700,286.159
2014-07-15,319.40,321.50,317.60,319.50,4424300,285.712
2014-07-16,320.60,327.70,320.60,325.60,6272500,291.167
2014-07-17,325.30,327.80,323.10,325.70,5021900,291.256
2014-07-18,325.20,326.73,322.60,324.70,6090800,290.362
2014-07-19,325.20,326.73,322.60,324.70,6090800,290.362
2014-07-20,325.20,326.73,322.60,324.70,6090800,290.362
2014-07-21,320.00,323.40,317.64,318.30,7299600,284.639
2014-07-22,320.90,321.30,313.40,313.80,6454200,280.615
2014-07-23,314.40,316.50,311.30,313.00,6854400,279.899
2014-07-24,313.00,318.60,310.70,317.00,9339400,283.476
2014-07-25,319.00,332.40,318.80,320.20,13667300,286.338
2014-07-26,319.00,332.40,318.80,320.20,13667300,286.338
2014-07-27,319.00,332.40,318.80,320.20,13667300,286.338
2014-07-28,321.90,323.16,318.10,319.80,4395900,285.98
2014-07-29,320.40,324.486,319.789,323.30,4329500,289.11
2014-07-30,322.10,322.329,311.20,313.80,7524200,280.615
2014-07-31,314.90,315.175,311.50,312.90,12155800,279.81
2014-08-01,313.40,315.00,310.30,310.90,6020400,278.021
2014-08-02,313.40,315.00,310.30,310.90,6020400,278.021
2014-08-03,313.40,315.00,310.30,310.90,6020400,278.021
2014-08-04,312.00,312.837,306.80,307.80,5701000,275.249
2014-08-05,309.10,310.90,306.90,307.30,4883700,274.802
2014-08-06,306.50,307.637,298.176,303.50,9902500,271.404
2014-08-07,302.90,304.50,297.70,298.90,7981900,267.29
2014-08-08,296.10,302.909,291.88,302.40,10492600,270.42
2014-08-09,296.10,302.909,291.88,302.40,10492600,270.42
2014-08-10,296.10,302.909,291.88,302.40,10492600,270.42
2014-08-11,303.50,303.97,302.10,302.90,4698400,270.867
2014-08-12,303.00,303.80,300.40,301.00,3855600,269.168
2014-08-13,302.90,304.024,301.83,303.30,3573800,271.225
2014-08-14,303.60,308.20,300.338,308.20,5611300,275.607
2014-08-15,309.00,312.70,308.30,311.70,7196900,278.737
2014-08-16,309.00,312.70,308.30,311.70,7196900,278.737
2014-08-17,309.00,312.70,308.30,311.70,7196900,278.737
2014-08-18,313.60,314.30,309.90,312.40,3802500,279.363
2014-08-19,314.60,314.645,308.80,311.90,3925900,278.916
2014-08-20,312.40,312.40,305.40,306.90,4905200,274.444
2014-08-21,307.60,310.008,305.90,307.10,4118000,274.623
2014-08-22,307.00,309.00,304.70,306.50,3937700,274.087
2014-08-23,307.00,309.00,304.70,306.50,3937700,274.087
2014-08-24,307.00,309.00,304.70,306.50,3937700,274.087
2014-08-25,306.50,306.50,306.50,306.50,000,274.087
2014-08-26,309.10,312.50,306.10,312.30,5933000,279.273
2014-08-27,313.00,313.70,303.30,304.20,8923300,272.03
2014-08-28,304.20,305.295,300.81,303.50,6817300,271.404
2014-08-29,290.00,297.00,284.60,290.30,28981800,259.60
2014-08-30,290.00,297.00,284.60,290.30,28981800,259.60
2014-08-31,290.00,297.00,284.60,290.30,28981800,259.60
2014-09-01,290.70,290.90,285.30,289.50,9105400,258.885
2014-09-02,290.80,295.142,289.68,294.70,6967000,263.535
2014-09-03,299.90,299.90,294.50,296.80,6996500,265.413
2014-09-04,296.20,297.224,293.00,295.20,6068000,263.982
2014-09-05,297.10,297.10,290.80,292.00,6271400,261.12
2014-09-06,297.10,297.10,290.80,292.00,6271400,261.12
2014-09-07,297.10,297.10,290.80,292.00,6271400,261.12
2014-09-08,292.50,292.50,287.80,291.60,5199400,260.762
2014-09-09,293.00,295.10,291.30,293.30,4971400,262.283
2014-09-10,294.30,294.30,287.40,289.10,8250500,258.527
2014-09-11,291.70,292.30,283.90,285.30,9374700,255.129
2014-09-12,287.10,293.00,209.50,287.10,10755000,256.738
2014-09-13,287.10,293.00,209.50,287.10,10755000,256.738
2014-09-14,287.10,293.00,209.50,287.10,10755000,256.738
2014-09-15,287.00,287.00,282.50,284.20,5426300,254.145
2014-09-16,284.00,284.90,281.20,282.00,4911500,252.178
2014-09-17,283.50,285.30,281.50,283.20,5047500,253.251
2014-09-18,283.70,283.758,276.975,280.90,6328700,251.194
2014-09-19,288.70,288.70,280.949,284.30,11278100,254.234
2014-09-20,288.70,288.70,280.949,284.30,11278100,254.234
2014-09-21,288.70,288.70,280.949,284.30,11278100,254.234
2014-09-22,280.00,281.70,274.40,278.80,14920000,249.316
2014-09-23,278.00,278.60,259.40,263.80,24546300,235.902
2014-09-24,263.00,263.40,258.10,260.60,21443300,233.041
2014-09-25,260.00,260.50,254.30,258.00,24066600,230.716
2014-09-26,257.20,258.00,249.90,250.10,14627500,223.651
2014-09-27,257.20,258.00,249.90,250.10,14627500,223.651
2014-09-28,257.20,258.00,249.90,250.10,14627500,223.651
2014-09-29,250.00,252.483,243.40,247.30,13859600,221.147
2014-09-30,247.60,251.70,247.60,251.50,15987200,224.903
2014-10-01,255.10,256.00,233.80,234.00,39678600,209.254
2014-10-02,232.20,238.50,224.50,224.80,27517100,201.027
2014-10-03,227.00,231.20,223.60,227.40,21047000,203.352
2014-10-04,227.00,231.20,223.60,227.40,21047000,203.352
2014-10-05,227.00,231.20,223.60,227.40,21047000,203.352
2014-10-06,229.60,232.10,228.00,231.10,8804700,206.661
2014-10-07,231.00,234.775,229.40,230.20,12455400,205.856
2014-10-08,230.80,235.60,226.50,226.70,11762300,202.726
2014-10-09,229.80,232.70,228.10,230.20,9709000,205.856
2014-10-10,228.50,232.557,225.24,228.80,13085100,204.604
2014-10-11,228.50,232.557,225.24,228.80,13085100,204.604
2014-10-12,228.50,232.557,225.24,228.80,13085100,204.604
2014-10-13,227.50,231.40,227.50,228.70,9478800,204.514
2014-10-14,226.80,228.70,223.332,227.70,8017300,203.62
2014-10-15,231.40,231.40,223.626,225.40,11575500,201.563
2014-10-16,227.20,233.70,223.40,233.00,17247800,208.36
2014-10-17,234.70,245.795,232.20,244.80,18675200,218.912
2014-10-18,234.70,245.795,232.20,244.80,18675200,218.912
2014-10-19,234.70,245.795,232.20,244.80,18675200,218.912
2014-10-20,245.80,246.20,237.90,242.70,10733400,217.034
2014-10-21,243.20,250.30,241.20,250.00,12117100,223.562
2014-10-22,250.00,250.00,240.90,241.60,9826900,216.05
2014-10-23,242.30,242.42,232.10,237.20,14833800,212.115
2014-10-24,237.30,238.90,233.40,238.20,6040900,213.01
2014-10-25,237.30,238.90,233.40,238.20,6040900,213.01
2014-10-26,237.30,238.90,233.40,238.20,6040900,213.01
2014-10-27,240.80,241.10,237.00,240.40,6132700,214.977
2014-10-28,242.00,245.80,241.877,245.30,7205300,219.359
2014-10-29,247.10,250.90,244.80,250.60,10949100,224.098
2014-10-30,253.50,253.50,244.70,246.50,10666200,220.432
2014-10-31,249.60,250.50,244.60,245.50,10408100,219.538
2014-11-01,249.60,250.50,244.60,245.50,10408100,219.538
2014-11-02,249.60,250.50,244.60,245.50,10408100,219.538
2014-11-03,244.90,247.70,244.20,244.60,7295600,218.733
2014-11-04,244.10,247.28,241.00,241.80,8275000,216.229
2014-11-05,244.10,248.40,241.70,247.30,8387700,221.147
2014-11-06,247.10,265.40,246.40,262.20,18854400,234.472
2014-11-07,264.10,275.90,261.10,261.60,18876700,233.935
2014-11-08,264.10,275.90,261.10,261.60,18876700,233.935
2014-11-09,264.10,275.90,261.10,261.60,18876700,233.935
2014-11-10,263.00,263.00,253.50,254.70,15488100,227.765
2014-11-11,257.50,270.00,255.548,269.10,12497800,240.642
2014-11-12,276.00,282.40,251.70,266.10,29960800,237.959
2014-11-13,266.90,271.045,261.90,265.10,11466600,237.065
2014-11-14,264.60,273.40,260.40,270.10,15760700,241.536
2014-11-15,264.60,273.40,260.40,270.10,15760700,241.536
2014-11-16,264.60,273.40,260.40,270.10,15760700,241.536
2014-11-17,268.00,268.90,263.00,265.70,7914700,237.601
2014-11-18,267.30,269.136,263.70,265.60,9122900,237.512
2014-11-19,267.10,267.80,261.30,262.60,8288500,234.829
2014-11-20,261.40,261.40,255.30,258.10,6553600,235.285
2014-11-21,259.70,262.00,258.20,259.70,7143800,236.744
2014-11-22,259.70,262.00,258.20,259.70,7143800,236.744
2014-11-23,259.70,262.00,258.20,259.70,7143800,236.744
2014-11-24,260.30,260.80,251.80,252.30,7447600,229.998
2014-11-25,253.10,253.80,240.80,241.40,15603100,220.061
2014-11-26,242.00,244.90,238.20,239.00,10950500,217.873
2014-11-27,239.70,239.90,233.623,233.90,10268000,213.224
2014-11-28,234.60,235.10,226.10,233.40,10826600,212.768
2014-11-29,234.60,235.10,226.10,233.40,10826600,212.768
2014-11-30,234.60,235.10,226.10,233.40,10826600,212.768
2014-12-01,229.90,236.10,229.60,231.80,10769600,211.31
2014-12-02,232.50,244.534,232.08,241.20,11203000,219.879
2014-12-03,242.30,246.10,239.00,240.50,10302500,219.241
2014-12-04,241.00,241.80,233.20,233.40,7767200,212.768
2014-12-05,235.50,239.20,234.70,238.30,7419600,217.235
2014-12-06,235.50,239.20,234.70,238.30,7419600,217.235
2014-12-07,235.50,239.20,234.70,238.30,7419600,217.235
2014-12-08,243.00,247.10,233.50,235.80,9163700,214.956
2014-12-09,226.30,236.40,222.897,231.60,21103400,211.128
2014-12-10,231.00,233.00,226.015,226.40,9355900,206.387
2014-12-11,226.50,229.90,224.615,226.30,7357600,206.296
2014-12-12,224.40,228.436,221.10,227.50,10794300,207.39
2014-12-13,224.40,228.436,221.10,227.50,10794300,207.39
2014-12-14,224.40,228.436,221.10,227.50,10794300,207.39
2014-12-15,226.70,234.121,224.70,229.30,11949600,209.031
2014-12-16,229.50,231.40,224.892,229.40,12089200,209.122
2014-12-17,226.60,230.60,225.30,229.60,9738000,209.304
2014-12-18,233.40,235.54,231.10,235.00,10599100,214.227
2014-12-19,237.30,240.578,232.20,239.80,14103200,218.603
2014-12-20,237.30,240.578,232.20,239.80,14103200,218.603
2014-12-21,237.30,240.578,232.20,239.80,14103200,218.603
2014-12-22,242.30,242.90,238.10,239.60,6021000,218.42
2014-12-23,240.00,244.90,238.10,244.10,5302000,222.523
2014-12-24,246.60,246.76,243.40,244.70,1605400,223.07
2014-12-25,244.70,244.70,244.70,244.70,000,223.07
2014-12-26,244.70,244.70,244.70,244.70,000,223.07
2014-12-27,244.70,244.70,244.70,244.70,000,223.07
2014-12-28,244.70,244.70,244.70,244.70,000,223.07
2014-12-29,245.30,246.408,242.20,246.00,5358000,224.255
2014-12-30,245.90,247.30,242.70,244.60,4755200,222.978
2014-12-31,242.00,246.70,241.40,246.70,2176600,224.893
2015-01-01,246.70,246.70,246.70,246.70,000,224.893
2015-01-02,245.40,246.30,241.90,243.40,6128200,221.885
2015-01-03,245.40,246.30,241.90,243.40,6128200,221.885
2015-01-04,245.40,246.30,241.90,243.40,6128200,221.885
2015-01-05,241.40,245.00,232.70,233.50,9609400,212.86
2015-01-06,237.60,237.60,228.50,234.60,9314900,213.862
2015-01-07,242.00,246.00,227.80,229.60,23205200,209.304
2015-01-08,235.00,256.10,233.50,252.40,34260800,230.089
2015-01-09,250.00,250.00,240.40,241.80,15273700,220.426
2015-01-10,250.00,250.00,240.40,241.80,15273700,220.426
2015-01-11,250.00,250.00,240.40,241.80,15273700,220.426
2015-01-12,243.00,243.50,236.70,240.30,7630300,219.059
2015-01-13,242.10,252.00,241.70,249.00,10368900,226.989
2015-01-14,246.90,249.20,240.335,243.10,8557400,221.611
2015-01-15,245.30,255.70,244.30,255.30,11504700,232.733
2015-01-16,257.10,259.60,253.10,256.80,7839100,234.10
2015-01-17,257.10,259.60,253.10,256.80,7839100,234.10
2015-01-18,257.10,259.60,253.10,256.80,7839100,234.10
2015-01-19,258.30,263.60,256.80,257.50,6869000,234.738
2015-01-20,260.60,263.00,250.257,256.70,7781700,234.009
2015-01-21,258.90,264.056,255.70,264.00,8973700,240.664
2015-01-22,264.00,271.148,261.239,269.60,15790800,245.769
2015-01-23,271.20,271.40,266.16,267.90,7274500,244.219
2015-01-24,271.20,271.40,266.16,267.90,7274500,244.219
