Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,429.50,436.70,426.80,435.50,4038300,404.812
2014-02-26,435.70,438.90,433.90,435.30,1646000,404.626
2014-02-27,434.60,435.20,429.12,433.20,1673100,402.674
2014-02-28,432.40,439.78,429.80,431.70,3014500,401.28
2014-03-01,432.40,439.78,429.80,431.70,3014500,401.28
2014-03-02,432.40,439.78,429.80,431.70,3014500,401.28
2014-03-03,426.00,426.50,419.00,422.80,1679500,393.007
2014-03-04,424.70,427.40,423.40,424.40,2415500,394.494
2014-03-05,423.90,425.40,422.40,423.50,1330000,393.657
2014-03-06,425.20,426.88,420.80,422.90,1370300,393.10
2014-03-07,424.70,425.40,419.00,419.40,1948500,389.846
2014-03-08,424.70,425.40,419.00,419.40,1948500,389.846
2014-03-09,424.70,425.40,419.00,419.40,1948500,389.846
2014-03-10,420.50,421.30,415.80,417.50,1851500,388.08
2014-03-11,418.10,418.10,415.50,416.00,1805800,386.686
2014-03-12,413.60,415.00,410.20,411.20,1637500,382.224
2014-03-13,411.00,412.30,408.00,409.20,1899600,380.365
2014-03-14,407.10,409.20,401.70,403.10,1773200,374.695
2014-03-15,407.10,409.20,401.70,403.10,1773200,374.695
2014-03-16,407.10,409.20,401.70,403.10,1773200,374.695
2014-03-17,404.10,413.70,403.20,411.10,2058800,382.131
2014-03-18,410.60,416.40,410.00,415.90,2461100,386.593
2014-03-19,415.60,426.30,413.70,424.40,2626300,394.494
2014-03-20,421.80,423.10,416.20,420.20,1862200,390.59
2014-03-21,419.30,424.40,417.20,424.40,4041900,394.494
2014-03-22,419.30,424.40,417.20,424.40,4041900,394.494
2014-03-23,419.30,424.40,417.20,424.40,4041900,394.494
2014-03-24,423.50,433.10,417.20,423.50,3749900,393.657
2014-03-25,424.20,434.70,423.172,429.90,3582700,399.606
2014-03-26,430.10,432.70,425.60,427.30,2465900,397.19
2014-03-27,424.60,426.60,417.20,418.30,2479700,388.824
2014-03-28,418.40,423.20,416.70,420.00,1675000,390.404
2014-03-29,418.40,423.20,416.70,420.00,1675000,390.404
2014-03-30,418.40,423.20,416.70,420.00,1675000,390.404
2014-03-31,420.90,422.30,417.30,418.10,1577200,388.638
2014-04-01,419.60,420.00,415.40,418.10,2104900,388.638
2014-04-02,417.90,422.50,417.60,418.30,1588300,388.824
2014-04-03,418.20,419.40,413.20,413.80,1518400,384.641
2014-04-04,413.40,415.30,409.20,410.10,1676000,381.202
2014-04-05,413.40,415.30,409.20,410.10,1676000,381.202
2014-04-06,413.40,415.30,409.20,410.10,1676000,381.202
2014-04-07,405.30,408.10,402.00,403.20,4145200,374.788
2014-04-08,401.60,403.00,393.70,395.10,2742900,367.259
2014-04-09,395.30,404.70,394.30,402.20,2053600,373.858
2014-04-10,405.00,409.24,399.00,399.00,2626800,370.884
2014-04-11,395.00,395.496,381.90,390.60,2660700,363.076
2014-04-12,395.00,395.496,381.90,390.60,2660700,363.076
2014-04-13,395.00,395.496,381.90,390.60,2660700,363.076
2014-04-14,388.20,389.70,383.40,389.70,2279600,362.239
2014-04-15,388.20,393.60,387.50,391.70,2294800,364.098
2014-04-16,395.60,399.40,395.36,398.70,2071600,370.605
2014-04-17,399.70,403.90,396.20,403.00,2017700,374.602
2014-04-18,403.00,403.00,403.00,403.00,000,374.602
2014-04-19,403.00,403.00,403.00,403.00,000,374.602
2014-04-20,403.00,403.00,403.00,403.00,000,374.602
2014-04-21,403.00,403.00,403.00,403.00,000,374.602
2014-04-22,403.10,413.90,402.08,411.00,3496500,382.038
2014-04-23,411.20,412.40,409.40,411.70,2638700,382.689
2014-04-24,413.60,419.70,410.60,415.80,1751000,386.50
2014-04-25,414.20,417.10,412.60,417.10,1880600,387.708
2014-04-26,414.20,417.10,412.60,417.10,1880600,387.708
2014-04-27,414.20,417.10,412.60,417.10,1880600,387.708
2014-04-28,416.70,421.70,414.20,418.30,1922700,388.824
2014-04-29,418.60,426.70,416.80,419.90,4032000,390.311
2014-04-30,418.70,426.40,418.70,426.40,2314200,396.353
2014-05-01,425.10,428.85,420.60,420.80,1200000,391.148
2014-05-02,424.60,424.60,419.90,422.50,2612000,392.728
2014-05-03,424.60,424.60,419.90,422.50,2612000,392.728
2014-05-04,424.60,424.60,419.90,422.50,2612000,392.728
2014-05-05,422.50,422.50,422.50,422.50,000,392.728
2014-05-06,423.50,427.40,422.38,427.40,1858500,397.283
2014-05-07,426.10,428.02,420.50,422.00,2685100,392.263
2014-05-08,419.70,419.70,389.30,399.50,6694300,371.349
2014-05-09,398.80,398.80,387.90,396.50,4470400,368.56
2014-05-10,398.80,398.80,387.90,396.50,4470400,368.56
2014-05-11,398.80,398.80,387.90,396.50,4470400,368.56
2014-05-12,397.10,406.70,397.10,403.00,3128400,374.602
2014-05-13,403.10,406.80,400.60,406.00,2790100,377.391
2014-05-14,403.00,406.30,399.10,400.10,1854900,375.719
2014-05-15,400.50,402.00,386.936,392.40,2719200,368.488
2014-05-16,393.20,397.60,386.80,397.50,3410300,373.277
2014-05-17,393.20,397.60,386.80,397.50,3410300,373.277
2014-05-18,393.20,397.60,386.80,397.50,3410300,373.277
2014-05-19,398.40,402.20,396.10,397.70,2526800,373.465
2014-05-20,399.30,404.40,397.90,402.70,2050200,378.161
2014-05-21,402.20,405.00,399.50,402.20,1655400,377.691
2014-05-22,401.90,406.80,400.80,401.50,1855200,377.034
2014-05-23,401.40,406.03,400.10,406.03,1271600,381.288
2014-05-24,401.40,406.03,400.10,406.03,1271600,381.288
2014-05-25,401.40,406.03,400.10,406.03,1271600,381.288
2014-05-26,406.03,406.03,406.03,406.03,000,381.288
2014-05-27,404.30,417.58,400.00,413.80,2057700,388.584
2014-05-28,414.20,419.50,412.30,414.10,5153200,388.866
2014-05-29,413.50,416.57,408.00,411.80,1508200,386.706
2014-05-30,411.80,419.39,409.78,409.80,2984100,384.828
2014-05-31,411.80,419.39,409.78,409.80,2984100,384.828
2014-06-01,411.80,419.39,409.78,409.80,2984100,384.828
2014-06-02,411.20,417.39,410.20,413.40,2025600,388.209
2014-06-03,412.00,415.66,408.30,411.30,1643300,386.236
2014-06-04,411.20,418.85,410.90,414.80,1984400,389.523
2014-06-05,415.40,417.47,409.90,410.70,1715800,385.673
2014-06-06,410.80,414.20,409.60,412.90,1110700,387.739
2014-06-07,410.80,414.20,409.60,412.90,1110700,387.739
2014-06-08,410.80,414.20,409.60,412.90,1110700,387.739
2014-06-09,413.30,414.199,411.60,412.20,974200,387.082
2014-06-10,412.20,412.30,408.50,410.40,1834400,385.391
2014-06-11,410.90,411.70,402.80,403.20,1959100,378.63
2014-06-12,403.50,406.30,401.90,404.60,1571200,379.945
2014-06-13,403.50,404.60,393.90,395.70,2040100,371.587
2014-06-14,403.50,404.60,393.90,395.70,2040100,371.587
2014-06-15,403.50,404.60,393.90,395.70,2040100,371.587
2014-06-16,393.80,398.40,387.80,390.60,2015000,366.798
2014-06-17,390.80,397.90,389.80,391.40,2893600,367.549
2014-06-18,391.10,395.60,389.20,389.20,1700300,365.483
2014-06-19,392.90,397.30,391.00,391.20,1524200,367.361
2014-06-20,390.50,394.00,388.20,391.20,2073300,367.361
2014-06-21,390.50,394.00,388.20,391.20,2073300,367.361
2014-06-22,390.50,394.00,388.20,391.20,2073300,367.361
2014-06-23,391.70,391.70,386.40,387.10,1587800,363.511
2014-06-24,387.60,388.70,380.60,383.60,2572600,360.224
2014-06-25,380.10,382.30,374.50,379.00,3446000,355.905
2014-06-26,380.10,386.00,380.10,384.40,1920600,360.976
2014-06-27,384.20,385.50,380.70,384.80,1618500,361.351
2014-06-28,384.20,385.50,380.70,384.80,1618500,361.351
2014-06-29,384.20,385.50,380.70,384.80,1618500,361.351
2014-06-30,384.70,388.40,384.06,384.10,4445400,360.694
2014-07-01,384.60,387.40,382.70,386.30,2259900,362.76
2014-07-02,386.50,389.50,384.50,386.40,3046100,362.854
2014-07-03,386.20,389.60,385.00,388.50,2043200,364.826
2014-07-04,388.60,389.40,385.90,386.10,3556100,362.572
2014-07-05,388.60,389.40,385.90,386.10,3556100,362.572
2014-07-06,388.60,389.40,385.90,386.10,3556100,362.572
2014-07-07,386.30,387.30,382.10,383.00,5403800,359.661
2014-07-08,384.00,385.30,378.10,383.20,4250700,359.849
2014-07-09,383.50,383.50,377.10,377.50,3232200,354.496
2014-07-10,377.60,381.90,370.20,373.00,3387500,350.27
2014-07-11,373.20,375.10,368.10,375.00,2513300,352.149
2014-07-12,373.20,375.10,368.10,375.00,2513300,352.149
2014-07-13,373.20,375.10,368.10,375.00,2513300,352.149
2014-07-14,376.50,379.80,374.90,377.70,1842500,354.684
2014-07-15,376.90,377.30,374.40,375.10,1955800,352.242
2014-07-16,376.50,381.459,375.80,379.40,2347300,356.28
2014-07-17,378.70,380.469,375.80,379.00,4361400,355.905
2014-07-18,377.70,378.40,376.30,378.30,1490000,355.247
2014-07-19,377.70,378.40,376.30,378.30,1490000,355.247
2014-07-20,377.70,378.40,376.30,378.30,1490000,355.247
2014-07-21,378.60,379.80,376.90,379.20,2763700,356.093
2014-07-22,381.50,382.80,378.40,381.00,2814600,357.783
2014-07-23,378.40,385.00,372.20,377.00,3576000,354.027
2014-07-24,377.90,377.90,371.70,374.00,3350500,351.209
2014-07-25,371.70,375.60,368.80,370.00,2498800,347.453
2014-07-26,371.70,375.60,368.80,370.00,2498800,347.453
2014-07-27,371.70,375.60,368.80,370.00,2498800,347.453
2014-07-28,371.60,372.50,367.70,370.10,2847000,347.547
2014-07-29,370.80,372.70,369.50,371.80,2693200,349.144
2014-07-30,372.40,372.60,369.60,370.20,1919100,347.641
2014-07-31,371.00,372.20,367.70,369.10,7248200,346.608
2014-08-01,369.10,369.10,363.80,366.00,3365100,343.697
2014-08-02,369.10,369.10,363.80,366.00,3365100,343.697
