Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,943.00,945.00,930.50,943.50,4615500,831.558
2014-02-26,940.00,946.50,936.86,944.50,4178100,832.44
2014-02-27,941.50,943.00,934.00,939.50,5569900,828.033
2014-02-28,940.00,944.00,935.00,940.00,3018300,828.474
2014-03-01,940.00,944.00,935.00,940.00,3018300,828.474
2014-03-02,940.00,944.00,935.00,940.00,3018300,828.474
2014-03-03,930.00,936.00,926.00,931.50,2690300,820.982
2014-03-04,938.00,943.00,933.50,943.00,2247700,831.118
2014-03-05,945.00,946.00,938.50,941.00,2349300,829.355
2014-03-06,938.00,943.50,921.50,932.00,3831000,821.423
2014-03-07,930.00,934.00,921.00,923.00,2526600,813.491
2014-03-08,930.00,934.00,921.00,923.00,2526600,813.491
2014-03-09,930.00,934.00,921.00,923.00,2526600,813.491
2014-03-10,924.00,926.50,916.50,918.00,2457800,809.084
2014-03-11,923.50,923.50,912.00,921.00,2770300,811.728
2014-03-12,921.50,924.00,913.50,922.00,2227200,812.609
2014-03-13,925.00,925.00,913.75,914.50,2818600,805.999
2014-03-14,913.00,929.03,909.36,927.50,4230100,817.457
2014-03-15,913.00,929.03,909.36,927.50,4230100,817.457
2014-03-16,913.00,929.03,909.36,927.50,4230100,817.457
2014-03-17,928.50,940.00,923.50,936.00,3169000,824.948
2014-03-18,937.50,946.00,930.00,938.50,4486700,827.152
2014-03-19,940.00,943.00,927.50,939.50,2319400,828.033
2014-03-20,937.00,942.00,927.50,942.00,2521000,830.236
2014-03-21,944.00,948.50,935.50,947.00,4866300,834.643
2014-03-22,944.00,948.50,935.50,947.00,4866300,834.643
2014-03-23,944.00,948.50,935.50,947.00,4866300,834.643
2014-03-24,947.50,954.00,934.50,941.50,4914000,829.796
2014-03-25,946.50,946.50,923.00,927.50,4836700,817.457
2014-03-26,917.00,920.50,910.00,916.00,5179800,817.903
2014-03-27,917.00,931.50,912.171,930.00,4133000,830.404
2014-03-28,936.50,936.50,916.50,917.50,2697700,819.243
2014-03-29,936.50,936.50,916.50,917.50,2697700,819.243
2014-03-30,936.50,936.50,916.50,917.50,2697700,819.243
2014-03-31,918.50,919.50,908.50,913.00,4063800,815.224
