Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,1236.39,1238.29,1209.26,1222.58,7942100,1112.282
2014-02-26,1220.68,1231.63,1214.02,1227.34,4580300,1116.613
2014-02-27,1224.96,1225.80,1209.26,1218.78,4934900,1108.825
2014-02-28,1201.65,1209.73,1182.13,1204.03,9595800,1095.406
2014-03-01,1201.65,1209.73,1182.13,1204.03,9595800,1095.406
2014-03-02,1201.65,1209.73,1182.13,1204.03,9595800,1095.406
2014-03-03,1185.94,1201.65,1175.80,1191.65,6805600,1084.143
2014-03-04,1199.74,1219.39,1198.79,1213.07,5599700,1103.63
2014-03-05,1214.97,1265.89,1182.61,1187.84,12224600,1080.676
2014-03-06,1191.18,1200.22,1161.19,1198.31,12931900,1090.202
2014-03-07,1197.36,1218.30,1187.84,1204.03,5815500,1095.406
2014-03-08,1197.36,1218.30,1187.84,1204.03,5815500,1095.406
2014-03-09,1197.36,1218.30,1187.84,1204.03,5815500,1095.406
2014-03-10,1204.03,1213.54,1178.33,1187.37,6147600,1080.249
2014-03-11,1193.08,1196.89,1167.86,1188.80,5851400,1081.55
2014-03-12,1159.77,1163.57,1139.44,1145.01,11200600,1072.307
2014-03-13,1147.39,1151.68,1134.54,1134.54,9071100,1062.502
2014-03-14,1130.74,1143.03,1125.50,1133.12,6055500,1061.172
2014-03-15,1130.74,1143.03,1125.50,1133.12,6055500,1061.172
2014-03-16,1130.74,1143.03,1125.50,1133.12,6055500,1061.172
2014-03-17,1131.21,1145.01,1129.50,1134.54,4477300,1062.502
2014-03-18,1135.97,1173.01,1130.26,1139.30,5485600,1066.96
2014-03-19,1142.16,1145.01,1122.95,1127.88,7565700,1056.265
2014-03-20,1123.60,1133.12,1119.79,1127.41,6970500,1055.825
2014-03-21,1127.88,1147.87,1127.88,1142.63,11269500,1070.079
2014-03-22,1127.88,1147.87,1127.88,1142.63,11269500,1070.079
2014-03-23,1127.88,1147.87,1127.88,1142.63,11269500,1070.079
2014-03-24,1151.20,1151.68,1138.83,1143.58,5742700,1070.968
2014-03-25,1146.92,1165.48,1143.58,1162.15,7840500,1088.359
2014-03-26,1164.53,1214.49,1159.77,1175.47,9552600,1100.833
2014-03-27,1175.95,1175.95,1166.43,1172.61,7454800,1098.155
2014-03-28,1176.90,1206.88,1170.71,1198.79,9162000,1122.673
2014-03-29,1176.90,1206.88,1170.71,1198.79,9162000,1122.673
2014-03-30,1176.90,1206.88,1170.71,1198.79,9162000,1122.673
2014-03-31,1200.22,1206.40,1188.32,1193.08,10464700,1117.325
2014-04-01,1194.51,1208.73,1190.22,1204.03,5834900,1127.58
2014-04-02,1204.03,1224.95,1196.41,1219.25,4910100,1141.834
2014-04-03,1217.35,1220.68,1200.22,1203.55,5237700,1127.13
2014-04-04,1201.65,1211.37,1197.36,1203.07,4322800,1126.681
2014-04-05,1201.65,1211.37,1197.36,1203.07,4322800,1126.681
2014-04-06,1201.65,1211.37,1197.36,1203.07,4322800,1126.681
2014-04-07,1199.74,1210.21,1189.75,1194.51,5015100,1118.664
