Date,Open,High,Low,Close,Volume,Adj Close
2014-02-25,132.00,134.50,127.30,127.90,32089400,124.572
2014-02-26,126.00,126.50,119.70,121.20,32725800,118.046
2014-02-27,121.00,125.30,119.10,124.10,19766100,120.871
2014-02-28,123.60,125.93,123.60,125.00,16515800,121.747
2014-03-01,123.60,125.93,123.60,125.00,16515800,121.747
2014-03-02,123.60,125.93,123.60,125.00,16515800,121.747
2014-03-03,122.10,124.33,120.20,120.80,19700900,117.656
2014-03-04,122.50,125.60,121.934,124.50,13656100,121.26
2014-03-05,123.20,123.22,119.20,121.00,23297400,117.851
2014-03-06,122.30,123.60,120.50,121.30,12415600,118.143
2014-03-07,121.40,123.00,120.29,120.80,8386600,117.656
2014-03-08,121.40,123.00,120.29,120.80,8386600,117.656
2014-03-09,121.40,123.00,120.29,120.80,8386600,117.656
2014-03-10,119.10,120.484,116.55,117.20,23463000,114.15
2014-03-11,117.00,117.70,114.30,115.70,14456500,112.689
2014-03-12,115.70,117.472,114.70,117.10,11801400,114.053
2014-03-13,117.50,117.90,114.10,114.10,13896400,111.131
2014-03-14,112.80,116.35,111.07,115.80,16209500,112.787
2014-03-15,112.80,116.35,111.07,115.80,16209500,112.787
2014-03-16,112.80,116.35,111.07,115.80,16209500,112.787
2014-03-17,119.20,122.158,117.80,118.20,20557200,115.124
2014-03-18,118.50,120.23,117.899,119.30,14300000,116.195
2014-03-19,119.70,121.00,118.80,119.40,8902400,116.293
2014-03-20,118.80,119.00,115.70,116.80,10980000,113.761
2014-03-21,117.00,117.00,115.20,115.40,40234700,112.397
2014-03-22,117.00,117.00,115.20,115.40,40234700,112.397
2014-03-23,117.00,117.00,115.20,115.40,40234700,112.397
2014-03-24,115.00,116.80,113.10,113.70,11051200,110.741
2014-03-25,114.40,115.90,113.70,114.90,10097300,111.91
2014-03-26,115.70,117.40,115.40,117.00,9683300,113.955
2014-03-27,116.30,116.90,115.30,115.30,8217100,112.30
2014-03-28,115.50,116.83,114.80,116.70,8660400,113.663
2014-03-29,115.50,116.83,114.80,116.70,8660400,113.663
2014-03-30,115.50,116.83,114.80,116.70,8660400,113.663
2014-03-31,116.70,118.40,116.10,117.80,7313700,114.735
2014-04-01,118.20,119.448,117.80,119.40,8465500,116.293
2014-04-02,119.70,120.60,118.80,119.40,8918300,116.293
2014-04-03,119.60,119.80,117.60,119.50,8098200,116.39
2014-04-04,119.40,120.03,117.70,118.00,32006900,114.929
2014-04-05,119.40,120.03,117.70,118.00,32006900,114.929
2014-04-06,119.40,120.03,117.70,118.00,32006900,114.929
2014-04-07,116.70,117.00,112.90,113.60,24887300,110.644
2014-04-08,113.60,115.043,107.10,109.30,50699800,106.456
2014-04-09,109.90,114.30,109.90,113.30,19246500,110.828
2014-04-10,114.00,116.30,113.10,113.30,12419400,110.828
2014-04-11,112.40,112.40,109.70,110.90,11311000,108.481
2014-04-12,112.40,112.40,109.70,110.90,11311000,108.481
2014-04-13,112.40,112.40,109.70,110.90,11311000,108.481
2014-04-14,110.00,110.56,105.90,108.00,17188100,105.644
2014-04-15,108.20,110.70,106.70,106.90,26078200,104.568
2014-04-16,109.00,109.30,104.70,107.10,25160400,104.763
2014-04-17,108.30,110.737,106.20,110.10,26607300,107.698
2014-04-18,110.10,110.10,110.10,110.10,000,107.698
2014-04-19,110.10,110.10,110.10,110.10,000,107.698
2014-04-20,110.10,110.10,110.10,110.10,000,107.698
2014-04-21,110.10,110.10,110.10,110.10,000,107.698
2014-04-22,110.90,112.60,110.00,111.40,10357200,108.97
2014-04-23,111.60,112.10,108.50,109.10,7830500,106.72
2014-04-24,109.80,110.129,104.50,105.80,21347700,103.492
2014-04-25,105.40,106.615,102.40,103.20,21023500,100.949
2014-04-26,105.40,106.615,102.40,103.20,21023500,100.949
2014-04-27,105.40,106.615,102.40,103.20,21023500,100.949
2014-04-28,103.00,104.30,101.20,101.30,14104200,99.09
2014-04-29,101.90,103.707,101.50,102.60,21483800,100.362
2014-04-30,102.10,106.40,101.50,105.10,27441600,102.807
2014-05-01,104.90,107.10,103.16,105.30,13781200,103.003
2014-05-02,108.00,109.534,106.90,108.60,26756400,106.231
2014-05-03,108.00,109.534,106.90,108.60,26756400,106.231
2014-05-04,108.00,109.534,106.90,108.60,26756400,106.231
2014-05-05,108.60,108.60,108.60,108.60,000,106.231
2014-05-06,109.00,110.837,108.808,110.50,34323600,108.089
2014-05-07,109.90,110.40,107.90,108.10,16693200,105.742
2014-05-08,108.90,110.10,108.17,109.40,14113500,107.013
2014-05-09,109.50,109.50,106.70,107.00,8690400,104.666
2014-05-10,109.50,109.50,106.70,107.00,8690400,104.666
2014-05-11,109.50,109.50,106.70,107.00,8690400,104.666
2014-05-12,107.90,108.39,105.90,106.30,13084200,103.981
2014-05-13,110.00,115.60,109.00,114.40,36948800,111.904
2014-05-14,114.70,115.40,111.664,112.50,24121600,110.046
2014-05-15,112.70,114.10,107.10,107.20,22865200,104.861
2014-05-16,107.50,108.50,103.00,104.90,22199100,102.611
2014-05-17,107.50,108.50,103.00,104.90,22199100,102.611
2014-05-18,107.50,108.50,103.00,104.90,22199100,102.611
2014-05-19,104.70,107.50,103.40,106.90,19622600,104.568
2014-05-20,107.10,108.10,106.58,106.90,8934800,104.568
2014-05-21,106.50,109.25,105.90,108.50,9098200,106.133
2014-05-22,109.00,109.70,108.10,109.00,6220500,106.622
